time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,0.46406,109.6499,-3.31011,0.6696,118.64121,-3.3444,0.86365,135.01055,-2.87221,1.05823,141.45372,-3.24239,5.80944,131.56926,-2.94427,11.11829,131.55337,-2.29781,16.57476,107.98518,-4.87623,21.61236,87.04573,0.87508,-4.13604,131.7029,-3.47975,-9.44003,131.62833,-2.79812,-15.5903,108.33872,-6.2133,-19.88891,87.0869,-1.03709,6.27814,91.57074,-1.69335,5.52728,53.94457,8.8442,7.20359,13.58046,1.93538,6.7326,6.08961,10.98131,-6.40745,91.89523,-4.22023,-3.93765,53.39786,2.03968,3.66242,13.57999,-4.00841,-1.06677,6.08921,3.7173
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.46827,109.65002,-3.29749,0.67522,118.64129,-3.33366,0.86628,135.01167,-2.89766,1.06175,141.45419,-3.2784,5.81268,131.57104,-2.95897,11.12082,131.56158,-2.30657,16.5821,107.98828,-4.82739,21.60299,87.06908,1.01156,-4.13248,131.70185,-3.50102,-9.43679,131.62697,-2.82195,-15.50949,108.31161,-6.20005,-19.77215,87.05139,-1.02859,6.27821,91.56793,-1.69881,5.53428,53.93783,8.82521,7.19567,13.59498,1.7898,6.72505,6.10412,10.83575,-6.4087,91.89801,-4.21829,-3.96047,53.39165,1.99463,3.66808,13.59512,-4.15712,-1.06236,6.10435,3.56783
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.47256,109.65007,-3.2878,0.68338,118.64125,-3.32384,0.8843,135.01204,-2.90783,1.08249,141.45394,-3.29742,5.82863,131.56836,-2.96495,11.13566,131.56238,-2.30354,16.60881,107.98101,-4.72113,21.61622,87.06437,1.13849,-4.11645,131.7045,-3.50714,-9.421,131.63035,-2.82979,-15.44342,108.30033,-6.19667,-19.66378,87.03505,-1.01136,6.27853,91.56529,-1.70512,5.53906,53.92018,8.76538,7.19089,13.59373,1.63434,6.71996,6.10286,10.68026,-6.41022,91.90063,-4.21468,-3.95606,53.38172,1.91758,3.65887,13.59387,-4.3068,-1.07078,6.10309,3.41862
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,0.47554,109.65029,-3.27047,0.69028,118.6414,-3.30174,0.90469,135.01228,-2.89639,1.11007,141.454,-3.28531,5.84616,131.56441,-2.94811,11.15205,131.56021,-2.27763,16.64826,107.97248,-4.57787,21.65057,87.05236,1.27371,-4.09846,131.70854,-3.49668,-9.4032,131.64008,-2.82022,-15.40246,108.30387,-6.18556,-19.58305,87.03203,-0.99494,6.2794,91.56252,-1.7144,5.53297,53.9131,8.7401,7.19198,13.60487,1.50845,6.72105,6.11402,10.55439,-6.41191,91.90334,-4.21023,-3.9644,53.37726,1.87955,3.64862,13.60453,-4.44296,-1.07943,6.11367,3.28337
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.47322,109.65065,-3.25278,0.68892,118.64176,-3.27743,0.91243,135.01255,-2.87335,1.12393,141.45424,-3.25954,5.85196,131.56189,-2.92288,11.1564,131.56231,-2.24095,16.68189,107.97152,-4.43737,21.6856,87.04745,1.39885,-4.09236,131.71159,-3.4753,-9.39766,131.64895,-2.80277,-15.3988,108.31861,-6.20532,-19.54111,87.04737,-0.98167,6.28144,91.56182,-1.72573,5.51517,53.90001,8.68261,7.18087,13.60338,1.38807,6.71584,6.11251,10.43429,-6.41331,91.90394,-4.20383,-3.96215,53.36664,1.81301,3.64797,13.60293,-4.56946,-1.08396,6.11204,3.15446
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.46895,109.65103,-3.23682,0.68527,118.64214,-3.25407,0.91995,135.01262,-2.8438,1.1415,141.45449,-3.22119,5.85708,131.55844,-2.8882,11.15985,131.56457,-2.1935,16.72615,107.97774,-4.32866,21.72423,87.05017,1.49983,-4.08641,131.71545,-3.45339,-9.39235,131.66066,-2.78514,-15.40595,108.33781,-6.21688,-19.54872,87.06633,-0.99456,6.2832,91.56211,-1.73391,5.50233,53.88853,8.63067,7.18208,13.60723,1.25514,6.71771,6.11638,10.30142,-6.41388,91.90355,-4.2001,-3.97163,53.3574,1.76348,3.64712,13.6077,-4.69551,-1.085,6.11693,3.02842
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,0.46641,109.65131,-3.22239,0.68416,118.6424,-3.23309,0.931,135.01257,-2.81788,1.16094,141.45474,-3.18508,5.8655,131.55456,-2.85595,11.1666,131.5651,-2.14861,16.77426,107.98772,-4.27979,21.77023,87.06973,1.58481,-4.07702,131.71949,-3.4358,-9.38419,131.67283,-2.7768,-15.42599,108.36506,-6.26107,-19.58888,87.09945,-1.03086,6.28452,91.56187,-1.74093,5.50085,53.87099,8.56032,7.18287,13.59952,1.13182,6.71723,6.10865,10.17801,-6.41449,91.90371,-4.1971,-3.95869,53.34348,1.66906,3.65651,13.59931,-4.82806,-1.07568,6.10835,2.89563
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.4598,109.65193,-3.19039,0.6779,118.64301,-3.18788,0.93942,135.01284,-2.76812,1.17828,141.45477,-3.13388,5.87078,131.55032,-2.80335,11.17063,131.56311,-2.08682,16.82203,107.9974,-4.2316,21.81772,87.09023,1.67165,-4.07114,131.72451,-3.39074,-9.37905,131.68506,-2.73722,-15.46097,108.3959,-6.27567,-19.66701,87.13095,-1.07738,6.28578,91.56193,-1.74709,5.48906,53.85577,8.49709,7.17939,13.59741,0.99974,6.71158,6.10654,10.04583,-6.41391,91.90348,-4.19985,-3.97102,53.33242,1.60012,3.6456,13.59762,-4.95243,-1.08688,6.10678,2.7712
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.45024,109.65255,-3.1595,0.66799,118.64363,-3.1437,0.946,135.013,-2.71685,1.19516,141.45498,-3.07475,5.87385,131.54548,-2.75181,11.17303,131.55711,-2.0303,16.86171,108.00502,-4.22548,21.86214,87.11146,1.72183,-4.06768,131.73003,-3.34265,-9.37598,131.69757,-2.69193,-15.5073,108.43241,-6.3023,-19.78262,87.16815,-1.15802,6.2864,91.56336,-1.74754,5.47522,53.83878,8.42747,7.16406,13.58821,0.8881,6.69461,6.09734,9.9341,-6.41187,91.90187,-4.20801,-3.96354,53.32143,1.52689,3.62425,13.58854,-5.07052,-1.10775,6.09766,2.65337
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,0.44013,109.65319,-3.11917,0.65649,118.64425,-3.08369,0.9471,135.0128,-2.6344,1.20332,141.45497,-2.98374,5.87224,131.54145,-2.67054,11.17045,131.55026,-1.94189,16.90327,108.01731,-4.2257,21.91479,87.13442,1.74966,-4.06872,131.73465,-3.26825,-9.37698,131.71005,-2.61691,-15.55931,108.46989,-6.30053,-19.89219,87.19299,-1.25763,6.28765,91.56421,-1.75218,5.44532,53.82478,8.36505,7.13213,13.58074,0.79046,6.66668,6.08989,9.83668,-6.4103,91.90084,-4.21461,-3.96462,53.31197,1.46448,3.59733,13.58124,-5.17544,-1.13302,6.09039,2.54949
