time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,0.40915,109.60739,-1.78373,0.72084,118.58597,-1.36522,1.42556,134.94578,-1.64077,2.1416,141.32592,-2.32653,5.59837,131.42219,0.90492,10.16853,130.99655,3.64983,19.28051,108.5239,1.69215,29.39744,89.87244,8.52489,-2.77642,131.69253,-4.48089,-7.83783,131.48684,-6.19621,-14.04554,107.96325,-6.21799,-23.8705,91.42793,5.04986,4.18254,91.25124,1.69284,-4.89537,53.69958,7.59171,10.64595,16.62757,-0.40431,7.73449,7.30903,6.14183,-4.29656,92.22658,-8.03177,-3.08541,53.57174,-2.40409,8.70438,14.45228,-5.64007,1.15258,6.96143,-0.63796
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.20742,109.61035,-1.77089,0.42397,118.59113,-1.33972,1.03149,134.95534,-1.58343,1.77624,141.33078,-2.28228,5.21229,131.45247,0.97768,9.767,131.06724,3.75407,19.14702,108.7039,1.81058,29.40223,90.08505,8.52508,-3.13612,131.68186,-4.4508,-8.1977,131.47543,-6.16554,-14.20183,107.89929,-6.06019,-23.62857,91.94959,6.33557,4.19267,91.30011,1.71135,-4.63635,53.66333,7.44318,10.57246,16.41942,-0.39174,7.60303,7.11621,6.15016,-4.25047,92.17688,-8.05386,-2.96982,53.50223,-2.57979,8.54327,14.2849,-5.62159,0.99048,6.79404,-0.62101
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.01898,109.60989,-1.74788,0.09484,118.59166,-1.29839,0.6145,134.95942,-1.50398,1.38144,141.33092,-2.21469,4.80528,131.47355,1.06402,9.34528,131.12307,3.86895,19.00001,108.87545,1.94273,29.42089,90.3245,8.58975,-3.5253,131.6698,-4.3931,-8.58411,131.45761,-6.11528,-14.50339,107.86022,-5.97214,-23.39265,92.51429,7.53321,4.21426,91.35288,1.72117,-4.34574,53.62953,7.28963,10.49357,16.20423,-0.38793,7.47555,6.92121,6.1604,-4.20897,92.12424,-8.07009,-2.84261,53.42828,-2.77015,8.38976,14.11424,-5.60627,0.83786,6.62339,-0.60431
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.24721,109.60672,-1.73252,-0.23184,118.58839,-1.26722,0.22844,134.95836,-1.43508,1.02581,141.32528,-2.15325,4.42316,131.48221,1.13966,8.95189,131.15667,3.96572,18.9067,109.03268,2.14601,29.47389,90.51458,8.65215,-3.88931,131.65998,-4.34564,-8.94646,131.44633,-6.07251,-14.82398,107.83811,-6.02934,-23.06398,93.17414,8.59877,4.23857,91.40877,1.72951,-4.04699,53.60017,7.13244,10.42195,15.9986,-0.38916,7.34793,6.74411,6.17351,-4.16968,92.06923,-8.08271,-2.71468,53.35373,-2.95172,8.23054,13.94583,-5.60169,0.67858,6.45491,-0.59991
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.46966,109.59914,-1.70205,-0.55117,118.57925,-1.21399,-0.15399,134.95128,-1.33633,0.67225,141.31298,-2.06793,4.04562,131.48448,1.24305,8.55824,131.18032,4.09713,18.83679,109.20006,2.33647,29.62317,90.80528,8.83275,-4.24918,131.64482,-4.26947,-9.30716,131.43399,-5.99423,-15.08384,107.80142,-6.15777,-22.72304,93.97582,9.57139,4.2652,91.4591,1.73207,-3.68899,53.54879,6.91585,10.37887,15.75874,-0.41973,7.25672,6.54359,6.17546,-4.13432,92.02101,-8.09376,-2.53688,53.28176,-3.1894,8.09174,13.77069,-5.57898,0.54162,6.27984,-0.57434
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.68745,109.58953,-1.68325,-0.86398,118.56719,-1.17567,-0.52775,134.94089,-1.2455,0.32584,141.29778,-1.9875,3.67577,131.48174,1.33778,8.17339,131.20514,4.21823,18.77312,109.37509,2.49329,29.81872,91.14919,9.02987,-4.60022,131.62836,-4.20331,-9.65506,131.4246,-5.93811,-15.36524,107.77876,-6.34255,-22.36412,94.90842,10.45867,4.28977,91.51186,1.73705,-3.36394,53.51286,6.71994,10.32233,15.54637,-0.42391,7.14148,6.36151,6.18549,-4.0982,91.97093,-8.10398,-2.38091,53.21222,-3.39785,7.95846,13.6117,-5.56567,0.40737,6.12081,-0.56257
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.88277,109.57828,-1.66597,-1.14448,118.55276,-1.13933,-0.86194,134.92762,-1.15433,0.02118,141.27917,-1.90739,3.34434,131.4738,1.43158,7.82747,131.21865,4.3365,18.75735,109.54304,2.72818,29.99728,91.40098,9.16597,-4.91364,131.61149,-4.13654,-9.96454,131.41292,-5.88338,-15.63371,107.764,-6.57954,-21.91789,95.9827,11.27042,4.31178,91.55933,1.74099,-3.06698,53.48035,6.52403,10.28009,15.35961,-0.43785,7.04122,6.19992,6.1783,-4.06579,91.9266,-8.11274,-2.22625,53.14923,-3.61094,7.82937,13.46466,-5.56594,0.27874,5.97374,-0.56217
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.07676,109.56406,-1.64183,-1.42619,118.53428,-1.09396,-1.21403,134.91015,-1.05423,-0.30895,141.25687,-1.8219,2.99438,131.46594,1.54102,7.45787,131.22888,4.47754,18.72222,109.72132,2.92198,30.20984,91.73983,9.37302,-5.23678,131.58649,-4.06706,-10.28348,131.38699,-5.82592,-15.95734,107.74996,-6.82267,-21.46511,97.17638,12.0128,4.32931,91.60402,1.7471,-2.6774,53.41975,6.24158,10.33193,15.15226,-0.55249,7.06062,6.0143,6.07773,-4.02925,91.88587,-8.12558,-2.11302,53.09427,-3.78114,7.69544,13.33911,-5.54857,0.14251,5.84829,-0.54812
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.25039,109.54978,-1.62633,-1.6776,118.51554,-1.06094,-1.52406,134.89186,-0.96852,-0.59707,141.23395,-1.74814,2.68605,131.45441,1.63291,7.13165,131.2348,4.59778,18.70574,109.88936,3.08337,30.44716,92.09385,9.59293,-5.52268,131.5635,-4.0082,-10.56251,131.35557,-5.78565,-16.34842,107.76097,-7.09461,-20.95789,98.51778,12.65956,4.34069,91.64536,1.75672,-2.50105,53.41734,6.13181,10.19384,15.01741,-0.50806,6.88655,5.90175,6.13498,-3.99225,91.84851,-8.13952,-1.95984,53.0442,-3.96468,7.57058,13.21388,-5.55196,0.01848,5.72307,-0.55026
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.4266,109.53223,-1.59878,-1.93024,118.49258,-1.01091,-1.82395,134.86889,-0.86559,-0.8695,141.20492,-1.66117,2.38726,131.43514,1.73895,6.81897,131.23223,4.72573,18.69245,110.04392,3.3268,30.61978,92.35613,9.7918,-5.8028,131.5389,-3.92931,-10.83996,131.31934,-5.71296,-16.73889,107.77683,-7.40071,-20.37012,100.04349,13.18862,4.34828,91.68312,1.76771,-2.31197,53.40609,5.99181,10.0896,14.87851,-0.46024,6.73367,5.77455,6.17446,-3.95073,91.81564,-8.15819,-1.78957,53.0003,-4.15416,7.4447,13.09338,-5.55754,-0.10714,5.60246,-0.55561
0.33333,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.59529,109.5138,-1.57572,-2.17456,118.46836,-0.96955,-2.12781,134.84454,-0.78351,-1.15325,141.17521,-1.59719,2.08719,131.41952,1.8264,6.50548,131.22875,4.83379,18.65952,110.19601,3.49812,30.8042,92.68324,10.03457,-6.08455,131.50785,-3.86851,-11.11708,131.28543,-5.66481,-17.14063,107.80017,-7.67849,-19.79595,101.62777,13.5762,4.35404,91.71997,1.77962,-2.09021,53.38199,5.78004,10.02332,14.7343,-0.49866,6.62615,5.64903,6.14067,-3.90949,91.78393,-8.17652,-1.64113,52.95643,-4.35371,7.30609,12.9785,-5.58478,-0.24598,5.48771,-0.58299
0.36667,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.7589,109.49421,-1.5542,-2.40969,118.44263,-0.93028,-2.40974,134.81836,-0.70321,-1.41157,141.14245,-1.53912,1.8067,131.39869,1.91139,6.21119,131.21844,4.9396,18.64904,110.34795,3.67334,31.01378,93.01559,10.27771,-6.34735,131.47829,-3.80895,-11.37374,131.25439,-5.62216,-17.59066,107.84585,-7.92118,-19.2203,103.34047,13.84937,4.36309,91.75658,1.7881,-1.87677,53.36413,5.58499,9.93835,14.60012,-0.54341,6.51376,5.5275,6.09912,-3.87295,91.75278,-8.19099,-1.49218,52.91695,-4.52437,7.17356,12.87308,-5.61809,-0.38109,5.3822,-0.62032
0.4,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.91122,109.47459,-1.53647,-2.62959,118.41673,-0.89679,-2.67873,134.79179,-0.6308,-1.65688,141.10927,-1.48784,1.53958,131.37833,1.98889,5.93057,131.20672,5.03713,18.65198,110.50132,3.88253,31.20445,93.29567,10.46407,-6.59671,131.44755,-3.75682,-11.6184,131.21674,-5.58216,-18.0561,107.89082,-8.10265,-18.69636,105.07788,14.00138,4.37109,91.79132,1.7964,-1.65235,53.34605,5.40353,9.86703,14.4729,-0.59525,6.40659,5.41132,6.04378,-3.8385,91.7235,-8.20423,-1.33305,52.8786,-4.72134,7.04415,12.76982,-5.67581,-0.51018,5.27891,-0.67761
0.43333,0.0,0.0,0.0,0.0,93.9241,-3.0,-2.03633,109.4573,-1.52171,-2.81097,118.39379,-0.8688,-2.90318,134.76807,-0.56825,-1.86161,141.07973,-1.44419,1.31735,131.35996,2.05482,5.69381,131.20142,5.12461,18.6713,110.65081,4.05783,31.42325,93.59684,10.65064,-6.80461,131.42036,-3.71122,-11.82096,131.1902,-5.55127,-18.52039,107.9512,-8.18985,-18.23843,106.75643,14.06783,4.38043,91.82041,1.80073,-1.4161,53.32613,5.25378,9.81404,14.35073,-0.62882,6.30216,5.30551,6.00551,-3.81297,91.69923,-8.21267,-1.2197,52.8454,-4.89781,6.91749,12.68421,-5.71522,-0.63669,5.1933,-0.7168
