time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.04083,93.9915,0.06395,0.00021,109.72702,0.00024,-0.196,118.65914,-1.03215,-0.30012,134.92739,-2.91608,-0.28782,141.33997,-3.6697,4.66442,131.67335,-1.88016,9.93541,131.15116,-1.1412,15.35073,107.43341,-1.29483,23.25765,87.54873,4.9498,-5.13456,131.4062,-3.64815,-10.23008,130.35394,-4.88546,-13.60167,106.48448,-8.16825,-21.60758,86.35705,-2.90491,6.31372,91.82172,1.67748,5.87221,52.75565,2.66714,5.73686,11.77696,1.9378,5.97395,4.3003,11.0046,-6.22075,91.77634,-1.53182,-3.24166,52.82692,-2.71516,-0.16792,12.21388,-7.29076,-5.51521,4.73726,0.03523
0.03333,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.02895,109.72703,0.0859,-0.23959,118.66714,-0.87181,-0.40275,134.95482,-2.57498,-0.39978,141.3633,-3.36275,4.57524,131.70621,-1.58768,9.84672,131.18965,-0.84826,15.16457,107.44979,-0.70525,23.02849,87.7815,6.23973,-5.22727,131.42572,-3.3339,-10.32383,130.36388,-4.55868,-13.80851,106.45958,-7.44604,-21.59944,86.38834,-1.67044,6.32513,91.82467,1.63653,5.88339,52.75715,2.56736,5.72448,11.77978,1.77215,5.96135,4.29202,10.8298,-6.22403,91.77339,-1.51474,-3.24163,52.82712,-2.78991,-0.17409,12.2245,-7.46115,-5.52129,4.74786,-0.13511
0.06667,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.05544,109.72656,0.16751,-0.27446,118.67445,-0.71253,-0.49015,134.98095,-2.21842,-0.49772,141.38552,-3.0373,4.49919,131.73607,-1.27724,9.76995,131.22451,-0.52927,14.79657,107.42184,-0.31279,22.60358,88.1961,7.83196,-5.30484,131.44636,-3.01338,-10.40201,130.37844,-4.23031,-13.88799,106.44574,-6.87023,-21.46585,86.60669,-0.09535,6.33334,91.82727,1.60703,5.89078,52.75832,2.47492,5.70955,11.78244,1.6101,5.94618,4.28149,10.65683,-6.22485,91.77091,-1.50798,-3.24434,52.82742,-2.86945,-0.18215,12.23485,-7.63061,-5.52934,4.75812,-0.30465
0.1,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.08079,109.72566,0.24737,-0.30167,118.68111,-0.55156,-0.56298,135.00491,-1.84823,-0.58235,141.40586,-2.6948,4.43535,131.76223,-0.94809,9.70423,131.25763,-0.18235,14.33584,107.37422,-0.07372,21.9442,88.84426,9.70733,-5.36766,131.46731,-2.6891,-10.46461,130.39733,-3.90511,-13.93323,106.45304,-6.46152,-21.17092,87.05817,1.80682,6.33904,91.82973,1.58707,5.89343,52.75954,2.39559,5.68989,11.7852,1.46552,5.92617,4.26988,10.50033,-6.22349,91.76871,-1.51027,-3.24998,52.82731,-2.94491,-0.19373,12.2433,-7.78236,-5.54094,4.76662,-0.45638
0.13333,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.10617,109.72421,0.33301,-0.32317,118.68689,-0.38143,-0.6258,135.02544,-1.46602,-0.65724,141.42338,-2.33469,4.37934,131.78469,-0.59732,9.64524,131.29291,0.19674,13.91515,107.34228,0.07067,21.00362,89.77909,11.82668,-5.4191,131.48627,-2.3633,-10.51404,130.41839,-3.58957,-14.09699,106.49333,-6.16824,-20.66601,87.77856,4.00604,6.34352,91.83172,1.57128,5.89287,52.76064,2.33324,5.66674,11.78762,1.35176,5.90271,4.25926,10.37571,-6.2209,91.76713,-1.51835,-3.25729,52.82706,-3.0084,-0.20865,12.24941,-7.90362,-5.55584,4.7727,-0.57764
0.16667,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.13487,109.72207,0.42508,-0.34486,118.69127,-0.20469,-0.6902,135.04108,-1.08814,-0.73331,141.43703,-1.97082,4.32108,131.80386,-0.24189,9.5837,131.33303,0.58585,13.62501,107.34746,0.095,19.72627,91.5344,14.57386,-5.47022,131.49986,-2.0461,-10.56175,130.43765,-3.2913,-14.51215,106.57587,-5.91913,-19.88148,88.78914,6.39807,6.3486,91.83455,1.55401,5.88822,52.76301,2.28531,5.63592,11.79098,1.2694,5.8717,4.25315,10.28545,-6.21798,91.76489,-1.52673,-3.26803,52.82531,-3.0563,-0.23346,12.25159,-7.99271,-5.58071,4.7749,-0.66676
0.2,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.16923,109.71939,0.513,-0.37102,118.69405,-0.03641,-0.76268,135.05134,-0.74476,-0.81623,141.44661,-1.63184,4.2551,131.82022,0.08614,9.51491,131.37595,0.9458,13.65227,107.41761,0.07339,17.95278,93.98667,17.33696,-5.52815,131.50635,-1.75959,-10.61528,130.45022,-3.02775,-15.26643,106.7129,-5.63581,-18.7642,90.08914,8.79773,6.35593,91.84038,1.53118,5.8785,52.76873,2.24575,5.59364,11.79741,1.2102,5.82923,4.25324,10.22096,-6.21574,91.7598,-1.52841,-3.28178,52.82023,-3.0885,-0.2696,12.24872,-8.05663,-5.61681,4.77201,-0.73067
0.23333,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.2067,109.71662,0.58511,-0.40178,118.69556,0.10792,-0.84308,135.05698,-0.46243,-0.90642,141.45288,-1.34425,4.18229,131.83469,0.35678,9.44047,131.41809,1.23999,14.17862,107.58506,0.04925,15.73075,96.64283,19.40832,-5.59408,131.5058,-1.52243,-10.67653,130.45215,-2.81126,-16.40824,106.9219,-5.12861,-17.23599,92.11686,11.5158,6.36598,91.84948,1.50092,5.86677,52.77803,2.21113,5.54539,11.80714,1.16906,5.78087,4.25839,10.17598,-6.21534,91.75147,-1.51824,-3.29766,52.81174,-3.10472,-0.31537,12.24138,-8.10015,-5.66266,4.76479,-0.77413
0.26667,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.2425,109.71417,0.63811,-0.43662,118.69615,0.22149,-0.931,135.05917,-0.25076,-1.00586,141.45682,-1.11893,4.10377,131.84853,0.55637,9.36194,131.4597,1.45221,15.33088,107.91282,0.11157,13.2851,99.16135,20.51113,-5.66874,131.49886,-1.33914,-10.74799,130.44423,-2.63971,-17.80135,107.22502,-4.37573,-15.27311,94.58212,13.80877,6.37794,91.86028,1.46381,5.85313,52.78929,2.18105,5.49181,11.81859,1.14447,5.72729,4.26703,10.14903,-6.21733,91.74136,-1.4959,-3.31488,52.80148,-3.10644,-0.36716,12.23164,-8.12656,-5.71436,4.75499,-0.80052
0.3,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.27412,109.71213,0.67624,-0.47654,118.69591,0.30496,-1.02701,135.0588,-0.10598,-1.11729,141.4588,-0.9551,4.01912,131.86238,0.68655,9.27876,131.50393,1.58641,17.00589,108.46609,0.39051,10.92029,101.22246,20.57493,-5.75315,131.48642,-1.20517,-10.83268,130.43179,-2.50463,-19.2515,107.62299,-3.38627,-13.11037,97.01579,15.2332,6.39042,91.87118,1.42323,5.83334,52.80094,2.1567,5.42587,11.83029,1.1353,5.66138,4.27795,10.1392,-6.22099,91.73103,-1.46595,-3.33914,52.79047,-3.09693,-0.43393,12.22013,-8.13781,-5.78123,4.74345,-0.81187
0.33333,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.30201,109.71042,0.70455,-0.52087,118.69492,0.36107,-1.12512,135.05655,-0.02346,-1.2338,141.45893,-0.85231,3.93291,131.87528,0.754,9.19475,131.55039,1.65374,18.89619,109.24627,1.11617,8.95177,102.83515,20.00853,-5.84187,131.47057,-1.1187,-10.92561,130.42111,-2.40586,-20.60134,108.09984,-2.21537,-11.04666,99.19627,15.84966,6.40199,91.88159,1.38476,5.80441,52.81233,2.13857,5.34388,11.84177,1.13674,5.57934,4.28974,10.14091,-6.2248,91.7211,-1.43537,-3.37095,52.77907,-3.08057,-0.51449,12.20704,-8.13564,-5.86174,4.73043,-0.80961
0.36667,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.32698,109.70912,0.72216,-0.56506,118.69356,0.38989,-1.2125,135.0533,-0.00471,-1.33868,141.45772,-0.8151,3.85566,131.88564,0.7623,9.11975,131.59507,1.6606,20.7468,110.23172,2.208,7.58154,104.00868,19.08595,-5.92271,131.45439,-1.08556,-11.01318,130.41574,-2.35475,-21.78587,108.64851,-0.92923,-9.28812,101.01767,15.87814,6.4116,91.89156,1.35399,5.76973,52.82332,2.12434,5.25519,11.85302,1.1383,5.49072,4.3023,10.14357,-6.22744,91.71149,-1.40951,-3.40842,52.76746,-3.06729,-0.60321,12.19342,-8.1349,-5.9504,4.71675,-0.80889
0.4,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.34896,109.70849,0.72475,-0.60643,118.69229,0.39002,-1.28708,135.04949,-0.0513,-1.42776,141.45545,-0.847,3.78908,131.89409,0.71326,9.05551,131.63827,1.60843,22.36934,111.36523,3.51278,6.81168,104.77846,18.05544,-5.99268,131.43815,-1.11058,-11.09048,130.41189,-2.36028,-22.78776,109.25815,0.39437,-7.91424,102.44862,15.53767,6.41893,91.90122,1.33326,5.73191,52.83387,2.10913,5.1658,11.86414,1.12745,5.40142,4.31681,10.13556,-6.22865,91.702,-1.3895,-3.44871,52.75582,-3.06269,-0.69364,12.1803,-8.14598,-6.04091,4.70367,-0.81998
0.43333,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.36691,109.7085,0.71352,-0.64499,118.69123,0.36657,-1.35637,135.04487,-0.15138,-1.50832,141.45161,-0.93872,3.72723,131.90234,0.61683,8.99653,131.68247,1.5046,23.61746,112.52332,4.82665,6.5026,105.13476,17.04984,-6.05775,131.42,-1.18281,-11.16269,130.40324,-2.41092,-23.54784,109.84171,1.55479,-6.96845,103.43592,15.00844,6.42434,91.91008,1.32058,5.69207,52.84344,2.09125,5.07673,11.87459,1.10274,5.31248,4.33309,10.11573,-6.22906,91.69314,-1.37369,-3.48946,52.74497,-3.06705,-0.7819,12.16886,-8.1711,-6.12907,4.69213,-0.84514
0.46667,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.37914,109.70881,0.69811,-0.68038,118.69008,0.33328,-1.42505,135.03904,-0.27751,-1.58506,141.44554,-1.0651,3.66677,131.91085,0.49472,8.93978,131.72735,1.36866,24.47229,113.59067,6.02512,6.49237,105.16809,16.15913,-6.12221,131.39917,-1.27478,-11.23455,130.38776,-2.47625,-24.07388,110.31054,2.41783,-6.41497,103.96988,14.45403,6.42821,91.91677,1.31197,5.65229,52.85079,2.07302,4.99059,11.88293,1.07294,5.22651,4.34927,10.09247,-6.22952,91.68636,-1.36079,-3.53005,52.73631,-3.07502,-0.86833,12.15989,-8.20065,-6.2155,4.68318,-0.87466
