time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,2.11593,109.48863,-3.93841,2.85959,118.45144,-3.89238,2.61283,134.66666,-1.60732,2.31468,141.115,-1.4684,7.464,131.20062,-0.73484,12.31943,130.77172,1.46583,17.03958,106.93608,0.25614,19.67856,85.1183,3.98919,-1.98264,131.5003,-3.87941,-7.27489,131.10833,-4.54342,-13.38568,108.4449,-10.94051,-19.43239,87.12013,-8.57357,5.55946,91.12115,-0.18994,4.27005,54.05274,12.12279,8.51756,14.67821,1.56781,7.60856,7.1682,10.56431,-6.1491,92.38976,-5.54856,-6.22724,54.23358,2.9033,2.66097,14.59548,-2.53944,-2.84808,7.10455,4.65082
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,2.13567,109.48702,-3.92021,2.88727,118.44922,-3.88604,2.64339,134.67796,-1.69868,2.33914,141.12611,-1.5646,7.47125,131.20556,-0.72769,12.29848,130.7903,1.5367,17.07161,106.95987,0.43738,19.65745,85.14354,4.21582,-1.92242,131.50936,-4.02675,-7.20378,131.12662,-4.77724,-13.40694,108.43446,-10.98065,-19.60497,87.26315,-7.77583,5.50056,91.12557,-0.07208,3.98903,54.07233,12.261,9.24028,14.57257,2.66953,7.57316,7.08171,11.57298,-6.09569,92.38579,-5.67149,-6.07389,54.23469,2.80359,2.83601,14.57265,-2.42511,-2.67636,7.08173,4.76263
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,2.11312,109.49194,-3.88846,2.86249,118.45436,-3.86298,2.65093,134.69838,-1.78865,2.35126,141.14716,-1.67582,7.45204,131.21477,-0.72923,12.25547,130.79009,1.5835,17.03494,106.95566,0.60509,19.53178,85.15884,4.55226,-1.89515,131.53101,-4.15666,-7.16608,131.15205,-4.97891,-13.45521,108.44033,-11.02211,-19.75355,87.43538,-7.01786,5.46015,91.1389,0.01498,3.77859,54.01683,12.1169,9.37394,14.55265,2.57366,7.61677,7.06179,11.45978,-6.049,92.37108,-5.76739,-6.02538,54.21702,2.69432,2.92741,14.55244,-2.44106,-2.59302,7.06157,4.74054
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,2.05695,109.49967,-3.88483,2.79763,118.46283,-3.87243,2.65237,134.71809,-1.88207,2.371,141.16807,-1.79373,7.42648,131.21546,-0.76489,12.21026,130.76514,1.58344,16.93659,106.91468,0.74776,19.31917,85.15125,4.94204,-1.89002,131.56194,-4.27202,-7.15364,131.19592,-5.14546,-13.48119,108.46086,-11.05939,-19.84014,87.61018,-6.39847,5.44969,91.16298,0.05576,3.74737,53.98182,11.97199,9.3711,14.49325,2.54708,7.65846,7.00236,11.44186,-6.02289,92.34486,-5.80919,-5.95333,54.17472,2.57949,2.96902,14.49325,-2.47774,-2.55573,7.00241,4.70055
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,1.97157,109.51163,-3.86845,2.69731,118.47601,-3.85461,2.64318,134.73619,-1.90019,2.38379,141.18726,-1.82558,7.39421,131.20808,-0.76496,12.16665,130.73986,1.60287,16.78899,106.86268,0.97447,19.01558,85.13818,5.44704,-1.91249,131.60147,-4.29308,-7.17515,131.26907,-5.1855,-13.4831,108.50117,-10.99307,-19.83827,87.76195,-5.85423,5.47035,91.18833,0.04162,3.93716,53.97108,11.86776,9.41532,14.43372,2.56237,7.71361,6.94284,11.45925,-6.01976,92.31617,-5.79961,-5.83527,54.13395,2.53213,3.03655,14.43372,-2.46647,-2.49196,6.94292,4.70897
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.92656,109.51518,-3.90485,2.65146,118.47965,-3.90597,2.68431,134.74141,-1.9643,2.44127,141.19311,-1.88925,7.4233,131.19133,-0.84735,12.19761,130.72538,1.51714,16.68049,106.81572,1.18111,18.70682,85.1435,5.98988,-1.89698,131.62683,-4.33446,-7.16469,131.33315,-5.21055,-13.42683,108.54258,-10.97864,-19.70397,87.87198,-5.48002,5.50152,91.20562,0.00062,4.19804,53.98268,11.83642,9.47284,14.41022,2.56281,7.78647,6.91934,11.46261,-6.03839,92.29789,-5.74847,-5.76145,54.10771,2.54413,3.10739,14.41036,-2.48248,-2.41766,6.91941,4.69548
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,1.91973,109.50989,-4.00502,2.65517,118.47341,-4.0441,2.76038,134.73512,-2.10459,2.53622,141.18744,-2.02381,7.49598,131.1687,-1.02604,12.28173,130.69786,1.31426,16.6051,106.75649,1.30822,18.4137,85.16255,6.53757,-1.85094,131.63628,-4.43685,-7.12682,131.35918,-5.26801,-13.39835,108.56109,-10.99605,-19.5008,87.89169,-5.29981,5.53196,91.21984,-0.0428,4.56861,54.00491,11.85061,9.57311,14.41877,2.48602,7.89895,6.92794,11.38817,-6.06692,92.28515,-5.67713,-5.69787,54.09328,2.6041,3.1848,14.41878,-2.57623,-2.33585,6.92793,4.60521
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,1.94483,109.49982,-4.10766,2.69884,118.46152,-4.18786,2.85424,134.7242,-2.25984,2.64254,141.17681,-2.16905,7.59485,131.14991,-1.23045,12.40047,130.67351,1.06762,16.55336,106.70426,1.39845,18.11847,85.21848,7.12794,-1.78764,131.63224,-4.54002,-7.0733,131.34989,-5.30461,-13.39964,108.55169,-10.97162,-19.23997,87.8126,-5.25398,5.5611,91.22119,-0.09671,4.93084,54.03775,11.9169,9.6384,14.46074,2.3617,7.98646,6.96986,11.26795,-6.10306,92.2866,-5.59462,-5.65498,54.09647,2.69073,3.27372,14.46076,-2.703,-2.24483,6.96995,4.4801
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.98216,109.48796,-4.20395,2.75805,118.44732,-4.32657,2.95494,134.7132,-2.42963,2.74717,141.16588,-2.33525,7.70394,131.13545,-1.45222,12.53335,130.65959,0.79553,16.51832,106.66764,1.41801,17.83709,85.32218,7.70671,-1.71801,131.62239,-4.64705,-7.01415,131.33274,-5.33227,-13.43046,108.52312,-10.8502,-18.97175,87.65536,-5.30568,5.59114,91.21497,-0.16092,5.11894,54.05903,11.94468,9.74273,14.51439,2.21611,8.08968,7.02351,11.12215,-6.1435,92.29613,-5.50358,-5.63674,54.10226,2.76115,3.37125,14.51446,-2.84818,-2.14982,7.02354,4.33287
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,2.01028,109.47684,-4.29737,2.80556,118.43383,-4.46209,3.04981,134.70317,-2.60065,2.84252,141.15588,-2.50689,7.80858,131.12161,-1.68678,12.66597,130.64903,0.50056,16.47555,106.63604,1.36329,17.56061,85.46024,8.24251,-1.65921,131.61364,-4.74226,-6.96586,131.31493,-5.33625,-13.45061,108.47337,-10.6378,-18.74707,87.45235,-5.44406,5.62706,91.20883,-0.23883,5.11258,54.07031,11.91839,9.82518,14.56826,2.06025,8.17286,7.0774,10.96645,-6.18726,92.30536,-5.39964,-5.61019,54.10706,2.83994,3.45054,14.56825,-3.02422,-2.06895,7.07746,4.15818
