time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,2.72884,109.41841,-2.69659,4.20879,118.2895,-2.66948,6.55259,134.49208,-3.11524,6.836,140.90109,-3.84569,10.46731,130.57139,-0.74634,15.08678,129.75463,1.82183,23.02903,106.85247,-0.24999,33.153,89.24049,8.92818,1.90794,131.67301,-5.72035,-3.1375,131.8061,-7.48904,-14.12291,110.39795,-11.08169,-27.57758,92.64126,-10.31833,4.25473,90.86236,1.37991,-6.59221,54.13755,9.18791,10.86955,18.05395,0.65187,7.39123,9.17829,7.52846,-5.01516,92.66812,-7.46446,-6.39056,54.50932,0.86311,8.12134,16.18696,0.08599,-0.54946,8.69613,2.70671
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,2.7267,109.41848,-2.68125,4.21506,118.28813,-2.64598,6.60964,134.48352,-3.0834,6.90946,140.89098,-3.82082,10.50519,130.55073,-0.70297,15.11057,129.71753,1.88515,22.9799,106.77439,-0.00338,32.89523,89.05157,9.18919,1.96431,131.67881,-5.70277,-3.07569,131.82456,-7.48591,-14.09854,110.45476,-11.19048,-27.89764,92.97622,-10.19208,4.25152,90.85917,1.3808,-6.54713,54.12115,9.19359,10.97608,18.0819,0.59638,7.51913,9.19976,7.47538,-5.01136,92.67129,-7.46962,-6.33962,54.49823,0.80002,8.2504,16.20561,0.01923,-0.41951,8.71469,2.64267
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,2.7084,109.42135,-2.66536,4.19798,118.29076,-2.62091,6.6369,134.47984,-3.04656,6.95592,140.88592,-3.78789,10.51501,130.53602,-0.65593,15.10917,129.69214,1.9486,22.93027,106.72167,0.19683,32.68197,88.92834,9.42815,1.9918,131.68826,-5.68031,-3.04256,131.84864,-7.47809,-14.10698,110.51158,-11.24687,-28.26571,93.33933,-9.99979,4.24619,90.86106,1.38728,-6.47764,54.09972,9.19347,11.08417,18.09138,0.54561,7.62457,9.20403,7.41654,-5.00093,92.6686,-7.48054,-6.26627,54.49073,0.77679,8.34772,16.20808,-0.04361,-0.32246,8.71717,2.57897
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,2.68899,109.42426,-2.64405,4.17315,118.2945,-2.58691,6.62374,134.4824,-2.98991,6.96638,140.88761,-3.72819,10.49038,130.53416,-0.58802,15.07372,129.68525,2.0339,22.87585,106.69988,0.39678,32.48795,88.8381,9.6423,1.98683,131.69591,-5.64341,-3.04213,131.86317,-7.45563,-14.16581,110.5599,-11.24107,-28.67976,93.70995,-9.71285,4.23867,90.86204,1.39523,-6.37893,54.06019,9.15558,11.20654,18.06042,0.52016,7.72149,9.16963,7.37377,-4.988,92.66681,-7.49442,-6.19487,54.47732,0.71777,8.43772,16.20168,-0.09826,-0.23226,8.71083,2.52512
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,2.64873,109.43041,-2.61143,4.11731,118.30312,-2.53803,6.56548,134.49182,-2.92314,6.92774,140.89608,-3.66034,10.42375,130.54328,-0.50833,14.99526,129.69635,2.13478,22.81361,106.70946,0.59954,32.31842,88.77067,9.80682,1.93956,131.70559,-5.59603,-3.08427,131.87223,-7.42245,-14.26258,110.5953,-11.1951,-29.14837,94.10946,-9.31322,4.22897,90.86636,1.40757,-6.28738,54.02451,9.11581,11.31577,18.02139,0.53054,7.78901,9.12544,7.35606,-4.96708,92.66077,-7.51585,-6.1442,54.46706,0.68102,8.47611,16.1867,-0.13321,-0.19332,8.6958,2.49185
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,2.6049,109.43698,-2.57879,4.05436,118.3127,-2.49043,6.48721,134.50397,-2.86429,6.86935,140.90734,-3.59918,10.34085,130.55903,-0.43622,14.9014,129.71855,2.22781,22.7727,106.74247,0.80546,32.16122,88.67279,9.87508,1.87381,131.71339,-5.55421,-3.14573,131.87134,-7.39316,-14.36245,110.60958,-11.13728,-29.63589,94.53709,-8.83334,4.2182,90.87176,1.42161,-6.21169,53.99659,9.08786,11.37664,17.97788,0.53762,7.81898,9.077,7.34063,-4.94409,92.65354,-7.53898,-6.08055,54.45692,0.65006,8.49425,16.15923,-0.16568,-0.17562,8.66842,2.45818
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,2.55842,109.44363,-2.54069,3.9855,118.32279,-2.4351,6.39138,134.51839,-2.79561,6.79107,140.92095,-3.52822,10.24077,130.57994,-0.35034,14.7877,129.75393,2.34137,22.75218,106.80565,0.9907,32.07444,88.61689,9.88901,1.79536,131.72003,-5.50712,-3.21826,131.8657,-7.36315,-14.48127,110.6171,-11.04236,-30.1124,94.96421,-8.29171,4.2108,90.87577,1.43142,-6.15821,53.97625,9.06303,11.40499,17.93891,0.53972,7.83368,9.03628,7.33328,-4.92374,92.64768,-7.55941,-6.02641,54.44849,0.62229,8.49886,16.13141,-0.16571,-0.1714,8.64065,2.45702
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,2.50317,109.45158,-2.50619,3.90252,118.33493,-2.38393,6.27081,134.53646,-2.72692,6.68821,140.93927,-3.44738,10.11942,130.60615,-0.26736,14.65386,129.79796,2.45068,22.74558,106.88963,1.18037,32.00974,88.55846,9.84403,1.69294,131.7283,-5.45893,-3.31424,131.86232,-7.33314,-14.6464,110.63389,-10.91519,-30.60176,95.40193,-7.70199,4.20741,90.88276,1.43944,-6.12172,53.96457,9.03474,11.42237,17.90607,0.56173,7.82558,8.99874,7.33567,-4.90495,92.63847,-7.57705,-5.99542,54.44216,0.61968,8.4883,16.10918,-0.15997,-0.18255,8.61824,2.46024
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,2.44444,109.45917,-2.45366,3.81512,118.34667,-2.3095,6.14568,134.55385,-2.644,6.58945,140.95666,-3.34845,9.9949,130.63277,-0.17068,14.52221,129.84891,2.5663,22.77344,106.99049,1.43032,31.97299,88.48431,9.78528,1.58439,131.73472,-5.39239,-3.41674,131.85306,-7.28374,-14.8441,110.652,-10.72265,-31.10263,95.84535,-7.07109,4.20273,90.88566,1.44584,-6.08827,53.94672,8.99187,11.42464,17.85867,0.58035,7.81596,8.9514,7.34804,-4.88391,92.63346,-7.59809,-5.93257,54.43533,0.59562,8.47534,16.07301,-0.14452,-0.19501,8.58212,2.47753
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,2.36892,109.46891,-2.40055,3.7056,118.36129,-2.23905,6.00193,134.57293,-2.59302,6.47182,140.9751,-3.28631,9.84855,130.66495,-0.09508,14.36711,129.90368,2.66267,22.81804,107.11369,1.62393,32.03288,88.49522,9.70816,1.45934,131.73867,-5.35678,-3.53167,131.84237,-7.27552,-15.09328,110.68543,-10.53255,-31.62716,96.31792,-6.39537,4.19802,90.89314,1.45539,-6.04962,53.92645,8.92415,11.43548,17.80518,0.59779,7.79918,8.89666,7.34904,-4.85816,92.62327,-7.62243,-5.88391,54.4247,0.57214,8.44036,16.03063,-0.1446,-0.23046,8.53974,2.4759
0.33333,0.0,0.0,0.0,0.0,93.9241,-3.0,2.27152,109.48071,-2.33337,3.56467,118.37908,-2.14948,5.81906,134.59612,-2.52551,6.31925,140.99691,-3.21029,9.66227,130.70394,0.00218,14.16959,129.96174,2.78341,22.86331,107.25897,1.84293,32.14705,88.55592,9.64827,1.29961,131.74363,-5.30839,-3.68304,131.83252,-7.24947,-15.35015,110.71117,-10.35791,-32.21778,96.91515,-5.66069,4.18927,90.90311,1.47038,-6.02793,53.91152,8.85705,11.39173,17.73813,0.62027,7.74542,8.83135,7.36838,-4.82227,92.61,-7.65614,-5.85943,54.40685,0.51561,8.38051,15.9802,-0.13234,-0.29003,8.48927,2.48898
0.36667,0.0,0.0,0.0,0.0,93.9241,-3.0,2.16099,109.49363,-2.27058,3.40304,118.39882,-2.06526,5.6015,134.62309,-2.45961,6.14272,141.0215,-3.13539,9.4431,130.74973,0.09923,13.93852,130.02898,2.90526,22.90028,107.42727,2.05057,32.31353,88.69052,9.61629,1.10943,131.74891,-5.26441,-3.86611,131.81729,-7.22447,-15.62445,110.73111,-10.22611,-32.85319,97.61617,-4.92707,4.17643,90.91808,1.49242,-6.01007,53.90149,8.79583,11.31767,17.6673,0.63273,7.67182,8.76308,7.38448,-4.77863,92.59144,-7.69569,-5.81919,54.3803,0.43821,8.30704,15.91006,-0.10314,-0.36348,8.41912,2.51822
0.4,0.0,0.0,0.0,0.0,93.9241,-3.0,2.03111,109.50811,-2.20914,3.21455,118.42068,-1.97971,5.35765,134.65232,-2.37621,5.94387,141.04815,-3.03867,9.19731,130.79506,0.20974,13.683,130.09929,3.03756,22.92126,107.60764,2.22448,32.56227,88.94008,9.67356,0.89304,131.75952,-5.20561,-4.07204,131.81224,-7.19247,-15.92226,110.76661,-10.11641,-33.52658,98.46252,-4.14916,4.16363,90.93835,1.51775,-5.98398,53.89271,8.72739,11.22762,17.58158,0.66106,7.5807,8.67653,7.41115,-4.72963,92.56713,-7.73814,-5.78231,54.34593,0.34678,8.20962,15.82519,-0.07953,-0.46126,8.33429,2.54071
