time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.04083,93.9915,0.06395,0.00021,109.72702,0.00024,-0.12343,118.65601,-1.0698,-0.22759,134.92425,-2.95376,-0.21524,141.33686,-3.7071,4.73324,131.67336,-1.89056,10.00041,131.15452,-1.12255,15.40014,107.43337,-1.29782,23.26262,87.53273,4.95206,-5.05565,131.39999,-3.71261,-10.14359,130.34451,-4.97805,-13.6249,106.47858,-8.17075,-21.78825,86.42353,-2.87302,6.31372,91.82172,1.67748,5.87221,52.75565,2.66714,5.73686,11.77696,1.9378,5.97395,4.3003,11.0046,-6.22075,91.77634,-1.53182,-3.25603,52.87463,-3.81216,-0.16345,12.15479,-7.29552,-5.51074,4.67814,0.03044
0.03333,0.0,0.0,0.0,0.04083,93.9915,0.06395,0.00628,109.72707,0.01022,-0.11672,118.65774,-1.04579,-0.21951,134.93096,-2.8864,-0.22221,141.34528,-3.6251,4.74257,131.67559,-1.84289,10.01162,131.15599,-1.08841,15.40622,107.43386,-1.28763,23.26359,87.52414,4.93975,-5.05046,131.41034,-3.6438,-10.14308,130.35983,-4.89447,-13.87969,106.53143,-8.0789,-22.51132,86.73344,-2.56115,6.31527,91.81825,1.66678,5.8372,52.75504,2.74791,5.69257,11.77766,1.95003,5.92966,4.301,11.01684,-6.22398,91.77979,-1.5239,-3.27811,52.87515,-3.77852,-0.2073,12.1555,-7.28325,-5.55456,4.67882,0.04271
0.06667,0.0,0.0,0.0,0.04083,93.9915,0.06395,0.01281,109.72712,0.02217,-0.11456,118.65997,-1.01473,-0.22363,134.93925,-2.80051,-0.25201,141.35546,-3.52206,4.74165,131.68074,-1.78233,10.01321,131.16243,-1.04476,15.41721,107.4427,-1.27222,23.27945,87.5255,4.92503,-5.05656,131.42087,-3.55566,-10.15479,130.37635,-4.78838,-14.18632,106.59422,-7.95892,-23.54183,87.2287,-2.09702,6.3175,91.8144,1.65276,5.79227,52.75501,2.8445,5.63198,11.7793,1.96754,5.86904,4.30264,11.03434,-6.22803,91.78363,-1.51321,-3.3073,52.87227,-3.68297,-0.26757,12.15703,-7.26515,-5.61483,4.6804,0.06086
0.1,0.0,0.0,0.0,0.04083,93.9915,0.06395,0.01911,109.72716,0.035,-0.11826,118.66253,-0.97858,-0.24355,134.94859,-2.70034,-0.30966,141.36678,-3.40159,4.72718,131.6893,-1.71169,10.00179,131.17495,-0.99338,15.43064,107.46122,-1.2524,23.30827,87.53885,4.90857,-5.07681,131.4301,-3.45291,-10.18082,130.39083,-4.66595,-14.5309,106.65886,-7.79098,-24.89105,87.96943,-1.44404,6.32059,91.81057,1.6352,5.74179,52.75536,2.93437,5.5547,11.78129,1.98905,5.79183,4.30464,11.05586,-6.23288,91.78745,-1.49923,-3.34442,52.86717,-3.54893,-0.34589,12.15897,-7.24411,-5.69317,4.68233,0.08187
0.13333,0.0,0.0,0.0,0.04083,93.9915,0.06395,0.02284,109.72718,0.05102,-0.13023,118.66533,-0.93551,-0.28746,134.95848,-2.58612,-0.40461,141.37853,-3.26324,4.69203,131.7028,-1.63016,9.97036,131.1976,-0.93299,15.43706,107.49294,-1.22509,23.3369,87.56723,4.8965,-5.11798,131.43564,-3.33592,-10.22686,130.3967,-4.52856,-14.91002,106.71329,-7.53851,-26.52246,89.00068,-0.58686,6.32469,91.80747,1.61437,5.6886,52.75608,2.99881,5.45899,11.78308,2.01745,5.69613,4.30643,11.08426,-6.23802,91.79054,-1.48286,-3.38865,52.85958,-3.37865,-0.44149,12.16071,-7.21515,-5.78875,4.6841,0.11089
0.16667,0.0,0.0,0.0,0.04083,93.9915,0.06395,0.02225,109.72719,0.07339,-0.15116,118.66823,-0.88307,-0.36051,134.96829,-2.45788,-0.54267,141.38966,-3.10754,4.63174,131.72234,-1.53604,9.91453,131.23457,-0.86051,15.42804,107.54121,-1.18685,23.35014,87.61215,4.89495,-5.18395,131.43529,-3.20541,-10.29556,130.38788,-4.37882,-15.33549,106.74871,-7.15088,-28.39873,90.3663,0.45695,6.32982,91.80553,1.59065,5.63445,52.75702,3.02684,5.3452,11.78418,2.05442,5.5823,4.30752,11.12122,-6.24298,91.79249,-1.46537,-3.43945,52.84997,-3.18385,-0.55406,12.1618,-7.17761,-5.90125,4.68519,0.14847
0.2,0.0,0.0,0.0,0.04083,93.9915,0.06395,0.01742,109.72714,0.09944,-0.18067,118.67093,-0.82607,-0.46403,134.97701,-2.32518,-0.72557,141.39856,-2.94534,4.54521,131.74781,-1.43729,9.8332,131.28827,-0.78305,15.40331,107.60861,-1.14184,23.3465,87.67694,4.90379,-5.27553,131.4273,-3.07054,-10.3872,130.36103,-4.22655,-15.82343,106.76486,-6.58521,-30.48183,92.12047,1.63577,6.33585,91.80499,1.5648,5.57991,52.75812,3.01483,5.21541,11.78472,2.09221,5.45251,4.30807,11.15901,-6.24767,91.79304,-1.44678,-3.49716,52.83883,-2.97546,-0.68441,12.1627,-7.14006,-6.03165,4.68611,0.18601
0.23333,0.0,0.0,0.0,0.04083,93.9915,0.06395,0.00954,109.72706,0.12324,-0.21831,118.67317,-0.77243,-0.59556,134.98368,-2.20103,-0.95023,141.4037,-2.78998,4.43443,131.77797,-1.34591,9.72814,131.35683,-0.71244,15.36888,107.69433,-1.09828,23.33638,87.76346,4.91792,-5.3906,131.41112,-2.94323,-10.49992,130.31666,-4.0832,-16.37935,106.77348,-5.82859,-32.66794,94.29333,2.87994,6.34247,91.80598,1.53819,5.52559,52.75913,2.95552,5.07068,11.78476,2.12067,5.30783,4.30812,11.18749,-6.2521,91.79207,-1.42681,-3.56179,52.82739,-2.78632,-0.8303,12.16257,-7.11231,-6.17759,4.68596,0.21369
0.26667,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.00011,109.72695,0.14308,-0.26587,118.67504,-0.72189,-0.75614,134.98871,-2.07826,-1.21767,141.40519,-2.63059,4.29817,131.81262,-1.25665,9.59782,131.43722,-0.6444,15.33123,107.7973,-1.04763,23.33426,87.87489,4.94942,-5.53042,131.38779,-2.81727,-10.63542,130.25828,-3.9423,-16.84849,106.75677,-4.9283,-34.84731,97.52012,4.43321,6.34938,91.80812,1.5116,5.47144,52.75985,2.85106,4.9104,11.78424,2.15263,5.14757,4.3076,11.21945,-6.25631,91.78996,-1.40575,-3.63213,52.81511,-2.59209,-0.98962,12.16206,-7.08089,-6.33682,4.68534,0.24507
0.3,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.01174,109.7268,0.16243,-0.32577,118.67631,-0.6712,-0.94674,134.99154,-1.95318,-1.52823,141.40173,-2.46363,4.13515,131.8508,-1.16663,9.44063,131.52541,-0.57665,15.28983,107.91444,-1.01218,23.34914,88.00474,4.95159,-5.69633,131.35733,-2.68834,-10.79575,130.18881,-3.79871,-17.40728,106.77554,-3.84321,-36.68575,101.07882,5.79001,6.35663,91.81118,1.48432,5.42046,52.75957,2.67925,4.73364,11.78286,2.1885,4.97069,4.30619,11.25529,-6.26032,91.78694,-1.38386,-3.70943,52.80242,-2.39982,-1.16491,12.1605,-7.04339,-6.5121,4.68388,0.28268
