time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,0.73928,109.71885,-452.10224,0.84977,118.69478,-451.54756,1.65396,134.81624,-448.77851,1.57512,141.21994,-447.95655,6.46425,131.21156,-449.19802,11.70359,132.22411,-449.55308,35.59834,136.13207,-447.17617,28.081,146.24758,-428.78918,-3.44586,131.84051,-449.97989,-8.64021,132.99471,-450.51747,-31.99229,139.80019,-451.02886,-25.38856,148.95917,-431.80869,7.31919,91.83276,-451.84573,14.38636,54.62504,-442.20347,18.58507,15.86182,-454.83623,19.3631,7.18828,-446.94143,-5.59512,91.75048,-452.63847,-10.95972,53.85291,-444.74363,-9.65,13.98617,-454.16332,-12.49287,6.36744,-445.67588
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.86523,109.71664,-451.91546,1.01147,118.68156,-451.21113,1.74491,134.7281,-448.0195,1.73914,141.10158,-446.98611,6.57149,131.15951,-448.54667,11.81795,132.14313,-448.87711,35.86727,134.81806,-446.35609,28.37523,150.35499,-432.23559,-3.34368,131.75999,-449.28564,-8.57259,132.797,-449.71646,-32.37955,137.69627,-450.77531,-26.92539,152.90373,-435.4164,7.30386,91.77738,-451.90761,13.81147,54.55516,-441.93317,18.25202,15.8804,-454.753,19.20096,7.59987,-446.46471,-5.61488,91.80648,-452.62865,-11.76348,54.43579,-442.98707,-9.92399,14.86432,-453.49982,-12.71303,7.22764,-445.01065
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.8439,109.70508,-451.54691,0.97784,118.65777,-450.69917,1.69156,134.70147,-447.48887,1.72098,141.05164,-446.32107,6.52405,131.14919,-448.0693,11.78419,132.05334,-448.40926,35.48929,132.77835,-442.98495,29.1462,153.58243,-438.0992,-3.39977,131.71911,-448.70969,-8.66301,132.5983,-449.06716,-32.7614,135.859,-448.33843,-29.80758,156.59051,-440.69708,7.31033,91.78228,-452.02813,13.62805,54.4899,-442.19465,17.94138,15.72979,-454.7983,18.93525,7.91207,-446.07711,-5.6154,91.80481,-452.61083,-12.40366,54.87032,-441.78969,-10.18981,15.47917,-452.89103,-12.9487,7.83874,-444.39539
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,0.66714,109.6948,-451.3586,0.77265,118.63973,-450.42891,1.68932,134.66044,-447.15594,1.78115,140.98578,-445.86333,6.47703,131.05379,-447.77119,11.76221,131.84896,-447.96258,33.95794,132.01833,-438.00257,31.26971,153.82717,-441.75267,-3.44193,131.74348,-448.36759,-8.70116,132.67932,-448.62692,-32.54602,135.35176,-444.60496,-34.468,157.55326,-444.04771,7.33824,91.85819,-452.14923,13.78648,54.6437,-442.10759,17.91999,15.67148,-454.10273,18.87917,7.82565,-445.40294,-5.59406,91.73176,-452.54221,-12.64086,55.19292,-440.6011,-10.4646,15.80187,-451.71019,-13.09023,7.7297,-443.5794
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.72541,109.69784,-451.4048,0.86228,118.64254,-450.47705,1.81277,134.64275,-447.11464,1.96545,140.94083,-445.70037,6.59296,131.03042,-447.75451,11.88346,131.81273,-447.78043,32.13635,131.32422,-434.30962,33.61361,152.39252,-441.44125,-3.32518,131.74256,-448.33811,-8.57863,132.7283,-448.5171,-31.51268,135.70862,-440.96445,-36.94926,156.95288,-444.96893,7.33271,91.84026,-452.25553,14.32529,54.55305,-442.86936,18.07086,15.1924,-453.66348,19.02026,7.27378,-445.0288,-5.60476,91.74884,-452.42303,-12.82598,55.54242,-439.60573,-10.84856,16.11466,-450.62137,-13.15678,7.45593,-443.01466
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.81886,109.70332,-451.50772,0.96071,118.65167,-450.61666,1.74364,134.65913,-447.24556,1.86356,140.95039,-445.79818,6.56051,131.09019,-447.85298,11.83079,131.99516,-447.76794,31.86511,129.34272,-434.22278,32.78043,151.61051,-434.69492,-3.35939,131.71295,-448.5048,-8.61562,132.68394,-448.68296,-30.99143,134.67399,-439.34176,-34.99099,156.58652,-440.21105,7.31915,91.79962,-452.19831,14.24727,54.26059,-443.82245,18.10341,14.62439,-453.5129,19.05908,6.64591,-444.93421,-5.61725,91.78796,-452.45157,-12.78914,55.72794,-439.20118,-11.61185,16.21745,-450.03345,-13.43619,7.21168,-442.70328
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.78996,109.70589,-451.56826,0.87274,118.65278,-450.65539,1.39901,134.61948,-447.04934,1.3736,140.93184,-445.6919,6.27136,131.12907,-447.6705,11.51498,132.18088,-447.658,32.98023,129.66313,-436.4873,29.31857,149.23909,-426.47285,-3.65131,131.61896,-448.39015,-8.90489,132.59126,-448.62897,-31.51988,134.56362,-439.87869,-30.05717,155.78841,-433.22439,7.32028,91.80727,-452.08557,14.06411,54.16795,-444.01495,18.15234,14.46129,-453.31391,19.10497,6.42267,-444.79119,-5.61032,91.77959,-452.54744,-12.28797,55.51164,-439.60995,-12.2639,15.87422,-450.03477,-14.08286,7.22233,-442.28881
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.65587,109.70656,-451.61103,0.62145,118.65113,-450.67269,0.78694,134.57435,-446.84651,0.61251,140.90102,-445.56896,5.73702,131.20491,-447.51894,10.95611,132.35853,-447.69852,33.58417,134.01163,-438.91677,25.11652,143.75372,-420.74244,-4.19491,131.47822,-448.22552,-9.43257,132.49869,-448.5834,-32.23093,137.24385,-441.53971,-24.93374,152.78054,-427.31744,7.33889,91.86326,-452.08784,14.23601,54.37518,-443.46196,18.3135,14.77237,-453.19823,19.28819,6.72443,-444.68681,-5.59157,91.72341,-452.53325,-11.82757,55.06481,-440.50856,-12.64964,15.18822,-449.94172,-15.06435,6.90477,-441.95942
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.59123,109.70752,-451.66121,0.49789,118.64745,-450.68341,0.47685,134.49383,-446.54729,0.04649,140.78607,-445.16461,5.46712,131.21124,-447.34122,10.67218,132.40381,-447.63662,33.21102,138.19879,-440.54439,24.59342,141.09809,-420.19135,-4.47518,131.35227,-447.93092,-9.70743,132.41335,-448.24741,-31.78065,141.14774,-442.9202,-22.118,149.75755,-424.77039,7.34933,91.89264,-452.1423,14.72408,54.83933,-442.14239,18.61812,15.57919,-453.24555,19.58752,7.57704,-444.69047,-5.584,91.69377,-452.4648,-11.67615,54.73594,-441.31408,-12.70898,14.9417,-451.06882,-15.02913,7.39905,-442.3574
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.81212,109.70647,-451.5808,0.76952,118.63804,-450.52608,0.59848,134.41803,-446.14675,0.01799,140.6743,-444.65971,5.61961,131.22128,-447.08355,10.80716,132.46975,-447.44778,33.93798,138.37557,-442.76087,26.92558,145.44987,-422.81855,-4.33302,131.22554,-447.48651,-9.58067,132.21968,-447.76285,-31.25088,142.28797,-443.18829,-22.31061,152.05581,-425.25587,7.31832,91.79964,-452.11747,15.20077,55.41127,-440.2395,19.08056,16.58654,-452.78503,19.95915,8.49401,-444.30549,-5.61454,91.78706,-452.51205,-11.88423,55.22961,-440.20035,-12.65006,15.65674,-450.84009,-14.71831,8.16584,-442.02122
