time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.71463,108.73695,-457.62963,2.34341,117.24909,-460.46428,3.95571,132.99282,-464.67754,4.66767,139.29844,-465.86976,8.5791,129.32831,-463.45108,13.91354,129.5953,-463.72414,28.85142,148.34219,-459.56544,24.40296,169.69859,-454.97949,-1.28731,130.02381,-464.62896,-6.39217,131.1319,-465.77572,-18.25814,152.32646,-464.40287,-10.54225,172.86421,-460.45616,7.1728,91.73498,-450.9652,13.03331,54.04743,-442.44256,15.8623,15.58328,-456.31012,17.41798,8.56464,-447.01055,-5.72052,92.12189,-451.97871,-11.53115,54.516,-443.06986,-12.01976,15.65169,-456.07484,-14.50628,9.005,-446.70456
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.72965,108.7222,-457.66731,2.36898,117.2281,-460.51828,4.00721,132.96648,-464.74149,4.7153,139.26453,-465.97538,8.62411,129.29761,-463.50367,13.95863,129.56127,-463.77836,28.80525,148.36424,-459.54673,23.9439,169.6538,-455.07042,-1.23933,130.00362,-464.69996,-6.3356,131.11962,-465.87686,-17.98708,152.44028,-464.62474,-10.2974,172.99349,-460.70745,7.16981,91.73562,-450.94912,12.96646,54.03171,-442.45519,15.78724,15.60368,-456.42419,17.34892,8.6142,-447.10368,-5.72171,92.12536,-451.9843,-11.56428,54.51319,-443.12299,-12.07698,15.66402,-456.1722,-14.57975,9.0276,-446.79896
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.73861,108.71817,-457.67674,2.38509,117.22163,-460.53338,4.04373,132.95486,-464.76782,4.73819,139.24672,-466.0404,8.65542,129.28332,-463.51855,13.98996,129.54928,-463.79047,28.91607,148.27988,-459.51767,24.27019,169.66472,-455.27268,-1.20532,129.99634,-464.73291,-6.29022,131.12841,-465.94316,-17.89025,152.48349,-464.80521,-11.00225,173.37361,-461.19003,7.16772,91.73643,-450.93742,12.90927,54.02015,-442.46105,15.70018,15.62751,-456.53298,17.27679,8.66905,-447.1918,-5.72212,92.12567,-451.99337,-11.62239,54.51796,-443.15139,-12.14323,15.68835,-456.2584,-14.65639,9.06474,-446.87888
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,1.75322,108.71098,-457.69374,2.40947,117.21076,-460.55909,4.09112,132.93831,-464.80552,4.77375,139.22918,-466.08934,8.69703,129.26308,-463.54585,14.03218,129.5218,-463.81286,29.22374,148.04777,-459.5837,25.41096,169.65087,-455.62337,-1.16109,129.98535,-464.77587,-6.23601,131.13629,-466.00997,-17.99085,152.41663,-465.07912,-12.6073,173.82505,-461.9795,7.16473,91.73565,-450.92419,12.83163,53.99512,-442.50567,15.61543,15.63082,-456.65607,17.20139,8.69002,-447.30334,-5.7232,92.12846,-452.00186,-11.66396,54.50987,-443.23356,-12.2102,15.6925,-456.37572,-14.7321,9.08347,-446.98827
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.75932,108.71727,-457.67575,2.42024,117.21925,-460.5335,4.11485,132.94645,-464.77607,4.80412,139.23564,-466.06457,8.71736,129.26899,-463.51049,14.05292,129.51643,-463.77995,29.71655,147.69068,-459.75154,27.22661,169.52549,-456.01568,-1.13874,129.99589,-464.75386,-6.20831,131.16039,-465.99721,-18.30995,152.25962,-465.47958,-14.94572,174.15911,-463.02899,7.16313,91.73489,-450.91772,12.76153,53.97283,-442.55012,15.53745,15.62992,-456.75991,17.11889,8.688,-447.40724,-5.7233,92.12746,-452.01335,-11.70373,54.50002,-443.31024,-12.27081,15.69427,-456.48581,-14.79589,9.09024,-447.09569
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.76826,108.72301,-457.6587,2.43631,117.2264,-460.5106,4.15218,132.95018,-464.75727,4.84929,139.2426,-466.02567,8.74935,129.26867,-463.48407,14.08581,129.49586,-463.75366,30.37472,147.18252,-460.04768,29.62103,169.16955,-456.45356,-1.10436,130.00484,-464.74087,-6.17374,131.17428,-465.98034,-18.82343,151.95598,-466.02135,-17.81792,174.15951,-464.31741,7.16058,91.73549,-450.90443,12.69081,53.93991,-442.64348,15.46354,15.6084,-456.88461,17.03353,8.66509,-447.53105,-5.72324,92.12527,-452.03139,-11.75167,54.47905,-443.44336,-12.36286,15.67487,-456.62157,-14.88928,9.06954,-447.23273
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.76212,108.74245,-457.60673,2.43298,117.25332,-460.43555,4.1775,132.9787,-464.66459,4.88469,139.2765,-465.90025,8.76752,129.28954,-463.38773,14.10519,129.48895,-463.65528,31.11339,146.57653,-460.397,32.40055,168.55607,-456.91014,-1.08318,130.04072,-464.65919,-6.15292,131.2113,-465.8961,-19.5455,151.51038,-466.58993,-21.10146,173.72939,-465.69221,7.16088,91.73653,-450.90409,12.64218,53.91271,-442.74036,15.39648,15.59038,-457.00976,16.95886,8.64184,-447.65881,-5.72183,92.11881,-452.04621,-11.782,54.45803,-443.54479,-12.43843,15.65954,-456.73755,-14.95914,9.05104,-447.3494
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.76114,108.75307,-457.57767,2.43763,117.26881,-460.39044,4.2146,132.99799,-464.59178,4.94187,139.30085,-465.7894,8.79651,129.29945,-463.31294,14.13521,129.46978,-463.57991,31.89242,145.86735,-460.80821,35.50964,167.61238,-457.49392,-1.0508,130.06848,-464.59991,-6.12291,131.23291,-465.83291,-20.3993,150.88455,-467.2087,-24.62202,172.77243,-467.18848,7.16073,91.73574,-450.90473,12.62788,53.88832,-442.84152,15.36259,15.57674,-457.14352,16.90437,8.61942,-447.79568,-5.72141,92.11663,-452.05367,-11.8128,54.43905,-443.64957,-12.51343,15.6519,-456.87338,-15.0342,9.03447,-447.49154
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.76736,108.77207,-457.52389,2.45174,117.29631,-460.30886,4.25899,133.03265,-464.47029,5.00732,139.34023,-465.62944,8.83328,129.32433,-463.19247,14.17263,129.47683,-463.45733,32.65068,145.13526,-461.16473,38.8016,166.3467,-458.13876,-1.01071,130.11097,-464.49411,-6.08682,131.26881,-465.71681,-21.29479,150.14821,-467.76155,-28.229,171.31567,-468.63702,7.15908,91.73151,-450.90407,12.61992,53.87069,-442.89973,15.29712,15.57429,-457.25318,16.84218,8.59586,-447.92162,-5.7215,92.11557,-452.06931,-11.84798,54.42853,-443.7334,-12.57471,15.64996,-456.98093,-15.09414,9.01203,-447.61322
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,1.77208,108.77988,-457.50121,2.46134,117.30996,-460.26706,4.28511,133.05956,-464.37067,5.04093,139.37427,-465.48533,8.85512,129.3435,-463.10008,14.19521,129.48701,-463.35477,33.27507,144.46716,-461.50139,42.16867,164.73533,-458.85175,-0.98663,130.14175,-464.41154,-6.0695,131.28816,-465.6168,-22.12544,149.3715,-468.28047,-31.78437,169.3825,-470.06258,7.15779,91.73007,-450.90035,12.61076,53.85793,-442.94432,15.27427,15.58071,-457.35138,16.79869,8.56745,-448.04257,-5.72152,92.11483,-452.07936,-11.89057,54.42706,-443.77826,-12.6331,15.65772,-457.05191,-15.14755,8.96601,-447.7212
