time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.89152,108.18579,3.58951,-1.0265,116.31772,7.42887,0.10911,131.02348,14.54694,0.25458,137.46354,14.987,4.66503,127.10089,14.14022,9.84187,127.60816,15.38323,18.45783,144.51803,30.605,19.09977,161.74793,44.73419,-4.763,129.06182,11.5938,-9.70473,130.84154,10.58665,-20.86283,145.61355,26.37209,-26.90957,158.89842,43.22024,5.83799,90.96597,-1.04349,-2.64987,54.43975,9.96215,10.91759,16.02408,5.49408,7.4403,7.77365,13.11001,-5.58955,92.908,-6.79278,-1.96867,55.03248,2.13292,7.00585,15.20508,5.74387,-0.38554,7.71418,10.98003
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.88412,108.15554,3.65557,-1.01687,116.27082,7.53008,0.1146,130.95058,14.70228,0.23513,137.38939,15.16738,4.67611,127.03762,14.26642,9.85503,127.55288,15.49742,18.54278,144.46355,30.67743,19.40765,161.65998,44.83548,-4.76299,128.99193,11.75621,-9.71827,130.74817,10.77472,-21.00831,145.44964,26.53218,-27.053,158.80042,43.32888,5.84164,90.95834,-1.06605,-2.73079,54.49237,10.07299,10.84053,16.07492,5.63199,7.40407,7.80847,13.24907,-5.59527,92.92405,-6.78862,-1.97189,55.04817,2.13455,6.99492,15.23239,5.88998,-0.39756,7.74161,11.12476
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.86541,108.13857,3.6942,-0.99017,116.24229,7.59307,0.14707,130.89617,14.81709,0.25393,137.33367,15.30328,4.7155,126.99622,14.33925,9.90024,127.51988,15.54187,18.61423,144.40241,30.73817,19.6286,161.53963,44.95794,-4.74273,128.93726,11.89149,-9.71026,130.67934,10.94742,-21.10582,145.28705,26.7161,-27.40309,158.71042,43.36148,5.84883,90.95502,-1.09307,-2.77909,54.53393,10.14949,10.79347,16.1152,5.7234,7.39231,7.84581,13.35314,-5.60767,92.9321,-6.77236,-1.9833,55.07192,2.21675,6.99517,15.26143,6.00032,-0.39747,7.77063,11.23484
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.83718,108.11999,3.73706,-0.94707,116.2129,7.65878,0.21242,130.84786,14.91753,0.30713,137.28383,15.42605,4.78332,126.95563,14.40184,9.97547,127.48661,15.56874,18.71531,144.27449,30.85478,19.7741,161.38054,45.10882,-4.69177,128.89043,12.01513,-9.6678,130.62634,11.10506,-21.19102,145.10157,26.90311,-27.86052,158.53398,43.39551,5.85579,90.94892,-1.12418,-2.7834,54.55313,10.19143,10.7872,16.12942,5.80271,7.39731,7.87141,13.44977,-5.62249,92.94338,-6.7532,-1.95063,55.09508,2.26665,7.00841,15.28506,6.1008,-0.38406,7.79416,11.33544
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.80869,108.10775,3.76627,-0.90461,116.19262,7.70489,0.27219,130.81019,14.99584,0.3487,137.24478,15.52441,4.845,126.92445,14.44895,10.04274,127.45848,15.5893,18.8429,144.12048,30.97812,19.75212,161.23575,45.2314,-4.64321,128.85469,12.11116,-9.62637,130.58375,11.22742,-21.31755,144.90034,27.04661,-28.33923,158.31524,43.40655,5.86427,90.9461,-1.15541,-2.78478,54.56831,10.21044,10.79653,16.14426,5.85801,7.40653,7.90263,13.52267,-5.63892,92.94961,-6.73011,-1.96696,55.11613,2.35167,7.02052,15.31267,6.18735,-0.36868,7.8217,11.4265
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.77404,108.09772,3.79129,-0.85166,116.17512,7.74562,0.35318,130.77346,15.07043,0.42091,137.20621,15.62208,4.92457,126.89047,14.49313,10.12583,127.43009,15.61466,18.98936,143.95511,31.11441,19.64127,161.10622,45.33868,-4.5743,128.82432,12.20208,-9.56337,130.54845,11.34246,-21.42915,144.69365,27.18582,-28.78237,158.04923,43.44834,5.87061,90.94071,-1.18453,-2.77394,54.57962,10.23808,10.78214,16.14465,5.9035,7.40915,7.91827,13.592,-5.65491,92.9578,-6.70797,-1.90909,55.13378,2.38303,7.02398,15.32213,6.26064,-0.36539,7.83119,11.49958
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.74318,108.08811,3.81475,-0.80409,116.15916,7.78232,0.4276,130.74305,15.1314,0.4881,137.17354,15.70965,4.99481,126.85771,14.53704,10.19799,127.39978,15.64844,19.06733,143.81155,31.26476,19.48918,161.0435,45.39972,-4.50753,128.80289,12.27015,-9.50007,130.52534,11.42736,-21.4956,144.48965,27.33335,-29.18173,157.76466,43.50766,5.87363,90.93351,-1.20628,-2.77316,54.59562,10.28821,10.76588,16.15533,5.94756,7.39229,7.93982,13.64742,-5.66653,92.96768,-6.69275,-1.93916,55.15356,2.44688,7.01502,15.34672,6.32526,-0.37343,7.85583,11.56558
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.71276,108.08582,3.82275,-0.75784,116.15425,7.79585,0.49765,130.72911,15.1588,0.55778,137.15824,15.75206,5.06203,126.84298,14.54808,10.26704,127.38925,15.64876,19.11575,143.71165,31.37009,19.30174,161.06395,45.36218,-4.44551,128.79392,12.30805,-9.44144,130.51474,11.48226,-21.54498,144.30515,27.45801,-29.44951,157.52115,43.57528,5.87449,90.92647,-1.22088,-2.80505,54.6131,10.32627,10.74156,16.17613,5.97974,7.3752,7.96822,13.69086,-5.67586,92.97535,-6.68038,-1.99253,55.17854,2.54826,6.9872,15.37167,6.36678,-0.40154,7.88081,11.60673
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.69073,108.07795,3.84132,-0.72357,116.14138,7.82468,0.55293,130.70598,15.20432,0.6133,137.1342,15.80725,5.1136,126.81729,14.58225,10.31902,127.36735,15.67913,19.15101,143.62731,31.47439,19.09405,161.12203,45.28913,-4.39565,128.77801,12.35808,-9.39683,130.49223,11.55058,-21.54507,144.16912,27.58986,-29.56155,157.39532,43.64334,5.87027,90.91542,-1.22564,-2.85798,54.62914,10.36989,10.71508,16.19985,6.0381,7.33906,7.98647,13.73917,-5.67779,92.9886,-6.6808,-2.00948,55.20149,2.59346,6.95462,15.3919,6.42029,-0.43484,7.90107,11.65926
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.67819,108.06983,3.85935,-0.70264,116.12864,7.8521,0.59331,130.6852,15.24421,0.65122,137.1128,15.85393,5.14999,126.79308,14.61442,10.35742,127.34084,15.70289,19.11549,143.58796,31.55243,18.85417,161.20134,45.21319,-4.35951,128.76426,12.4006,-9.36336,130.47852,11.60986,-21.53989,144.06978,27.70039,-29.62427,157.35337,43.67225,5.86668,90.90712,-1.22784,-2.92278,54.64621,10.40072,10.67315,16.22382,6.07944,7.28816,8.01364,13.77999,-5.67769,92.99916,-6.68362,-2.09706,55.22621,2.68215,6.91181,15.4219,6.45846,-0.48,7.93099,11.694
