time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.66113,109.63016,-2.29659,-0.92829,118.61633,-2.04244,-1.02927,134.99307,-2.13177,-0.80942,141.40823,-2.8294,3.97775,131.64095,-2.09176,9.29385,131.34246,-1.58975,15.17411,107.87361,-4.14247,20.59205,86.33249,-6.02427,-5.96883,131.57704,-2.61961,-11.28067,131.10101,-2.21938,-15.52813,107.75508,-7.588,-19.40478,86.3613,-12.50617,6.51067,91.97123,-2.32316,2.54321,54.04435,6.22923,1.19513,13.41259,1.02865,0.37464,5.92174,10.04959,-6.32643,91.50024,-3.87285,-3.95364,52.62231,-0.67744,3.0151,13.41256,-10.36429,-2.70153,5.92166,-3.3379
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.63632,109.63287,-2.33519,-0.88423,118.62003,-2.09737,-0.93,134.99697,-2.1956,-0.69291,141.41543,-2.85628,4.06572,131.62795,-2.16446,9.38202,131.32205,-1.66903,15.23099,107.83372,-4.11216,20.62327,86.26776,-5.76982,-5.88212,131.59741,-2.67096,-11.19507,131.13728,-2.26682,-15.37026,107.80865,-7.76576,-19.17229,86.42914,-12.80284,6.51116,91.96406,-2.34907,2.507,54.10645,6.48839,1.28436,13.49035,1.13675,0.45866,5.99949,10.15721,-6.33384,91.50665,-3.83619,-3.93769,52.65075,-0.39938,3.07974,13.49059,-10.25027,-2.63365,5.99968,-3.22126
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.61351,109.63556,-2.37887,-0.84737,118.62354,-2.15829,-0.8624,135.00053,-2.2592,-0.61761,141.42173,-2.88963,4.127,131.62209,-2.23536,9.44407,131.33027,-1.7397,15.22812,107.80392,-3.96149,20.56039,86.20492,-5.3635,-5.82167,131.61023,-2.72619,-11.13702,131.18,-2.32059,-15.23139,107.84068,-7.8349,-18.94828,86.44927,-12.88501,6.51178,91.95779,-2.37467,2.49934,54.17912,6.79073,1.35748,13.58232,1.27723,0.52798,6.09146,10.29735,-6.34081,91.51217,-3.79842,-3.94918,52.68347,-0.06401,3.13988,13.58216,-10.09578,-2.57782,6.09141,-3.0701
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.5697,109.6401,-2.45694,-0.78658,118.62917,-2.26526,-0.79782,135.00619,-2.36019,-0.55718,141.43056,-2.9592,4.19079,131.62653,-2.34858,9.50817,131.35113,-1.84688,15.19789,107.77663,-3.78366,20.4391,86.13401,-4.80456,-5.75894,131.61728,-2.81747,-11.07486,131.20142,-2.40451,-15.08908,107.84385,-7.90044,-18.73618,86.43643,-12.93355,6.50905,91.94377,-2.39074,2.50011,54.24771,7.11018,1.4308,13.67561,1.40367,0.60012,6.18473,10.42366,-6.35029,91.52493,-3.76059,-3.95652,52.72098,0.22157,3.18781,13.67559,-9.98719,-2.52462,6.1847,-2.95738
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.52233,109.64446,-2.54191,-0.72102,118.63458,-2.38276,-0.72969,135.01161,-2.4769,-0.49664,141.43941,-3.04102,4.25838,131.63111,-2.47364,9.57533,131.36494,-1.96248,15.12768,107.73692,-3.6265,20.24042,86.04363,-4.04676,-5.69211,131.62354,-2.92618,-11.00641,131.19114,-2.50935,-14.97817,107.81886,-7.9735,-18.61592,86.4036,-12.97994,6.50641,91.92855,-2.41256,2.47013,54.34125,7.49884,1.47493,13.79847,1.57468,0.64105,6.30763,10.59441,-6.36085,91.53894,-3.71509,-3.9803,52.77215,0.62114,3.22116,13.7982,-9.81789,-2.48902,6.30736,-2.7862
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.51107,109.64763,-2.65127,-0.70465,118.63851,-2.53398,-0.70638,135.01554,-2.62867,-0.47767,141.44504,-3.17498,4.28027,131.63295,-2.62031,9.59136,131.36155,-2.05405,14.96535,107.69138,-3.7046,19.9184,85.97034,-2.94363,-5.66977,131.62953,-3.08281,-10.97961,131.15567,-2.65443,-14.90277,107.7903,-8.1829,-18.67585,86.21789,-12.34292,6.50556,91.92817,-2.40454,2.42548,54.44408,7.87301,1.4785,13.9297,1.74995,0.64754,6.43884,10.76993,-6.36314,91.53843,-3.69264,-4.03775,52.81907,1.07579,3.22249,13.92966,-9.63428,-2.49098,6.43873,-2.60534
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.5585,109.64867,-2.80471,-0.7686,118.63966,-2.73285,-0.75792,135.01694,-2.75715,-0.53579,141.44772,-3.29098,4.22616,131.63061,-2.74131,9.52585,131.35128,-2.08002,14.67164,107.65702,-4.07592,19.39927,86.05028,-1.29856,-5.72173,131.63664,-3.24775,-11.02752,131.12004,-2.81853,-14.9574,107.76611,-8.39036,-18.98908,86.00766,-11.07853,6.50914,91.95333,-2.36144,2.40575,54.54293,8.17217,1.46241,14.04049,1.97016,0.62348,6.54963,10.98941,-6.35351,91.51298,-3.69298,-4.14199,52.84798,1.54732,3.18975,14.04069,-9.40909,-2.52399,6.54985,-2.38029
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.5782,109.64904,-2.93469,-0.80127,118.63991,-2.89563,-0.81594,135.01706,-2.82724,-0.63097,141.44951,-3.35519,4.17289,131.63817,-2.77103,9.46132,131.37003,-2.02093,14.51886,107.70254,-4.50126,19.03235,86.67127,1.34936,-5.76825,131.63217,-3.39617,-11.08348,131.14813,-3.0548,-15.19898,107.73543,-8.23204,-19.73988,85.91724,-8.73978,6.50743,91.96651,-2.30588,2.4617,54.59126,8.37376,1.41382,14.08005,2.24618,0.58361,6.5892,11.26624,-6.34631,91.4997,-3.71232,-4.2818,52.86785,1.82416,3.1394,14.08045,-9.14241,-2.573,6.58954,-2.11259
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.58304,109.64895,-2.96292,-0.81472,118.63966,-2.93657,-0.86637,135.01677,-2.87717,-0.71805,141.44887,-3.42058,4.12827,131.64887,-2.73782,9.41034,131.44442,-1.92538,14.76222,107.83967,-4.38579,19.27345,88.17513,5.0942,-5.80132,131.62071,-3.52497,-11.13213,131.2549,-3.29884,-15.68495,107.81691,-7.97089,-21.23857,86.4159,-5.13099,6.50072,91.96934,-2.23827,2.61576,54.50625,8.19035,1.35079,13.93273,2.53417,0.51764,6.44189,11.55397,-6.33824,91.49689,-3.77206,-4.41814,52.83928,1.63497,3.06614,13.9322,-8.85445,-2.64967,6.44128,-1.82741
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.58369,109.64796,-2.82181,-0.81268,118.63861,-2.76726,-0.85317,135.01565,-2.84925,-0.72556,141.44232,-3.45828,4.13737,131.64593,-2.63011,9.419,131.53307,-1.79716,15.2734,107.98564,-3.56503,20.12659,90.77642,9.7468,-5.78371,131.61726,-3.51801,-11.12502,131.41182,-3.34273,-16.50981,108.11217,-7.81778,-23.15895,88.14569,-0.46664,6.48644,91.96105,-2.14373,2.79581,54.27605,7.52852,1.28651,13.58882,2.83016,0.45231,6.09796,11.84984,-6.32378,91.50546,-3.90592,-4.35967,52.77557,0.93882,3.00005,13.5889,-8.55026,-2.71524,6.09806,-1.52272
