time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,0.75536,109.70415,-452.91836,0.70928,118.67619,-453.54084,0.65056,134.9363,-455.49569,0.4037,141.28597,-456.64023,5.64894,131.59646,-455.08318,10.71322,133.17089,-455.77335,11.47871,157.25874,-452.44613,2.19856,177.30853,-449.47961,-4.29888,131.50087,-455.58194,-9.24322,133.15175,-456.77801,-10.09093,157.36335,-454.5475,1.90764,176.13563,-455.287,7.32242,91.84428,-451.83581,11.28699,52.96824,-452.35381,15.18087,12.50751,-457.60454,15.63607,4.85938,-448.69036,-5.60282,91.74307,-452.42097,-9.59536,52.86839,-452.81263,-11.79099,12.38054,-458.78888,-13.66475,4.87265,-449.94105
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.7525,109.70577,-452.88011,0.71063,118.67909,-453.48429,0.68214,134.94173,-455.41865,0.45182,141.29052,-456.57149,5.67427,131.59335,-454.99973,10.73224,133.19612,-455.67062,11.4541,157.27976,-452.30339,2.88125,177.65266,-449.4109,-4.27261,131.51436,-455.51979,-9.20138,133.19633,-456.73663,-10.17558,157.42869,-454.80295,0.72397,176.85898,-455.56089,7.32309,91.84425,-451.84728,11.30132,52.96946,-452.35364,15.20142,12.49684,-457.50717,15.66671,4.82739,-448.61185,-5.6027,91.74264,-452.42016,-9.55697,52.86379,-452.78531,-11.75106,12.36546,-458.69074,-13.63311,4.84038,-449.85929
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.7496,109.7071,-452.84706,0.70953,118.6814,-453.43657,0.69862,134.94543,-455.35933,0.48906,141.29529,-456.51024,5.68701,131.59377,-454.92237,10.74857,133.19652,-455.5657,12.17237,157.26949,-452.34925,5.26432,178.26673,-449.46646,-4.2577,131.5211,-455.48324,-9.17899,133.19206,-456.74472,-11.06995,157.39998,-455.22949,-2.27675,177.87812,-455.71576,7.32344,91.8447,-451.85075,11.30719,52.97004,-452.32316,15.20429,12.49164,-457.43338,15.67882,4.80932,-448.54966,-5.60224,91.74182,-452.42591,-9.53803,52.86079,-452.75565,-11.72441,12.35612,-458.62038,-13.61357,4.82227,-449.79792
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,0.76474,109.70781,-452.83102,0.73467,118.68264,-453.41303,0.74812,134.94759,-455.32803,0.55712,141.29637,-456.48804,5.73112,131.59207,-454.86023,10.81121,133.15013,-455.46621,13.60454,157.14645,-452.59314,9.13704,178.79846,-449.73881,-4.20978,131.52694,-455.48583,-9.13071,133.15637,-456.80185,-12.61647,157.2083,-455.68407,-6.77301,178.71951,-455.86511,7.32032,91.83895,-451.83022,11.31794,52.96592,-452.31837,15.22779,12.48572,-457.40459,15.70185,4.80395,-448.52038,-5.60334,91.74737,-452.4509,-9.53211,52.8656,-452.77765,-11.7125,12.3534,-458.59234,-13.5916,4.81563,-449.77108
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.78342,109.70803,-452.82764,0.76669,118.68315,-453.40565,0.81466,134.94977,-455.30579,0.63887,141.29938,-456.46375,5.78961,131.58885,-454.79331,10.89884,133.06117,-455.36786,15.66649,156.79417,-452.93989,14.23095,178.87511,-450.24046,-4.1449,131.53425,-455.51414,-9.075,133.10137,-456.8709,-14.73738,156.75159,-456.16357,-12.41192,178.92143,-456.13069,7.31506,91.83316,-451.77882,11.31968,52.96108,-452.28571,15.24933,12.48887,-457.42,15.71816,4.80741,-448.53524,-5.60328,91.75311,-452.50325,-9.52992,52.87123,-452.84302,-11.70596,12.35184,-458.60899,-13.58037,4.8171,-449.78415
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.80707,109.70834,-452.82156,0.80387,118.68371,-453.39588,0.87652,134.95111,-455.28854,0.705,141.3004,-456.44887,5.84505,131.58779,-454.73143,10.98372,132.96819,-455.27046,18.21755,156.12157,-453.40664,20.25986,178.18714,-450.98698,-4.08238,131.53785,-455.54429,-9.03553,133.02468,-456.90742,-17.14395,155.96185,-456.72004,-18.75827,178.19427,-456.56391,7.30812,91.82555,-451.71901,11.30244,52.95295,-452.26546,15.25355,12.4891,-457.44893,15.72125,4.81629,-448.55663,-5.60293,91.76062,-452.56475,-9.53182,52.87934,-452.94365,-11.70834,12.35001,-458.6392,-13.57252,4.82257,-449.80596
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.82661,109.70872,-452.81226,0.83214,118.68455,-453.37941,0.91036,134.95419,-455.25254,0.76178,141.3033,-456.41699,5.87661,131.59206,-454.66857,11.04419,132.87661,-455.16672,20.98587,155.05027,-453.99523,26.88526,176.46011,-452.0635,-4.04557,131.53939,-455.54304,-9.0281,132.93365,-456.89687,-19.77156,154.75819,-457.3009,-25.41293,176.32392,-457.22874,7.30122,91.81945,-451.66046,11.2909,52.9466,-452.22262,15.26695,12.49474,-457.48014,15.73394,4.82864,-448.58203,-5.60148,91.76662,-452.62589,-9.53875,52.88643,-453.02937,-11.71032,12.35015,-458.67716,-13.56845,4.83202,-449.83473
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.84615,109.70918,-452.80027,0.85925,118.68587,-453.35353,0.93688,134.96126,-455.17604,0.80366,141.31034,-456.34252,5.90238,131.59985,-454.58163,11.09642,132.78782,-455.04295,23.82581,153.51604,-454.61353,33.65204,173.49339,-453.48838,-4.01602,131.54487,-455.49786,-9.02589,132.84641,-456.84308,-22.41333,153.13656,-457.83386,-32.03483,173.24222,-458.15055,7.29501,91.81265,-451.61726,11.28022,52.93973,-452.20632,15.2726,12.49615,-457.51484,15.74203,4.83354,-448.61385,-5.60071,91.7733,-452.67243,-9.53854,52.89345,-453.1024,-11.71152,12.35193,-458.71188,-13.56026,4.83447,-449.86691
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.85489,109.71034,-452.76762,0.87221,118.68863,-453.29411,0.95359,134.97254,-455.03869,0.81901,141.32771,-456.17135,5.9179,131.60818,-454.45112,11.14059,132.68068,-454.86977,26.44986,151.58664,-455.13781,40.00871,169.28051,-455.13718,-3.99878,131.55787,-455.38604,-9.04647,132.75446,-456.68659,-24.85072,151.18524,-458.2447,-38.13367,169.05563,-459.30464,7.29141,91.80879,-451.59333,11.27783,52.9366,-452.22089,15.28706,12.49446,-457.52771,15.75371,4.83313,-448.62548,-5.59955,91.77683,-452.70546,-9.52144,52.89574,-453.16788,-11.70175,12.34701,-458.72207,-13.54734,4.83247,-449.87395
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.86384,109.71011,-452.77407,0.8827,118.68882,-453.2933,0.95263,134.97834,-454.98515,0.82773,141.33597,-456.10506,5.91974,131.61457,-454.41826,11.16752,132.57196,-454.80075,28.7016,149.41044,-455.75077,44.80262,164.80727,-456.53202,-3.99873,131.56235,-455.33386,-9.08861,132.64207,-456.57071,-26.86142,149.12232,-458.67406,-43.15233,164.21843,-460.57789,7.28963,91.8056,-451.58617,11.29558,52.93637,-452.26976,15.32032,12.49471,-457.56856,15.77246,4.85005,-448.65126,-5.60026,91.78008,-452.71083,-9.51217,52.89836,-453.20365,-11.68902,12.35125,-458.77109,-13.52585,4.85204,-449.90817
