time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,0.97965,109.61907,-3.56615,1.49573,118.58416,-4.06402,2.21455,134.87478,-5.58551,3.09613,140.90851,-7.70828,6.97194,131.37547,-4.38945,12.28179,131.8618,-3.97584,27.09524,149.90537,2.87046,25.64722,170.71825,10.72176,-2.73249,131.59529,-6.6239,-7.7515,132.87905,-7.95204,-19.32762,152.59685,0.36044,-17.49849,172.12914,10.94605,5.75963,91.46481,-0.27252,0.7753,55.581,14.38494,-0.01429,14.81926,10.18261,-0.63252,7.32839,19.21965,-6.03263,92.00975,-5.56971,-5.70608,53.55673,1.40113,6.65419,14.81934,-3.74095,-1.67485,7.32841,-0.18052
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.97256,109.61955,-3.56508,1.50872,118.58372,-4.05833,2.3522,134.8697,-5.56547,3.30625,140.88788,-7.701,7.08868,131.32949,-4.40731,12.40339,131.80284,-4.04424,27.33619,149.66408,3.0175,27.80893,170.5284,10.85156,-2.62916,131.63271,-6.5727,-7.63747,133.00298,-7.85396,-19.13144,152.74737,0.50925,-20.1218,172.68104,10.43794,5.77659,91.46496,-0.30848,0.81674,55.59523,14.3917,0.10589,14.83882,10.1241,-0.51138,7.34794,19.16121,-6.0476,92.00947,-5.53405,-5.63963,53.54748,1.38277,6.79604,14.83918,-3.79654,-1.53401,7.34837,-0.23823
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.94042,109.62227,-3.54331,1.48872,118.58627,-4.0264,2.46315,134.86487,-5.53417,3.49566,140.86049,-7.69652,7.17664,131.28322,-4.41016,12.49694,131.74389,-4.11998,27.37698,149.52681,3.24432,29.7446,170.29909,10.9788,-2.55304,131.67166,-6.50771,-7.55112,133.12837,-7.73231,-18.98732,152.85876,0.74238,-22.86777,172.8233,9.86762,5.79525,91.47116,-0.34316,0.87205,55.58837,14.33745,0.23533,14.83106,10.0667,-0.38766,7.34019,19.10342,-6.05731,92.00251,-5.50544,-5.55167,53.52959,1.34387,6.9031,14.83078,-3.8603,-1.4261,7.33999,-0.29995
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,0.90954,109.62471,-3.52516,1.46572,118.58849,-4.0032,2.54412,134.85875,-5.53016,3.65611,140.82927,-7.72233,7.24018,131.24469,-4.43738,12.56689,131.66404,-4.20849,27.03893,149.67808,3.40302,31.16655,170.25159,10.92693,-2.50134,131.70035,-6.46522,-7.48403,133.23333,-7.6591,-18.75718,152.96706,1.0237,-25.10616,172.57407,9.5188,5.81057,91.47807,-0.37038,0.90804,55.56979,14.25471,0.30354,14.81134,9.99024,-0.31025,7.32045,19.02757,-6.06402,91.99492,-5.48328,-5.45441,53.50926,1.2855,6.99139,14.81096,-3.94393,-1.33861,7.32019,-0.38543
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.87516,109.62701,-3.51469,1.43672,118.59051,-3.99163,2.61272,134.85166,-5.54341,3.78357,140.80258,-7.75812,7.28976,131.20922,-4.46341,12.62,131.60035,-4.2694,26.62986,149.93455,3.44173,31.48931,170.4471,10.68993,-2.45614,131.72421,-6.45572,-7.42515,133.302,-7.64822,-18.67216,152.97616,1.20205,-25.93968,172.36069,9.46849,5.8247,91.48788,-0.39265,0.93708,55.56448,14.20027,0.40419,14.80811,9.90643,-0.21886,7.31726,18.94317,-6.06858,91.98447,-5.46392,-5.40439,53.49004,1.24962,7.07078,14.80827,-4.03183,-1.25866,7.31737,-0.47226
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.86191,109.62705,-3.53558,1.42909,118.5893,-4.02907,2.66217,134.84124,-5.63207,3.8946,140.77736,-7.85309,7.3264,131.18583,-4.54054,12.65798,131.55833,-4.34688,26.22992,150.19673,3.41802,30.71095,170.89734,10.36931,-2.41763,131.72875,-6.53459,-7.3785,133.31183,-7.75365,-18.5777,152.96217,1.20947,-25.83589,172.34191,9.49531,5.83048,91.49576,-0.39821,0.96664,55.55928,14.17042,0.49728,14.80925,9.80944,-0.13147,7.31837,18.84575,-6.07066,91.97658,-5.45254,-5.35693,53.47171,1.19575,7.1615,14.80925,-4.1246,-1.16861,7.31829,-0.56675
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,0.86976,109.62516,-3.57649,1.44796,118.58511,-4.09822,2.72431,134.82658,-5.77199,4.01032,140.74386,-8.01279,7.37522,131.16627,-4.64078,12.70709,131.52315,-4.42663,25.79933,150.45366,3.45435,29.53914,171.36779,10.20182,-2.35791,131.72087,-6.68424,-7.30689,133.30399,-7.95064,-18.58048,152.80536,1.24165,-25.32367,172.26384,9.7744,5.82669,91.5,-0.38581,0.98831,55.56708,14.20008,0.55387,14.83113,9.70606,-0.0644,7.34028,18.74313,-6.06906,91.97286,-5.45355,-5.35585,53.46195,1.15967,7.23314,14.8317,-4.22779,-1.09744,7.34088,-0.67076
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.8887,109.62228,-3.62418,1.47775,118.57971,-4.17609,2.7737,134.81277,-5.91509,4.11671,140.71432,-8.16394,7.41613,131.15456,-4.74294,12.74721,131.51067,-4.50887,25.493,150.57467,3.61454,27.82464,171.71282,10.29718,-2.30564,131.70628,-6.84054,-7.2483,133.28514,-8.13663,-18.64231,152.58332,1.33185,-23.72974,172.30564,10.3905,5.81683,91.50196,-0.36213,0.99352,55.57791,14.25054,0.61059,14.85604,9.62604,-0.00626,7.36518,18.66318,-6.06448,91.9717,-5.46393,-5.36324,53.45714,1.1293,7.28836,14.85574,-4.31792,-1.04174,7.36489,-0.75979
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.90586,109.61901,-3.67924,1.50148,118.57424,-4.25921,2.79948,134.80308,-6.03562,4.18036,140.69564,-8.2851,7.43774,131.14982,-4.83196,12.76751,131.50409,-4.56726,25.24809,150.64291,3.78868,25.40128,171.93828,10.37646,-2.27431,131.69216,-6.97651,-7.2214,133.25392,-8.27641,-18.57645,152.45445,1.4343,-21.21068,172.33413,11.1693,5.80459,91.5064,-0.33129,0.97835,55.58662,14.29092,0.65278,14.87663,9.55865,0.03741,7.38577,18.5959,-6.05703,91.96818,-5.47943,-5.37822,53.45071,1.09916,7.34377,14.87642,-4.37602,-0.98707,7.38545,-0.81989
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,0.92016,109.61565,-3.73549,1.52345,118.5686,-4.34194,2.83535,134.79328,-6.14598,4.24342,140.67811,-8.39884,7.46689,131.1408,-4.91441,12.79517,131.4818,-4.60575,25.00304,150.72617,3.90911,22.87438,171.98434,10.27106,-2.23542,131.68229,-7.1028,-7.18042,133.24779,-8.40614,-18.5184,152.32907,1.55631,-18.14968,172.10176,11.84298,5.79281,91.51229,-0.30053,0.9715,55.59327,14.32519,0.70487,14.89279,9.50829,0.08728,7.40192,18.54538,-6.04922,91.96323,-5.49452,-5.36927,53.44703,1.09139,7.39207,14.89233,-4.43005,-0.93844,7.4015,-0.87287
