time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.12544,108.80612,3.7579,-2.13795,117.6381,2.37657,-2.32874,133.99413,1.5642,-2.65786,140.44187,1.65092,2.6935,130.68217,1.90555,8.01991,130.7855,2.3754,11.09744,106.66685,1.53841,15.57451,86.35963,9.56886,-7.23138,130.52546,1.07532,-12.56287,130.45296,0.66001,-16.62553,106.51425,-0.86588,-23.74763,86.53193,5.982,2.54646,90.61126,3.98143,3.38058,51.55001,3.05645,6.10973,11.91731,-7.02344,4.32931,4.31621,1.76388,-10.34861,91.181,3.08292,-8.04092,52.16827,3.20581,-6.33996,11.73958,-3.30809,-5.54497,4.24641,5.71321
0.03333,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.17873,108.80849,3.74491,-2.2583,117.64931,2.37384,-2.54545,134.00429,1.56862,-2.87673,140.45147,1.6838,2.49662,130.72126,1.89704,7.8268,130.84624,2.31612,11.04195,106.76916,0.96043,16.31228,86.98153,9.76887,-7.42908,130.50754,1.08961,-12.76086,130.42556,0.6799,-16.67299,106.47758,-1.07646,-24.41173,86.80833,6.00475,2.55527,90.63322,3.97688,3.27748,51.56978,3.05032,5.85697,11.94404,-7.09612,4.06861,4.3352,1.68289,-10.34257,91.15839,3.09109,-8.19657,52.13829,3.49212,-6.61193,11.77291,-3.43086,-5.81125,4.33245,5.63347
0.06667,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.24294,108.81112,3.72724,-2.4093,117.66193,2.36508,-2.8052,134.01447,1.5567,-3.1272,140.46154,1.7013,2.25894,130.76458,1.87475,7.59319,130.92037,2.22639,11.01446,106.9112,0.29364,17.52604,87.9599,10.05904,-7.6669,130.48574,1.08928,-12.99856,130.39805,0.67913,-16.76874,106.44864,-1.34741,-25.50763,87.34799,6.11636,2.56553,90.65972,3.97526,3.17379,51.59429,3.05096,5.59736,11.97645,-7.16453,3.79714,4.35823,1.6039,-10.33494,91.13115,3.09763,-8.40158,52.10402,3.78983,-6.89545,11.81106,-3.55947,-6.08934,4.4322,5.55459
0.1,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.32023,108.81393,3.7037,-2.5832,117.6737,2.34409,-3.08778,134.0224,1.51876,-3.38904,140.46975,1.6924,1.99813,130.80613,1.83125,7.33536,131.00772,2.10587,11.02217,107.08945,-0.38504,19.2698,89.41955,10.41619,-7.92706,130.46136,1.06386,-13.25821,130.37726,0.64638,-16.95865,106.43853,-1.62063,-27.0848,88.24551,6.34092,2.57752,90.6917,3.97686,3.06924,51.62534,3.02297,5.33713,12.00927,-7.23504,3.5188,4.37975,1.51983,-10.32539,91.09838,3.10259,-8.62084,52.06651,4.07312,-7.20208,11.84688,-3.6839,-6.3824,4.50826,5.46139
0.13333,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.40801,108.81661,3.67852,-2.77034,117.68277,2.31038,-3.37391,134.02638,1.45126,-3.64392,140.47432,1.65229,1.73159,130.84126,1.7634,7.06983,131.10313,1.95491,11.10658,107.28501,-0.92307,21.50699,91.44017,10.81098,-8.19241,130.4355,1.01068,-13.52293,130.36662,0.58252,-17.29847,106.45364,-1.82787,-29.12625,89.57556,6.66596,2.59082,90.72804,3.98002,2.94286,51.66256,2.93291,5.07828,12.03584,-7.31238,3.23554,4.39266,1.42546,-10.31423,91.0613,3.10645,-8.74542,52.03028,4.31152,-7.53458,11.87294,-3.7956,-6.69046,4.53355,5.34685
0.16667,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.5015,108.81883,3.66058,-2.96499,117.68838,2.27123,-3.65565,134.02579,1.36131,-3.88527,140.47446,1.58745,1.46693,130.86857,1.67698,6.80384,131.199,1.77861,11.34305,107.47923,-1.16226,24.1464,94.05917,11.20268,-8.45574,130.40825,0.93821,-13.78561,130.36625,0.49866,-17.82462,106.49542,-1.90245,-31.59276,91.42299,7.05139,2.60468,90.76658,3.9833,2.79176,51.70443,2.78082,4.81774,12.05369,-7.39351,2.94523,4.39377,1.3233,-10.30204,91.02214,3.10817,-8.76795,51.99313,4.41835,-7.8177,11.876,-3.91929,-6.98595,4.53416,5.22233
0.2,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.59992,108.82049,3.65,-3.16678,117.69017,2.22583,-3.93356,134.02022,1.24724,-4.11453,140.4696,1.49605,1.20385,130.88788,1.56981,6.53676,131.29049,1.57599,11.75879,107.67419,-1.04728,26.96013,97.30677,11.5365,-8.71752,130.37893,0.84567,-14.04634,130.3747,0.39161,-18.54527,106.56274,-1.7637,-34.36542,93.83658,7.43841,2.61889,90.807,3.98745,2.62078,51.75006,2.61347,4.54612,12.07312,-7.47792,2.6404,4.39205,1.21305,-10.28882,90.98126,3.10697,-8.75576,51.95497,4.49716,-8.11292,11.87603,-4.05084,-7.296,4.52957,5.0884
0.23333,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.70647,108.8216,3.6357,-3.37697,117.68761,2.16176,-4.20956,134.00886,1.09436,-4.33367,140.45872,1.36491,0.94055,130.89878,1.42937,6.26656,131.37652,1.34303,12.34008,107.89859,-0.60111,29.63324,101.202,11.76892,-8.97937,130.34646,0.71717,-14.30596,130.39111,0.23973,-19.45368,106.66429,-1.32051,-37.27894,96.83152,7.76174,2.63381,90.85093,3.99482,2.43963,51.80061,2.45617,4.24343,12.10056,-7.56656,2.30547,4.39255,1.09337,-10.27405,90.93702,3.10358,-8.72669,51.91465,4.58481,-8.45996,11.87977,-4.18675,-7.64179,4.52552,4.94611
0.26667,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.82113,108.82202,3.60648,-3.59404,117.68018,2.06743,-4.48525,133.99067,0.8887,-4.54393,140.44044,1.18243,0.67597,130.90156,1.24623,5.99276,131.45529,1.08145,13.09511,108.20625,0.12253,31.87096,105.6216,11.8572,-9.24169,130.30858,0.53521,-14.56395,130.41446,0.02062,-20.55617,106.84244,-0.56972,-40.14426,100.50408,7.97679,2.64924,90.8987,4.00877,2.25901,51.85681,2.30242,3.88877,12.13513,-7.66426,1.92344,4.39653,0.96217,-10.25752,90.88914,3.09777,-8.66506,51.87338,4.70058,-8.85323,11.89373,-4.32133,-8.02016,4.52705,4.80016
0.3,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.93772,108.82155,3.55796,-3.81294,117.66763,1.93979,-4.76178,133.96463,0.62699,-4.74818,140.41343,0.94638,0.41,130.89769,1.0208,5.71682,131.52179,0.7966,14.00508,108.64962,1.01953,33.42993,110.31863,11.82716,-9.5038,130.26216,0.29298,-14.81897,130.44009,-0.27257,-21.85568,107.16047,0.39026,-42.65626,104.8437,8.06357,2.66399,90.94797,4.03318,2.10488,51.92049,2.06451,3.47905,12.15842,-7.77888,1.49165,4.39279,0.81813,-10.23979,90.83999,3.08688,-8.54955,51.83422,4.82665,-9.30093,11.91894,-4.44744,-8.43662,4.53475,4.65697
0.33333,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-4.04938,108.82007,3.49067,-4.02786,117.65008,1.78255,-5.03649,133.93039,0.31626,-4.94894,140.3772,0.66287,0.14585,130.88815,0.7598,5.44337,131.57154,0.49281,14.97499,109.23811,1.99184,34.15373,115.0549,11.75178,-9.76217,130.20585,-0.00357,-15.06789,130.45952,-0.62612,-23.27726,107.64255,1.34548,-44.41257,109.63931,8.1442,2.67681,90.99608,4.07113,1.96332,51.98967,1.7638,3.02769,12.17667,-7.91062,1.02351,4.39526,0.66822,-10.22149,90.7923,3.06769,-8.33711,51.80065,4.92097,-9.79624,11.9536,-4.55989,-8.88526,4.54755,4.52218
0.36667,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-4.15617,108.81748,3.40805,-4.23594,117.62803,1.60393,-5.30074,133.88904,-0.02757,-5.14286,140.33298,0.34661,-0.10898,130.87212,0.47484,5.18057,131.60312,0.1777,15.87824,109.93378,2.98492,33.98022,119.58776,11.70469,-10.00976,130.14261,-0.33735,-15.30561,130.46606,-1.00955,-24.70122,108.24183,2.10511,-45.11405,114.56552,8.44849,2.68747,91.04317,4.12357,1.83039,52.06699,1.39323,2.55026,12.19084,-8.05016,0.53478,4.41759,0.53343,-10.20239,90.74593,3.03827,-7.93922,51.77558,4.91565,-10.31877,11.99226,-4.64616,-9.35,4.56091,4.40923
0.4,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-4.26617,108.81351,3.31761,-4.43895,117.60245,1.41713,-5.54531,133.8432,-0.38011,-5.32218,140.28359,0.02088,-0.34724,130.84826,0.18472,4.93587,131.61563,-0.13453,16.61825,110.66898,3.94476,32.88484,123.75024,11.76744,-10.24025,130.0786,-0.68309,-15.52786,130.459,-1.38944,-26.05574,108.90292,2.65955,-44.64977,119.36878,9.11237,2.69694,91.09258,4.18764,1.78598,52.16686,0.82748,2.0607,12.18544,-8.18442,0.04242,4.43262,0.41697,-10.18121,90.69762,2.99941,-7.44502,51.76216,4.96846,-10.82547,12.08027,-4.71261,-9.84996,4.61854,4.31704
0.43333,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-4.38924,108.80777,3.22678,-4.6413,117.57443,1.23449,-5.7668,133.79568,-0.72008,-5.48281,140.23219,-0.29582,-0.56685,130.81632,-0.09356,4.71164,131.60572,-0.43483,17.13549,111.35436,4.80071,30.86023,127.37711,11.99921,-10.45247,130.01921,-1.01896,-15.73324,130.44304,-1.75132,-27.30972,109.59236,3.05801,-42.87321,123.89428,10.13923,2.70686,91.14819,4.25528,1.76338,52.28211,0.27148,1.56766,12.20892,-8.32523,-0.42856,4.48345,0.30586,-10.15684,90.64362,2.95708,-6.97737,51.75832,5.22843,-11.32261,12.24485,-4.7519,-10.36209,4.74974,4.25167
0.46667,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-4.52813,108.79988,3.13824,-4.8449,117.54475,1.06121,-5.96669,133.74804,-1.03898,-5.62765,140.18083,-0.59906,-0.76914,130.77705,-0.35538,4.50676,131.56987,-0.7273,17.3928,111.88986,5.47977,27.97548,130.23808,12.42708,-10.64854,129.96654,-1.334,-15.92192,130.42506,-2.09803,-28.39514,110.27982,3.42315,-39.82676,127.68415,11.38042,2.71851,91.21085,4.31532,1.67428,52.38375,-0.00881,1.07171,12.28661,-8.474,-0.87606,4.59303,0.19656,-10.12978,90.58315,2.92171,-6.62934,51.75709,5.68174,-11.82832,12.47171,-4.77926,-10.88616,4.94518,4.20001
0.5,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-4.67907,108.78978,3.05558,-5.05061,117.51365,0.90078,-6.15108,133.70055,-1.33289,-5.76723,140.13045,-0.88758,-0.95885,130.73148,-0.60219,4.31635,131.50859,-1.01507,17.34894,112.18745,5.96532,24.36185,132.12033,13.06566,-10.8343,129.92007,-1.61914,-16.09936,130.40816,-2.42123,-29.15444,110.86194,3.85615,-35.96914,130.20022,12.60268,2.73248,91.27849,4.35821,1.53174,52.45788,0.0164,0.53314,12.4047,-8.61772,-1.35764,4.74749,0.09754,-10.10169,90.51833,2.90185,-6.49835,51.75099,6.28468,-12.34956,12.73159,-4.80825,-11.42618,5.17827,4.15045
0.53333,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-4.83992,108.77761,2.98551,-5.26326,117.48159,0.76098,-6.3327,133.65405,-1.58934,-5.91807,140.08231,-1.1481,-1.14679,130.68173,-0.82761,4.13009,131.42606,-1.27764,16.92607,112.1673,6.28831,20.21812,132.84843,13.92825,-11.0216,129.87931,-1.85786,-16.28062,130.38912,-2.68567,-29.43308,111.15521,4.31186,-31.96909,131.27638,13.56487,2.74907,91.34955,4.3796,1.38797,52.51589,0.2051,-0.04408,12.5464,-8.7499,-1.8759,4.92823,0.01204,-10.07346,90.45066,2.89999,-6.51044,51.74686,6.98103,-12.88662,13.02158,-4.82999,-11.98215,5.44416,4.11027
0.56667,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-5.01058,108.76331,2.93016,-5.48697,117.4502,0.65025,-6.52436,133.61189,-1.78688,-6.09323,140.03959,-1.35329,-1.34402,130.63268,-1.01431,3.93896,131.3268,-1.47298,16.08129,111.76122,6.37768,16.01339,132.36866,14.87734,-11.22157,129.84578,-2.03008,-16.48139,130.36403,-2.84756,-29.26656,111.07073,4.6493,-28.47723,131.28997,14.00184,2.7682,91.42372,4.38026,1.2661,52.56548,0.49268,-0.64979,12.70514,-8.84999,-2.42885,5.12672,-0.04283,-10.04502,90.38047,2.91476,-6.49753,51.75153,7.66385,-13.43472,13.33542,-4.8214,-12.54936,5.73524,4.10143
0.6,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-5.18436,108.74704,2.88341,-5.71577,117.42159,0.56894,-6.72953,133.5775,-1.916,-6.29427,140.00504,-1.48416,-1.55245,130.59041,-1.15199,3.74136,131.21487,-1.58514,15.00212,111.07274,6.12011,12.77454,131.16407,15.51647,-11.43504,129.82004,-2.13084,-16.70277,130.33149,-2.90024,-28.88957,110.74559,4.83086,-26.04742,130.92794,13.85893,2.78858,91.49852,4.36466,1.16221,52.61648,0.77654,-1.26275,12.86454,-8.90365,-2.99822,5.32442,-0.05502,-10.01698,90.31021,2.94338,-6.44545,51.75725,8.25817,-13.98211,13.63772,-4.77652,-13.11313,6.02042,4.13332
0.63333,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-5.34696,108.72991,2.83929,-5.93317,117.3958,0.50568,-6.93923,133.5487,-2.00181,-6.50855,139.97588,-1.56001,-1.76213,130.55646,-1.25839,3.54316,131.09705,-1.663,13.88578,110.33168,5.66571,11.2338,130.10375,15.61295,-11.6504,129.79675,-2.18689,-16.92724,130.28965,-2.90423,-28.41748,110.35224,4.99321,-24.90768,130.68871,13.42057,2.80812,91.56832,4.3386,1.0443,52.67009,0.99956,-1.85922,13.01159,-8.92895,-3.56185,5.50603,-0.04462,-9.99121,90.24518,2.98173,-6.42244,51.75326,8.72366,-14.51287,13.89166,-4.72429,-13.6528,6.26939,4.18216
0.66667,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-5.48284,108.71408,2.80021,-6.1174,117.3703,0.44347,-7.13412,133.51725,-2.09783,-6.71161,139.94375,-1.63861,-1.95359,130.52576,-1.3756,3.35838,130.98827,-1.7893,12.7167,109.66804,5.26409,11.36236,129.56379,15.22604,-11.84696,129.76583,-2.24785,-17.12793,130.23437,-2.95094,-27.8129,109.99379,5.29805,-24.92207,130.80715,12.73835,2.82503,91.62643,4.30524,0.88085,52.72885,1.06013,-2.42232,13.12727,-8.97016,-4.10469,5.65016,-0.05804,-9.97025,90.19148,3.02599,-6.42984,51.73079,8.99045,-15.01732,14.07037,-4.71178,-14.15736,6.45479,4.2004
