time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.81887,109.14953,-448.14155,2.3708,117.71439,-445.45351,3.32276,132.85971,-439.29485,3.48076,139.07127,-437.53963,8.00045,129.84928,-441.61112,13.26996,129.2999,-442.34087,24.363,108.604,-435.9765,34.09475,94.53061,-421.68846,-1.82332,129.7979,-439.96549,-6.8623,128.3166,-438.95709,-15.41168,110.38146,-452.99754,-23.39771,92.19952,-463.1243,7.01917,91.85399,-454.23207,9.22274,52.99367,-450.7175,6.88315,22.18307,-477.644,7.82655,13.96657,-469.29159,-5.59593,91.88791,-451.35584,-7.73535,59.06575,-430.24985,-11.68834,57.15255,-470.99929,-12.83854,51.93205,-481.46767
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,2.37742,108.90409,-447.46464,3.13011,117.33138,-444.41483,3.98946,132.2494,-437.71183,4.09125,138.45218,-435.92175,8.70245,129.31784,-440.05751,14.01097,128.98439,-440.61472,23.55817,109.25081,-430.06401,28.78064,100.56398,-410.21004,-1.14647,129.21818,-438.5723,-6.24465,127.8675,-437.68529,-15.28566,113.1587,-454.82608,-24.18001,97.82243,-468.33905,6.8766,91.80543,-454.58269,9.00069,52.83948,-456.69803,7.14831,22.21135,-483.86952,8.01773,13.38673,-476.15371,-5.60902,92.00486,-451.19386,-5.09927,63.31151,-424.66528,-11.39602,56.04994,-464.50776,-14.63328,48.89829,-473.25634
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,3.06294,108.53475,-446.65925,4.03567,116.79031,-443.22608,4.66452,131.55345,-436.16418,4.68166,137.77044,-434.42121,9.45846,128.66263,-438.39351,14.79906,128.63085,-438.67462,23.33308,109.64978,-426.0742,23.06533,105.58159,-404.1586,-0.44008,128.5553,-437.28697,-5.61865,127.41044,-436.59831,-14.48636,114.92793,-455.50455,-23.67377,101.29933,-470.56322,6.73396,91.71954,-454.84738,9.31731,53.41295,-462.14561,7.58563,22.11818,-488.55473,8.32018,11.7421,-483.08107,-5.6574,92.19368,-451.1536,-2.41448,65.58657,-422.7128,-11.18697,50.74573,-459.89608,-15.22694,41.08517,-465.23609
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,3.43275,108.2091,-446.01429,4.47385,116.33191,-442.29634,4.72071,131.04442,-435.10626,4.62329,137.25868,-433.35623,9.62432,128.18236,-437.12412,14.97031,128.32016,-437.18341,22.56102,109.27418,-424.08713,18.27365,107.20113,-402.31016,-0.3155,128.04147,-436.49389,-5.55868,127.10148,-436.01647,-14.03705,115.09636,-455.40435,-23.28744,101.95929,-470.85616,6.66173,91.71249,-454.9981,10.21016,54.50947,-466.42948,9.06339,21.5738,-490.79605,8.73457,9.91591,-489.33011,-5.68823,92.29148,-451.18261,-0.69663,65.76205,-422.92297,-10.92154,42.54065,-455.11024,-14.22354,31.36748,-456.6661
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,3.16318,108.12393,-445.72039,4.02771,116.21476,-441.88918,3.89194,130.93575,-434.71351,3.6299,137.13802,-432.93802,8.89422,128.08271,-436.48719,14.23975,128.15736,-436.33951,20.29194,107.90087,-424.30097,14.79053,104.90738,-402.90731,-1.06415,127.91973,-436.34059,-6.34942,127.13916,-436.09756,-14.89724,114.16336,-454.81811,-24.64452,100.32512,-469.32344,6.75964,91.77844,-454.8398,10.60281,55.75641,-469.50185,10.57778,23.30209,-494.53222,9.07805,11.70932,-495.76601,-5.71101,92.24925,-451.42281,-1.47486,64.41236,-424.3212,-10.40417,33.82079,-450.09379,-12.042,22.35566,-448.08587
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,2.47243,108.24559,-445.77696,3.02151,116.38216,-441.9846,2.60194,131.12542,-434.86588,2.17422,137.32228,-433.10374,7.67013,128.27184,-436.4404,13.00615,128.19817,-436.08897,17.95031,106.31457,-426.67917,12.71903,99.11113,-406.24245,-2.28652,128.09936,-436.66933,-7.57725,127.31822,-436.69157,-16.78635,112.77055,-453.88032,-27.76713,97.41687,-465.73773,6.92279,91.93883,-454.58361,10.85779,55.95407,-469.31267,10.54269,27.93965,-499.22748,9.07209,16.98992,-503.2405,-5.68168,92.05496,-451.66324,-3.83082,61.85796,-426.9236,-9.46198,25.57113,-445.12687,-9.33793,15.05008,-439.88705
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.75831,108.52471,-446.27946,1.98168,116.75768,-442.66621,1.224,131.43765,-435.4454,0.64865,137.60871,-433.63534,6.36124,128.6338,-436.8792,11.68162,128.41253,-436.38253,16.55277,105.15893,-431.14584,12.58155,91.88551,-413.68271,-3.58138,128.39169,-437.42958,-8.84277,127.49147,-437.76097,-19.39428,111.05294,-452.26393,-31.97194,94.22687,-459.72025,7.085,92.03169,-454.20913,11.35254,55.072,-466.17165,10.63404,35.64648,-502.254,9.05836,26.01498,-508.80495,-5.64489,91.88432,-451.89768,-6.35295,58.84036,-431.04274,-8.66445,19.3734,-441.85105,-7.12233,10.2811,-434.563
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.39684,108.79527,-446.93954,1.45535,117.1319,-443.56547,0.5122,131.76257,-436.26684,-0.22255,137.87445,-434.31893,5.68441,128.96145,-437.57472,10.98511,128.51778,-437.01986,16.26863,104.77534,-436.50839,14.82864,85.99781,-424.58169,-4.23901,128.73723,-438.40689,-9.4558,127.69528,-438.95634,-21.91599,109.61006,-449.42362,-35.94116,92.33566,-450.76549,7.19378,91.95665,-453.7314,12.06645,53.87631,-461.04426,11.40587,44.93041,-501.03597,9.61284,37.69936,-510.12776,-5.65293,91.88397,-452.19147,-7.49907,57.10448,-434.46261,-6.26179,16.99557,-442.80213,-5.75768,7.45179,-435.9592
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.95753,108.998,-447.51546,0.82338,117.44354,-444.42643,-0.24268,132.22385,-437.4535,-1.0605,138.29519,-435.41407,4.95227,129.42165,-438.66539,10.24977,128.84481,-438.2117,16.4367,105.62988,-442.04176,18.54524,83.86763,-437.69732,-4.96398,129.12851,-439.55939,-10.15933,127.98354,-440.107,-24.27864,108.89839,-445.42652,-38.76508,93.07974,-439.3582,7.28537,91.98296,-453.32235,12.879,53.32097,-454.45991,12.09413,54.75905,-495.41255,10.66202,49.99431,-506.06196,-5.62211,91.80116,-452.44003,-8.01688,55.58113,-437.95873,-4.18239,18.5322,-455.06069,-4.913,10.66524,-446.35778
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.82892,108.99287,-447.49786,0.60139,117.45876,-444.47064,-0.63118,132.37716,-437.82699,-1.49681,138.45428,-435.82488,4.59559,129.64035,-439.05145,9.90853,129.10643,-438.75209,17.04176,107.31512,-446.88452,22.70772,86.15355,-451.00766,-5.32569,129.14962,-439.78943,-10.49599,127.84987,-440.21494,-25.24633,108.50758,-439.76909,-38.50356,96.26909,-426.67802,7.31896,91.89487,-452.86545,12.60888,54.10114,-444.4403,12.58124,60.59993,-484.90718,12.0665,57.29351,-496.17511,-5.61986,91.89068,-452.90184,-7.41879,54.97337,-440.20498,-4.20103,20.95254,-462.8331,-5.02746,13.25597,-453.98757
