time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.04083,93.9915,0.06395,-0.11825,108.78906,5.41363,0.56818,115.64396,11.19518,1.56685,126.5981,23.32884,1.53287,131.79396,27.16173,6.32924,124.34602,20.40371,11.52785,123.4517,19.52241,13.06169,99.67075,14.62402,14.18836,91.39536,35.29197,-3.61257,124.68521,20.91616,-8.90842,124.26901,20.29709,-16.12944,113.4229,-0.24833,-20.31587,91.67997,-2.82313,6.52299,92.10787,-0.98209,5.46575,54.90379,10.93724,2.73865,24.01243,-15.85997,2.17225,15.524,-7.74891,-6.397,91.75156,-0.38077,-6.03781,59.29368,21.38363,-4.81244,55.23288,-19.38169,-2.49417,46.29775,-26.65855
0.03333,0.0,0.0,14.359,0.04083,93.9915,14.42295,0.10124,108.73936,19.91015,0.69997,115.41613,25.90593,0.71076,125.99117,38.4113,0.65133,131.14296,42.30292,5.68584,123.576,36.0188,10.95918,122.68572,36.05574,10.78983,98.51453,38.81362,8.76111,99.99704,60.96315,-4.21609,124.40596,35.32588,-9.44225,124.38887,34.19036,-15.89315,121.2828,10.93883,-21.59407,101.35391,2.73823,6.48841,92.0585,13.25986,6.12651,53.10072,16.34083,2.54283,24.37954,-12.67734,2.02077,14.92364,-5.7148,-6.42359,91.81479,14.05696,-3.65651,66.61853,43.80296,-6.49999,52.12086,5.57293,-5.59972,41.04694,1.73607
0.06667,0.0,0.0,28.718,0.04083,93.9915,28.78195,0.25448,108.71497,34.33047,0.52705,115.36439,40.3801,-0.75359,126.0497,52.72514,-0.83584,131.21516,56.59819,4.37711,123.32186,51.13036,9.54524,122.271,52.0182,7.62837,99.26841,59.705,3.98962,108.74025,79.5534,-5.2334,124.72463,48.91962,-10.30469,125.12218,47.26841,-14.4894,127.50292,23.42065,-20.54089,110.35201,10.53124,6.47225,91.9689,27.68352,5.58194,54.10098,18.06269,1.75524,23.78426,-9.25133,1.55624,12.90624,-4.80241,-6.45013,91.91118,28.3342,-1.82397,71.08909,61.08129,-7.54484,45.65652,29.45441,-7.52007,33.92757,30.22555
0.1,0.0,0.0,43.0769,0.04083,93.9915,43.14085,0.28567,108.66295,48.82423,0.07346,115.40122,54.77719,-2.37529,126.46353,66.6028,-2.52485,131.64663,70.45018,2.79069,123.47102,65.78662,7.75583,122.16015,67.28028,4.11611,100.18976,77.07493,-0.41769,114.57096,93.49263,-6.35103,125.2334,62.24543,-11.22249,125.87785,60.13448,-13.33256,131.15039,36.4777,-18.59893,116.18994,20.81368,6.475,91.87849,42.24795,3.44854,59.69871,20.279,0.27442,25.95156,-2.76134,0.26355,14.19779,-2.6501,-6.46157,92.01609,42.45,-1.78746,72.49499,75.98225,-7.74511,38.50462,53.86972,-7.58209,27.87023,58.8744
0.13333,0.0,0.0,57.4359,0.04083,93.9915,57.49985,0.16775,108.54748,63.47643,-0.30822,115.42353,69.25402,-3.28874,126.83168,80.62005,-3.45772,132.03776,84.43547,1.81702,123.65008,80.27762,6.60018,122.05912,82.0643,1.4237,100.08918,91.14211,-4.74236,115.714,105.79681,-6.95037,125.63486,75.98684,-11.65622,126.38976,73.56041,-12.47388,131.96266,49.8925,-17.24546,118.08517,33.11281,6.49019,91.85123,56.80296,2.5914,61.88273,32.02352,-1.49757,30.45491,6.03553,-2.71998,19.70624,1.43821,-6.4439,92.07552,56.53128,-3.23678,71.18161,89.4021,-7.15778,32.1196,77.62975,-5.96005,23.68381,85.72707
0.16667,0.0,0.0,71.7949,0.04083,93.9915,71.85885,-0.05013,108.54044,77.85322,-0.48603,115.517,83.51226,-3.461,127.04537,94.7578,-3.60221,132.27032,98.54847,1.60734,123.79649,94.50227,6.3212,122.03382,96.31185,0.65494,99.10926,102.16325,-8.5595,112.5504,117.37329,-7.07976,125.86135,90.08776,-11.72499,126.61349,87.54638,-11.95761,129.86042,63.43625,-17.1769,115.8323,46.91711,6.51529,91.87991,71.32671,1.63419,64.53889,43.83169,-3.48485,35.86709,14.99549,-6.53096,27.29453,7.55264,-6.40828,92.04881,70.72058,-4.90327,67.98354,101.47655,-6.62268,27.27058,97.08323,-4.67896,20.85117,106.73603
0.2,0.0,0.0,86.1538,0.04083,93.9915,86.21775,-0.19815,108.68854,91.83487,-0.52143,115.70563,97.4512,-3.25937,127.14008,108.85177,-3.37258,132.34412,112.67203,1.84972,123.97911,108.38919,6.61557,122.16011,109.99541,2.08517,98.27141,110.82376,-10.44953,105.82179,127.64008,-7.03326,125.91171,104.31796,-11.70873,126.53125,101.79633,-12.22988,125.78475,77.48447,-18.015,109.87423,62.98279,6.53255,91.90524,85.8106,1.21322,59.04864,65.32937,-4.40739,43.08052,28.00336,-8.21675,36.53327,19.01527,-6.38429,91.9822,85.05961,-6.11741,64.74468,113.08422,-7.00096,23.933,109.41964,-4.9669,17.68782,119.16766
0.23333,0.0,0.0,100.513,0.04083,93.9915,100.57695,-0.077,108.83757,105.79161,-0.48175,115.85874,111.39754,-2.8738,127.07751,123.08656,-3.02671,132.25045,126.94746,2.33268,124.17829,122.1946,7.26383,122.47196,123.36691,5.47711,98.7262,118.38424,-8.24325,97.19466,135.88629,-6.92794,125.68787,118.85106,-11.67912,126.01811,116.41802,-13.19157,120.52947,92.76463,-19.0406,101.1969,83.33322,6.51856,91.86237,100.16893,2.76201,54.66196,88.7957,-3.58103,50.53181,48.5153,-7.07795,45.33163,38.57079,-6.40406,91.98355,99.53184,-6.41921,62.09847,124.71545,-7.61176,22.08099,115.94152,-5.71251,14.98916,125.12097
0.26667,0.0,0.0,114.872,0.04083,93.9915,114.93595,0.17406,108.88344,120.01776,-0.38436,115.75291,125.79578,-2.20082,126.34095,138.15741,-2.3692,131.40948,142.15377,3.03523,123.76975,136.64702,8.1311,122.26103,137.24526,9.76822,100.72313,126.05064,-1.04474,89.74442,142.15851,-6.56963,124.90415,134.2644,-11.42639,125.01534,132.02787,-14.30424,113.82167,110.61957,-19.32755,92.10591,110.29859,6.48576,91.77696,114.4676,6.84099,52.69756,114.55015,-1.95353,54.12203,74.54477,-4.75709,48.87975,64.40464,-6.44122,92.05618,113.98819,-5.57774,59.40524,135.44752,-7.06987,21.38916,120.20435,-5.55889,13.49767,128.78367
0.3,0.0,0.0,129.231,0.04083,93.9915,129.29495,0.20911,108.85065,134.47081,-0.31523,115.45215,140.55624,-1.32708,125.13742,153.72391,-1.36439,130.01112,157.95887,3.82064,122.82191,151.61489,9.00779,121.52096,151.6698,13.74369,104.77927,134.66487,8.70102,87.25274,147.48312,-5.97362,123.83999,150.1138,-10.99582,123.93628,148.27786,-14.82656,106.84914,131.3885,-17.50915,87.80759,142.66388,6.47727,91.74256,128.87648,9.46389,55.33851,142.7746,-0.0032,54.50734,102.90624,-1.87739,47.35702,93.7671,-6.4425,92.09971,128.2711,-4.76896,56.82572,145.01257,-5.97901,21.71121,123.91019,-4.66094,13.30446,132.019
