time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,0.89568,109.7062,-452.87486,0.9156,118.69492,-453.17433,0.92167,135.06977,-453.45771,0.91589,141.52636,-453.49828,5.9065,131.68453,-453.44538,11.13986,130.70878,-452.93362,17.14088,107.20156,-451.12281,19.58541,86.23606,-443.95428,-4.04654,131.68172,-453.83794,-9.26572,130.54929,-453.55456,-15.01659,106.91391,-453.11681,-18.10127,86.07852,-445.81732,7.30714,91.78087,-451.9534,10.44306,52.82757,-451.58123,12.76958,12.63907,-459.28025,13.81328,5.14821,-450.2824,-5.62665,91.8059,-452.31551,-9.51836,52.9453,-450.88639,-10.50298,12.63919,-458.25192,-12.46049,5.14828,-449.40783
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.90406,109.70575,-452.88492,0.92661,118.69427,-453.19019,0.92945,135.06893,-453.48434,0.92544,141.5255,-453.52803,5.91506,131.68495,-453.45491,11.14695,130.70964,-452.92746,17.10468,107.19628,-451.05444,19.48001,86.2483,-443.81182,-4.03676,131.67939,-453.87717,-9.25704,130.54842,-453.60857,-15.04733,106.9236,-453.1231,-18.16764,86.12936,-445.72212,7.30557,91.77818,-451.93828,10.4421,52.82507,-451.55176,12.76829,12.63927,-459.26496,13.81108,5.14839,-450.26702,-5.62741,91.80871,-452.32782,-9.52155,52.94867,-450.89034,-10.50447,12.63936,-458.23858,-12.46518,5.14848,-449.39517
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.90541,109.70582,-452.88309,0.92788,118.69431,-453.18924,0.92748,135.06881,-453.49207,0.92569,141.52527,-453.54993,5.91382,131.68603,-453.44999,11.14453,130.71263,-452.90753,17.04233,107.18756,-450.99233,19.30866,86.25197,-443.67933,-4.03706,131.67788,-453.89391,-9.2578,130.54685,-453.6349,-15.06936,106.92834,-453.09876,-18.19621,86.17333,-445.59122,7.30505,91.77804,-451.92792,10.43615,52.82465,-451.52493,12.76161,12.63921,-459.24022,13.80402,5.14835,-450.24223,-5.62727,91.80884,-452.33869,-9.52398,52.94994,-450.87737,-10.50538,12.6392,-458.21795,-12.46621,5.14833,-449.37455
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,0.90059,109.70502,-452.90235,0.92068,118.69323,-453.21685,0.91724,135.06763,-453.52518,0.91551,141.52407,-453.58511,5.90423,131.68592,-453.47515,11.13389,130.71256,-452.92258,16.97121,107.1755,-450.96983,19.12588,86.24941,-443.5961,-4.04603,131.67551,-453.93266,-9.26714,130.54429,-453.68197,-15.08401,106.92833,-453.09365,-18.19898,86.2065,-445.49012,7.30548,91.78072,-451.91739,10.4305,52.82703,-451.49708,12.74696,12.64214,-459.21792,13.79125,5.15127,-450.22015,-5.62635,91.80638,-452.34385,-9.54219,52.95107,-450.8387,-10.52702,12.64208,-458.1884,-12.484,5.15119,-449.34417
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.90708,109.70399,-452.92532,0.92907,118.69191,-453.2478,0.92226,135.06639,-453.55191,0.91844,141.52288,-453.60592,5.90996,131.6858,-453.4967,11.13932,130.71284,-452.94067,16.91451,107.16289,-450.95877,18.95682,86.24884,-443.51922,-4.03974,131.67324,-453.9663,-9.26116,130.54173,-453.72369,-15.06563,106.9239,-453.08997,-18.14476,86.22827,-445.40095,7.30452,91.77858,-451.9127,10.42849,52.82514,-451.46241,12.74061,12.64252,-459.19642,13.78504,5.15168,-450.19864,-5.6272,91.80881,-452.34215,-9.54531,52.9538,-450.83535,-10.52577,12.6424,-458.17244,-12.48747,5.1515,-449.32927
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.90353,109.70375,-452.93098,0.92372,118.6916,-453.25568,0.91441,135.06606,-453.56011,0.9114,141.52256,-453.61327,5.90263,131.68629,-453.50233,11.13228,130.71657,-452.9433,16.83874,107.15119,-450.9458,18.773,86.24579,-443.45324,-4.04683,131.67211,-453.97693,-9.26848,130.54144,-453.73528,-15.04264,106.91717,-453.06578,-18.07856,86.24427,-445.29884,7.30485,91.78037,-451.9069,10.4252,52.82696,-451.42979,12.7307,12.64476,-459.16793,13.77611,5.15392,-450.17027,-5.62654,91.80708,-452.34636,-9.55894,52.95528,-450.79482,-10.53422,12.64472,-458.13719,-12.49309,5.15393,-449.2933
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.90288,109.70316,-452.9441,0.92294,118.69075,-453.27571,0.91419,135.06502,-453.59061,0.91069,141.52151,-453.64541,5.90229,131.68511,-453.53064,11.13271,130.72035,-452.97025,16.77273,107.14079,-450.95147,18.61375,86.24067,-443.42081,-4.04716,131.67097,-454.00529,-9.26867,130.54036,-453.76022,-15.01826,106.91064,-453.07162,-17.98322,86.25702,-445.22636,7.30499,91.78084,-451.90655,10.42432,52.82736,-451.42795,12.73524,12.64019,-459.1386,13.77627,5.14934,-450.14044,-5.6265,91.80678,-452.34307,-9.5601,52.95515,-450.7903,-10.54199,12.64018,-458.10756,-12.50022,5.14939,-449.26353
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.90089,109.70349,-452.93705,0.92092,118.69101,-453.27044,0.91644,135.0648,-453.60967,0.9138,141.52129,-453.66408,5.90366,131.68365,-453.54636,11.13421,130.71748,-452.98964,16.72151,107.12859,-450.93364,18.48969,86.23533,-443.36658,-4.04595,131.67146,-454.01762,-9.26723,130.54096,-453.76712,-14.98063,106.90373,-453.03654,-17.89438,86.26489,-445.13342,7.30522,91.78158,-451.90601,10.41052,52.82733,-451.40052,12.71042,12.63675,-459.09668,13.75429,5.14589,-450.09885,-5.62617,91.80595,-452.34557,-9.56695,52.95557,-450.77961,-10.55995,12.63678,-458.0743,-12.51613,5.14585,-449.22992
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.90166,109.70347,-452.93748,0.92431,118.69092,-453.27262,0.93256,135.06452,-453.62047,0.92708,141.52116,-453.65331,5.91715,131.67946,-453.55861,11.14806,130.70608,-453.01811,16.70277,107.11309,-450.92123,18.42915,86.23752,-443.29592,-4.03278,131.6749,-454.02342,-9.25398,130.54368,-453.77457,-14.94387,106.90203,-453.00457,-17.80467,86.27691,-445.04648,7.30515,91.78121,-451.90727,10.41166,52.82754,-451.36577,12.70925,12.63492,-459.052,13.74926,5.14407,-450.05372,-5.62632,91.80632,-452.34419,-9.56741,52.95725,-450.74699,-10.55948,12.63498,-458.02256,-12.5228,5.14413,-449.17971
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.89834,109.70282,-452.95193,0.92329,118.69019,-453.28914,0.9512,135.06416,-453.61812,0.94341,141.52087,-453.6221,5.93169,131.67287,-453.56873,11.163,130.68901,-453.05148,16.6915,107.09177,-450.93321,18.40029,86.23492,-443.2529,-4.01902,131.68114,-454.01644,-9.24031,130.5505,-453.76696,-14.91197,106.90551,-452.96565,-17.75081,86.29062,-444.97326,7.30557,91.78294,-451.90376,10.40336,52.82936,-451.30826,12.68965,12.63791,-459.00392,13.73035,5.14706,-450.00572,-5.62581,91.80478,-452.34367,-9.58526,52.95941,-450.70223,-10.59231,12.63782,-457.97948,-12.54683,5.14699,-449.13467
