time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,0.53933,109.43967,-5.56682,0.7157,118.43143,-5.63218,0.70354,134.04453,-0.68781,0.80782,140.14762,1.41709,5.68593,130.8992,-1.94924,10.98745,131.01545,-1.25473,17.18655,107.74288,-4.69559,4.12709,116.18799,11.27458,-4.27483,130.88623,-1.93182,-9.50633,130.8358,-0.82216,-17.04342,108.3681,-6.32581,-1.6542,113.35897,9.00957,6.38038,91.6029,-2.24942,6.01239,55.75565,13.31245,11.15096,15.17108,10.80432,7.60977,7.6802,19.1416,-6.53068,91.92165,-3.03529,-2.13107,54.49143,7.30666,4.08851,15.17288,-2.44891,1.83019,7.68198,6.32321
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.54643,109.43718,-5.58031,0.72874,118.4289,-5.63328,0.73301,134.01283,-0.59769,0.83815,140.10689,1.53318,5.71215,130.86929,-1.87632,11.01377,130.98671,-1.18272,17.23864,107.73087,-4.68957,4.18978,116.15993,11.29773,-4.24862,130.86749,-1.86132,-9.47695,130.8183,-0.73677,-16.96943,108.34534,-6.2797,-1.61304,113.36578,9.07893,6.37955,91.59994,-2.25154,5.98355,55.76694,13.34244,11.08685,15.1759,10.86724,7.55414,7.68504,19.20813,-6.53182,91.92531,-3.02942,-2.16988,54.50168,7.35228,4.02433,15.17718,-2.39543,1.76267,7.68639,6.37592
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.55265,109.43477,-5.59344,0.73952,118.42645,-5.63664,0.75619,133.98528,-0.52404,0.86033,140.06964,1.63441,5.73286,130.84396,-1.81767,11.03501,130.95936,-1.1278,17.28276,107.72221,-4.71688,4.26898,116.14678,11.30135,-4.22791,130.85037,-1.80374,-9.45281,130.80215,-0.66333,-16.90457,108.32782,-6.2554,-1.588,113.34786,9.14307,6.37865,91.59792,-2.25013,5.94447,55.77607,13.36842,11.02121,15.18048,10.91318,7.50448,7.68962,19.26082,-6.53266,91.928,-3.02717,-2.2191,54.50757,7.3862,3.96525,15.17933,-2.35273,1.70423,7.68847,6.41871
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,0.56209,109.43275,-5.60346,0.75562,118.42434,-5.63536,0.79146,133.95709,-0.44419,0.89442,140.03157,1.742,5.76431,130.81586,-1.75262,11.06692,130.92867,-1.06587,17.32855,107.70842,-4.73911,4.34689,116.12305,11.31037,-4.19645,130.8352,-1.74077,-9.41834,130.78942,-0.58653,-16.84159,108.32034,-6.2373,-1.58532,113.32119,9.22713,6.37689,91.59557,-2.24245,5.91221,55.77175,13.37068,10.96267,15.17106,10.94582,7.44921,7.68019,19.29483,-6.53352,91.93091,-3.03205,-2.27334,54.50695,7.39061,3.90356,15.17078,-2.32098,1.63862,7.67993,6.44946
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.57418,109.43293,-5.59975,0.77433,118.42441,-5.62027,0.82336,133.93977,-0.37746,0.92776,140.00783,1.82638,5.7934,130.79957,-1.69897,11.09648,130.90776,-1.0151,17.37096,107.70709,-4.78874,4.44291,116.10992,11.31012,-4.16733,130.82556,-1.68179,-9.38625,130.7802,-0.51419,-16.79174,108.32953,-6.26063,-1.60737,113.29657,9.28525,6.37495,91.59079,-2.24084,5.88072,55.77435,13.38833,10.91644,15.17053,10.98531,7.405,7.67969,19.3352,-6.53495,91.93565,-3.03469,-2.30892,54.51288,7.40614,3.87193,15.17003,-2.27581,1.59843,7.67911,6.49236
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.59573,109.43253,-5.59729,0.80752,118.42376,-5.60669,0.87362,133.92118,-0.31126,0.97482,139.98335,1.9089,5.84008,130.78086,-1.6459,11.14402,130.88169,-0.96759,17.44737,107.70353,-4.83045,4.55004,116.1035,11.29453,-4.12062,130.81606,-1.62366,-9.33863,130.77374,-0.4519,-16.75493,108.34577,-6.27257,-1.62694,113.27643,9.33972,6.37203,91.58082,-2.24708,5.86688,55.76807,13.39019,10.87343,15.16044,10.99058,7.36914,7.66957,19.34345,-6.53804,91.94573,-3.02915,-2.3195,54.51669,7.39224,3.82529,15.16149,-2.26244,1.55406,7.67064,6.50639
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,0.62219,109.43345,-5.58559,0.84787,118.42434,-5.58149,0.92922,133.9058,-0.23978,1.0308,139.96345,1.99265,5.8928,130.76317,-1.57968,11.19647,130.85701,-0.89827,17.52581,107.6991,-4.83923,4.60718,116.0632,11.28734,-4.06785,130.81096,-1.56556,-9.285,130.76576,-0.39006,-16.74043,108.36804,-6.27683,-1.64604,113.25421,9.3819,6.36829,91.56856,-2.25372,5.84436,55.75506,13.38122,10.8418,15.14552,10.99506,7.33922,7.65465,19.34865,-6.54167,91.95773,-3.02577,-2.31785,54.51745,7.35299,3.79188,15.14539,-2.2551,1.52022,7.65459,6.51366
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.64972,109.43507,-5.56904,0.88866,118.4256,-5.55081,0.98151,133.89308,-0.16893,1.08369,139.94545,2.07775,5.94278,130.75004,-1.51638,11.24565,130.83716,-0.82781,17.59356,107.69825,-4.84968,4.67262,116.00277,11.30581,-4.01783,130.80561,-1.50336,-9.23543,130.76252,-0.32978,-16.74888,108.39891,-6.27222,-1.67639,113.23539,9.42299,6.36438,91.55559,-2.26144,5.82056,55.73097,13.3473,10.79595,15.11767,10.97907,7.3149,7.62683,19.34168,-6.54543,91.97024,-3.02266,-2.31225,54.50835,7.27398,3.75468,15.11673,-2.28088,1.48939,7.62584,6.48944
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.66844,109.43985,-5.53517,0.91845,118.43001,-5.49555,1.02998,133.88244,-0.07098,1.13564,139.93217,2.18266,5.98753,130.73659,-1.42556,11.28947,130.81599,-0.72896,17.66495,107.69658,-4.81879,4.72788,115.93026,11.36002,-3.973,130.80526,-1.41546,-9.19137,130.76431,-0.24521,-16.77026,108.43927,-6.24923,-1.70892,113.21035,9.47667,6.36156,91.54616,-2.26751,5.79864,55.70203,13.29572,10.75792,15.08547,10.9498,7.27565,7.59461,19.31188,-6.54783,91.97835,-3.02602,-2.32019,54.49702,7.20194,3.71451,15.08689,-2.29687,1.44493,7.59608,6.47242
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,0.68812,109.44468,-5.50005,0.95006,118.4344,-5.44112,1.0827,133.87624,0.01304,1.18898,139.92487,2.26961,6.03624,130.72416,-1.34172,11.33606,130.79563,-0.62836,17.73313,107.69207,-4.77368,4.77171,115.86485,11.41652,-3.92416,130.81055,-1.34318,-9.14141,130.77926,-0.16766,-16.77236,108.4947,-6.25557,-1.74089,113.18927,9.52185,6.35827,91.53727,-2.26784,5.76431,55.67637,13.25553,10.7024,15.05707,10.91213,7.22359,7.56623,19.27566,-6.55002,91.98589,-3.03548,-2.33876,54.48236,7.1176,3.65573,15.05772,-2.34636,1.38924,7.56686,6.42367
