time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.24563,109.65702,-2.83552,-0.38224,118.64705,-2.61657,-0.60344,135.00063,-1.76374,-0.78297,141.45125,-1.5482,4.41182,131.6685,-1.53434,9.63649,131.46806,-0.40974,15.17587,107.95288,-3.27886,19.78803,86.3848,-0.04445,-5.46462,131.60257,-2.82613,-10.77137,130.94152,-2.76298,-15.73619,107.73836,-8.13503,-20.87423,86.10576,-6.5406,6.38652,91.8184,-1.80038,3.00048,53.88196,6.95711,1.10396,13.04193,4.07643,0.36958,5.55107,13.10478,-6.31807,91.64558,-4.24545,-4.64091,52.99077,1.26153,2.48752,13.04198,-4.49016,-3.71954,5.55114,2.10706
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.26696,109.65733,-2.91909,-0.4038,118.6482,-2.7384,-0.58135,135.00417,-1.92197,-0.75031,141.45535,-1.71468,4.42613,131.6599,-1.69926,9.65026,131.46267,-0.57162,15.17965,107.92361,-3.25846,19.71665,86.40582,0.39061,-5.45408,131.61603,-2.96288,-10.76163,130.965,-2.87031,-15.7797,107.73844,-8.08964,-20.91686,86.11017,-6.43487,6.3932,91.83363,-1.80938,3.0339,53.86904,6.8357,1.11607,13.04025,3.81331,0.37214,5.5494,12.8409,-6.31881,91.63027,-4.21316,-4.65923,52.95863,1.17981,2.50141,13.04034,-4.74121,-3.70689,5.54946,1.85479
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.28926,109.65714,-2.99309,-0.42615,118.64866,-2.84857,-0.5569,135.00726,-2.07709,-0.71302,141.4595,-1.89405,4.44167,131.64972,-1.85389,9.6663,131.45102,-0.72882,15.18333,107.88869,-3.23074,19.65642,86.4411,0.88119,-5.44083,131.6298,-3.10009,-10.7489,130.98781,-2.97876,-15.82229,107.73805,-8.03886,-20.96527,86.12472,-6.21552,6.3983,91.84836,-1.811,3.01947,53.86599,6.74793,1.11745,13.04947,3.55466,0.37123,5.55862,12.58205,-6.31769,91.61559,-4.19093,-4.68377,52.93126,1.11821,2.51404,13.0494,-4.99997,-3.69485,5.55849,1.59545
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.30178,109.65686,-3.03698,-0.43269,118.64886,-2.91873,-0.50436,135.01025,-2.20063,-0.64138,141.46356,-2.04182,4.48325,131.63613,-1.98234,9.70935,131.42908,-0.86561,15.19231,107.83905,-3.17394,19.62147,86.47938,1.41545,-5.4032,131.64643,-3.19693,-10.71168,131.01501,-3.04244,-15.82688,107.7388,-7.93611,-20.98337,86.14803,-5.89644,6.40411,91.85681,-1.8277,3.0623,53.86767,6.71572,1.14734,13.06664,3.33753,0.40551,5.57577,12.36526,-6.32002,91.60722,-4.16199,-4.68361,52.9134,1.07677,2.5484,13.0665,-5.22604,-3.66121,5.57558,1.36867
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.32169,109.65628,-3.08463,-0.44761,118.64867,-2.99392,-0.45118,135.01247,-2.32895,-0.57237,141.46673,-2.19832,4.52369,131.6191,-2.11843,9.752,131.40029,-1.01437,15.19402,107.78249,-3.12737,19.56595,86.51529,1.92317,-5.36715,131.66509,-3.29582,-10.67638,131.04801,-3.1119,-15.82283,107.75037,-7.86894,-20.99427,86.19411,-5.52492,6.41041,91.86844,-1.84175,3.07915,53.86748,6.65309,1.17826,13.08003,3.10721,0.44325,5.58917,12.13552,-6.32076,91.59575,-4.13467,-4.70875,52.88917,1.01663,2.58931,13.08024,-5.44792,-3.62435,5.58945,1.14314
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.34149,109.65581,-3.09533,-0.46283,118.64839,-3.01873,-0.40104,135.01426,-2.41017,-0.50115,141.46937,-2.3063,4.56149,131.60248,-2.20611,9.79126,131.37317,-1.11116,15.20149,107.73127,-3.02718,19.51856,86.54955,2.41461,-5.33336,131.68258,-3.34753,-10.64356,131.0834,-3.13487,-15.80892,107.75647,-7.72494,-21.0081,86.24733,-5.03487,6.41787,91.87724,-1.8678,3.10277,53.86847,6.59835,1.24554,13.09284,2.89673,0.50208,5.60197,11.92434,-6.32271,91.58708,-4.10563,-4.70706,52.86774,0.94767,2.64374,13.09301,-5.66596,-3.56819,5.60208,0.92657
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.36197,109.65532,-3.09904,-0.47997,118.64804,-3.03394,-0.35835,135.01558,-2.48189,-0.44031,141.47134,-2.40648,4.59278,131.58698,-2.28316,9.82376,131.35073,-1.19543,15.20354,107.68686,-2.91586,19.47306,86.57649,2.83211,-5.3056,131.69818,-3.39083,-10.6174,131.12191,-3.15592,-15.80626,107.76197,-7.54732,-21.01271,86.30806,-4.45965,6.42488,91.88581,-1.89236,3.14585,53.8614,6.51746,1.28833,13.09751,2.68895,0.5443,5.60664,11.71652,-6.32401,91.57865,-4.08004,-4.68626,52.84638,0.86593,2.69317,13.09771,-5.87129,-3.51547,5.60676,0.72432
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.37535,109.65455,-3.15547,-0.48849,118.64751,-3.12112,-0.31218,135.01622,-2.62105,-0.37528,141.4724,-2.56632,4.62843,131.5722,-2.42688,9.8608,131.33071,-1.34707,15.20899,107.64594,-2.86676,19.42752,86.58505,3.09633,-5.27294,131.71206,-3.50416,-10.58553,131.15702,-3.23808,-15.80474,107.77012,-7.44619,-21.01203,86.38632,-3.9067,6.42894,91.89518,-1.89874,3.15483,53.86248,6.47544,1.335,13.11669,2.44166,0.58692,5.62584,11.4689,-6.32435,91.5695,-4.05794,-4.68318,52.8252,0.7918,2.75294,13.1166,-6.11718,-3.45772,5.62565,0.47653
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.37193,109.65348,-3.24571,-0.47677,118.6466,-3.25574,-0.26121,135.01645,-2.81154,-0.31489,141.47282,-2.77011,4.6716,131.56149,-2.61373,9.90481,131.31407,-1.53931,15.21795,107.60891,-2.84951,19.39114,86.57485,3.23884,-5.23116,131.721,-3.67535,-10.54366,131.17908,-3.38192,-15.82669,107.77142,-7.39021,-21.01412,86.47605,-3.32711,6.42715,91.90022,-1.87914,3.15052,53.8681,6.49663,1.38365,13.15099,2.16096,0.63297,5.66013,11.18798,-6.3235,91.56475,-4.05239,-4.70068,52.80951,0.71546,2.81341,13.15098,-6.39383,-3.39608,5.66001,0.20096
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.36627,109.65085,-3.38381,-0.46195,118.64376,-3.45853,-0.20528,135.0147,-3.08113,-0.25219,141.47118,-3.05179,4.71864,131.54812,-2.86575,9.9508,131.29226,-1.78818,15.22584,107.57034,-2.93938,19.36769,86.54626,3.20459,-5.18295,131.72831,-3.93493,-10.49544,131.19134,-3.63225,-15.87546,107.7637,-7.38675,-21.02852,86.57994,-2.7386,6.42381,91.90814,-1.84626,3.14517,53.87548,6.52633,1.44684,13.19511,1.83317,0.6927,5.70425,10.85991,-6.32175,91.55757,-4.04679,-4.74552,52.78831,0.62161,2.87569,13.19471,-6.73146,-3.33666,5.70377,-0.13934
