time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,0.92956,109.68138,-453.31938,0.92332,118.64218,-452.55055,0.71978,133.75094,-446.23391,0.28942,139.06996,-442.59906,5.74466,130.61938,-447.35306,11.09215,130.56159,-447.29811,20.11327,109.30493,-454.95675,17.31615,99.81697,-434.98001,-4.18034,130.82772,-448.17042,-9.47345,130.22241,-448.63853,-18.53605,109.26799,-457.04549,-16.01843,99.96993,-436.94279,7.28139,91.80144,-451.52075,11.51392,57.4115,-433.44453,15.58281,20.17126,-450.07018,14.67809,10.99493,-442.78046,-5.61034,91.79225,-452.62428,-10.12643,57.19019,-435.02779,-7.38961,16.48388,-438.94047,-10.04938,9.54178,-429.83572
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.17081,109.67684,-453.3395,1.26315,118.64119,-452.619,1.03349,133.83594,-446.51304,0.55854,139.18347,-442.9259,6.05186,130.61827,-447.39117,11.38797,130.52059,-447.04688,20.87857,108.93998,-453.05407,16.33615,100.68485,-432.85173,-3.82901,130.95661,-448.60398,-9.10893,130.43157,-449.27428,-18.20889,109.81952,-458.45193,-16.39016,100.04599,-438.49995,7.23594,91.71237,-451.39912,11.4112,56.41043,-435.16112,15.42563,21.15413,-455.67162,14.15101,11.41123,-449.22067,-5.63211,91.88259,-452.74031,-10.24069,57.55963,-434.62872,-7.6289,16.7419,-437.2545,-10.40464,10.09002,-427.96949
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.40759,109.66707,-453.38228,1.59887,118.63212,-452.69059,1.35043,133.85531,-446.65664,0.81129,139.18949,-443.05871,6.35304,130.56489,-447.33155,11.66352,130.42966,-446.71299,21.53505,108.62121,-451.05176,15.35018,101.65626,-430.79954,-3.46921,131.03417,-448.91912,-8.72551,130.58879,-449.79968,-17.90435,110.35,-459.70098,-16.82825,100.16821,-439.89987,7.19046,91.62589,-451.29724,11.23583,55.47402,-437.01404,15.26578,22.18733,-460.58432,13.60081,12.03179,-454.90484,-5.65262,91.97179,-452.83027,-10.34563,58.15693,-433.80751,-7.95236,17.26682,-435.2475,-10.78056,10.82229,-425.83299
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,1.59884,109.6508,-453.48927,1.8736,118.61611,-452.82981,1.61604,133.82601,-446.76281,1.00985,139.12862,-443.12906,6.59694,130.47511,-447.28305,11.87117,130.31415,-446.41202,21.97784,108.35479,-449.15472,14.37102,102.68389,-428.98314,-3.16138,131.07093,-449.19021,-8.38716,130.70274,-450.2664,-17.61958,110.85516,-460.88389,-17.32632,100.33125,-441.23517,7.15281,91.56106,-451.21158,10.84427,54.65718,-438.89049,14.75828,23.03122,-464.66416,13.06944,12.5404,-459.63882,-5.66826,92.04115,-452.88612,-10.60325,58.95107,-432.68644,-8.39666,18.02636,-433.006,-11.28988,11.76515,-423.48812
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.71545,109.64764,-453.45318,2.05336,118.60839,-452.7618,1.83349,133.78548,-446.61173,1.18658,139.05615,-442.93874,6.78355,130.37473,-447.02674,12.01885,130.18269,-445.95121,22.23462,108.13812,-447.19868,13.43057,103.69709,-427.20665,-2.91535,131.10508,-449.17502,-8.11071,130.80512,-450.40822,-17.29862,111.35553,-461.77445,-17.85977,100.57858,-442.26924,7.1313,91.51405,-451.19163,10.06627,53.98359,-440.69483,13.41675,22.85866,-467.14887,12.50312,12.44288,-461.77854,-5.67925,92.08904,-452.91612,-10.89527,59.86875,-431.4224,-9.04064,18.94057,-430.30538,-11.95082,12.85285,-420.68072
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.6746,109.65189,-453.42697,2.02475,118.60795,-452.68303,1.89781,133.69721,-446.31797,1.24159,138.89922,-442.54999,6.81133,130.23111,-446.70781,12.01963,129.9864,-445.51792,22.2069,107.89387,-445.37422,12.47369,104.5531,-425.60002,-2.84405,131.11328,-448.99093,-8.01109,130.85974,-450.34733,-17.05654,111.79516,-462.45588,-18.49215,100.81461,-443.10963,7.13907,91.52785,-451.2061,9.60125,53.6834,-441.76852,12.35945,21.4287,-466.90475,11.65303,12.39545,-459.4171,-5.67563,92.07406,-452.90895,-11.05262,60.6785,-430.26517,-9.72352,19.82218,-427.299,-12.65122,14.07038,-417.47511
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.54188,109.66204,-453.37765,1.8812,118.61041,-452.54179,1.9244,133.53528,-445.79921,1.30475,138.64657,-441.90306,6.80082,130.02949,-446.28764,12.00003,129.6939,-445.08032,22.05412,107.57611,-443.81569,11.73853,105.09,-424.21153,-2.84964,131.06855,-448.52505,-8.00013,130.83857,-449.94706,-16.67902,112.1208,-462.83959,-18.99385,100.90669,-443.71379,7.16832,91.57252,-451.28337,8.90049,54.02391,-440.58602,11.16547,20.75502,-464.4157,10.73232,12.50935,-456.05,-5.6679,92.02655,-452.84542,-10.94202,61.10173,-429.53936,-10.32432,20.4433,-424.40967,-13.3178,15.3989,-414.22357
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.4688,109.66255,-453.41185,1.82556,118.6037,-452.50866,2.08999,133.3333,-445.35429,1.57366,138.32364,-441.28992,6.93118,129.80776,-446.01912,12.14448,129.39304,-444.9004,22.03326,107.26754,-442.76609,11.45653,105.14289,-423.25881,-2.74563,130.97805,-448.07019,-7.90638,130.79093,-449.46095,-15.90638,112.3429,-463.1564,-18.99846,100.74112,-444.37479,7.18938,91.59702,-451.3662,8.30357,54.70997,-438.50397,10.65248,20.63705,-461.16056,10.19923,12.67818,-452.52258,-5.66859,92.00192,-452.75307,-10.64537,60.95181,-429.54841,-10.82342,20.6692,-421.99309,-14.00182,16.60069,-411.43333
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.34374,109.64632,-453.65933,1.68392,118.5929,-452.80483,2.1453,133.20096,-445.41514,1.76334,138.09063,-441.2158,6.95618,129.66298,-446.21931,12.19579,129.21107,-445.24755,21.95145,107.06946,-442.70656,11.38531,104.94804,-423.19319,-2.74745,130.91478,-448.08738,-7.93832,130.79495,-449.36918,-15.15631,112.54792,-463.75117,-18.73922,100.43916,-445.38131,7.20647,91.66306,-451.31323,8.12543,55.40819,-436.75054,10.09709,20.51446,-458.15951,9.64166,12.65943,-449.42712,-5.65083,91.94039,-452.73708,-10.53688,60.33691,-430.27199,-11.43984,20.58111,-420.34909,-14.97095,17.55324,-409.55433
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,1.27365,109.62449,-453.89994,1.59388,118.57866,-453.12062,2.14669,133.14062,-445.64669,1.83146,137.98455,-441.3892,6.94285,129.59642,-446.50927,12.20219,129.1339,-445.65636,21.91856,106.93524,-443.49016,11.60739,104.71267,-423.85205,-2.77189,130.88201,-448.29486,-7.98602,130.80524,-449.48204,-14.75689,112.66057,-464.20692,-18.23918,100.16902,-446.07557,7.20562,91.71637,-451.18253,8.01882,55.90947,-435.54486,9.64827,20.13524,-455.47857,9.1558,12.37907,-446.66025,-5.63045,91.89318,-452.80072,-11.21411,59.74482,-431.29166,-13.22128,20.43438,-419.86959,-16.56881,17.58165,-408.96915
