time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.47797,109.57598,-3.6682,-2.06885,118.54958,-3.77984,-2.09242,134.91413,-3.13414,-1.94917,141.21738,-4.5262,2.57942,131.6096,-5.02161,7.41339,133.01525,-6.82689,13.07393,124.18355,-28.77774,31.44956,111.9693,-25.60542,-6.90313,131.47604,-1.97521,-11.44488,132.23046,0.74616,-13.17414,112.59507,15.00647,-1.26937,131.43765,15.38689,6.64271,92.34021,-3.16234,3.50456,60.76673,19.65432,7.4472,29.14676,-6.12233,7.86603,17.40721,-6.53612,-6.23085,91.14636,-2.65146,-4.59549,53.06347,5.97137,-1.79297,12.19546,7.29607,-1.34609,2.11066,13.31775
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.8163,109.60967,-3.95338,-1.18835,118.5904,-4.26193,-1.42096,134.9641,-4.00951,-1.27184,141.26051,-5.43155,3.33192,131.674,-5.71068,8.21922,133.10311,-7.34593,14.34492,124.09256,-29.09832,31.80969,111.57273,-23.16948,-6.21589,131.49499,-2.87795,-10.88354,132.07064,-0.33154,-14.53398,110.9033,11.0927,-1.5303,128.40278,15.73848,6.56654,92.05375,-3.20727,5.06644,58.17222,16.21241,8.07465,28.35573,-11.74703,7.21662,16.77029,-13.53726,-6.33906,91.42343,-2.52706,-4.61715,53.63001,7.27225,-1.58311,12.78005,8.6426,-1.05162,2.92263,15.02323
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.01145,109.62255,-4.082,-0.10802,118.60499,-4.52204,-0.54801,134.97592,-4.64483,-0.40774,141.2704,-6.07627,4.30237,131.71094,-6.10163,9.28893,133.03622,-7.50872,16.08236,123.20661,-28.70091,31.50178,110.16864,-19.25801,-5.33804,131.47084,-3.60725,-10.18199,131.75358,-1.35809,-15.48964,109.27182,6.27701,-1.86884,123.47354,16.75059,6.4589,91.71427,-3.24458,6.617,55.68541,11.89573,8.47347,26.83427,-17.1554,5.89316,15.60968,-19.50362,-6.45572,91.75932,-2.4539,-4.23673,54.27768,8.38753,-0.56657,13.4771,9.6705,-0.50043,4.17116,16.85094
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,0.68885,109.61348,-3.9905,0.83402,118.59399,-4.45573,0.22092,134.9545,-4.87264,0.34476,141.25215,-6.29162,5.18043,131.72494,-6.00477,10.3126,132.75281,-7.10313,17.96945,121.15181,-27.06985,30.13463,107.75331,-14.05432,-4.58037,131.40942,-4.04405,-9.60813,131.30799,-2.22366,-15.89666,108.06998,1.28984,-3.1475,115.95697,17.78728,6.3554,91.43126,-3.23519,7.43019,53.81218,7.2996,7.74458,24.70945,-21.55755,4.26781,13.65765,-23.54084,-6.54736,92.04486,-2.4888,-4.3298,54.94142,9.58398,-0.68063,14.15975,11.41207,-0.5431,5.41609,19.26656
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,1.09852,109.60883,-3.62822,1.38287,118.59054,-3.99603,0.64824,134.93853,-4.64364,0.70605,141.24749,-6.01583,5.70262,131.74651,-5.40048,10.9775,132.28689,-6.09738,19.50424,117.98177,-23.83263,27.18637,104.39874,-7.91404,-4.16515,131.35489,-4.10015,-9.32156,130.90993,-2.75258,-15.6547,107.42182,-3.06212,-6.21359,106.07226,17.08621,6.29332,91.27567,-3.20123,6.94855,52.75581,3.36563,5.91785,21.90497,-23.59668,3.01259,10.58819,-24.88265,-6.59944,92.20175,-2.6237,-4.32009,55.51069,10.6392,-0.96699,14.85951,14.64438,-0.79087,6.42365,22.82783
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.29859,109.60471,-2.78918,1.67133,118.5906,-2.8328,0.99065,134.94082,-3.48311,0.90722,141.26129,-4.79992,6.08103,131.74655,-3.92273,11.42607,131.76872,-4.10194,20.74389,114.23399,-18.15869,22.56581,101.04316,-0.28138,-3.85007,131.35982,-3.25879,-9.07307,130.72556,-2.29938,-14.99148,107.3711,-5.6813,-10.70385,96.50511,13.30442,6.26427,91.20789,-3.20416,5.19707,52.24325,-0.38444,3.26679,19.77434,-25.32129,1.8282,8.19541,-23.89921,-6.62615,92.27068,-2.85459,-4.34206,56.03918,11.61591,-1.3549,15.97179,19.70816,-1.13879,7.42212,27.77165
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,1.14849,109.60669,-2.40885,1.50519,118.59094,-2.20073,1.05996,134.96193,-2.29243,0.84758,141.27939,-3.60914,6.12825,131.71386,-2.55921,11.45499,131.38213,-2.21602,20.61601,110.84153,-11.49182,15.62817,100.21593,7.45899,-3.8285,131.44386,-2.47318,-9.10033,130.81851,-1.82563,-14.91937,108.11925,-8.3661,-15.19867,91.04913,5.96722,6.29215,91.26764,-3.11234,3.55301,52.30778,-1.71276,2.11249,19.03281,-25.59799,1.16628,8.57205,-20.32156,-6.6122,92.21037,-3.05239,-5.30837,57.12722,14.11753,-3.55239,17.80343,25.53505,-2.26182,8.94893,33.1571
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.5476,109.64336,-2.53374,0.71626,118.62959,-2.20762,0.49416,134.98574,-1.40578,0.30681,141.31918,-2.64741,5.52581,131.67584,-1.59443,10.79402,131.19406,-0.80961,18.8787,108.51317,-4.2875,7.92391,103.84451,14.55691,-4.42467,131.56251,-2.03277,-9.74545,131.11647,-1.72799,-15.92756,110.13204,-12.37368,-19.68134,90.55675,-2.39229,6.38887,91.50688,-3.00383,2.31567,52.69517,-0.90793,1.65352,18.6398,-23.70259,0.28997,9.98466,-15.86723,-6.54146,91.96092,-3.1261,-6.20633,58.15611,16.48147,-5.80366,19.65494,30.52787,-3.49752,10.73467,37.82678
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.0025,109.65448,-2.5908,-0.0107,118.63512,-2.10591,-0.08204,134.91379,-0.31263,-0.18866,141.2719,-1.4317,4.91846,131.56498,-0.61104,10.14,131.12548,0.45873,16.38959,107.84677,3.76406,1.18652,110.37991,19.86888,-5.02263,131.59063,-1.23661,-10.36792,131.41793,-1.26021,-17.08561,113.21624,-15.93898,-23.31276,92.67067,-9.9379,6.46965,91.73451,-3.09999,2.52345,53.08946,1.18022,1.75243,18.06652,-20.09423,0.04422,10.49402,-11.26796,-6.46895,91.73019,-3.01404,-6.50068,59.5592,19.17516,-7.04989,20.91293,32.81214,-4.53737,12.18771,40.27681
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.26205,109.6566,-2.82094,-0.34211,118.63459,-2.29516,-0.31405,134.81959,0.20701,-0.32962,141.19277,-0.82814,4.66463,131.44724,-0.17838,9.83677,131.17888,1.15543,13.78363,109.03906,10.43611,-2.96301,117.64596,22.36871,-5.26765,131.57937,-0.91968,-10.60584,131.69035,-1.22599,-17.87041,116.89827,-19.12336,-25.80391,96.21587,-16.63164,6.50255,91.8418,-3.20369,3.59844,53.43235,3.40028,1.73795,17.46406,-16.16048,-0.02175,9.95405,-7.29106,-6.42953,91.6223,-2.8462,-6.07847,60.83464,21.22309,-6.74849,21.15876,31.47876,-6.00514,12.63953,39.5431
