time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.16656,109.68996,-453.13764,1.26467,118.67633,-453.48798,1.14377,135.05318,-453.49741,1.09797,141.5096,-453.45595,6.15287,131.70705,-453.35285,11.40416,130.86407,-452.7912,19.08987,107.79745,-451.93001,23.15388,87.18816,-444.46967,-3.77789,131.63359,-454.12206,-9.03054,130.62831,-454.16164,-15.55024,107.21947,-455.35119,-17.6805,87.64288,-444.90466,7.23591,91.70404,-451.4221,12.62357,54.00963,-442.62231,14.85811,21.54067,-467.53369,16.87342,10.93032,-462.89444,-5.63089,91.88725,-452.77358,-4.99505,53.3955,-446.04197,1.64397,13.10297,-449.5403,0.28718,5.69624,-440.51461
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.25455,109.68902,-453.11859,1.36534,118.67421,-453.49437,1.122,135.04858,-453.68661,1.05526,141.50493,-453.70099,6.15637,131.74165,-453.51949,11.40993,130.93068,-452.93256,19.50236,108.17298,-450.02048,23.12876,88.80096,-439.60464,-3.77574,131.58567,-454.25836,-9.01875,130.53732,-454.37791,-15.3875,107.27172,-457.54747,-18.47382,86.56539,-449.89022,7.2401,91.65593,-451.61726,12.96525,53.51243,-445.32212,14.34787,23.21557,-472.89007,15.96079,12.13762,-469.30663,-5.65961,91.93563,-452.58373,-4.91686,53.62265,-444.90924,1.62216,13.24531,-447.5004,0.27189,5.80765,-438.4992
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.35918,109.68689,-453.102,1.49269,118.67055,-453.50593,1.14995,135.03962,-453.89598,1.06775,141.49562,-453.94594,6.2044,131.76548,-453.69328,11.4633,131.01564,-453.07375,19.85112,108.70633,-448.19317,22.82871,90.89509,-435.12379,-3.72717,131.54048,-454.42153,-8.96233,130.46685,-454.6287,-15.12622,107.47232,-459.64402,-19.15017,86.04376,-455.00336,7.23655,91.6004,-451.83373,13.30242,53.19237,-447.91441,13.98517,24.54576,-477.21813,14.84907,13.10088,-474.682,-5.68521,91.99175,-452.37188,-4.85226,53.93504,-443.52166,1.55446,13.49125,-445.27003,0.22894,6.02731,-436.28693
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,1.44865,109.68236,-453.12594,1.60425,118.66402,-453.56499,1.19312,135.02711,-454.10938,1.09492,141.48265,-454.18411,6.26107,131.77634,-453.87071,11.52233,131.08374,-453.20622,20.19355,109.33633,-446.59253,22.29782,93.38441,-431.1645,-3.66869,131.50266,-454.60698,-8.89688,130.4228,-454.927,-14.81112,107.77823,-461.57084,-19.66154,86.08272,-459.93096,7.22761,91.5534,-452.02244,13.56249,53.02661,-450.32311,13.75126,25.38797,-480.58651,13.60344,13.78823,-478.69238,-5.7012,92.04001,-452.1765,-4.95858,54.34691,-441.88026,1.41143,13.87096,-442.84132,0.10983,6.43725,-433.8297
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.52901,109.67599,-453.17817,1.70648,118.65583,-453.64529,1.24306,135.0154,-454.24988,1.11859,141.47021,-454.3455,6.32091,131.78235,-453.98265,11.58157,131.13055,-453.27369,20.58532,110.04077,-445.14754,21.61249,96.11255,-427.77328,-3.60538,131.47308,-454.75098,-8.82766,130.41377,-455.20724,-14.45879,108.17202,-463.29983,-19.94129,86.59234,-464.38184,7.21406,91.50991,-452.20504,13.79996,52.98849,-452.44615,13.70278,25.38727,-482.74412,12.42902,13.7891,-481.32165,-5.71005,92.08528,-451.97935,-5.10371,54.8663,-440.07498,1.21311,14.37067,-440.14583,-0.05684,7.00875,-431.07098
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.6063,109.66874,-453.23722,1.81181,118.64724,-453.71846,1.3328,135.00748,-454.29192,1.20007,141.46243,-454.36445,6.41332,131.77921,-454.01788,11.66967,131.1378,-453.26858,21.06481,110.78298,-443.81907,20.82771,98.9232,-424.94568,-3.5106,131.46109,-454.81264,-8.72712,130.42829,-455.38166,-14.10472,108.67021,-464.84542,-19.9711,87.41957,-468.14797,7.19633,91.46831,-452.36022,13.83277,52.99344,-454.08494,13.73861,24.5835,-483.62592,11.35619,13.13417,-482.4425,-5.71386,92.1289,-451.80771,-5.09725,55.48778,-438.22897,1.02312,14.97822,-437.08035,-0.21323,7.71996,-427.91779
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.68135,109.66948,-453.16402,1.92209,118.64988,-453.59016,1.47178,135.01513,-454.02841,1.34513,141.47054,-454.05781,6.54682,131.77565,-453.78677,11.79815,131.12771,-453.0085,21.57532,111.51844,-442.43664,19.96422,101.6121,-422.53226,-3.37856,131.48179,-454.57274,-8.59199,130.48842,-455.23286,-13.69945,109.2671,-465.97833,-19.72559,88.37201,-470.87645,7.17384,91.42877,-452.5457,13.27284,52.90952,-455.07594,12.9776,23.60056,-483.72381,10.64825,12.35756,-481.20732,-5.71229,92.16823,-451.64263,-5.06824,56.18241,-436.41305,0.84394,15.71777,-433.68142,-0.35377,8.75382,-424.28821
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.56551,109.67139,-453.22592,1.7743,118.65372,-453.62742,1.36867,135.02508,-453.80071,1.24109,141.48038,-453.75535,6.43551,131.76805,-453.63492,11.68346,131.10636,-452.84548,21.76418,112.17891,-441.35586,18.82881,103.91541,-420.86163,-3.49421,131.51445,-454.37896,-8.70943,130.56947,-455.09381,-13.57524,109.85811,-466.8946,-19.6565,89.25078,-472.83325,7.17988,91.46535,-452.68541,12.09,52.74538,-454.68215,11.17311,22.0558,-481.83196,9.81001,10.88849,-478.42657,-5.68604,92.13113,-451.48567,-5.25691,56.86126,-434.65753,0.41063,16.50834,-430.26164,-0.69379,10.09006,-420.47647
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.42855,109.68092,-453.16347,1.60404,118.6673,-453.48195,1.28186,135.04065,-453.3229,1.16416,141.49474,-453.18109,6.33268,131.75543,-453.25186,11.5831,131.09468,-452.47815,21.83283,112.72883,-440.25033,17.81753,105.76271,-419.45932,-3.60224,131.56697,-453.94388,-8.82816,130.69604,-454.67445,-13.52638,110.37019,-467.19172,-19.57129,89.94893,-473.77522,7.18898,91.51586,-452.81534,10.63028,52.59716,-453.72333,9.24811,21.06981,-479.87518,8.80411,10.45042,-474.85572,-5.65698,92.07796,-451.37314,-5.8563,57.67446,-432.83415,-0.88141,17.46935,-426.62108,-1.532,11.76008,-416.36708
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,1.12623,109.68163,-453.28275,1.20594,118.67004,-453.58151,0.96274,135.03661,-453.04114,0.84495,141.48784,-452.80238,5.99823,131.72739,-453.07964,11.25027,131.04874,-452.3329,21.58432,113.06554,-439.61705,16.72583,106.91467,-418.74896,-3.94177,131.6008,-453.71008,-9.17586,130.7519,-454.40732,-13.82023,110.6954,-467.3712,-19.82225,90.32614,-474.15205,7.23429,91.63341,-452.80658,9.41095,52.61815,-452.17086,7.63771,20.37615,-477.41193,7.74988,10.58378,-470.91112,-5.61804,91.96021,-451.34866,-6.07397,58.10005,-431.83929,-1.88036,18.20097,-423.45595,-2.55418,13.73969,-412.60208
0.33333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.67111,109.66993,-453.46311,0.59172,118.65782,-453.7771,0.40541,135.01122,-452.91232,0.29092,141.45802,-452.57352,5.42972,131.68768,-453.0498,10.6869,131.00544,-452.34358,21.08104,113.14057,-439.51046,15.69426,107.13696,-418.72934,-4.5146,131.60463,-453.61607,-9.75509,130.74854,-454.25394,-14.4299,110.74414,-467.28719,-20.31459,90.2706,-473.8534,7.30229,91.81483,-452.75877,8.34696,52.78931,-450.95605,6.50289,19.43769,-474.70625,6.79904,10.50813,-467.06827,-5.55921,91.78205,-451.34622,-6.39645,57.97357,-431.76,-3.5777,18.54381,-420.93635,-4.20827,15.57148,-409.58156
0.36667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.16683,109.64697,-453.57442,-0.11367,118.62965,-453.92076,-0.35156,134.97789,-452.97509,-0.45926,141.42258,-452.59607,4.68328,131.67466,-453.19315,9.95723,131.0438,-452.56905,20.43329,113.04063,-439.99849,14.94166,106.4233,-419.4323,-5.26712,131.55554,-453.63186,-10.51304,130.69097,-454.21092,-15.251,110.45309,-466.85509,-20.97079,89.75049,-472.82145,7.3646,92.01638,-452.78213,7.46182,53.02261,-450.1727,5.51171,18.5534,-472.26056,5.88969,10.74547,-463.48236,-5.48099,91.5869,-451.29183,-6.42623,56.49954,-434.10701,-6.27803,18.39079,-419.02377,-7.04619,16.70607,-407.41622
0.4,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.03181,109.6249,-453.709,-0.40889,118.6027,-454.08836,-0.75475,134.9428,-453.04063,-0.88241,141.38583,-452.64035,4.30134,131.6772,-453.32427,9.58146,131.05513,-452.74513,20.18019,112.58337,-440.98325,15.00214,104.77101,-420.75776,-5.65153,131.48926,-453.67398,-10.89109,130.53135,-454.1555,-15.68035,109.8592,-466.05594,-21.25428,88.84308,-470.97174,7.39643,92.10151,-452.69635,6.98609,53.29142,-448.12026,4.95647,17.86634,-468.6324,5.22478,10.39597,-459.56129,-5.45747,91.50792,-451.34011,-6.79211,56.19749,-434.645,-7.86891,18.77836,-417.95811,-9.26366,16.52076,-406.50728
0.43333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.14841,109.62054,-453.84453,-0.17428,118.59952,-454.24574,-0.59579,134.92756,-453.04861,-0.7399,141.3684,-452.61961,4.4752,131.68885,-453.37163,9.75414,131.06261,-452.78629,20.42759,111.85201,-442.35024,15.9795,102.25203,-422.72957,-5.47732,131.4566,-453.70401,-10.70612,130.39084,-454.05954,-15.58109,109.09105,-464.75761,-20.91902,87.72948,-468.23623,7.38353,92.03272,-452.58163,6.78122,53.48918,-446.15006,4.6294,17.11794,-464.91986,4.84681,9.64469,-455.84975,-5.4948,91.57793,-451.41706,-7.8916,56.58357,-434.18382,-9.16964,18.24713,-419.74473,-10.75897,14.78911,-408.6236
