time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,2.02349,109.65149,-453.09561,3.21243,118.56621,-453.06013,7.05659,134.34226,-450.92592,8.4292,140.49515,-449.53055,9.86619,130.66806,-454.78791,13.74398,130.09238,-458.42569,22.87238,109.49687,-467.61145,35.91168,92.2723,-462.11546,2.36075,131.62073,-448.30888,-1.90328,131.17412,-445.11184,-17.42065,112.76108,-448.58555,-22.88523,92.21363,-441.88842,4.86348,91.2147,-457.00618,11.23026,52.70724,-455.01331,-7.09912,17.0142,-463.37056,1.37646,9.06651,-461.59227,-3.49726,92.38732,-447.20121,4.71523,58.87527,-428.84823,-7.93374,20.96233,-437.92654,-5.42054,11.32752,-431.68013
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,2.13311,109.65048,-452.94596,3.35373,118.5601,-452.81994,7.12096,134.32803,-450.49695,8.47827,140.46817,-449.03218,9.96932,130.70564,-454.37945,13.88626,130.22037,-457.98834,24.07575,110.05672,-467.0151,37.75686,93.8193,-460.22621,2.41993,131.56065,-447.93795,-1.89933,131.11382,-444.81596,-17.70973,113.15083,-449.20432,-23.91749,92.6282,-443.10544,4.76619,91.23584,-457.09823,9.259,52.43588,-455.79055,-9.20855,16.68703,-463.58619,-0.79136,8.67041,-461.84028,-3.43052,92.36646,-447.15086,6.42911,58.85394,-429.62851,-1.09638,19.21054,-436.80977,2.95823,10.2945,-430.31146
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,2.16747,109.65434,-452.78108,3.40107,118.56002,-452.54829,7.13841,134.29603,-449.97416,8.49752,140.416,-448.4288,9.99457,130.741,-453.91278,13.93026,130.34418,-457.51207,25.00987,110.62222,-466.46569,39.13102,95.32649,-458.4939,2.4418,131.4797,-447.46086,-1.91007,131.00749,-444.38829,-18.00921,113.50553,-449.52587,-24.8204,93.01061,-444.0053,4.64244,91.28523,-457.2222,7.57584,52.32136,-456.4841,-11.37705,16.72856,-463.81509,-3.01497,8.64589,-462.10933,-3.31635,92.316,-447.07284,7.88083,58.69341,-430.59623,5.47489,18.03351,-435.15556,11.01982,10.08097,-428.50918
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,2.1285,109.66249,-452.61886,3.36005,118.56452,-452.26651,7.12704,134.23527,-449.359,8.50745,140.32428,-447.71352,9.96143,130.76595,-453.38872,13.8987,130.46556,-456.99562,25.63045,111.12915,-465.95944,40.04539,96.69844,-456.96614,2.43848,131.36853,-446.88801,-1.92696,130.85203,-443.84191,-18.30334,113.78736,-449.54334,-25.55161,93.30698,-444.55059,4.50288,91.35567,-457.36185,6.17715,52.31278,-456.9346,-13.64508,17.15642,-464.06987,-5.35718,8.99143,-462.39439,-3.16593,92.24329,-446.9784,9.33145,58.5075,-431.71254,11.59536,17.61321,-433.24038,18.29028,10.74674,-426.44382
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,2.06835,109.67033,-452.46959,3.29824,118.5668,-451.99293,7.13711,134.1437,-448.70062,8.5516,140.19033,-446.93238,9.92385,130.7767,-452.84863,13.8365,130.57628,-456.48911,25.98901,111.54052,-465.53548,40.51538,97.79984,-455.68186,2.46359,131.22378,-446.26366,-1.89329,130.63472,-443.21849,-18.52964,113.96086,-449.31027,-26.0447,93.46985,-444.7767,4.36607,91.4285,-457.49248,5.00975,52.35363,-457.22263,-16.03412,17.91382,-464.35411,-7.82312,9.66091,-462.73163,-3.01236,92.16827,-446.88936,10.85192,58.47842,-432.74336,16.99386,17.98422,-431.22694,24.38905,11.99163,-424.3303
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.97569,109.67877,-452.33703,3.19249,118.56996,-451.74266,7.11044,134.04164,-448.06943,8.56125,140.03991,-446.17071,9.83847,130.78406,-452.34196,13.71119,130.6835,-456.02897,26.00466,111.80157,-465.20634,40.49553,98.48868,-454.7327,2.45914,131.06605,-445.65743,-1.86085,130.37428,-442.58144,-18.70211,113.99214,-448.89754,-26.32596,93.44993,-444.79813,4.24796,91.50283,-457.60441,4.02081,52.4225,-457.50989,-18.56121,18.99516,-464.75337,-10.47048,10.6106,-463.20327,-2.86842,92.09159,-446.81437,12.29601,58.66787,-433.38942,21.18507,18.84093,-429.56813,29.09457,13.56901,-422.65364
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.85024,109.68767,-452.2035,3.03845,118.57376,-451.48746,7.01996,133.92953,-447.41757,8.48532,139.88086,-445.38692,9.67414,130.80328,-451.83236,13.49289,130.79445,-455.57658,25.64668,111.91696,-464.94709,39.97506,98.71272,-454.11837,2.41042,130.88062,-445.01698,-1.85341,130.06547,-441.89322,-18.79427,113.7942,-448.22951,-26.37196,93.15492,-444.554,4.12229,91.58533,-457.7186,3.13625,52.51702,-457.88221,-21.21476,20.40354,-465.33581,-13.33176,11.81285,-463.84516,-2.7078,92.0066,-446.73739,13.63624,59.0781,-433.47392,23.85882,19.68022,-428.66667,32.34037,15.07142,-421.95952
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.76723,109.69206,-452.07524,2.93333,118.57098,-451.24332,6.92757,133.82098,-446.80489,8.37853,139.72916,-444.64219,9.51346,130.83482,-451.35512,13.27374,130.91975,-455.15711,24.96047,111.8919,-464.81332,39.00548,98.39832,-453.97004,2.37441,130.68378,-444.41047,-1.81991,129.73752,-441.2301,-18.71009,113.35712,-447.4188,-26.07275,92.58319,-444.08023,3.97728,91.65775,-457.8331,2.2579,52.61988,-458.48184,-24.04587,22.124,-466.0921,-16.47783,13.23689,-464.71099,-2.53965,91.93296,-446.65864,15.44553,60.15398,-432.73156,25.15674,20.48808,-429.2513,33.95109,16.13815,-422.77819
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,2.09763,109.66669,-451.90622,3.38384,118.51503,-450.93693,7.32647,133.67002,-446.14129,8.74029,139.52587,-443.81764,9.85484,130.83676,-450.81981,13.54349,131.01529,-454.68815,24.47906,111.72786,-464.7026,38.08927,97.51603,-454.22876,2.84483,130.42526,-443.75528,-1.26492,129.31819,-440.51695,-18.0162,112.7038,-446.4543,-24.9086,91.74985,-443.23907,3.79203,91.66534,-457.93564,1.53506,52.66787,-459.13398,-26.72255,24.03926,-466.98974,-19.64285,14.74134,-465.72875,-2.44647,91.93244,-446.60319,18.12034,62.07974,-432.00331,26.135,21.88562,-432.03019,33.99526,16.24274,-425.35653
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,2.20607,109.6587,-451.96226,3.51082,118.49878,-450.94357,7.29868,133.58001,-445.80309,8.62283,139.40422,-443.35065,9.7784,130.92124,-450.60835,13.37894,131.19927,-454.55307,23.31868,111.64238,-465.07022,36.33765,96.35866,-455.38363,2.92043,130.19424,-443.42108,-1.09044,128.8929,-440.13141,-17.65164,111.97953,-445.74923,-23.78519,90.81057,-442.4077,3.66056,91.63567,-457.98955,0.88703,52.69408,-459.77634,-29.36551,26.36611,-468.22768,-23.17778,16.43965,-467.06967,-2.34523,91.96434,-446.53367,19.81693,63.61852,-431.27958,24.02968,22.90248,-433.3436,31.1301,16.15121,-426.84992
