time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.27409,109.63495,-453.40953,-0.64446,118.62092,-453.45837,-0.40695,134.84433,-451.23117,-0.26124,141.17616,-449.97581,1.8026,132.06516,-456.09971,4.55745,132.18629,-460.68209,4.93367,111.40456,-473.32563,13.77876,91.04779,-475.39482,-3.13613,130.95997,-447.52039,-5.98967,129.4219,-443.26667,-13.71849,106.36052,-442.6891,-7.79321,85.69623,-436.79089,3.831,91.56587,-457.87382,18.78996,55.46916,-458.64177,-6.71078,24.8839,-468.34004,-5.08696,13.30144,-467.16808,-1.82453,92.04076,-446.24609,4.84209,53.61858,-443.67184,-1.54121,13.40073,-448.31738,6.01617,5.90981,-443.32381
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.34942,109.63814,-453.2874,-0.75198,118.62279,-453.32001,-0.48123,134.86991,-451.27702,-0.30016,141.21186,-450.07861,1.72592,132.0309,-456.112,4.38089,132.14597,-460.75312,3.40569,111.59991,-473.745,11.45591,91.12272,-477.3219,-3.22148,131.0338,-447.52444,-5.99938,129.5491,-443.20224,-12.72567,106.24919,-441.26136,-4.51733,86.56429,-434.77763,4.09319,91.65225,-457.7645,20.47582,56.19356,-459.03843,-0.38787,22.12713,-468.20287,3.58868,11.14351,-466.89489,-2.06572,91.95349,-446.38945,2.18887,53.17856,-443.99412,-4.75116,13.03809,-448.50872,2.79805,5.54727,-443.50266
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.26591,109.6485,-453.22356,-0.62344,118.63506,-453.25425,-0.25405,134.8967,-451.34672,-0.02299,141.24592,-450.19638,2.00187,131.99866,-456.12382,4.61657,132.08081,-460.78844,2.27929,111.82574,-474.0606,9.4575,91.29753,-478.95767,-3.07995,131.11484,-447.60261,-5.85359,129.67338,-443.26307,-11.446,106.23466,-439.90946,-1.29424,87.65978,-432.92184,4.31554,91.68273,-457.64111,21.48376,56.63076,-459.62711,7.0155,19.30238,-468.40573,12.97896,9.31043,-466.7439,-2.31135,91.92012,-446.53063,-0.33363,52.94992,-444.3522,-7.93522,12.91485,-448.73538,-0.39874,5.42402,-443.71019
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.09288,109.66193,-453.19012,-0.36213,118.65156,-453.22397,0.14032,134.92031,-451.40978,0.42523,141.27252,-450.28842,2.48913,131.96589,-456.10691,5.12737,132.01579,-460.75871,1.54749,112.06814,-474.21816,7.65393,91.48674,-480.22087,-2.82633,131.19491,-447.71831,-5.66742,129.81656,-443.40196,-9.90287,106.34138,-438.61951,1.68009,88.78397,-431.23821,4.51315,91.67805,-457.50731,21.85226,56.75195,-460.1255,15.07754,17.20594,-468.49324,22.78614,8.51992,-466.67828,-2.55717,91.92106,-446.67374,-2.29271,52.90659,-444.40761,-10.87348,13.06647,-448.75947,-3.35815,5.57565,-443.7027
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.08892,109.66993,-453.21959,-0.09042,118.66173,-453.26959,0.52727,134.92966,-451.48382,0.87486,141.28,-450.36959,3.00096,131.93561,-456.09089,5.73758,131.96117,-460.68571,1.10387,112.2969,-474.24027,5.90914,91.63916,-481.10193,-2.60252,131.24784,-447.88449,-5.54713,129.94615,-443.61397,-8.39132,106.56358,-437.52616,4.1603,89.8795,-429.71535,4.69277,91.64465,-457.36293,21.58529,56.53527,-460.41353,22.76429,16.31276,-468.19573,32.14924,9.49391,-466.30109,-2.78746,91.95223,-446.80991,-4.00496,52.9836,-444.10853,-14.09834,13.53216,-448.74647,-6.6021,6.04131,-443.66149
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.24757,109.66895,-453.33642,0.14934,118.66168,-453.42765,0.88563,134.92293,-451.62611,1.28334,141.26965,-450.50796,3.48703,131.89819,-456.14188,6.35598,131.922,-460.65527,1.01921,112.46941,-474.25662,4.46672,91.74376,-481.70493,-2.41054,131.27886,-448.13862,-5.46425,130.04864,-443.92389,-7.13838,106.8726,-436.71532,6.08933,90.94209,-428.45955,4.88858,91.58756,-457.18318,20.799,56.08246,-460.86813,29.63028,16.64564,-467.69082,40.06917,11.75454,-465.39512,-3.02748,92.00959,-446.95711,-5.80699,53.15944,-443.75183,-17.61735,14.22096,-448.66237,-10.13805,6.73012,-443.55249
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.39287,109.66595,-453.4426,0.36168,118.65876,-453.56722,1.16896,134.91252,-451.72893,1.59482,141.25343,-450.58839,3.89811,131.86883,-456.15569,6.91012,131.89137,-460.57489,1.21586,112.57981,-474.23212,3.49219,91.8021,-481.9794,-2.27396,131.29385,-448.35876,-5.43899,130.10337,-444.21535,-6.29886,107.20564,-436.03916,7.42483,91.92388,-427.37667,5.075,91.53578,-456.999,20.61796,55.94253,-461.34289,34.72776,17.87532,-466.96462,45.67822,14.59113,-464.23236,-3.25439,92.06221,-447.1117,-7.96633,53.43203,-443.52832,-21.48168,15.05399,-448.45421,-14.022,7.5631,-443.31579
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.54214,109.67264,-453.40226,0.57269,118.66576,-453.50211,1.40773,134.91224,-451.61255,1.84217,141.24904,-450.4526,4.25026,131.86174,-455.96261,7.40839,131.86059,-460.27866,1.63482,112.61467,-473.99511,3.10856,91.78673,-481.80156,-2.15087,131.3058,-448.3512,-5.41561,130.12967,-444.28172,-5.85935,107.48506,-435.39802,8.1401,92.74402,-426.25317,5.20654,91.521,-456.87139,21.25297,56.14082,-461.12426,37.48961,18.8109,-465.88367,48.72373,16.51296,-463.29956,-3.42752,92.07512,-447.25055,-10.62715,53.83467,-443.62188,-25.6538,15.96495,-448.08138,-18.22552,8.47414,-442.89755
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.62456,109.68439,-453.25479,0.69099,118.67779,-453.29384,1.54974,134.92019,-451.37993,1.97478,141.25632,-450.21289,4.46957,131.86035,-455.67184,7.73352,131.81412,-459.90818,2.23059,112.4554,-473.57708,3.31367,91.55953,-481.26506,-2.08932,131.32632,-448.19435,-5.43075,130.12917,-444.19383,-5.95356,107.65018,-434.90313,8.07842,93.28871,-425.22003,5.29904,91.54972,-456.79823,22.14112,56.43903,-460.10223,37.80776,18.82104,-464.4893,49.18009,16.45541,-462.68998,-3.54299,92.04313,-447.3648,-12.96709,54.29024,-443.72624,-29.65003,17.07935,-447.82894,-22.56136,9.41615,-442.42619
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.66698,109.70534,-452.87243,0.76281,118.6979,-452.76295,1.68282,134.93498,-450.83252,2.0961,141.26263,-449.61623,4.64284,131.8607,-455.08641,7.99378,131.71338,-459.25194,2.9318,112.06996,-472.68298,4.07012,91.05819,-480.03997,-2.01721,131.35978,-447.69656,-5.3961,130.07457,-443.75526,-6.4868,107.67022,-434.33449,7.21978,93.40357,-424.06301,5.32255,91.65121,-456.82809,23.86393,57.28828,-458.48288,36.06895,18.44056,-463.14071,47.1012,14.62649,-461.76017,-3.57832,91.9358,-447.4415,-14.51439,54.70434,-442.79874,-33.22089,18.44071,-446.64825,-26.89395,9.9668,-441.51735
