time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.99328,109.61792,-3.57413,-1.6656,118.58175,-3.86554,-3.2836,134.87283,-4.31122,-4.53138,141.09932,-5.47873,-0.21714,131.66487,-8.38729,3.81634,131.99769,-11.88335,26.9744,125.08223,-14.66924,48.34998,123.74194,-8.4883,-6.07143,131.30398,-0.33657,-9.22387,131.03202,3.97512,-25.69665,115.42715,12.75185,-7.11148,103.12094,12.99591,2.53643,91.66943,-8.9282,18.86579,56.20116,-7.2892,-6.876,24.8317,-13.04424,-4.54758,13.88743,-16.64493,-2.25964,91.80545,3.0882,6.63237,53.78267,1.49625,0.28309,14.2909,-7.44185,6.56829,6.80004,-0.91905
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.1868,109.60891,-3.43635,-1.91715,118.56904,-3.70066,-3.42817,134.86692,-4.25909,-4.63279,141.09775,-5.44857,-0.39413,131.60948,-8.32015,3.60738,131.86541,-11.85915,26.69939,124.96307,-15.17544,48.19101,123.77592,-9.37751,-6.22884,131.3453,-0.25148,-9.34937,131.12004,4.08604,-25.79144,115.60855,13.08311,-7.29847,103.16182,13.07771,2.57097,91.75366,-8.94474,20.6003,57.12381,-7.19862,-0.0077,22.07657,-12.37597,4.3149,11.73586,-15.91834,-2.24025,91.72373,3.06634,4.97925,53.35833,1.24731,-2.62722,14.10363,-7.7534,3.65096,6.61273,-1.22389
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.26264,109.60529,-3.34384,-2.0026,118.56532,-3.58366,-3.3968,134.87209,-4.18487,-4.55661,141.10721,-5.39621,-0.38967,131.58197,-8.2396,3.58556,131.77976,-11.81178,26.60858,124.88404,-15.58944,48.21027,123.82332,-10.18969,-6.21939,131.38152,-0.16549,-9.31932,131.17478,4.18769,-25.82034,115.7571,13.23794,-7.44187,103.14253,13.11377,2.57614,91.80075,-8.95949,21.29994,57.53094,-7.43258,7.44899,19.16134,-11.39844,13.7483,9.60867,-14.08709,-2.22428,91.67765,3.05531,3.30209,53.04023,1.06948,-5.38874,14.0374,-8.04378,0.87272,6.54653,-1.49821
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.25681,109.60634,-3.31636,-1.97784,118.56811,-3.54856,-3.27774,134.88235,-4.15818,-4.39837,141.1236,-5.37483,-0.30332,131.57139,-8.22007,3.64221,131.73676,-11.82666,26.61462,124.86332,-15.93823,48.32334,123.89335,-10.9677,-6.10774,131.41163,-0.12684,-9.1876,131.21426,4.24099,-25.78794,115.87328,13.23979,-7.56155,103.04057,13.06253,2.56155,91.80903,-8.96871,20.82112,57.26859,-8.0312,15.30806,16.71537,-10.23249,23.44693,8.38543,-11.82446,-2.21132,91.66908,3.05687,1.61742,52.84042,0.81868,-8.16885,14.11378,-8.36169,-1.92826,6.62288,-1.79624
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.19442,109.61001,-3.37139,-1.88488,118.57359,-3.62555,-3.15193,134.89012,-4.24316,-4.23863,141.14258,-5.43274,-0.19085,131.57051,-8.30773,3.73884,131.72276,-11.93215,26.67554,124.91689,-16.34448,48.4827,124.04926,-11.80459,-5.98271,131.42774,-0.20519,-9.06121,131.23376,4.16376,-25.72428,115.93785,13.12325,-7.56439,103.01099,12.963,2.56048,91.77856,-8.95829,18.78764,56.22704,-8.64017,22.94707,15.45559,-9.07672,32.69147,8.95622,-10.06083,-2.22764,91.69853,3.06178,-0.07892,52.74913,0.68244,-11.11833,14.40754,-8.69079,-4.90796,6.91676,-2.09663
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.09161,109.61272,-3.53643,-1.74502,118.57709,-3.85312,-3.037,134.89135,-4.47911,-4.09457,141.15596,-5.63037,-0.05765,131.57555,-8.53342,3.87577,131.73996,-12.15326,26.79077,125.06691,-16.87071,48.67234,124.30954,-12.6828,-5.87479,131.42537,-0.44916,-8.96201,131.23254,3.91369,-25.62368,115.92398,12.85417,-7.45272,103.01326,12.65285,2.57969,91.70205,-8.92185,17.40796,55.54405,-8.69146,28.85686,16.1914,-8.3837,39.74335,11.80259,-9.00525,-2.27549,91.77428,3.07134,-1.57418,52.76849,0.74952,-14.32234,15.07773,-9.08379,-8.18601,7.58693,-2.42069
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.06696,109.61183,-3.60748,-1.71725,118.57568,-3.9445,-3.05194,134.88767,-4.53906,-4.09964,141.16171,-5.64722,-0.04259,131.58976,-8.5858,3.90026,131.7565,-12.19526,26.80491,125.26617,-17.20861,48.73962,124.68313,-13.27875,-5.90051,131.40431,-0.53177,-9.00174,131.19004,3.82013,-25.63324,115.8233,12.71686,-7.43393,102.95309,12.48483,2.60583,91.67369,-8.89966,17.08245,55.37637,-8.38541,32.2131,17.28997,-7.84439,43.7039,14.82044,-8.00704,-2.3085,91.80289,3.06894,-3.62248,52.81556,0.7034,-17.8917,15.74431,-9.39187,-11.84743,8.25335,-2.64532
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.23932,109.59994,-3.58685,-1.96496,118.55853,-3.90976,-3.35418,134.86752,-4.46013,-4.42538,141.14395,-5.53167,-0.31393,131.5928,-8.50262,3.62674,131.74768,-12.11498,26.55174,125.49682,-17.33533,48.52752,125.08554,-13.619,-6.20961,131.36172,-0.47736,-9.3345,131.09994,3.85496,-25.96354,115.656,12.62166,-7.71256,102.85822,12.45042,2.66205,91.71323,-8.88949,17.39911,55.5292,-7.95792,32.74114,17.53616,-6.98093,44.33457,15.61295,-6.74174,-2.3167,91.76667,3.05303,-6.19507,52.98603,0.16254,-21.46601,16.36787,-10.11907,-15.91713,8.92258,-2.91204
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.57244,109.5784,-3.28714,-2.44515,118.52747,-3.48633,-3.92489,134.83078,-3.9643,-5.02583,141.10391,-5.02496,-0.85757,131.59197,-8.01525,3.07802,131.74281,-11.63333,26.01768,125.65573,-16.98121,48.02294,125.38412,-13.43012,-6.76912,131.29058,-0.00401,-9.90834,130.96676,4.31373,-26.57425,115.4093,12.80539,-8.2474,102.71942,12.7396,2.69599,91.88217,-8.93488,18.16362,56.03465,-7.19128,30.38802,16.95114,-5.50407,41.64692,13.59866,-5.10208,-2.2578,91.60373,3.01489,-7.7278,52.94771,1.24706,-25.38918,17.4428,-9.11054,-20.50949,9.20148,-2.29637
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.87908,109.54624,-2.82674,-2.90967,118.48071,-2.84385,-4.57808,134.76709,-3.27539,-5.71944,141.04154,-4.28423,-1.48379,131.57432,-7.34235,2.44516,131.74444,-10.96678,25.42083,125.80857,-16.33008,47.44581,125.63829,-12.8969,-7.37153,131.18411,0.68257,-10.51914,130.8035,4.98956,-27.12864,115.06195,13.24931,-8.72401,102.48499,13.27678,2.71157,92.1084,-9.00093,19.78866,57.05264,-6.39331,28.35058,17.01956,-4.43145,38.49756,11.12315,-3.77216,-2.18794,91.38646,2.95265,-8.58452,52.8333,2.68491,-28.72693,18.62205,-7.49726,-25.15183,9.28112,-1.32236
