time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,0.85965,109.63316,-3.31418,0.74338,118.6187,-2.94853,-1.50921,134.5989,-0.16018,-2.66808,140.88893,0.72404,1.57799,130.93014,3.48919,3.73049,130.41629,8.35794,4.68023,106.56612,13.06417,-5.86422,88.51426,20.8011,-3.24639,131.76399,-5.18532,-6.76118,131.82055,-9.2159,2.36537,112.96878,-21.5938,6.85358,93.37306,-31.22577,2.09254,91.73585,3.12319,-4.94205,53.29357,3.31745,5.73948,13.7867,1.10039,-3.16994,6.29585,2.73529,-2.3321,91.73478,-9.03564,-18.89487,56.45111,-6.1947,6.99819,24.73249,-8.00625,6.54227,13.22375,-10.35245
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.84701,109.63683,-3.0709,0.69726,118.61759,-2.61204,-1.76023,134.57333,0.14315,-2.94318,140.86074,1.01397,1.2433,130.91891,3.87578,3.2081,130.437,8.82648,1.31335,107.14867,15.60468,-13.15716,92.19811,23.60472,-3.32329,131.73791,-4.93856,-6.68015,131.84673,-9.10054,4.4846,113.95507,-21.23034,11.1866,95.13208,-31.11413,2.14991,91.6399,3.06803,-3.11681,52.91627,3.34076,7.95917,13.50752,1.32172,-0.94887,6.01665,2.96406,-2.38594,91.82971,-9.04827,-20.1604,57.19465,-5.61095,1.35305,22.34483,-7.18074,-1.83939,11.45005,-10.22636
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.69004,109.6432,-2.78576,0.44653,118.61507,-2.20837,-2.22911,134.53239,0.56579,-3.41776,140.82116,1.41882,0.74101,130.89306,4.33967,2.55816,130.43994,9.34913,-1.82222,108.01648,17.70865,-19.35288,96.55904,25.34528,-3.6658,131.70306,-4.55645,-6.88995,131.84189,-8.82121,6.04013,114.97331,-20.66011,14.67747,96.96882,-30.56695,2.24363,91.54905,2.99883,-1.0509,52.60899,3.38622,10.18269,13.23279,1.61863,1.27761,5.74192,3.27693,-2.43592,91.91878,-9.05853,-20.24187,57.32699,-5.35849,-5.33915,19.16296,-6.46221,-10.96972,9.36026,-9.68204
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,0.4256,109.64942,-2.61847,0.04211,118.61128,-1.96651,-2.86672,134.48238,0.83757,-4.05128,140.77482,1.66897,0.08935,130.86136,4.63998,1.78904,130.46143,9.695,-4.64692,108.95171,19.06469,-24.18373,100.83068,26.0845,-4.19133,131.65989,-4.31855,-7.31046,131.85063,-8.65872,7.07627,115.92592,-20.11825,17.28255,98.71403,-29.94138,2.33771,91.52249,2.95214,0.99167,52.46787,3.45936,12.30595,13.10429,1.94319,3.4018,5.61345,3.60655,-2.45631,91.94361,-9.05846,-18.76237,56.59911,-5.56384,-12.77911,16.05419,-5.90051,-20.44445,7.66607,-8.90807
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.00716,109.65593,-2.65128,-0.56087,118.60751,-1.99261,-3.62392,134.43663,0.88358,-4.75562,140.73938,1.71052,-0.68439,130.8125,4.69585,0.90553,130.50904,9.79311,-6.77909,109.58642,19.54357,-27.5646,104.53305,25.81585,-4.86691,131.63918,-4.30639,-7.91189,131.89048,-8.69586,7.54486,116.73787,-19.80362,18.96347,100.25003,-29.53385,2.48458,91.59866,2.92282,3.17972,52.52716,3.43963,14.71497,13.22109,2.10776,5.81533,5.73025,3.79513,-2.48657,91.86562,-9.02,-15.34133,55.05152,-6.4103,-20.22291,14.36841,-5.48408,-29.46246,7.48319,-7.8053
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.39866,109.64942,-2.59057,-1.13527,118.58588,-1.89472,-4.29557,134.38648,1.03267,-5.36848,140.70122,1.84635,-1.35653,130.76152,4.84452,0.17211,130.49432,9.96252,-8.11272,109.8074,19.72437,-29.51376,106.99888,25.29421,-5.49756,131.60469,-4.17535,-8.50452,131.88349,-8.5893,7.58712,117.22475,-19.45555,19.81686,101.30323,-29.14315,2.6592,91.64489,2.86468,5.2376,52.65374,3.4761,17.53163,13.57488,2.25026,8.66169,6.08038,4.07246,-2.5481,91.82121,-8.97878,-15.06347,54.87496,-6.59669,-25.32342,15.23514,-4.80201,-35.55202,9.54883,-5.89984
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.60388,109.63339,-2.31739,-1.42239,118.55231,-1.49888,-4.60908,134.32925,1.52587,-5.64492,140.64858,2.3519,-1.6304,130.69575,5.29863,-0.08753,130.36387,10.40857,-8.57304,109.61427,19.86007,-30.19767,107.75333,24.94217,-5.84159,131.56798,-3.68592,-8.86499,131.82277,-8.09009,7.34761,117.29951,-18.95848,19.94652,101.72237,-28.73248,2.76464,91.58258,2.79091,6.74629,52.72272,3.96988,20.66766,14.18795,2.93553,12.00124,6.44236,4.68553,-2.59636,91.88799,-8.98113,-14.19034,54.63711,-6.6821,-26.28028,15.54872,-4.28745,-37.00841,10.75412,-4.00033
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.50621,109.61445,-1.91889,-1.28631,118.51862,-0.92168,-4.45549,134.2674,2.26391,-5.48464,140.58297,3.12626,-1.43129,130.60735,5.97427,0.16705,130.1487,11.05728,-7.79835,108.93285,19.90721,-29.41772,106.58618,24.80732,-5.74302,131.54631,-2.95571,-8.80956,131.74528,-7.33283,6.91539,116.88414,-18.45793,19.38786,101.32667,-28.42355,2.71932,91.41731,2.74299,8.16106,52.76061,4.58139,24.00558,14.96939,3.8212,15.84248,6.6728,5.46253,-2.57825,92.05854,-9.04426,-13.40501,54.60926,-6.27539,-23.82898,15.06459,-3.5619,-34.08888,9.3322,-3.36766
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.38561,109.58475,-1.51422,-1.10161,118.47229,-0.33686,-4.16432,134.20927,3.00729,-5.19286,140.5182,3.9176,-1.13122,130.50195,6.66306,0.51504,129.8986,11.71557,-6.10375,107.84791,19.57936,-27.34287,103.46592,24.73815,-5.50557,131.53975,-2.22542,-8.60277,131.69692,-6.58262,6.20117,116.21655,-18.11938,17.74835,100.10794,-28.32164,2.63602,91.24488,2.70384,8.83306,52.75367,5.41597,27.16849,16.1023,4.87498,19.82602,7.03475,6.30016,-2.52856,92.23925,-9.11788,-12.94735,54.72665,-5.71375,-21.48289,14.76919,-2.49677,-30.89002,7.73012,-2.84468
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.35062,109.54777,-1.15874,-1.03749,118.41506,0.1779,-4.01221,134.13816,3.6637,-5.04301,140.43797,4.63281,-0.96568,130.39163,7.26796,0.74534,129.64775,12.28006,-3.90647,106.69545,18.87045,-23.98202,98.75336,24.4212,-5.40427,131.51341,-1.57838,-8.52362,131.63858,-5.92079,4.85522,115.26665,-17.95665,14.79015,98.21152,-28.3167,2.59945,91.10786,2.6544,8.36065,52.61916,6.22669,29.40906,17.45859,5.51875,23.5556,7.38251,7.0593,-2.50174,92.38657,-9.1675,-12.26151,54.74427,-5.27671,-17.59438,14.26619,-1.68659,-26.87363,7.05892,-2.0245
