time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,0.8433,109.70816,-452.8276,0.48747,118.6941,-452.71243,-1.37833,134.85092,-450.79093,-2.40662,141.11821,-449.62781,2.2642,131.44057,-447.41305,5.70929,130.73566,-443.3836,13.92748,108.48842,-437.96121,8.77552,88.80039,-428.86427,-3.87167,131.66509,-455.25638,-7.31852,130.79899,-459.25283,-10.59711,109.02742,-469.60392,-19.5206,88.60209,-469.30683,4.44298,91.99994,-446.76668,-5.47973,54.51871,-441.86471,1.46129,15.35136,-451.74115,-5.54379,7.82633,-446.04322,-2.74789,91.58628,-457.5154,-11.79842,53.57684,-458.35433,15.99346,24.60378,-466.59912,14.53349,13.43565,-463.23683
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.18976,109.70448,-452.82597,0.96034,118.69488,-452.74101,-0.96905,134.86512,-451.00409,-2.06186,141.1311,-449.89392,2.71226,131.51333,-447.60967,6.11626,130.91506,-443.52838,13.58413,108.60869,-437.32054,5.45853,90.19198,-427.74375,-3.47726,131.61334,-455.41332,-6.87635,130.74279,-459.44951,-8.77743,109.15861,-470.51316,-16.55776,88.32031,-471.97697,4.62625,91.90956,-446.92643,-2.28246,53.65438,-442.90852,4.87225,14.31761,-451.92135,-2.11109,6.76292,-446.236,-3.0277,91.67769,-457.3561,-14.56628,54.34537,-458.05858,10.32683,23.01248,-466.91219,6.46668,12.03361,-465.26076
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.38382,109.69882,-452.83216,1.2195,118.6909,-452.78205,-0.784,134.87239,-451.24535,-1.9441,141.13372,-450.17804,2.94338,131.58618,-447.83711,6.32501,131.09902,-443.72259,12.96112,108.81009,-436.57789,2.33034,91.80139,-426.85133,-3.31054,131.54841,-455.58981,-6.65019,130.67601,-459.67492,-7.19027,109.33898,-471.35118,-13.89919,88.29409,-474.35346,4.81004,91.85178,-447.08605,0.75311,53.10819,-443.95437,8.04328,13.60469,-452.08641,1.15577,5.99007,-446.36422,-3.26558,91.73704,-457.19475,-16.77089,55.0784,-458.23599,3.59418,20.65935,-467.20234,-2.3966,10.56958,-466.51629
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,1.46492,109.69278,-452.90665,1.32379,118.6854,-452.90651,-0.74217,134.87193,-451.51221,-1.9661,141.12677,-450.47864,3.02634,131.63611,-448.101,6.40631,131.24047,-443.97531,12.12515,109.06751,-435.75731,-0.51606,93.47423,-426.06376,-3.28672,131.49421,-455.80439,-6.56944,130.61959,-459.93492,-5.73309,109.59469,-472.14761,-11.47187,88.4727,-476.37122,4.98297,91.8419,-447.22841,3.41089,52.85542,-445.01129,11.09548,13.24776,-452.22125,4.28895,5.57521,-446.47958,-3.46111,91.74862,-457.03164,-18.35634,55.65909,-458.76708,-4.0781,18.2163,-467.36779,-11.62705,9.21134,-467.07167
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.40978,109.68607,-453.08551,1.23388,118.67766,-453.17237,-0.91687,134.86256,-451.89208,-2.18671,141.1143,-450.8958,2.90502,131.67816,-448.4919,6.30273,131.35365,-444.37458,11.09104,109.40909,-435.02636,-3.13761,95.16762,-425.45341,-3.48328,131.43378,-456.13042,-6.72674,130.55589,-460.29117,-4.49559,109.92847,-472.99654,-9.35397,88.78506,-478.12135,5.1075,91.90362,-447.30759,5.56382,52.85693,-445.73258,14.08412,13.31839,-452.35911,7.33525,5.60463,-446.60462,-3.57027,91.68876,-456.90262,-19.27229,55.99961,-459.56059,-12.41195,16.38179,-467.50838,-21.15088,8.53738,-466.99875
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.33243,109.66903,-453.38966,1.11289,118.65745,-453.60717,-1.11772,134.8376,-452.40593,-2.41961,141.08753,-451.44014,2.74274,131.6935,-449.01181,6.16757,131.42773,-444.91279,10.1402,109.82015,-434.46236,-5.31193,96.77069,-425.08906,-3.69206,131.37067,-456.60827,-6.90592,130.50265,-460.79398,-3.3576,110.30206,-473.87988,-7.39056,89.15119,-479.64937,5.15406,92.01672,-447.3016,7.29431,53.01361,-446.07315,17.17805,13.76929,-452.55369,10.4837,6.03088,-446.7687,-3.59528,91.58041,-456.82385,-19.56397,56.08031,-460.29922,-20.78626,15.69856,-467.20019,-30.54839,9.23242,-466.17393
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.33717,109.64263,-453.70124,1.09989,118.62651,-454.04879,-1.23127,134.7962,-452.89876,-2.56881,141.04059,-451.94595,2.64563,131.68629,-449.49192,6.08994,131.45968,-445.40688,9.47858,110.25938,-433.96375,-6.89355,98.20905,-424.81725,-3.78071,131.3007,-457.09261,-6.97045,130.43838,-461.2979,-2.30677,110.63829,-474.64337,-5.57477,89.46651,-480.80674,5.10581,92.11924,-447.2204,8.84635,53.23397,-446.09032,20.52636,14.49958,-452.6498,13.88504,6.72509,-446.85206,-3.54835,91.48525,-456.81822,-19.3632,55.96593,-460.76816,-28.56872,16.43498,-466.45725,-38.88341,11.03765,-464.83261
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.40348,109.62247,-453.8806,1.16719,118.60302,-454.30599,-1.28773,134.75731,-453.19774,-2.66837,140.99512,-452.26353,2.57222,131.67721,-449.74486,6.00638,131.47595,-445.64998,9.14522,110.65953,-433.45551,-7.84193,99.33525,-424.50493,-3.76615,131.24059,-457.41634,-6.917,130.37121,-461.64941,-1.48768,110.8664,-475.13941,-4.08382,89.63409,-481.41318,4.9982,92.17148,-447.11196,10.38187,53.48388,-445.84009,24.2265,15.50791,-452.61911,17.63865,7.71951,-446.7792,-3.45921,91.43862,-456.87668,-19.69905,56.11452,-460.85276,-34.27087,18.09688,-465.5564,-45.01617,13.77605,-463.54825
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.36617,109.627,-453.84962,1.09436,118.60667,-454.27237,-1.47731,134.74638,-453.21768,-2.89775,140.97757,-452.29909,2.34237,131.69208,-449.69776,5.73209,131.50792,-445.56521,9.00365,110.94748,-432.97768,-8.28239,100.00348,-424.12685,-3.86255,131.21192,-457.475,-6.93707,130.30855,-461.75679,-1.12804,110.93198,-475.27342,-3.30822,89.61598,-481.42046,4.93337,92.17963,-447.05715,11.86437,53.7596,-445.26965,27.99356,16.72072,-452.18147,21.59762,8.76117,-446.359,-3.38398,91.42922,-456.94012,-20.48552,56.46413,-460.44926,-36.82709,19.09423,-464.48001,-48.05207,16.12523,-462.65012
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,1.31719,109.64195,-453.71489,1.00141,118.62228,-454.09049,-1.71876,134.74032,-453.07786,-3.171,140.96458,-452.16194,2.06559,131.71633,-449.49419,5.38652,131.51997,-445.30672,9.14755,111.10223,-432.62399,-8.0811,100.05203,-423.79324,-4.00293,131.1876,-457.37522,-6.98256,130.21442,-461.70849,-1.05211,110.77935,-475.0877,-3.11318,89.36502,-480.92632,4.93517,92.14843,-447.06958,13.397,54.08917,-444.38212,31.78245,18.1209,-451.31479,25.79811,9.75226,-445.62998,-3.37213,91.45625,-456.96524,-21.18734,56.78449,-459.76194,-36.59386,18.96916,-463.28944,-47.94737,16.12077,-462.21788
