time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,0.84176,109.63428,-3.3066,1.42576,118.60902,-3.2975,2.963,134.90228,-2.67909,3.85624,141.24891,-3.46119,5.86216,131.08944,0.97682,9.28191,130.8036,5.07874,26.33893,115.60517,13.44212,7.08491,104.62653,11.06147,-0.18833,131.9591,-6.88781,-4.23351,132.83278,-10.27539,-26.88196,127.43746,-17.33468,-49.07475,125.88923,-18.7468,2.04217,91.73849,3.14111,-7.32875,53.83167,1.53131,-1.66198,13.92996,-5.92148,-10.00873,6.43911,-2.4026,-2.27674,91.73183,-9.05567,-16.76976,55.45333,-7.98005,10.38845,24.75757,-7.91462,10.3961,13.80002,-12.16852
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,1.11598,109.61884,-3.20498,1.80118,118.58639,-3.17762,3.30003,134.88593,-2.63528,4.16456,141.23223,-3.45157,6.18983,131.09821,1.05399,9.57449,130.83957,5.18669,26.62958,115.74995,13.74872,7.44131,104.67985,11.26301,0.1754,131.91436,-6.84396,-3.84398,132.7505,-10.27149,-26.40785,127.35155,-17.59395,-48.58195,125.82499,-19.2939,2.00662,91.66322,3.12556,-5.78333,53.40884,1.32236,1.13955,13.68815,-6.03588,-7.20343,6.1973,-2.50808,-2.31761,91.81141,-9.06844,-18.6989,56.3662,-7.44823,4.39525,22.50682,-7.37667,2.1398,12.10014,-12.35438
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.25242,109.60928,-3.1378,1.98769,118.57278,-3.09216,3.46573,134.87499,-2.57333,4.32103,141.22026,-3.40714,6.34528,131.09725,1.13414,9.69922,130.85581,5.29285,26.74579,115.85334,14.02332,7.62551,104.69838,11.39709,0.36115,131.89226,-6.78894,-3.63094,132.704,-10.25402,-26.10082,127.31449,-17.86672,-48.25313,125.81327,-19.84981,1.97026,91.62102,3.12165,-4.15645,53.06661,1.29049,3.82355,13.56066,-6.15278,-4.50822,6.06978,-2.59863,-2.31926,91.85627,-9.08324,-19.73104,56.92789,-7.04059,-2.18298,19.88915,-7.01498,-6.79274,10.06073,-11.52228
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,1.28305,109.60662,-3.15653,2.02555,118.56955,-3.11392,3.48369,134.87265,-2.56752,4.34556,141.21513,-3.41568,6.35042,131.09323,1.14817,9.68048,130.84172,5.32543,26.70021,115.88568,14.18695,7.61923,104.69471,11.43127,0.40151,131.89201,-6.80102,-3.5643,132.68854,-10.29964,-25.93292,127.30114,-18.20634,-48.05754,125.84457,-20.50653,1.9434,91.6264,3.13224,-2.66492,52.86666,1.18836,6.4001,13.60105,-6.28431,-1.92281,6.1102,-2.70941,-2.30094,91.85163,-9.08862,-19.83054,56.99492,-6.83989,-9.29691,17.38701,-6.597,-16.05697,8.37816,-9.95941
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,1.2317,109.60887,-3.28854,1.95053,118.57382,-3.28902,3.403,134.87622,-2.70749,4.2677,141.21911,-3.5497,6.25452,131.09078,1.01377,9.5681,130.81963,5.20289,26.5293,115.83468,14.12757,7.46716,104.62866,11.30352,0.33961,131.90248,-6.95945,-3.6036,132.68524,-10.4866,-25.89166,127.35506,-18.65526,-47.97975,125.93329,-21.3021,1.94749,91.68475,3.1525,-1.20964,52.7919,0.98208,9.02867,13.80436,-6.43089,0.70433,6.31349,-2.85938,-2.29072,91.79265,-9.07209,-18.88152,56.47842,-6.8395,-16.63167,15.55887,-6.26392,-25.14811,7.69696,-8.21945
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.10449,109.61143,-3.54779,1.77333,118.57981,-3.63711,3.24552,134.87894,-3.01517,4.10459,141.22528,-3.8369,6.085,131.08128,0.70285,9.37592,130.80282,4.90932,26.27721,115.72096,13.78426,7.21855,104.53117,10.87363,0.18656,131.91895,-7.27987,-3.73772,132.73359,-10.82091,-25.93456,127.43741,-19.2557,-47.97791,125.96845,-22.22959,2.0108,91.79883,3.17256,0.33012,52.82257,0.85767,11.75448,14.1764,-6.60968,3.44257,6.68553,-3.00929,-2.31858,91.67786,-9.01991,-16.7689,55.41643,-7.11436,-23.70325,15.0347,-6.0976,-33.29148,8.26148,-6.69164
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,0.9845,109.60786,-3.81399,1.61216,118.57799,-3.98728,3.13804,134.86893,-3.28516,4.00164,141.21797,-4.08084,5.96217,131.04384,0.4164,9.23573,130.75087,4.63541,26.09999,115.58755,13.44171,7.01384,104.50126,10.32262,0.07238,131.93985,-7.56638,-3.83031,132.79282,-11.12221,-25.92288,127.50799,-19.83338,-47.92364,126.06204,-23.11766,2.09733,91.91356,3.1822,1.7841,52.90283,0.85901,14.78452,14.78842,-6.76226,6.491,7.29756,-3.11973,-2.37168,91.56412,-8.95537,-17.14608,55.42891,-7.1394,-29.35225,16.32926,-5.71485,-39.57526,10.52969,-5.57764
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.95132,109.60266,-3.9434,1.57451,118.5723,-4.15411,3.15676,134.85523,-3.39357,4.02746,141.20594,-4.1679,5.97179,131.00689,0.29079,9.24058,130.67713,4.51078,26.07289,115.45231,13.272,6.9953,104.39332,10.00708,0.07653,131.95246,-7.68222,-3.81783,132.79964,-11.24857,-25.82214,127.61692,-20.23993,-47.79334,126.25286,-23.74945,2.17349,91.96311,3.1718,3.63656,52.97561,0.89877,18.14902,15.42429,-6.78818,9.88533,7.93343,-3.07847,-2.43859,91.51602,-8.90891,-17.08584,55.34039,-6.88009,-32.40336,17.38417,-4.75831,-43.40484,13.24534,-4.72482
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.01316,109.59551,-3.99628,1.66077,118.56319,-4.21657,3.25476,134.84188,-3.39231,4.13131,141.1948,-4.14147,6.08027,130.97638,0.26597,9.34366,130.62618,4.48849,26.13835,115.30544,13.15418,7.08726,104.19878,9.89632,0.15818,131.95904,-7.68264,-3.73748,132.82086,-11.24404,-25.67299,127.71553,-20.44538,-47.60865,126.34349,-24.16765,2.21984,91.97057,3.15765,6.60137,53.21779,0.63643,22.00025,15.95186,-6.70716,13.75134,8.46099,-2.9647,-2.50217,91.51055,-8.88002,-17.41236,55.45687,-6.61005,-32.96109,17.60942,-4.2415,-44.26983,14.40567,-4.35078
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,1.19077,109.59962,-3.68727,1.91714,118.56358,-3.77068,3.55328,134.83179,-2.83026,4.44828,141.18307,-3.57147,6.37197,130.9328,0.79761,9.63606,130.54196,5.01603,26.38649,115.11742,13.5827,7.30627,104.05923,10.33048,0.4458,131.98789,-7.13866,-3.43521,132.84078,-10.71816,-25.34468,127.79615,-20.01451,-47.24831,126.43397,-23.92431,2.19891,91.82435,3.1169,8.71169,53.35225,0.92292,25.83362,16.78707,-6.12197,18.02351,8.77287,-2.52498,-2.53074,91.65563,-8.92538,-17.16105,55.52346,-6.14068,-31.5628,17.25367,-3.34506,-42.44957,12.87642,-4.03888
