time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.35103,109.6482,-2.50842,-0.49266,118.63794,-2.28119,-0.5618,135.01396,-2.08832,-0.06826,141.43947,-2.48644,2.16561,131.59331,2.05522,5.07179,131.1779,6.52552,15.22357,109.17557,8.69802,21.81179,88.77598,14.81092,-2.841,131.67389,-6.5555,-6.25132,131.53279,-10.67282,-10.67554,108.83523,-18.23208,-19.97794,89.05237,-22.59266,1.82492,91.57846,3.15047,-16.09668,56.95831,5.90618,8.59281,24.36367,3.10954,7.20192,13.03131,5.90356,-1.7271,91.88798,-9.28746,-6.38918,53.3964,-4.38874,3.48302,13.81468,-0.4353,-5.49601,6.32375,-1.62969
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.63216,109.64507,-2.74743,-0.90844,118.63347,-2.60803,-1.10714,135.00841,-2.41319,-0.6185,141.43448,-2.80816,1.65144,131.60903,1.72722,4.59739,131.23031,6.17469,15.68542,109.62904,7.69825,23.67622,89.45518,12.8049,-3.36427,131.65086,-6.87848,-6.81322,131.52835,-10.9641,-12.17605,108.917,-18.16564,-23.24237,89.88637,-21.6703,1.75885,91.70045,3.2147,-17.18955,57.59302,5.44489,2.17943,21.52651,3.48215,-1.42143,10.75295,6.50338,-1.58269,91.76687,-9.28508,-4.52721,53.06803,-4.69551,5.53286,13.54503,-0.62974,-3.44395,6.05424,-1.84156
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.8716,109.63531,-2.89823,-1.27243,118.61965,-2.80768,-1.63506,134.9913,-2.57654,-1.15555,141.41956,-2.94636,1.1532,131.61041,1.55912,4.12005,131.26858,5.99567,16.00472,110.06085,6.92711,25.17998,90.17579,11.08818,-3.85402,131.62136,-7.05162,-7.33903,131.51062,-11.10685,-13.47201,108.98244,-17.94522,-26.09099,90.78135,-20.47356,1.67386,91.78047,3.26607,-17.20497,57.61559,5.18509,-5.08059,18.48716,3.85526,-10.76242,8.64435,6.85513,-1.43098,91.68956,-9.29443,-2.56214,52.87371,-4.89163,7.56867,13.37561,-0.76008,-1.40636,5.88473,-1.98448
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.03646,109.62539,-2.91345,-1.52712,118.60531,-2.82707,-2.03443,134.97306,-2.59214,-1.56635,141.40401,-2.92835,0.76618,131.61528,1.554,3.74202,131.32583,5.98826,16.24735,110.46157,6.41252,26.35299,90.86944,9.72012,-4.20507,131.58539,-7.07751,-7.72673,131.48352,-11.10119,-14.51435,109.04694,-17.6145,-28.4063,91.6799,-19.13459,1.57866,91.79632,3.29611,-15.93539,56.89754,4.92883,-12.73102,16.04543,4.12901,-20.41191,7.57536,6.85398,-1.28983,91.67648,-9.32023,-0.59634,52.82955,-5.10487,9.73211,13.39279,-0.87785,0.75885,5.90184,-2.11472
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.10288,109.61947,-2.7735,-1.62737,118.59694,-2.64311,-2.20129,134.96319,-2.46265,-1.75306,141.39653,-2.77951,0.58996,131.62968,1.70931,3.56137,131.41828,6.15094,16.51619,110.82573,6.12604,27.26466,91.47714,8.77516,-4.3338,131.55279,-6.94909,-7.88238,131.46548,-10.94939,-15.26312,109.11712,-17.11144,-30.10354,92.49301,-17.66977,1.45835,91.73747,3.30496,-13.47378,55.63964,4.44945,-19.82587,15.14985,4.27258,-29.31514,8.49608,6.23337,-1.15102,91.73697,-9.36808,1.43287,52.9573,-5.26999,12.15854,13.63534,-0.96346,3.18421,6.14442,-2.19276
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.08071,109.61617,-2.54899,-1.58707,118.59331,-2.34492,-2.14155,134.96084,-2.23293,-1.70532,141.39493,-2.55127,0.61788,131.64043,1.97053,3.56562,131.51445,6.43114,16.845,111.13436,5.99452,27.9846,91.95596,8.23367,-4.24868,131.53534,-6.71985,-7.79986,131.48842,-10.71853,-15.76142,109.2255,-16.45187,-31.19379,93.1405,-16.291,1.31487,91.63501,3.30014,-13.1818,55.35094,4.10332,-25.26391,16.1881,4.41589,-36.02363,11.52594,5.22606,-1.01371,91.84036,-9.42582,2.50201,53.12155,-5.44746,14.97538,14.31934,-1.13393,6.0283,6.79044,-2.32932
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.13651,109.61042,-2.49018,-1.66046,118.58635,-2.27747,-2.21099,134.95437,-2.24861,-1.77825,141.38832,-2.5746,0.51317,131.6535,1.99305,3.43283,131.54128,6.47246,16.90402,111.29488,5.7718,28.2447,92.20986,7.78841,-4.28256,131.50789,-6.73603,-7.80395,131.44331,-10.76072,-16.28453,109.2553,-16.02069,-32.04393,93.50101,-15.42533,1.25009,91.61039,3.30434,-13.42605,55.39142,3.66422,-28.7531,17.38155,4.0308,-40.07577,14.22617,4.09576,-0.93338,91.86658,-9.44641,2.87707,53.14257,-5.80418,17.66665,15.15313,-1.57645,8.91341,7.39319,-2.72866
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.14889,109.60919,-2.48029,-1.66577,118.58577,-2.2778,-2.16237,134.95545,-2.33351,-1.72035,141.38815,-2.6714,0.52464,131.66684,1.94125,3.42192,131.52508,6.43432,16.87617,111.26864,5.69882,28.20355,92.16877,7.64832,-4.21759,131.49347,-6.81651,-7.71664,131.37979,-10.85955,-16.47168,109.20648,-15.71641,-32.29993,93.53064,-14.91314,1.20993,91.6041,3.30986,-13.81681,55.52789,3.11856,-29.49095,17.65868,2.90122,-40.98663,15.22814,3.22616,-0.88977,91.87321,-9.45468,3.24675,53.1485,-6.19588,20.37619,16.12952,-2.19837,12.08809,7.86052,-3.24454
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.15748,109.60952,-2.50996,-1.65275,118.58771,-2.32565,-2.01682,134.96059,-2.43648,-1.5434,141.38985,-2.79664,0.64946,131.66485,1.84576,3.53609,131.50441,6.34506,16.71352,111.06185,5.76369,27.77887,91.81666,7.78752,-4.1063,131.50016,-6.90483,-7.61723,131.36917,-10.93704,-16.22401,109.10187,-15.62597,-31.83618,93.21137,-14.81158,1.17764,91.61406,3.31961,-13.8833,55.55817,2.63166,-28.24543,17.18485,1.62149,-39.44663,13.75884,2.60087,-0.85509,91.86317,-9.45617,3.63939,53.15121,-6.5376,23.07832,17.24099,-3.01799,15.60208,8.20721,-3.83054
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.33491,109.60096,-2.74263,-1.87189,118.57806,-2.64036,-2.06612,134.95381,-2.75525,-1.53333,141.37711,-3.138,0.56977,131.63169,1.52542,3.44596,131.42035,6.0293,16.14067,110.66834,5.748,26.72789,91.18188,8.0073,-4.19553,131.5141,-7.22074,-7.7028,131.37134,-11.25573,-15.87157,108.93924,-15.94269,-30.9427,92.52601,-15.32794,1.20094,91.72135,3.35344,-13.78551,55.64901,2.11867,-25.91488,16.54761,0.17906,-36.4616,11.57572,1.66586,-0.82894,91.75826,-9.42516,4.0859,53.06849,-6.91905,25.76877,18.43791,-3.69747,19.25605,8.68803,-4.52677
0.33333,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.4516,109.5927,-2.98667,-1.98283,118.57071,-2.97113,-1.87295,134.94716,-3.09709,-1.2506,141.36157,-3.49363,0.64668,131.58017,1.2184,3.47326,131.27594,5.7483,15.59421,110.18193,5.82477,25.50485,90.40032,8.54189,-4.00883,131.54397,-7.5874,-7.45225,131.39143,-11.67666,-15.09717,108.78252,-16.39763,-29.28801,91.59254,-16.2084,1.15746,91.82402,3.39614,-13.80498,55.75885,1.7344,-23.59318,16.05176,-0.97495,-33.28344,9.54223,0.39926,-0.75295,91.65789,-9.39985,4.21477,52.9457,-7.3944,27.96088,19.68764,-4.2596,22.97015,9.09937,-5.32954
