time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.21985,109.64348,-451.10487,-1.51265,118.43051,-449.68925,-6.16253,133.19551,-444.34236,-7.89068,139.10828,-442.40797,-2.52488,129.48412,-441.29249,0.39407,128.47737,-436.92578,8.89373,105.72274,-435.56068,7.27285,83.94799,-431.07197,-7.48131,131.00364,-449.79791,-10.31648,130.74453,-454.32529,-10.24459,109.84117,-466.77277,-20.36043,90.01984,-465.47052,3.74559,91.57094,-446.52973,-10.85087,56.47388,-437.44835,4.46188,18.64382,-441.21795,-3.61781,10.87576,-437.67683,-1.75424,92.03331,-458.23241,-12.14,54.5126,-461.64807,17.25943,26.23813,-465.65192,14.15933,14.9008,-465.78544
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.156,109.63554,-450.94611,-1.41589,118.41796,-449.47339,-6.03573,133.20038,-444.14862,-7.72876,139.12574,-442.22172,-2.45953,129.45859,-441.06342,0.38398,128.44023,-436.64987,7.88621,105.37008,-434.81529,3.81419,84.04077,-429.77596,-7.30184,131.02957,-449.62503,-10.0747,130.7984,-454.19234,-8.98147,110.03788,-466.82962,-18.10546,89.70153,-466.51848,3.69957,91.49785,-446.53794,-9.44965,55.70677,-437.96885,6.49566,18.11517,-441.49322,-1.55783,10.32222,-437.9471,-1.72601,92.10862,-458.26844,-13.5391,55.03512,-461.92093,15.84347,26.74808,-465.95957,12.67589,15.43074,-466.17805
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.16459,109.61893,-450.76284,-1.43371,118.3894,-449.22816,-6.10639,133.17329,-443.95381,-7.79567,139.1072,-442.05005,-2.59239,129.41664,-440.81567,0.17707,128.3989,-436.35513,6.90736,105.13886,-433.99829,0.33962,84.53297,-428.59667,-7.28481,131.0161,-449.45512,-9.97705,130.79884,-454.07108,-7.84241,110.1719,-466.79383,-15.96023,89.4226,-467.48563,3.66329,91.42893,-446.55042,-7.92224,54.98055,-438.51155,8.25236,17.45306,-441.65368,0.2259,9.62867,-438.11553,-1.68733,92.18216,-458.30704,-14.8195,55.58782,-462.27366,13.02421,25.77505,-466.2397,9.21261,14.66354,-466.65148
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.2086,109.59936,-450.59451,-1.51081,118.35754,-449.01793,-6.29048,133.15136,-443.8688,-8.0141,139.08701,-442.00158,-2.82874,129.4072,-440.65848,-0.14771,128.43107,-436.13506,6.0243,105.0691,-433.30565,-2.87295,85.41814,-427.68478,-7.36944,130.97748,-449.38393,-9.97888,130.76588,-454.04746,-6.81454,110.30712,-466.82718,-13.98938,89.26449,-468.45215,3.62995,91.37127,-446.56023,-6.35648,54.3434,-439.04087,9.77998,16.76993,-441.80704,1.80276,8.90407,-438.24953,-1.64173,92.24528,-458.34413,-15.85788,56.09699,-462.64954,8.96429,23.73519,-466.69638,4.05279,13.06655,-467.16627
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.31454,109.57501,-450.4408,-1.68625,118.31636,-448.8301,-6.64198,133.10097,-443.82289,-8.42649,139.03646,-442.0133,-3.2311,129.38162,-440.53034,-0.64595,128.47423,-435.93733,5.15882,105.08105,-432.62907,-5.77449,86.50544,-426.94357,-7.59461,130.90753,-449.35352,-10.11277,130.69082,-454.06673,-5.96337,110.43121,-466.8818,-12.32536,89.19983,-469.26181,3.60556,91.3293,-446.56782,-4.8591,53.85361,-439.4086,11.17262,16.21101,-441.82142,3.24838,8.29269,-438.26187,-1.58781,92.29403,-458.37937,-16.63307,56.51645,-462.95525,3.81143,21.25021,-467.2118,-2.43076,11.29924,-467.63222
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.42953,109.5569,-450.36292,-1.88244,118.28523,-448.7528,-7.05614,133.05443,-443.92376,-8.92827,138.98407,-442.18487,-3.6754,129.38322,-440.54717,-1.1885,128.57025,-435.88278,4.43187,105.20292,-432.10652,-8.2128,87.73004,-426.47392,-7.88718,130.8218,-449.45831,-10.31351,130.57525,-454.218,-5.28142,110.54786,-467.08178,-10.98882,89.19782,-469.99941,3.61358,91.31994,-446.57614,-3.49086,53.52672,-439.60968,12.47518,15.84308,-441.80781,4.62576,7.86357,-438.21927,-1.5638,92.30844,-458.39275,-17.17671,56.79792,-463.14393,-2.18003,18.93022,-467.71996,-9.70648,9.90632,-468.01237
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.57819,109.54269,-450.35197,-2.13216,118.25893,-448.77103,-7.55853,133.00081,-444.13989,-9.53821,138.91981,-442.48594,-4.18001,129.40077,-440.68535,-1.78264,128.69655,-435.95685,3.81999,105.40295,-431.72606,-10.14382,88.92319,-426.21742,-8.28322,130.71216,-449.6665,-10.61668,130.4128,-454.4694,-4.80401,110.62811,-467.37965,-10.00578,89.20043,-470.65182,3.66067,91.34563,-446.58735,-2.32105,53.3546,-439.64231,13.7883,15.72173,-441.65696,6.01351,7.66775,-438.07234,-1.56945,92.28671,-458.38459,-17.57643,56.95479,-463.15594,-8.79848,17.21818,-468.02964,-17.23205,9.0338,-468.26264
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.75942,109.52992,-450.39309,-2.42987,118.23304,-448.85933,-8.12326,132.93312,-444.41984,-10.21359,138.83465,-442.84134,-4.72294,129.41794,-440.89991,-2.387,128.82451,-436.12568,3.34714,105.65517,-431.41588,-11.52245,89.92661,-426.08452,-8.76108,130.58164,-449.93077,-11.01507,130.2086,-454.76635,-4.51034,110.65841,-467.70366,-9.33449,89.17917,-471.20806,3.74794,91.40231,-446.60537,-1.32542,53.32198,-439.43031,15.12953,15.83517,-441.37386,7.44389,7.69784,-437.78524,-1.60623,92.23358,-458.35512,-17.75353,56.93777,-462.91627,-15.56869,16.34226,-468.11572,-24.71475,8.95983,-468.22912
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.96259,109.51983,-450.50001,-2.76139,118.20921,-449.03506,-8.73688,132.84856,-444.76904,-10.94149,138.72657,-443.25975,-5.27701,129.43748,-441.20499,-2.96924,128.96455,-436.40368,3.00123,105.95117,-431.24434,-12.3648,90.65225,-426.07292,-9.32138,130.42398,-450.25414,-11.53019,129.96513,-455.10317,-4.39403,110.62978,-468.03046,-8.89303,89.10087,-471.66034,3.87567,91.49497,-446.63101,-0.43718,53.40722,-439.01165,16.62799,16.19459,-440.96193,9.02596,7.98645,-437.35651,-1.67734,92.14373,-458.29968,-17.69128,56.74295,-462.50351,-21.5241,16.27535,-467.74621,-31.40904,9.91552,-467.68122
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,-1.10272,109.52692,-450.73222,-3.01286,118.21095,-449.3809,-9.29862,132.76517,-445.27237,-11.62956,138.60856,-443.81954,-5.73763,129.48388,-441.68614,-3.42569,129.13202,-436.87644,2.91333,106.30161,-431.35652,-12.55502,91.09624,-426.2143,-9.86214,130.25313,-450.72018,-12.07384,129.69501,-455.55747,-4.39116,110.5371,-468.43559,-8.56009,88.94266,-472.07033,4.01224,91.62593,-446.64991,0.46203,53.56319,-438.5286,18.45669,16.78966,-440.45293,10.92826,8.53042,-436.80997,-1.77486,92.0108,-458.21607,-17.67195,56.52674,-462.15281,-25.53008,16.59897,-467.03399,-36.08793,11.44515,-466.66826
