time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,0.69376,109.7172,-452.45999,0.19613,118.68113,-451.92385,-2.18655,134.52763,-448.54346,-3.09664,140.83327,-447.49469,3.2355,132.00174,-449.27132,8.56838,132.32004,-449.02402,22.85837,113.49133,-454.78221,28.42441,95.24409,-443.25082,-6.61868,130.60898,-449.68667,-11.73856,129.14527,-450.18354,-19.43557,107.38335,-457.86926,-23.44841,86.49088,-451.21249,7.33605,91.85691,-452.05576,13.08583,55.86477,-437.95475,13.45582,31.22088,-470.70143,12.95664,19.93668,-473.95429,-5.59929,91.72679,-452.32876,-8.74908,53.6172,-444.26208,-3.82335,14.26966,-454.62121,-6.61725,6.77884,-446.00464
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.24952,109.70654,-452.46356,-0.33017,118.66751,-451.96139,-2.16431,134.61564,-448.71966,-2.86064,140.94673,-447.66052,3.16688,131.90049,-449.43728,8.51025,132.11117,-449.35976,21.72634,113.28018,-457.27241,28.4798,94.40658,-447.52083,-6.72999,130.83973,-449.81675,-11.93387,129.64508,-450.12482,-20.42985,107.29368,-454.61134,-24.29269,87.33643,-445.46269,7.36832,92.04688,-451.60786,12.83813,57.22795,-434.72426,13.25822,28.73325,-464.18065,12.52985,17.05978,-465.3482,-5.50777,91.5398,-452.77566,-8.39493,52.79721,-448.53179,-3.91724,13.36635,-458.7768,-6.73262,5.87546,-450.16728
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.01519,109.69594,-452.28646,-0.61174,118.65168,-451.71554,-1.93228,134.64988,-448.47057,-2.40948,140.99681,-447.38521,3.31002,131.75383,-449.13368,8.65701,131.83851,-449.20199,20.85297,113.27734,-459.13287,28.52083,93.88954,-451.24411,-6.61267,131.03439,-449.62325,-11.87326,130.0889,-449.80959,-21.24584,107.67141,-451.03684,-24.81462,88.90152,-439.55354,7.3408,92.14871,-451.16515,12.43346,58.43075,-432.07335,13.34657,25.83992,-456.90895,12.4654,14.19525,-455.57155,-5.40647,91.44093,-453.26772,-7.78713,52.44364,-452.33045,-3.85115,12.95758,-462.58529,-6.69688,5.46678,-453.98568
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.11926,109.68914,-452.05992,-0.67798,118.63863,-451.36601,-1.54056,134.63145,-447.94525,-1.79758,140.9766,-446.77809,3.61679,131.57488,-448.55162,8.96172,131.52305,-448.7279,20.14209,113.41132,-460.51115,28.48262,93.60223,-454.59921,-6.31346,131.18377,-449.22567,-11.60849,130.44199,-449.34757,-21.89524,108.49028,-447.29802,-24.99631,91.09922,-433.70223,7.28153,92.16843,-450.82449,11.83364,59.35577,-430.08948,13.5498,22.91068,-448.76066,12.72031,11.88937,-444.75985,-5.31821,91.4231,-453.67152,-7.28772,52.42731,-455.33998,-3.73102,13.0557,-466.15798,-6.60908,5.56489,-457.56915
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.01181,109.69418,-451.97054,-0.46742,118.64079,-451.1719,-0.95518,134.56748,-447.38791,-0.98932,140.89005,-446.07903,4.12746,131.38753,-447.99068,9.46639,131.21797,-448.25357,19.62032,113.58644,-461.59177,28.38839,93.44137,-457.82186,-5.79825,131.28065,-448.81897,-11.11105,130.67426,-448.91357,-22.3343,109.69831,-443.8201,-24.82612,93.86984,-428.32295,7.21196,92.10962,-450.60173,11.19794,59.81859,-428.95147,13.87645,20.40479,-439.86848,13.1068,10.66505,-433.3333,-5.27857,91.4805,-453.91918,-7.14839,52.58334,-457.21294,-3.49072,13.71307,-469.68398,-6.39287,6.22217,-461.10333
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.35475,109.71129,-452.07588,0.08375,118.66133,-451.23297,-0.10794,134.48019,-446.99705,0.05094,140.75821,-445.49693,4.91406,131.22009,-447.67517,10.24283,130.93913,-448.03198,19.46179,113.72587,-462.54389,28.39031,93.36765,-460.88867,-5.00884,131.33065,-448.53593,-10.33164,130.81308,-448.58507,-22.39248,111.11174,-440.95036,-24.18593,96.89149,-423.8776,7.13486,91.97055,-450.47293,10.71096,59.67544,-428.75727,14.32671,18.89116,-430.59351,13.4725,10.98409,-421.93833,-5.30363,91.6148,-454.01863,-7.2836,52.82018,-458.30713,-3.11709,14.9312,-473.36928,-6.04684,7.44025,-464.79806
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.80823,109.71964,-452.24168,0.73761,118.67095,-451.37204,0.7521,134.35189,-446.64722,1.04433,140.5706,-444.93507,5.73254,131.05967,-447.46272,11.04478,130.66586,-447.93923,19.45802,113.71666,-463.23049,28.24044,93.23211,-463.64019,-4.19428,131.30543,-448.24688,-9.52115,130.82918,-448.23528,-22.34887,112.46646,-438.74026,-23.40922,99.80823,-420.42207,7.0675,91.80875,-450.42649,10.24476,59.25233,-429.04152,14.32041,19.13656,-421.69874,13.24713,13.33201,-411.53415,-5.36264,91.77427,-454.01886,-7.76141,53.14914,-459.46673,-2.90872,16.68184,-477.533,-5.83529,9.19102,-468.96057
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.13231,109.71666,-452.34388,1.20845,118.66362,-451.43105,1.41079,134.20419,-446.26715,1.8015,140.36674,-444.38049,6.35324,130.89481,-447.23087,11.64565,130.41606,-447.83359,19.29489,113.47355,-463.52822,27.64595,92.95131,-465.98033,-3.57909,131.24557,-447.89631,-8.90879,130.81923,-447.77354,-22.36413,113.47978,-437.27627,-22.8466,102.16739,-418.0745,7.01249,91.69323,-450.38107,9.74725,58.79964,-429.45583,13.35613,20.60068,-415.04687,12.07871,17.00062,-403.93061,-5.39793,91.89063,-454.03581,-7.78452,53.61704,-461.57046,-2.99295,18.50103,-482.15466,-5.91345,11.01023,-473.58016
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.31886,109.7125,-452.28778,1.50272,118.64986,-451.29937,1.95697,134.08963,-445.85667,2.44849,140.21593,-443.87776,6.84645,130.7354,-446.92941,12.12166,130.17981,-447.61167,18.92746,113.11792,-463.56328,26.65876,92.6649,-467.90106,-3.0865,131.22539,-447.48948,-8.41719,130.86155,-447.25739,-22.48542,114.1649,-436.52416,-22.49606,103.75842,-416.81082,6.95945,91.61481,-450.30515,9.23035,58.78969,-429.21755,11.88572,21.63302,-412.12564,10.64039,19.50522,-400.63281,-5.39688,91.9702,-454.12735,-7.50935,54.44094,-464.82436,-3.35635,20.33131,-487.16466,-6.26163,12.70995,-478.70074
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,1.11789,109.70342,-451.5627,1.30111,118.5986,-450.24766,2.12411,133.94097,-444.57753,2.76315,140.03764,-442.54985,6.93292,130.49896,-445.73362,12.18373,129.78886,-446.45942,18.17084,112.55978,-462.55893,25.12985,92.21844,-468.45108,-2.99054,131.21089,-446.21873,-8.32072,130.88954,-445.92139,-22.96007,114.38317,-435.66836,-22.76182,104.31925,-415.77894,6.99691,91.60798,-450.43779,8.25649,60.43281,-426.90368,9.59867,21.9622,-412.83195,9.26665,18.57504,-401.58115,-5.37833,91.97956,-454.19677,-8.79307,54.69919,-465.41494,-4.48471,22.67306,-490.62541,-7.00853,13.75223,-483.39956
0.33333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.82645,109.663,-450.8905,0.98683,118.51681,-449.31841,2.24126,133.84563,-443.69085,3.00962,139.96748,-441.78774,6.95189,130.27324,-444.8556,12.17212,129.37741,-445.59632,17.37198,111.91298,-461.71574,23.50316,91.65336,-468.70658,-2.95069,131.24942,-445.30633,-8.28387,130.99142,-445.00113,-23.54017,114.33299,-435.9658,-23.44297,103.95846,-416.23586,7.02052,91.64264,-450.4738,7.45274,62.58801,-424.34003,8.84196,22.54133,-415.72981,8.45311,16.40296,-405.71318,-5.32073,91.95617,-454.34808,-10.04232,55.05125,-466.30916,-5.67064,25.45036,-494.31771,-7.88644,15.281,-488.85531
0.36667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.63391,109.68415,-451.18957,0.79514,118.55979,-449.74588,2.49286,133.89989,-444.2673,3.38558,140.06349,-442.56367,7.09934,130.19397,-445.43133,12.29734,129.13578,-446.11188,16.88571,111.1155,-461.79937,22.19609,90.87146,-469.47363,-2.77698,131.42744,-445.82367,-8.11034,131.24901,-445.46877,-23.77115,113.96848,-438.53927,-24.09667,102.68868,-419.31504,7.00873,91.74376,-450.30788,7.40151,63.7818,-423.00757,8.74449,22.84914,-421.42095,8.18828,15.65672,-412.14069,-5.25529,91.84915,-454.43066,-11.06159,54.9971,-466.07311,-6.39971,28.23876,-496.76613,-8.35063,16.91248,-494.30184
0.4,0.0,0.0,0.0,0.84703,93.984,-452.225,0.55434,109.7001,-451.49645,0.73006,118.5983,-450.20097,2.68205,133.97902,-444.92468,3.65505,140.16801,-443.36297,7.22604,130.17886,-446.02898,12.41409,128.99753,-446.56809,16.8427,109.95269,-461.04435,21.62235,89.58989,-468.75322,-2.62671,131.5772,-446.45923,-7.9604,131.45638,-446.08544,-23.41013,113.25632,-441.3994,-24.6192,100.33957,-423.27188,7.00237,91.81016,-450.21334,8.0011,63.2554,-423.5495,8.03465,22.48406,-427.73275,7.75219,15.05123,-418.63127,-5.22676,91.77831,-454.43968,-12.47239,54.46891,-463.54154,-7.19096,30.37753,-496.27554,-8.55078,18.81062,-497.86329
0.43333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.66085,109.71043,-451.71796,0.88586,118.62915,-450.58093,2.83363,134.13004,-445.6672,3.79596,140.36116,-444.2757,7.37324,130.27315,-446.57548,12.56584,129.03068,-446.88401,17.12066,108.81999,-459.63792,21.66631,88.07867,-466.42393,-2.4583,131.72293,-447.25081,-7.79956,131.65725,-446.98783,-22.5764,112.53016,-444.21381,-24.96767,97.63116,-427.80611,6.99448,91.7978,-450.20263,8.20871,61.58226,-425.44623,7.59026,21.42087,-433.59994,7.34111,13.97427,-424.50876,-5.24854,91.78779,-454.38867,-13.56109,53.88232,-459.01587,-7.8469,31.88501,-493.1226,-8.83826,21.34354,-498.22732
0.46667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.68858,109.71243,-451.77386,0.92807,118.64327,-450.73945,2.80254,134.27041,-446.21235,3.70854,140.54265,-444.97643,7.354,130.38834,-446.93507,12.55235,129.13229,-446.97478,17.42189,107.84186,-457.69326,21.87489,86.54363,-462.538,-2.46261,131.82378,-447.82439,-7.80847,131.76567,-447.67976,-21.76996,111.8516,-447.04586,-25.18011,95.2216,-432.59855,7.05453,91.80047,-450.39204,8.33351,59.61784,-428.25665,7.39962,19.97237,-438.60882,7.14829,12.50542,-429.5344,-5.31632,91.78457,-454.18368,-14.24201,53.73863,-453.76789,-7.97271,33.15609,-488.65138,-8.79875,23.01948,-494.54463
0.5,0.0,0.0,0.0,0.84703,93.984,-452.225,0.77999,109.71656,-451.91778,1.04608,118.66058,-451.01183,2.80194,134.39811,-446.83293,3.64078,140.70824,-445.75226,7.37777,130.5205,-447.4112,12.58466,129.31508,-447.21787,18.00616,107.21061,-455.81325,22.39798,85.42883,-457.59687,-2.43371,131.89072,-448.44771,-7.78062,131.77622,-448.44694,-21.02021,111.44891,-450.29334,-25.02656,93.46514,-437.74567,7.10669,91.78599,-450.59834,8.53941,57.4353,-432.01583,7.49111,18.08983,-443.44553,7.19815,10.60678,-434.38563,-5.39395,91.79789,-453.93727,-14.63438,54.17308,-448.80679,-7.91925,33.41037,-483.50002,-8.44548,22.85387,-488.6427
0.53333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.98238,109.71912,-452.23008,1.29773,118.67901,-451.51728,2.83288,134.52828,-447.68848,3.56574,140.87254,-446.73846,7.45624,130.68743,-448.11391,12.66853,129.56538,-447.69547,18.94931,107.04006,-454.40685,23.0216,85.23951,-452.15562,-2.354,131.92767,-449.31317,-7.6952,131.73353,-449.50385,-20.20334,111.35294,-453.98419,-24.58262,92.39613,-443.10429,7.14204,91.73775,-450.8151,8.85051,55.44727,-436.4132,7.80697,16.23181,-448.28173,7.42608,8.74437,-439.22874,-5.4857,91.84543,-453.63349,-14.81351,55.02696,-444.42879,-8.06442,32.13874,-477.75119,-8.02494,21.18109,-482.00466
0.56667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.23014,109.71154,-452.55667,1.61036,118.68276,-452.04704,2.9001,134.6421,-448.60436,3.49423,141.01501,-447.75449,7.57337,130.84643,-448.85327,12.78787,129.85153,-448.20422,20.20998,107.19,-453.02588,23.50053,86.07967,-446.6665,-2.22859,131.93961,-450.24742,-7.55551,131.70305,-450.66024,-19.29339,111.59335,-457.71131,-23.90154,91.87763,-448.38573,7.16954,91.66029,-451.0906,9.11288,53.90214,-441.19729,8.06653,14.68808,-453.0702,7.66076,7.15304,-444.05787,-5.58224,91.92499,-453.26698,-14.79769,56.02572,-440.87134,-8.11094,29.99707,-471.81645,-7.8597,18.56261,-474.52818
0.6,0.0,0.0,0.0,0.84703,93.984,-452.225,1.4797,109.70165,-452.63411,1.89661,118.67623,-452.22155,2.79095,134.73423,-449.13011,3.22416,141.12761,-448.33878,7.55277,131.04424,-449.26305,12.77284,130.25558,-448.4081,21.45708,107.6969,-451.15952,23.68242,87.94091,-441.07666,-2.26185,131.87657,-450.74552,-7.56402,131.64265,-451.40485,-18.60549,112.13031,-460.85207,-23.33107,91.8558,-452.88187,7.18658,91.55334,-451.47491,9.12437,52.94705,-445.71889,8.24186,13.71478,-457.54484,7.84894,6.05488,-448.63782,-5.66883,92.0347,-452.86109,-14.59032,57.04098,-437.92185,-8.25033,27.2505,-465.34693,-8.07719,15.51318,-465.95424
0.63333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.69163,109.69511,-452.46966,2.1273,118.66685,-452.01669,2.61591,134.76803,-449.06214,2.85754,141.17334,-448.28569,7.46618,131.19341,-449.13674,12.68368,130.62797,-448.10713,22.73385,108.47881,-448.64495,23.77798,90.63434,-435.32578,-2.35718,131.77494,-450.67964,-7.62355,131.54926,-451.58349,-17.95644,112.89062,-463.28741,-22.78204,92.23751,-456.4264,7.18427,91.45206,-451.92626,8.98721,52.48286,-449.58454,8.31296,13.30656,-461.60808,7.98504,5.4869,-452.83831,-5.72558,92.1378,-452.45556,-14.17177,57.94918,-435.51053,-8.58389,24.16596,-458.03323,-8.61565,12.55304,-456.21591
