time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,0.63053,109.70336,-451.54151,0.55452,118.66082,-450.7382,0.66504,134.77094,-447.79411,0.45738,141.15575,-446.85584,5.54567,131.57309,-449.298,10.68497,132.03877,-450.70256,24.09545,120.92408,-467.68795,33.4535,106.50365,-453.49662,-4.32597,131.40019,-447.97968,-9.51893,130.56807,-447.00846,-18.85202,108.83282,-441.31923,-3.28234,111.84094,-425.65247,7.34237,91.89211,-452.5334,11.76976,56.74606,-436.02625,15.14565,27.11709,-464.14262,15.13713,15.85742,-460.76871,-5.58799,91.69545,-452.10706,-6.37295,53.10493,-445.98422,-4.14798,12.84605,-453.33781,-6.68676,5.35522,-444.64266
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.37059,109.68984,-451.38127,0.22201,118.64007,-450.51038,0.49077,134.74558,-447.55129,0.40282,141.12795,-446.57824,5.30902,131.52975,-449.21004,10.38275,132.04453,-450.82073,23.03564,121.35347,-468.63888,33.25258,107.29661,-454.67699,-4.51754,131.39562,-447.58586,-9.68352,130.63627,-446.42891,-19.33301,109.44874,-439.36696,-2.93768,113.20062,-424.73728,7.37538,92.0041,-452.57319,11.22175,57.58936,-434.45791,14.77807,25.97766,-460.30082,14.70681,15.08148,-455.89268,-5.54856,91.58724,-452.11193,-6.46293,52.7848,-447.54365,-4.20948,12.59335,-455.24896,-6.74543,5.10255,-446.55296
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.24065,109.67449,-451.19887,0.06318,118.61619,-450.24927,0.45298,134.71333,-447.25829,0.46248,141.09075,-446.24947,5.22275,131.48482,-449.02874,10.24853,131.9965,-450.78423,22.22514,121.28541,-469.05208,32.91875,107.48845,-455.18825,-4.56673,131.38095,-447.1923,-9.70562,130.66542,-445.89529,-19.6619,109.95235,-437.91174,-2.68268,113.91135,-424.02133,7.39211,92.06135,-452.57975,10.89477,58.10427,-433.55397,14.53415,23.98679,-455.97172,14.29352,13.6756,-450.33389,-5.52908,91.53426,-452.15619,-6.55575,52.59732,-448.96323,-4.29063,12.49465,-457.11479,-6.83136,5.00373,-448.42028
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,0.2492,109.66179,-451.01596,0.09402,118.59404,-449.97769,0.59078,134.6705,-446.89282,0.65598,141.04383,-445.86047,5.3273,131.43024,-448.72984,10.32757,131.90415,-450.5669,21.64907,120.60212,-468.89634,32.58838,106.91298,-455.11758,-4.44403,131.3617,-446.79759,-9.56445,130.6822,-445.41122,-19.69042,110.16377,-437.14356,-2.48226,113.83564,-423.45752,7.39177,92.06047,-452.58143,10.76652,58.26378,-433.24941,14.33126,21.57142,-451.15937,13.97061,12.0871,-444.22532,-5.53112,91.53867,-452.20548,-6.66485,52.54215,-449.89909,-4.31803,12.63338,-458.93159,-6.86448,5.14257,-450.23867
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.36902,109.653,-450.85896,0.28183,118.57542,-449.73199,0.9016,134.61698,-446.49161,0.97466,140.99208,-445.47081,5.61382,131.35797,-448.35771,10.61701,131.73807,-450.20859,21.32302,119.44048,-468.26493,32.18778,105.59561,-454.58312,-4.15877,131.34658,-446.43068,-9.26653,130.70055,-444.98295,-19.41113,109.96542,-437.2994,-2.39471,112.95087,-423.21255,7.37773,92.01169,-452.57227,10.7676,57.98776,-433.64575,14.20922,19.06146,-446.00297,13.69654,10.72632,-437.73096,-5.55047,91.5899,-452.25839,-6.83686,52.56232,-450.66867,-4.36767,12.92995,-460.81663,-6.93012,5.43915,-452.12841
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.58391,109.64726,-450.73994,0.60447,118.56053,-449.53983,1.3679,134.56381,-446.14452,1.42838,140.94402,-445.15535,6.05504,131.27702,-448.02503,11.09302,131.50578,-449.80506,21.13658,117.94299,-467.32813,31.46777,103.75391,-453.58579,-3.72409,131.34232,-446.13255,-8.81952,130.68342,-444.64762,-18.98041,109.50959,-438.29776,-2.50949,111.3089,-423.38526,7.35072,91.92246,-452.56068,10.73739,57.32608,-434.7014,13.95732,16.9392,-440.89291,13.34486,9.85946,-431.52991,-5.58334,91.68074,-452.30315,-7.09458,52.63874,-451.42452,-4.43634,13.38632,-462.91298,-7.01296,5.89554,-454.22893
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.82111,109.64181,-450.66152,0.95791,118.54865,-449.42186,1.85968,134.53204,-445.96731,1.92537,140.91843,-445.01922,6.52683,131.20355,-447.82403,11.62262,131.2362,-449.44698,20.9964,116.12387,-466.0491,30.25732,101.49581,-452.00735,-3.26494,131.3629,-446.00389,-8.3503,130.65259,-444.50819,-18.61581,109.05551,-440.02702,-3.05577,108.81151,-424.06654,7.31943,91.82203,-452.53246,10.54625,56.64764,-435.80874,13.35203,15.77266,-436.88876,12.92734,9.34873,-427.05431,-5.61815,91.78269,-452.35323,-7.34742,52.73984,-452.36464,-4.57544,13.99268,-465.43278,-7.17724,6.50172,-456.75639
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.95444,109.62304,-450.48682,1.18047,118.52005,-449.19099,2.27231,134.50318,-445.7905,2.31908,140.89921,-444.9085,6.91962,131.09244,-447.54491,12.05691,130.90043,-449.01916,21.04342,114.00936,-464.04631,28.54848,99.18919,-449.18185,-2.9006,131.41555,-445.90903,-8.01369,130.69223,-444.51779,-18.544,108.89833,-442.0614,-4.63511,105.47496,-424.98117,7.30126,91.76485,-452.5058,10.1526,56.12206,-436.7326,12.2083,15.19745,-435.86476,12.40339,9.14938,-425.78774,-5.63714,91.8451,-452.42857,-7.6295,52.83668,-453.73527,-4.93578,14.69158,-468.48312,-7.55576,7.20064,-459.81219
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.75782,109.54361,-449.8792,0.95058,118.41395,-448.40711,2.21646,134.44635,-445.31267,2.26689,140.8486,-444.47721,6.84798,130.92916,-446.88968,12.00356,130.50598,-448.24723,20.86699,111.73705,-460.93768,25.98974,97.61238,-444.47054,-3.00033,131.43611,-445.48582,-8.16597,130.72114,-444.29941,-19.20114,109.04052,-444.03255,-8.03703,102.01193,-426.06389,7.32875,91.85572,-452.56892,9.52088,56.26596,-436.57217,11.12026,15.31308,-436.89839,11.60835,7.91195,-427.77981,-5.60984,91.77636,-452.53477,-7.93252,52.8581,-455.23812,-5.54205,15.36811,-471.62681,-8.20999,7.80565,-463.03293
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.4677,109.51904,-449.74896,0.57855,118.39231,-448.28611,1.9783,134.47231,-445.51296,2.10836,140.88523,-444.77347,6.60317,130.85986,-446.88016,11.78852,130.26604,-448.04703,20.51412,109.83515,-457.96285,22.70462,97.53707,-439.50007,-3.27262,131.52782,-445.76676,-8.47829,130.77844,-444.79622,-20.46576,109.75169,-447.26035,-12.47694,100.2943,-428.72262,7.36719,91.98238,-452.60129,8.4834,56.55194,-436.14619,10.41917,15.82496,-440.31381,10.78399,8.33412,-431.26297,-5.56743,91.65654,-452.53869,-8.70173,52.76804,-454.8178,-6.45643,16.69168,-474.13768,-9.01001,8.36184,-466.24739
