time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.11882,109.68851,-452.44369,-0.82301,118.63393,-451.83492,-2.65088,134.47237,-448.09074,-3.52339,140.66627,-446.48964,2.67495,131.80195,-448.99239,7.99282,132.30705,-449.25163,18.91911,112.23307,-457.59022,25.37268,91.61485,-452.09877,-7.22355,130.71096,-449.20837,-12.3628,129.2367,-449.3394,-22.06548,107.2314,-453.01639,-27.765,88.49606,-442.36683,7.43883,92.19311,-452.18583,17.12475,56.88794,-438.50884,15.12643,27.21458,-466.70993,16.16391,15.83432,-463.95728,-5.47562,91.39859,-452.20323,-12.20297,54.94728,-439.8186,-7.15025,17.02524,-454.52207,-11.30253,9.53448,-446.47156
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.11215,109.68838,-452.47921,-0.73119,118.64439,-451.93716,-2.07701,134.59376,-448.46982,-2.7371,140.83638,-446.95879,3.15859,131.77158,-449.43538,8.46831,132.18001,-449.9275,18.59021,112.09836,-459.20949,25.51937,91.46131,-454.41217,-6.76647,130.92913,-449.41113,-11.9527,129.62445,-449.35409,-22.43593,107.76533,-451.39768,-27.90298,89.947,-439.16946,7.43767,92.19133,-452.12326,16.8212,57.21893,-437.4191,15.30063,23.92457,-461.27233,16.40596,13.08592,-456.86036,-5.47633,91.40041,-452.2559,-11.82006,54.09105,-442.50383,-6.88361,16.14867,-457.19433,-11.05111,8.65782,-449.15178
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.05223,109.69301,-452.4,-0.56481,118.65626,-451.8666,-1.42223,134.68347,-448.6094,-1.88755,140.96129,-447.17355,3.71656,131.71147,-449.64315,9.00673,132.01356,-450.36766,18.40631,111.98884,-460.49384,25.79129,91.36573,-456.36289,-6.22417,131.12992,-449.39687,-11.44575,129.99902,-449.1546,-22.7282,108.45115,-449.69409,-27.94129,91.49951,-436.18941,7.42907,92.16665,-452.03911,16.39457,57.44419,-436.50518,15.70591,20.94968,-455.14599,16.93839,10.97435,-449.05195,-5.48443,91.4238,-452.36213,-11.28852,53.50487,-444.89207,-6.66716,15.58017,-459.72995,-10.84428,8.08934,-451.69236
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,0.02173,109.69802,-452.24872,-0.38167,118.66465,-451.67942,-0.77677,134.73514,-448.54907,-1.05237,141.03636,-447.16778,4.26741,131.62301,-449.63512,9.53074,131.81533,-450.56381,18.26633,111.91679,-461.50081,26.08668,91.32623,-458.06766,-5.67999,131.3003,-449.23233,-10.9277,130.34728,-448.83765,-22.99451,109.239,-447.98448,-27.98397,93.06896,-433.47427,7.41753,92.13397,-451.96718,15.7459,57.56958,-435.74146,16.27471,18.61678,-448.47733,17.61139,9.77446,-440.84908,-5.4935,91.45508,-452.47621,-10.77334,53.13362,-446.91541,-6.49712,15.35161,-462.21367,-10.68665,7.86075,-454.18258
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.13572,109.70309,-452.09704,-0.14717,118.67075,-451.47388,-0.10941,134.75269,-448.3778,-0.21211,141.06817,-447.03863,4.84386,131.51406,-449.51136,10.0787,131.60968,-450.60193,18.16655,111.8914,-462.33465,26.3718,91.34448,-459.61189,-5.10347,131.43914,-448.99934,-10.36966,130.65947,-448.48766,-23.17894,110.07814,-446.43179,-27.98847,94.61908,-431.1087,7.40079,92.08325,-451.91515,14.93477,57.64141,-435.05303,16.79844,17.23099,-441.63543,18.17272,9.66921,-432.74192,-5.50852,91.50439,-452.57051,-10.49215,52.93894,-448.67134,-6.42658,15.45399,-464.73845,-10.62215,7.96311,-456.71053
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.30265,109.70841,-451.98224,0.15042,118.67546,-451.30698,0.56979,134.74597,-448.1799,0.61364,141.06359,-446.84762,5.44001,131.40208,-449.36643,10.64893,131.41126,-450.57849,18.11795,111.90607,-463.05417,26.58886,91.3789,-461.10633,-4.50133,131.54397,-448.76084,-9.778,130.90827,-448.16487,-23.3011,110.90871,-445.1584,-27.9689,96.09968,-429.16418,7.37514,92.01001,-451.84056,14.10929,57.68857,-434.40432,17.1762,16.82264,-435.01466,18.42909,10.53524,-425.16263,-5.52938,91.57615,-452.67709,-10.51095,52.8854,-450.32241,-6.51348,15.86503,-467.44886,-10.72607,8.37413,-459.42988
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.4116,109.70723,-451.77489,0.36326,118.667,-450.99554,1.13538,134.70106,-447.75073,1.31605,141.01126,-446.39503,5.93,131.26184,-448.9722,11.1212,131.17945,-450.25545,18.02764,111.91325,-463.40822,26.60256,91.36367,-462.35898,-4.00477,131.61355,-448.34461,-9.28909,131.09095,-447.70798,-23.43266,111.64487,-444.00599,-28.09103,97.34912,-427.5487,7.35231,91.95621,-451.74544,13.40199,58.00513,-433.35908,17.19769,17.44173,-428.88629,18.22658,11.91594,-418.56298,-5.53692,91.63028,-452.82999,-10.72736,52.90826,-451.83045,-6.76561,16.46741,-470.16545,-10.99636,8.97648,-462.15607
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.58372,109.70743,-451.66236,0.65705,118.66012,-450.80726,1.74952,134.64164,-447.39939,2.04709,140.93982,-446.00885,6.47804,131.11181,-448.62005,11.66653,130.94592,-449.90616,18.06192,111.94638,-463.69011,26.52681,91.32458,-463.6421,-3.45125,131.67158,-448.06064,-8.74553,131.25899,-447.42588,-23.39828,112.27451,-443.32933,-28.16744,98.39628,-426.54956,7.31521,91.87607,-451.60869,12.94109,58.42152,-432.20574,16.92674,18.35116,-424.57134,17.67506,13.27988,-413.99374,-5.54778,91.71035,-452.9981,-11.07932,53.02407,-453.3264,-7.02892,17.37589,-473.14064,-11.35792,9.88899,-465.18013
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.6856,109.69787,-451.41236,0.85736,118.6342,-450.41255,2.27869,134.53437,-446.75459,2.68474,140.80968,-445.29006,6.93841,130.91364,-447.97356,12.13468,130.64731,-449.21045,18.11592,111.86181,-463.46566,26.26101,91.14141,-464.57812,-2.98119,131.6962,-447.51946,-8.28634,131.37182,-446.92565,-23.37143,112.7488,-442.74008,-28.36531,99.1423,-425.80386,7.28576,91.81767,-451.5106,12.64721,59.32275,-430.47094,16.14236,19.28968,-422.4124,16.88608,14.13707,-411.87385,-5.54672,91.77142,-453.16586,-11.43444,53.16963,-454.76922,-7.25261,18.45632,-476.15383,-11.80137,10.98353,-468.30337
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.76846,109.67963,-451.10544,1.03783,118.59192,-449.92836,2.82161,134.38227,-445.96617,3.34578,140.62569,-444.40599,7.4027,130.65917,-447.17473,12.60875,130.25685,-448.33116,18.25037,111.64362,-462.94624,25.85173,90.79873,-465.09694,-2.49867,131.70035,-446.86527,-7.8156,131.46351,-446.33929,-23.28791,113.09696,-442.44403,-28.59582,99.58312,-425.52916,7.2519,91.75886,-451.39613,12.49626,60.76525,-428.1749,15.2786,20.22311,-422.84611,15.92501,13.62748,-413.13821,-5.53595,91.83532,-453.36585,-11.96363,53.40873,-456.43445,-7.83252,19.77984,-479.49599,-12.40506,12.1911,-471.77159
