time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.75078,109.51939,-454.55893,1.59866,118.36462,-452.93847,-0.62484,129.07458,-440.74959,-1.65157,131.24331,-434.75529,4.74793,127.69533,-443.10321,10.09563,127.72331,-443.04497,19.6325,106.2527,-449.36491,18.66108,84.33583,-445.41235,-5.10559,126.39095,-443.75418,-9.99519,124.22864,-443.89115,-14.50869,100.5996,-447.52329,-12.96566,78.60281,-444.25665,7.17389,91.49365,-451.56961,9.48215,57.63392,-432.19119,10.80238,32.6546,-464.65799,11.00681,20.90835,-464.27417,-5.73169,92.14518,-452.23001,-9.78097,56.97117,-435.68534,-3.77177,18.13697,-447.32998,-7.0233,10.6461,-438.87552
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.70466,109.5172,-454.59066,1.55019,118.37463,-453.03849,-0.5646,129.32632,-441.04665,-1.50188,131.68746,-435.11068,4.79045,127.87559,-443.39769,10.1382,127.89684,-443.34175,19.45851,106.38288,-449.83497,18.93939,84.40961,-446.11728,-5.07225,126.60821,-443.97915,-9.97543,124.47356,-444.04726,-14.47239,100.83772,-447.6555,-12.65863,78.9217,-444.0073,7.17951,91.51959,-451.52714,9.42407,58.29309,-431.0749,10.62226,31.07284,-461.6923,10.55944,19.39454,-460.35933,-5.72444,92.11985,-452.26363,-9.70568,56.09324,-437.6497,-3.45703,17.59531,-450.24599,-6.70653,10.10444,-441.79075
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.63164,109.53173,-454.51949,1.47987,118.39964,-453.02809,-0.4856,129.72551,-441.36286,-1.35197,132.36832,-435.53584,4.84507,128.16395,-443.69824,10.19275,128.1462,-443.6339,19.24064,106.51748,-450.13119,19.3078,84.48615,-446.73536,-5.02984,126.9537,-444.18659,-9.9579,124.87607,-444.17091,-14.42302,101.22961,-447.74901,-12.51626,79.37512,-443.79218,7.19097,91.54635,-451.53738,9.45164,58.6614,-430.54209,10.53913,28.43482,-458.20025,10.22284,17.02998,-455.37303,-5.71556,92.08904,-452.27323,-9.59051,55.18021,-440.02347,-3.19594,16.9016,-453.20149,-6.45081,9.41066,-444.74837
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,1.52887,109.56176,-454.34181,1.3826,118.43799,-452.90019,-0.38054,130.24815,-441.69183,-1.15511,133.23976,-436.02266,4.91756,128.52945,-443.99071,10.26457,128.46209,-443.90748,18.97198,106.63651,-450.20874,19.68469,84.55222,-447.26059,-4.97367,127.41968,-444.37687,-9.9393,125.43692,-444.25994,-14.37173,101.77781,-447.79481,-12.52528,79.9576,-443.62587,7.20713,91.58013,-451.56838,9.60995,58.74477,-430.51137,10.50457,25.15966,-453.98568,10.05801,14.33992,-449.41432,-5.70308,92.04689,-452.29174,-9.36809,54.34035,-442.6939,-3.03837,16.1584,-456.18006,-6.29985,8.66755,-447.7294
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.39946,109.6077,-454.01582,1.25206,118.48694,-452.59295,-0.28318,130.85199,-441.96448,-0.95861,134.2346,-436.50637,4.9777,128.94651,-444.20073,10.3236,128.82567,-444.10672,18.61232,106.7209,-449.98523,20.03376,84.60847,-447.54898,-4.93032,127.96381,-444.48818,-9.94033,126.10514,-444.27,-14.37208,102.42798,-447.68276,-12.68791,80.62162,-443.37493,7.22556,91.62268,-451.59325,9.75476,58.5103,-430.98972,10.55256,21.68518,-448.96407,10.11673,11.76522,-442.67375,-5.68545,91.99154,-452.35771,-9.0314,53.64782,-445.58293,-2.98433,15.44853,-459.14944,-6.2557,7.95767,-450.70262
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.23022,109.6647,-453.48235,1.07223,118.53673,-452.01627,-0.22473,131.48177,-442.06842,-0.81055,135.26187,-436.8668,4.99686,129.37058,-444.21003,10.34073,129.19025,-444.09797,18.16599,106.78283,-449.44154,20.28385,84.67676,-447.50461,-4.92693,128.5396,-444.42202,-9.98422,126.82765,-444.1129,-14.46452,103.13379,-447.34142,-13.02069,81.3348,-442.91078,7.24956,91.67337,-451.65129,9.81817,57.91812,-432.12394,10.76203,18.48294,-443.24956,10.35173,9.8402,-435.29354,-5.66229,91.92496,-452.44833,-8.55778,53.14406,-448.57642,-3.06275,14.84382,-462.09304,-6.33643,7.35289,-453.64718
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.08628,109.70247,-452.92126,0.92681,118.56434,-451.39517,-0.14367,132.0253,-442.12843,-0.64021,136.17458,-437.20642,5.04077,129.71136,-444.1473,10.38211,129.48262,-444.00649,17.74357,106.79387,-448.79297,20.45286,84.71899,-447.28476,-4.89639,129.05278,-444.33803,-10.00264,127.50853,-443.9586,-14.57797,103.80495,-446.97554,-13.41999,82.02417,-442.3747,7.26872,91.71446,-451.70378,9.67917,56.98386,-433.94686,11.04995,16.15302,-437.22798,10.66418,9.10534,-427.82878,-5.64134,91.87336,-452.5522,-8.24484,52.90609,-451.10042,-3.2998,14.63281,-464.90282,-6.53827,6.98929,-456.58101
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.99407,109.71735,-452.45365,0.83797,118.57356,-450.8947,-0.06155,132.48087,-442.29275,-0.47854,136.95875,-437.65983,5.09469,129.99236,-444.17133,10.43202,129.7111,-443.98196,17.32929,106.77696,-448.26375,20.4231,84.73439,-447.05176,-4.85065,129.47903,-444.38083,-9.99908,128.09677,-443.95011,-14.80363,104.41583,-446.78294,-13.9626,82.68488,-441.8871,7.2771,91.7387,-451.70214,9.35212,56.02119,-435.97679,11.19046,15.31943,-431.52821,10.81606,9.69087,-421.21595,-5.62402,91.84497,-452.68414,-8.30159,52.85759,-453.06968,-3.6991,14.90478,-467.84142,-6.88706,7.04239,-459.7061
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.91946,109.71853,-452.047,0.77081,118.57169,-450.47014,0.03837,132.86814,-442.51456,-0.31177,137.63334,-438.17181,5.16717,130.20452,-444.22018,10.49705,129.85507,-443.95135,16.92977,106.70182,-447.74982,20.17276,84.67291,-446.68894,-4.78321,129.86173,-444.51966,-9.96593,128.62249,-444.06561,-15.13521,104.99028,-446.65265,-14.63819,83.34535,-441.34596,7.27682,91.75506,-451.63325,9.17734,55.36274,-437.5152,11.13875,15.60284,-427.76299,10.5995,10.818,-417.0402,-5.60295,91.82827,-452.86635,-8.59669,52.90855,-454.77078,-4.23105,15.52557,-470.99597,-7.37347,7.37205,-463.13411
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.71211,109.70714,-451.61097,0.51738,118.5505,-449.98487,-0.07175,133.15452,-442.59628,-0.36919,138.1394,-438.50338,5.03237,130.33426,-444.11373,10.34625,129.87372,-443.72303,16.31063,106.52457,-447.05834,19.46825,84.4852,-445.95801,-4.91672,130.16101,-444.56392,-10.1264,129.0368,-444.11899,-15.77663,105.47889,-446.35396,-15.69632,83.96131,-440.53174,7.29187,91.81921,-451.56291,8.77682,55.6707,-436.78413,10.31588,15.85861,-427.16999,10.0567,10.733,-416.59528,-5.56022,91.7673,-453.0582,-9.15065,52.95931,-455.9535,-5.01132,16.41829,-474.04832,-8.08936,7.80905,-466.66116
