time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.81512,108.85968,1.88635,-0.94139,117.0258,5.65274,-0.14929,129.86962,15.78313,-0.06825,135.75094,18.44634,4.66397,127.14417,13.39294,9.82584,125.90748,14.04701,17.03537,106.86978,0.72523,5.77441,95.20301,16.02205,-5.28455,127.58934,13.6069,-10.54578,127.31024,14.52567,-16.27019,113.37009,-4.57403,-19.79287,91.59522,-7.79225,6.53993,92.36723,-4.21085,6.38655,53.39897,-1.24716,-2.67451,22.41512,-26.49991,-1.69906,13.72662,-18.64356,-6.31278,91.31894,-3.1508,-3.83937,57.75585,16.71714,-5.10901,44.57869,-22.07143,-9.97194,35.73207,-28.09247
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.39583,108.78936,2.14584,0.64581,116.9369,5.94613,0.87424,130.04944,15.75557,1.19689,135.93249,18.39656,5.81273,127.26291,13.71716,10.82673,126.25623,15.28193,16.91512,103.19833,10.47098,2.98716,100.52294,27.66893,-4.1314,127.70885,13.35312,-9.459,127.41037,13.71385,-16.45571,118.74209,-7.91489,-22.66745,99.89847,-18.07576,6.35853,91.97258,-4.55605,7.29293,53.0928,-8.40598,-1.00111,22.24379,-34.08381,-0.39862,12.29337,-27.85567,-6.46883,91.73319,-2.87791,-0.81542,61.72142,21.50786,-4.69798,39.62378,-12.79116,-9.37132,29.01093,-14.71235
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.86536,108.31254,3.09142,2.54869,116.28002,7.20719,2.08493,129.63777,16.6714,2.50955,135.50057,19.34282,7.15457,126.8067,15.06131,11.83869,126.33362,17.59849,16.82085,102.55473,18.87263,2.39779,108.56701,34.77053,-2.73816,127.23049,13.97894,-8.0758,127.52605,13.82178,-15.2143,125.44767,-9.34323,-21.44502,107.66114,-21.2482,6.09764,91.58178,-4.99824,6.76897,53.89376,-15.31788,0.67685,21.75385,-40.0103,1.13796,10.51573,-36.59625,-6.61745,92.25687,-2.69922,1.77758,63.98442,22.94305,-3.32511,32.30487,-2.55541,-7.24899,21.6649,0.53614
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,2.753,107.85737,3.77474,3.66182,115.66378,8.14753,2.5899,129.17185,17.3453,3.178,135.02517,20.00651,7.71879,126.18464,16.30626,11.93859,126.03192,19.58834,17.68116,103.13062,25.45642,3.00758,115.78508,36.47759,-1.9931,126.85106,14.19624,-7.25345,127.73456,13.80815,-12.52075,131.41367,-9.65704,-19.23303,113.88654,-21.68435,5.92929,91.35086,-5.20965,5.69953,55.19333,-20.0391,2.06378,21.89327,-43.65457,2.25127,10.17354,-44.53569,-6.69645,92.61463,-2.67824,2.52556,63.60242,21.8285,-1.14444,25.11701,8.21941,-4.2706,16.75333,15.86397
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,2.50167,108.0363,3.49612,3.32296,115.89808,7.78624,2.18479,129.3495,17.05877,3.0245,135.17668,19.70982,7.2501,126.17171,16.31516,11.31229,126.05902,19.79194,17.65919,103.86052,27.46163,3.58171,119.98013,33.69844,-2.27185,127.24209,13.59413,-7.47308,128.42457,13.20499,-9.82643,135.35959,-9.99549,-18.76484,118.51265,-21.53656,5.99,91.36371,-5.05545,5.88746,55.36133,-20.2591,3.31831,24.34098,-46.92255,2.54612,13.30806,-50.90277,-6.68713,92.55191,-2.75479,1.41016,60.96688,18.78943,0.8486,20.08434,15.94235,-1.69146,14.81601,26.13825
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.76152,108.57478,2.46505,2.41411,116.63842,6.39431,1.68594,129.91258,15.95895,2.83818,135.68357,18.61549,6.66354,126.62518,15.10748,10.81977,126.28155,18.45557,17.48261,103.25689,22.62119,3.82653,119.6238,29.1443,-2.84839,127.99247,12.48625,-8.04677,129.22114,12.22215,-8.95532,135.69435,-11.21217,-18.59242,118.47763,-21.58626,6.1379,91.47741,-4.73221,5.49779,54.65695,-17.81564,3.56165,29.4329,-50.0616,1.67728,19.59606,-56.21377,-6.62877,92.28816,-2.79071,0.39048,58.8855,16.24417,2.21133,17.94624,16.92571,0.06817,13.32434,27.51856
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,1.24441,109.00763,1.30705,1.79362,117.25954,4.84139,1.47963,130.33067,14.70359,2.83859,136.06465,17.34251,6.43,127.10719,13.51551,10.85041,126.42889,16.44841,18.16731,103.4079,13.55396,3.70963,115.92916,25.00425,-3.22132,128.4393,11.44318,-8.47017,129.45929,11.33474,-9.71337,132.97011,-12.70739,-19.83397,114.43906,-19.85475,6.2401,91.51989,-4.39341,5.99947,52.99787,-10.97585,4.2538,36.88555,-48.62089,1.89538,28.83488,-56.85424,-6.58687,92.12506,-2.80682,0.12005,58.27373,15.53545,3.94329,17.60061,12.23646,1.79385,11.10366,21.79329
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,1.82608,109.08025,0.81689,2.66277,117.37878,4.18164,2.89071,130.38199,14.13557,4.08764,136.15663,16.76427,7.80511,127.34194,12.42811,12.67547,126.53391,14.48448,19.57698,105.37386,4.66092,5.89802,107.33375,22.15265,-2.0465,128.34114,11.34892,-7.37396,128.74047,11.59621,-11.21891,127.56297,-12.39806,-19.85328,107.23283,-15.40538,6.14404,91.23281,-4.29165,7.86854,52.31076,-1.22039,5.59519,44.50443,-41.39123,4.07324,38.66894,-51.48054,-6.6529,92.3919,-2.77198,-1.43153,58.41093,15.81201,4.66194,20.01737,2.8271,2.71026,12.52647,11.67249
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,2.48846,109.13198,0.18439,3.6534,117.50277,3.26007,4.59637,130.63152,13.00494,5.52324,136.534,15.45259,9.37628,127.79775,10.67456,14.57334,126.98781,11.64236,19.03612,107.79363,-2.62466,12.0303,95.07945,14.29231,-0.56722,128.3305,10.9195,-5.84536,127.85135,11.63654,-14.09512,119.30041,-9.59359,-18.81527,97.54231,-8.49076,6.01775,90.92127,-4.19599,8.9469,54.29532,9.11911,6.43373,49.37931,-31.49271,6.05685,43.9288,-41.90009,-6.71119,92.68902,-2.69139,-1.56114,56.98359,12.33968,5.41991,21.93367,-7.72448,3.48631,14.44281,1.12492
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,2.0948,109.24057,-0.06232,3.15187,117.68621,2.84298,4.64642,131.00902,12.24963,5.34696,137.01803,14.5058,9.24229,128.33874,9.41131,14.54021,127.61087,9.34536,17.8203,109.9051,-7.01397,18.26544,89.19103,1.21066,-0.61903,128.45756,10.81033,-5.66374,127.24352,12.10628,-16.06176,110.62046,-2.29687,-15.99362,88.89461,2.69248,6.10354,91.03362,-4.02595,7.79345,58.37065,17.36581,5.97358,50.39369,-22.79461,7.09988,43.07245,-31.92119,-6.68728,92.54642,-2.79267,-1.91356,54.64232,5.44291,5.53224,22.489,-18.85786,3.64432,14.95166,-10.03812
0.33333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.963,109.30715,0.16966,1.60637,117.82362,2.98798,3.42622,131.69758,11.49781,3.88051,137.72009,13.78085,7.82141,129.08126,8.31258,13.03882,128.65103,7.21915,17.85533,115.38094,-12.59465,21.05794,93.84022,-7.83481,-1.82838,128.83987,10.77032,-6.40009,127.66945,13.28668,-15.87883,107.19267,4.18995,-9.34439,89.13048,15.50229,6.31092,91.47398,-3.91093,5.03599,62.67031,22.47193,4.63656,47.59779,-15.63926,7.16223,37.48792,-21.07756,-6.57928,92.0875,-2.97235,-2.55614,53.21426,-2.83216,4.67451,22.67833,-29.19649,3.01218,14.15116,-21.27894
0.36667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.56054,109.04973,1.30273,-0.46465,117.49122,4.40421,1.637,131.87628,11.94536,1.97882,137.88732,14.27769,5.69417,129.35877,8.26975,10.53795,129.91037,6.07075,16.24209,121.8562,-16.16602,20.75837,100.53366,-11.48968,-3.46835,128.68061,12.11755,-7.16341,127.78012,15.87762,-16.95841,105.8772,11.85084,-2.53451,95.97791,25.66627,6.54211,92.07407,-3.66245,1.73242,65.67608,24.75138,2.92552,40.60477,-7.64938,5.46602,29.12926,-7.79826,-6.38591,91.55914,-3.53658,-3.30394,53.30612,-10.92181,2.54962,22.74885,-37.60125,1.41888,12.51435,-31.93205
