time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,0.9126,109.71942,-452.15694,1.06052,118.71186,-452.19133,1.73657,135.07203,-452.51367,1.66973,141.51884,-452.86496,6.57891,131.48715,-452.41919,11.86075,130.73812,-452.04087,17.12207,107.07102,-450.02405,19.47984,86.00841,-443.11586,-3.35914,131.88747,-452.9596,-8.63695,131.06827,-452.6837,-14.25482,107.47247,-454.57401,-17.33353,86.61732,-447.32865,7.30614,91.76408,-452.11337,9.76928,53.19499,-446.30903,12.40405,13.15623,-454.66118,12.81819,5.65563,-445.62055,-5.63036,91.81901,-452.35559,-8.49446,53.27934,-446.53966,-8.79905,13.07658,-454.50508,-10.00184,5.58569,-445.52713
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.92216,109.71927,-452.13643,1.06834,118.71179,-452.15578,1.71491,135.07387,-452.43885,1.64555,141.5203,-452.79655,6.56372,131.49745,-452.35611,11.84654,130.74885,-451.99079,17.22925,107.0993,-450.09188,19.62803,86.109,-442.98071,-3.37537,131.88129,-452.88931,-8.65112,131.04584,-452.62278,-14.28772,107.46793,-454.6737,-17.46319,86.68888,-447.25356,7.30501,91.76008,-452.12867,9.86312,53.1959,-446.33276,12.57579,13.15157,-454.63311,12.98515,5.64594,-445.59644,-5.63189,91.82305,-452.34601,-8.411,53.27663,-446.53359,-8.63357,13.06928,-454.47857,-9.83457,5.57849,-445.50031
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.92343,109.71915,-452.11744,1.06645,118.71174,-452.12158,1.69301,135.07529,-452.3611,1.62304,141.52083,-452.73451,6.5462,131.50456,-452.29001,11.82861,130.7478,-451.93574,17.35475,107.10923,-450.33561,19.69028,86.28679,-442.72727,-3.39358,131.87773,-452.81794,-8.66496,131.01431,-452.55414,-14.32032,107.47066,-454.92237,-17.55701,86.89073,-446.99135,7.30503,91.75953,-452.14433,9.97421,53.19833,-446.37876,12.76524,13.14855,-454.62666,13.17366,5.64632,-445.58712,-5.63227,91.82363,-452.33565,-8.32526,53.27343,-446.50779,-8.44401,13.06863,-454.46787,-9.64704,5.5777,-445.49
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,0.91492,109.71893,-452.08506,1.05015,118.71162,-452.06623,1.65165,135.07687,-452.24782,1.58044,141.52075,-452.64839,6.51033,131.5132,-452.2021,11.79443,130.7582,-451.86985,17.45907,107.1244,-450.75804,19.66276,86.62556,-442.28121,-3.43131,131.87334,-452.70331,-8.69773,130.98026,-452.43935,-14.35301,107.50077,-455.37656,-17.59762,87.33191,-446.45464,7.3065,91.76304,-452.16842,10.09692,53.20795,-446.41942,12.97075,13.15213,-454.60938,13.37696,5.64824,-445.57112,-5.63136,91.82018,-452.32058,-8.21532,53.26864,-446.4524,-8.23006,13.07189,-454.45393,-9.433,5.58095,-445.47605
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.92586,109.71849,-452.04674,1.06002,118.7111,-451.99944,1.63275,135.07803,-452.10544,1.55843,141.51993,-452.53633,6.49769,131.52265,-452.09109,11.78547,130.77866,-451.79471,17.53962,107.14462,-451.34443,19.54714,87.17052,-441.65317,-3.44602,131.86787,-452.56088,-8.70988,130.95763,-452.30443,-14.33831,107.57695,-455.9868,-17.52703,88.08009,-445.66133,7.30527,91.75882,-452.20942,10.23467,53.21509,-446.45338,13.2004,13.15396,-454.58438,13.61109,5.64793,-445.54809,-5.63319,91.82453,-452.29025,-8.09107,53.26592,-446.4143,-8.00445,13.07046,-454.42181,-9.20656,5.57961,-445.44375
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.92615,109.71817,-452.01995,1.05552,118.71064,-451.94438,1.60051,135.07887,-451.95203,1.52152,141.51909,-452.40661,6.47136,131.53171,-451.98323,11.76382,130.80412,-451.73316,17.55334,107.17645,-452.04235,19.34303,87.98717,-440.84038,-3.47507,131.86298,-452.40267,-8.73702,130.94078,-452.15001,-14.27996,107.69002,-456.68581,-17.41304,89.23113,-444.58772,7.30536,91.7591,-452.24595,10.38591,53.22927,-446.4758,13.4419,13.16465,-454.55604,13.84532,5.64921,-445.52726,-5.63335,91.82434,-452.26119,-7.9708,53.26159,-446.36332,-7.77067,13.07419,-454.40922,-8.97237,5.58337,-445.43108
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.93092,109.71758,-451.98048,1.05802,118.70975,-451.87212,1.58011,135.07849,-451.78291,1.49643,141.51644,-452.26771,6.45575,131.5385,-451.8547,11.75296,130.8296,-451.65697,17.52784,107.22151,-452.74773,19.04233,89.10065,-439.8537,-3.49271,131.85817,-452.23305,-8.75518,130.9381,-451.98329,-14.19494,107.83191,-457.31325,-17.19256,90.79517,-443.25356,7.3046,91.75784,-452.29243,10.54835,53.24307,-446.51118,13.6955,13.16651,-454.49666,14.09599,5.64427,-445.47341,-5.63393,91.82576,-452.22571,-7.84555,53.25728,-446.31681,-7.52059,13.07014,-454.35987,-8.72511,5.57935,-445.38207
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.92386,109.7169,-451.93806,1.04518,118.70867,-451.79502,1.54947,135.0771,-451.60474,1.46086,141.51311,-452.11376,6.42865,131.5432,-451.72213,11.73051,130.85993,-451.56249,17.41413,107.27973,-453.44701,18.6602,90.57333,-438.74126,-3.52185,131.85389,-452.05109,-8.78739,130.95217,-451.79914,-14.121,107.94848,-457.65389,-16.98085,92.66994,-441.67584,7.30532,91.76157,-452.33382,10.72452,53.26446,-446.53607,13.94157,13.17195,-454.4129,14.34306,5.63622,-445.40095,-5.63268,91.82222,-452.19614,-7.72624,53.25092,-446.26268,-7.28155,13.06199,-454.2911,-8.48655,5.57119,-445.31339
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.91457,109.71622,-451.90091,1.03222,118.70741,-451.72287,1.53478,135.07417,-451.41843,1.44923,141.50928,-451.93931,6.41396,131.54211,-451.58172,11.71991,130.88442,-451.45328,17.24467,107.34594,-454.15472,18.23304,92.4875,-437.56662,-3.53789,131.85328,-451.86606,-8.80497,130.9671,-451.59213,-14.12306,108.02849,-457.71044,-16.79258,94.89604,-439.89687,7.30618,91.76637,-452.37372,10.89395,53.28445,-446.57699,14.1696,13.16947,-454.31404,14.5682,5.62437,-445.30981,-5.63094,91.81761,-452.16659,-7.62367,53.24495,-446.20735,-7.06943,13.05267,-454.21214,-8.28051,5.56177,-445.23533
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.88888,109.71508,-451.84621,0.99517,118.70549,-451.62593,1.48824,135.06994,-451.20466,1.40637,141.50446,-451.73338,6.36879,131.54276,-451.42316,11.68,130.92306,-451.32788,17.00911,107.42889,-454.71984,17.70906,94.78976,-436.37105,-3.58481,131.84868,-451.64535,-8.85109,130.97318,-451.3256,-14.31152,108.05096,-457.3796,-16.62101,97.43125,-437.91684,7.30929,91.77812,-452.40922,11.03821,53.3171,-446.56308,14.33737,13.17285,-454.13658,14.73687,5.60327,-445.15296,-5.62689,91.80618,-452.14634,-7.56415,53.23875,-446.13513,-6.92401,13.03288,-454.06489,-8.13425,5.54205,-445.0879
