time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.12889,109.69911,-451.47117,1.4278,118.6422,-450.56627,2.41234,134.63837,-447.19442,2.32595,140.88306,-445.55566,4.34924,132.1364,-452.3225,6.82512,132.6375,-457.03641,4.28698,111.62391,-469.0309,1.86002,92.30104,-479.87765,-0.35811,130.60445,-443.67893,-2.65514,128.65285,-439.26108,-4.58229,104.62307,-435.98215,8.90697,88.77093,-428.00342,3.45933,92.02967,-458.22643,16.80728,55.32386,-459.58572,-12.41717,28.90939,-470.8999,-11.45585,17.29026,-469.40479,-1.84382,91.55908,-446.43364,7.24005,54.32868,-438.77108,-1.90091,14.39237,-439.92755,5.25975,6.8551,-434.4432
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.88931,109.69788,-451.39764,1.12898,118.64608,-450.52619,2.31288,134.69482,-447.48443,2.39253,140.96255,-445.93574,4.04482,132.0909,-452.63501,6.28948,132.59341,-457.46316,1.59158,112.82041,-470.83624,-2.80722,94.60651,-482.91183,-0.34255,130.73943,-443.79524,-2.48083,128.98133,-439.21928,-2.49438,105.16981,-434.22864,13.45684,91.77038,-426.2961,3.40299,92.10003,-458.273,18.96701,56.28181,-459.73872,-8.92694,28.17019,-470.29653,-6.79837,16.65417,-469.28961,-1.72072,91.48906,-446.40755,5.18417,53.65816,-439.44483,-4.09895,13.74857,-440.36767,3.02861,6.19766,-434.85902
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.82485,109.69165,-451.28606,1.08358,118.64211,-450.44376,2.52855,134.7396,-447.79823,2.77101,141.03294,-446.37546,4.08018,132.00302,-452.93751,6.11494,132.46392,-457.86188,-0.70345,114.10944,-472.30153,-7.00507,97.20732,-485.39823,-0.05948,130.89712,-443.94544,-2.07529,129.36155,-439.23576,-0.25395,105.96576,-432.81585,17.14039,94.36867,-425.07922,3.41063,92.15354,-458.28618,20.55536,57.085,-460.18051,-4.68648,26.35293,-470.08971,-1.17848,15.17852,-469.09474,-1.7104,91.43729,-446.42547,3.14973,53.22036,-439.85434,-6.1225,13.30653,-440.69956,0.9572,5.73504,-435.15754
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,0.99109,109.68442,-451.18176,1.37,118.63363,-450.37234,3.13947,134.76062,-448.13515,3.55662,141.07576,-446.85678,4.52871,131.88112,-453.2427,6.37517,132.26413,-458.24729,-2.18621,115.20729,-473.33528,-10.05967,99.51852,-487.07525,0.57673,131.05189,-444.13713,-1.34242,129.73408,-439.32228,1.90018,106.83677,-431.76622,20.14006,96.41512,-424.3092,3.43959,92.16496,-458.2773,21.61402,57.65438,-460.73537,0.34365,23.913,-470.16371,5.35493,13.35269,-468.92655,-1.78568,91.42788,-446.46341,1.43465,53.01198,-440.04611,-7.92661,13.11997,-440.9392,-0.89699,5.53809,-435.34786
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.25524,109.67762,-451.14991,1.80251,118.62305,-450.39699,3.94486,134.75372,-448.54553,4.54137,141.08665,-447.43765,5.18306,131.73596,-453.61195,6.89544,132.01381,-458.67086,-3.02837,115.95486,-474.01717,-12.13661,101.20395,-488.03024,1.37751,131.18702,-444.42317,-0.45963,130.07077,-439.52609,3.55271,107.57178,-431.18389,22.24109,97.8121,-423.94484,3.44202,92.132,-458.26625,21.98485,57.87064,-461.37353,6.03391,21.23788,-470.50652,12.52854,11.56569,-468.94697,-1.86172,91.46274,-446.48334,0.0347,52.93165,-440.23089,-9.68549,13.12611,-441.14725,-2.69646,5.55432,-435.49172
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.6104,109.66816,-451.20688,2.35995,118.6057,-450.53921,4.86584,134.72054,-449.03983,5.62857,141.06245,-448.09761,5.97727,131.57648,-454.05861,7.6139,131.74427,-459.14735,-3.24154,116.20542,-474.39807,-13.19934,101.93884,-488.33444,2.27468,131.29258,-444.81591,0.48979,130.34232,-439.86479,4.68989,108.07671,-431.00491,23.47223,98.38423,-423.9204,3.40157,92.05163,-458.25831,21.66732,57.68998,-461.86002,12.02146,18.86173,-470.75535,19.93653,10.34286,-469.03951,-1.92025,91.54574,-446.4754,-1.23037,52.94863,-440.38271,-11.55762,13.29568,-441.27408,-4.58617,5.75092,-435.56101
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.9046,109.66111,-451.37535,2.82199,118.59117,-450.82804,5.62991,134.6819,-449.63634,6.52904,141.02763,-448.85376,6.65525,131.42744,-454.6028,8.2756,131.48765,-459.69916,-3.08114,115.92171,-474.55201,-13.50168,101.61931,-488.10816,3.00071,131.37923,-445.33678,1.23864,130.55288,-440.35534,5.07667,108.31746,-431.25859,23.61358,98.14619,-424.19888,3.35913,91.93981,-458.23926,20.96711,57.24555,-461.92697,17.27293,17.34225,-470.52248,26.41293,10.12861,-468.91395,-1.95978,91.65952,-446.44751,-2.53475,53.04776,-440.43627,-13.78123,13.64459,-441.27881,-6.80346,6.15334,-435.50338
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,2.13925,109.65455,-451.61149,3.19501,118.57689,-451.20608,6.26896,134.63751,-450.29875,7.27626,140.98341,-449.66302,7.2496,131.27709,-455.20329,8.89169,131.22585,-460.29279,-2.5785,115.13333,-474.48244,-13.10896,100.33297,-487.4043,3.57646,131.45745,-445.94625,1.81612,130.72699,-440.94924,4.66531,108.30158,-431.956,22.56759,97.14802,-424.74371,3.34924,91.8099,-458.19767,20.38999,56.82674,-461.82034,20.93402,16.67163,-470.01022,30.74275,10.3779,-468.48007,-2.01529,91.79127,-446.42329,-3.98358,53.24959,-440.25897,-16.45932,14.21552,-440.9662,-9.43239,6.74148,-435.2282
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,2.38205,109.63868,-451.79265,3.57811,118.54801,-451.50914,6.91059,134.57072,-450.88984,8.01466,140.91202,-450.38176,7.88202,131.09727,-455.71686,9.57629,130.90032,-460.78566,-1.71519,113.9227,-474.05757,-12.08553,98.30777,-486.12179,4.12386,131.52306,-446.50208,2.33296,130.85725,-441.5069,3.68291,108.16445,-432.84031,20.43272,95.4903,-425.37569,3.37795,91.69544,-458.14256,20.26264,56.60639,-461.45899,21.92365,16.38308,-469.14854,32.01317,10.49536,-467.84476,-2.11165,91.91015,-446.42792,-5.72071,53.53323,-439.98427,-19.56565,14.95828,-440.29016,-12.47925,7.4761,-434.63652
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,2.79105,109.58774,-451.628,4.19131,118.46725,-451.34409,7.78108,134.44373,-451.05815,8.98007,140.77501,-450.6501,8.76904,130.83835,-455.784,10.51991,130.42667,-460.82058,-0.23811,112.26417,-472.91476,-10.12476,95.56917,-483.88958,4.87612,131.54976,-446.6431,3.01114,130.89976,-441.673,2.34225,107.99344,-433.50305,17.30879,93.41201,-425.73801,3.39672,91.6812,-458.12896,20.91186,56.83802,-460.67951,20.91786,16.55958,-468.25911,30.30177,9.58457,-467.05283,-2.2444,91.93858,-446.4874,-7.57568,53.82083,-439.70887,-22.71454,15.73434,-439.51583,-15.67273,8.25576,-433.80204
