time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.44678,109.64134,-450.77575,1.65221,118.58056,-449.80869,1.49262,134.80472,-447.57998,1.2332,141.22551,-446.95117,6.4124,131.36571,-447.05314,11.64881,131.25915,-445.97114,23.08816,112.05629,-436.36532,26.97728,111.44416,-414.42413,-3.24181,131.60629,-449.49354,-8.36506,131.03281,-450.91687,-14.67633,114.01382,-467.11616,-29.70102,98.85688,-473.55332,7.18757,91.49171,-451.72841,7.77893,52.4938,-449.24936,8.05283,11.94506,-455.20986,8.07027,4.51774,-446.09952,-5.66065,92.11314,-453.12545,-12.46875,54.59476,-444.5607,-16.04982,14.04028,-449.2844,-18.66801,7.44585,-439.91305
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.45518,109.63282,-450.6898,1.60553,118.56765,-449.67328,1.12453,134.77582,-447.37551,0.70974,141.18673,-446.72942,6.09144,131.41876,-446.76845,11.30029,131.47741,-445.55747,23.18191,113.06742,-434.98486,26.4434,114.73799,-412.99652,-3.51638,131.50631,-449.3951,-8.5782,130.89776,-451.0107,-14.1916,114.392,-467.97964,-29.35242,99.88941,-475.51195,7.18544,91.48496,-451.73514,7.78097,52.44355,-450.07803,8.07948,12.06897,-457.12128,8.06864,4.5788,-448.06254,-5.66086,92.12226,-453.14267,-12.31084,54.86838,-443.38251,-16.65477,14.11773,-442.81896,-18.9536,8.76173,-432.6115
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.40366,109.6216,-450.56131,1.48331,118.54902,-449.47416,0.72189,134.73208,-447.07731,0.17533,141.13262,-446.42649,5.73518,131.4501,-446.44162,10.9217,131.6223,-445.14838,23.08447,113.6333,-434.17825,25.86153,116.57276,-412.2565,-3.84604,131.40291,-449.1647,-8.86411,130.73394,-450.88921,-13.69038,114.48928,-468.34525,-28.47225,100.12172,-476.82939,7.19776,91.50571,-451.79271,7.87644,52.44091,-450.89096,8.21829,12.3178,-459.24691,8.18062,4.82694,-450.18881,-5.65882,92.10463,-453.12091,-11.9402,54.99824,-442.58556,-17.0024,14.73066,-436.86719,-18.82384,10.58513,-426.02005
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,1.30045,109.60438,-450.37829,1.29,118.52235,-449.21346,0.25832,134.68644,-446.78982,-0.40098,141.07898,-446.16534,5.3257,131.48759,-446.15924,10.49898,131.75042,-444.82878,22.72452,113.63843,-434.13425,25.22352,116.81548,-412.21219,-4.25329,131.28491,-448.88304,-9.2496,130.52964,-450.63487,-13.24624,114.27085,-468.28633,-27.17238,99.54446,-477.56571,7.22342,91.55366,-451.9156,8.15125,52.4836,-451.87708,8.50031,12.67585,-461.62511,8.46609,5.18498,-452.56701,-5.65572,92.06148,-453.04902,-11.4817,55.14428,-441.62481,-16.96481,15.73729,-431.78474,-18.4117,12.55379,-420.56264
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.19268,109.5827,-450.18214,1.08494,118.49012,-448.94379,-0.24102,134.63681,-446.54753,-1.02143,141.02141,-445.98449,4.89358,131.53928,-445.95615,10.06468,131.86636,-444.63146,22.085,113.14671,-434.78426,24.64791,115.52675,-412.76876,-4.70403,131.14254,-448.59158,-9.69541,130.27033,-450.30269,-12.8806,113.68743,-467.81718,-25.55236,98.17595,-477.60143,7.25319,91.61564,-452.11301,8.54557,52.56878,-453.11528,8.96886,13.13607,-464.28155,8.94477,5.64523,-455.22339,-5.65546,92.00554,-452.90626,-10.98427,55.33201,-440.49701,-16.38546,16.63244,-428.12874,-17.8777,13.93166,-416.78667
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.09684,109.56941,-450.06983,0.89596,118.46946,-448.7908,-0.72941,134.59393,-446.42955,-1.63667,140.96697,-445.92903,4.48456,131.61251,-445.94568,9.66642,131.97892,-444.67438,21.24158,112.36196,-436.12618,24.10397,112.85056,-414.02452,-5.16066,130.99333,-448.35471,-10.15901,129.96002,-449.95199,-12.55186,112.80462,-467.03595,-23.71823,96.23446,-476.91789,7.27887,91.68888,-452.38117,8.99049,52.71673,-454.74221,9.58676,13.72532,-467.35639,9.60403,6.23536,-458.29749,-5.65443,91.93601,-452.66939,-10.40391,55.45868,-439.47165,-15.02264,16.6966,-426.98277,-17.00312,13.89661,-415.73993
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.04289,109.56844,-450.05726,0.77195,118.46855,-448.79166,-1.11335,134.58285,-446.55758,-2.13413,140.94268,-446.11058,4.17579,131.71617,-446.21739,9.38062,132.11104,-445.05294,20.3646,111.50837,-438.21459,23.54888,108.86644,-416.31034,-5.52983,130.86843,-448.29088,-10.53836,129.63063,-449.69978,-12.15499,111.66062,-466.02034,-21.6865,93.88339,-475.50882,7.28601,91.75844,-452.72197,9.43249,52.92141,-456.51804,10.20558,14.55825,-470.92196,10.41988,7.02651,-461.90029,-5.64654,91.86672,-452.3321,-9.58047,55.29333,-439.1319,-12.98019,15.88602,-428.3937,-15.48249,12.3487,-417.46715
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.40745,109.50377,-449.6883,1.22826,118.38967,-448.31138,-0.86933,134.50559,-446.28824,-2.03867,140.84385,-445.90302,4.48599,131.74707,-446.14817,9.73715,132.1039,-445.19947,19.92398,110.6065,-440.1033,23.49264,103.80244,-419.1776,-5.28822,130.67497,-447.73955,-10.28174,129.14675,-448.89361,-11.34505,110.17405,-464.08575,-19.21567,91.13128,-472.59088,7.21519,91.67502,-453.10574,10.2829,52.99923,-457.80735,11.45882,15.40692,-474.0935,11.65852,7.58134,-465.32514,-5.67731,91.96817,-452.05115,-8.42154,55.7835,-437.54347,-10.14149,15.54947,-429.92326,-12.96177,10.69676,-419.59558
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.83619,109.43849,-449.4335,1.7826,118.32052,-448.02148,-0.48218,134.4563,-446.37118,-1.75831,140.78121,-446.13403,4.92016,131.78837,-446.44502,10.22506,132.07553,-445.83049,19.4603,109.86899,-442.16164,23.91961,98.43843,-423.55056,-4.90643,130.5132,-447.45954,-9.85711,128.6871,-448.33052,-10.62975,108.51032,-461.9024,-17.06288,88.30375,-468.77412,7.12528,91.56173,-453.39837,11.34653,53.01322,-458.2487,12.82042,16.59413,-476.99118,12.93627,8.26334,-468.69973,-5.70687,92.09964,-451.82952,-7.65622,56.17961,-436.55584,-9.31108,15.65287,-430.66956,-11.51712,8.73838,-421.42366
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,1.68221,109.51154,-449.81454,1.54178,118.42062,-448.59155,-0.89847,134.55004,-447.14138,-2.26696,140.85858,-447.00454,4.53606,131.95408,-447.32971,9.86195,132.23328,-446.93095,18.34287,109.4849,-445.36054,24.25543,94.2808,-430.16869,-5.29718,130.53006,-448.03445,-10.2158,128.54589,-448.72203,-11.03162,106.88292,-459.76492,-16.48535,85.73831,-464.24524,7.151,91.59355,-453.32329,12.21853,52.99338,-456.74087,13.68031,18.41369,-478.69334,13.63892,9.03788,-471.6042,-5.68969,92.04747,-451.79842,-7.46561,56.50035,-435.65586,-8.84173,15.58111,-433.77834,-10.89125,8.2072,-424.8571
