time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,0.6924,109.71575,-452.54164,0.72845,118.70587,-452.2894,1.21374,134.94831,-450.24886,1.1127,141.28138,-448.99538,6.09752,131.44274,-450.65912,11.40456,130.78139,-450.65528,17.34774,107.19431,-451.11203,20.06064,86.06162,-444.55724,-3.84399,131.80333,-451.16263,-9.10701,130.85874,-451.26672,-15.45617,107.6156,-454.63423,-18.87036,86.857,-447.26301,7.33722,91.85721,-452.10309,11.2682,53.7721,-444.26704,14.15941,13.60057,-451.86257,15.14213,6.10028,-442.8657,-5.60007,91.72689,-452.25868,-10.70149,53.77606,-444.44564,-13.20553,13.54992,-451.88813,-15.24618,6.05907,-443.0628
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.69879,109.71639,-452.51189,0.73807,118.70576,-452.23492,1.22725,134.93881,-450.12189,1.12944,141.26525,-448.83512,6.11014,131.43306,-450.54105,11.41734,130.773,-450.53414,17.30098,107.1739,-451.12266,19.99987,85.99044,-444.72795,-3.83053,131.8,-451.0564,-9.09428,130.86013,-451.16613,-15.43774,107.62966,-454.63037,-18.86307,86.82896,-447.38405,7.33622,91.85453,-452.09735,11.30892,53.77253,-444.26718,14.27197,13.59328,-451.79387,15.25536,6.09848,-442.7925,-5.60086,91.7294,-452.27271,-10.62553,53.78083,-444.39917,-13.08477,13.54594,-451.80917,-15.12624,6.05504,-442.98407
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.70934,109.7169,-452.48826,0.7536,118.70553,-452.18882,1.24737,134.92879,-450.00295,1.14988,141.24844,-448.68321,6.12924,131.42307,-450.43408,11.4363,130.76192,-450.42754,17.27563,107.15603,-451.16579,19.93755,85.92635,-444.91039,-3.8109,131.79613,-450.95528,-9.07521,130.85943,-451.06509,-15.40956,107.64808,-454.67127,-18.82845,86.80647,-447.54038,7.33472,91.85008,-452.09534,11.3445,53.77789,-444.23643,14.38107,13.59463,-451.71225,15.36394,6.09218,-442.71721,-5.6023,91.73371,-452.2813,-10.53842,53.78322,-444.36115,-12.97292,13.53909,-451.72909,-15.01256,6.0483,-442.90348
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,0.71725,109.71749,-452.45433,0.7673,118.70496,-452.12252,1.27541,134.91323,-449.83127,1.18918,141.22625,-448.47939,6.15419,131.40619,-450.28605,11.46137,130.746,-450.27736,17.23458,107.12994,-451.18975,19.87279,85.86013,-445.06192,-3.78571,131.79119,-450.80307,-9.05166,130.86396,-450.91524,-15.3782,107.67511,-454.67655,-18.7691,86.78923,-447.66281,7.33363,91.84656,-452.09852,11.36823,53.79061,-444.17395,14.44464,13.60508,-451.62125,15.43436,6.10111,-442.62822,-5.60341,91.73706,-452.28758,-10.48763,53.79568,-444.29199,-12.89965,13.5468,-451.64136,-14.93572,6.05599,-442.81494
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.73319,109.71785,-452.43762,0.7924,118.704,-452.07334,1.31525,134.89122,-449.64093,1.23155,141.1966,-448.2537,6.19083,131.38382,-450.12616,11.49797,130.72333,-450.1137,17.23736,107.10781,-451.23049,19.81191,85.79661,-445.2205,-3.7487,131.78239,-450.63999,-9.01682,130.86732,-450.74984,-15.33324,107.70916,-454.71189,-18.6799,86.7798,-447.80735,7.33149,91.83983,-452.10302,11.41391,53.8064,-444.09522,14.52225,13.61789,-451.51309,15.51043,6.11078,-442.52251,-5.60571,91.7437,-452.28773,-10.43737,53.8119,-444.21507,-12.81422,13.55609,-451.53788,-14.84842,6.06515,-442.71113
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.74337,109.71839,-452.39973,0.81109,118.70264,-451.99258,1.35743,134.86522,-449.40637,1.28381,141.16071,-447.97439,6.22793,131.35575,-449.92641,11.53515,130.69605,-449.91157,17.22598,107.07938,-451.23379,19.76994,85.72698,-445.35852,-3.71118,131.77316,-450.43347,-8.98164,130.87115,-450.53887,-15.30505,107.75358,-454.72073,-18.58979,86.77295,-447.94323,7.33012,91.83533,-452.10965,11.45792,53.82838,-444.00005,14.58739,13.63403,-451.37728,15.57887,6.11868,-442.39395,-5.60718,91.74805,-452.29166,-10.40383,53.82999,-444.13402,-12.74214,13.56334,-451.40948,-14.77661,6.0724,-442.5828
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.76338,109.71907,-452.33875,0.84554,118.70038,-451.87357,1.42804,134.83053,-449.09961,1.36569,141.11356,-447.61338,6.2907,131.31701,-449.66373,11.5975,130.65379,-449.65414,17.26431,107.04608,-451.2175,19.76651,85.65645,-445.46093,-3.64781,131.76144,-450.15929,-8.92127,130.8769,-450.26277,-15.24643,107.8034,-454.67877,-18.46898,86.76675,-448.04658,7.32735,91.82668,-452.1153,11.51129,53.84445,-443.91908,14.67063,13.63816,-451.2181,15.65474,6.12238,-442.23433,-5.60998,91.75651,-452.303,-10.36838,53.85203,-444.0603,-12.66207,13.56861,-451.25666,-14.69651,6.0777,-442.42994
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.77708,109.71936,-452.30136,0.87327,118.69725,-451.77668,1.50129,134.78185,-448.75884,1.45561,141.04722,-447.19928,6.35402,131.26372,-449.37715,11.65999,130.59384,-449.37352,17.29877,106.99999,-451.22153,19.77479,85.57055,-445.60335,-3.58329,131.74333,-449.86381,-8.86015,130.87912,-449.96595,-15.19939,107.8637,-454.65637,-18.34711,86.76513,-448.18696,7.32541,91.8208,-452.1164,11.53545,53.86312,-443.82046,14.72905,13.64473,-451.03744,15.71768,6.12625,-442.05642,-5.61186,91.76231,-452.31232,-10.34418,53.87475,-443.97731,-12.59365,13.571,-451.07308,-14.63288,6.0801,-442.24747
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.80376,109.71964,-452.22951,0.92023,118.69205,-451.62173,1.60088,134.71542,-448.30444,1.57645,140.95623,-446.64886,6.44211,131.1943,-448.99207,11.74702,130.51608,-448.99735,17.36876,106.94831,-451.1966,19.80985,85.47743,-445.72321,-3.494,131.71399,-449.46208,-8.77386,130.86801,-449.56116,-15.14268,107.93301,-454.59298,-18.19899,86.77421,-448.27829,7.32169,91.80934,-452.12393,11.57565,53.88755,-443.68748,14.81079,13.64908,-450.77284,15.79311,6.12507,-441.79576,-5.61558,91.77368,-452.32482,-10.29917,53.90428,-443.88051,-12.51808,13.5722,-450.82331,-14.55094,6.0813,-441.99622
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.83063,109.71915,-452.09435,0.96807,118.68258,-451.36966,1.70454,134.62685,-447.70173,1.7034,140.83439,-445.92531,6.53349,131.10542,-448.4694,11.8379,130.42354,-448.48781,17.44598,106.89206,-451.07622,19.84903,85.37169,-445.78337,-3.40104,131.66872,-448.92197,-8.68478,130.84756,-449.02337,-15.09255,108.01098,-454.43875,-18.04192,86.78512,-448.30073,7.31794,91.79749,-452.14093,11.61081,53.91839,-443.53411,14.87598,13.6553,-450.46417,15.85851,6.12543,-441.49203,-5.61932,91.78567,-452.34548,-10.26233,53.9402,-443.77248,-12.4489,13.57196,-450.51245,-14.48413,6.08116,-441.68582
0.33333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.86414,109.71698,-451.93302,1.02472,118.66784,-451.07077,1.81498,134.51055,-446.99646,1.83304,140.67579,-445.07846,6.63209,130.99553,-447.86174,11.93636,130.31315,-447.89565,17.52748,106.83393,-450.95283,19.88915,85.25979,-445.86416,-3.30136,131.59996,-448.28411,-8.58922,130.80522,-448.38099,-15.06406,108.1055,-454.2712,-17.88923,86.81147,-448.31353,7.31331,91.78301,-452.16599,11.66579,53.95876,-443.35043,14.94955,13.65805,-450.04911,15.92926,6.11683,-441.0862,-5.62402,91.80075,-452.36538,-10.21496,53.98061,-443.65366,-12.37198,13.56481,-450.11229,-14.40548,6.0739,-441.28536
