time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.89312,109.68407,-452.38587,2.43104,118.6284,-451.61341,3.14585,134.35921,-447.1138,3.41781,140.72338,-446.059,7.96617,130.79984,-447.74939,13.17825,129.67689,-447.33069,19.18634,106.73622,-452.76297,21.6009,91.27803,-436.88438,-1.9105,131.54977,-448.80104,-7.15349,130.53262,-448.52004,-16.47228,109.34611,-456.01586,-23.83272,88.94104,-450.88088,7.12816,91.3745,-451.59372,13.76237,54.50234,-440.46882,4.54531,23.97331,-466.21424,8.82009,16.22172,-458.48102,-5.72562,92.21844,-452.81145,-25.61453,69.80487,-427.72367,-13.81125,51.22088,-462.29419,-12.65733,41.48737,-468.78193
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.82254,109.68942,-452.20456,2.3219,118.6153,-451.22146,2.82323,134.12671,-445.99072,3.06821,140.44626,-444.68976,7.70284,130.74937,-447.0355,12.88654,129.51605,-446.57702,20.96278,107.76556,-439.25776,20.76526,104.12981,-417.26554,-2.2312,131.24971,-447.56618,-7.4472,130.07205,-447.47114,-15.47386,112.70481,-462.49935,-22.97189,92.34532,-467.61614,7.16198,91.39542,-452.51007,14.91665,53.80107,-445.17099,5.55117,25.3982,-473.1954,9.8723,17.51145,-465.62635,-5.73977,92.19603,-451.94563,-23.99408,79.78704,-419.69457,-13.60686,53.83528,-449.66813,-14.59447,42.72271,-453.36935
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,2.07047,109.66324,-451.69887,2.66256,118.56171,-450.53529,3.03411,134.10774,-445.39731,3.23675,140.42851,-444.09499,7.93996,130.74037,-446.34702,13.15617,130.20448,-445.29533,21.45569,112.96822,-430.26502,18.54689,121.31775,-409.80189,-1.98657,131.20364,-447.02995,-7.25316,130.4029,-447.5036,-12.62123,118.02017,-467.74582,-18.89836,99.26579,-478.03084,7.07894,91.32665,-453.09814,15.82359,53.23693,-453.28959,6.30499,25.59199,-482.01165,10.56394,17.4782,-474.65019,-5.72582,92.27209,-451.49848,-21.42084,85.97133,-416.26638,-14.85073,53.09299,-439.83864,-16.47715,41.50535,-438.7229
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,2.44526,109.58992,-450.99491,2.98683,118.46597,-449.64972,2.2417,134.20161,-445.17193,2.32281,140.54221,-443.9556,7.33667,130.99469,-445.42804,12.39646,131.43638,-443.75309,22.17671,118.79699,-425.40989,14.95333,134.02017,-410.81561,-2.46069,131.04224,-447.22436,-7.65717,130.68326,-448.43686,-10.05874,123.05733,-471.41453,-15.36999,104.97728,-483.32307,6.97627,91.245,-453.48631,15.0845,53.68677,-460.62553,7.46452,26.0806,-489.94512,11.06574,16.44072,-484.26467,-5.72759,92.37418,-451.30648,-20.76508,87.55206,-415.55798,-16.16199,49.9959,-431.31073,-18.56145,39.66763,-426.23795
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,2.22508,109.60673,-450.94303,2.50839,118.50863,-449.69281,0.87467,134.36819,-445.94831,0.64985,140.73005,-444.86873,6.07275,131.33649,-445.63647,11.05614,132.24417,-443.92066,22.66119,122.48893,-424.89334,10.9919,138.13493,-414.12553,-3.52868,130.96764,-448.26203,-8.70853,130.78625,-449.58065,-8.37933,125.63063,-473.35473,-13.53715,107.56255,-485.34856,7.05395,91.30946,-453.21574,13.94807,53.86442,-462.02891,10.06629,27.65578,-493.29938,11.69399,16.02369,-492.84257,-5.74391,92.30503,-451.5915,-21.5904,83.32768,-417.01362,-18.47449,43.72898,-427.11494,-20.41269,34.78,-419.74454
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.27875,109.71345,-452.32703,1.11605,118.68529,-451.72149,-0.99523,134.59959,-448.48215,-1.44533,140.97165,-447.54215,4.30911,131.75803,-448.16899,9.31694,132.83086,-446.62862,22.54601,119.89409,-430.83266,9.23997,132.40116,-418.04837,-5.32003,130.97459,-450.59449,-10.55057,130.53454,-451.61931,-9.71337,123.99721,-475.03849,-14.55494,104.28521,-484.25302,7.24176,91.61267,-452.60558,13.58093,53.5079,-458.53634,11.92479,29.8278,-491.94761,11.63782,19.40702,-497.37794,-5.66801,91.97209,-451.81598,-22.46622,75.35131,-420.68877,-20.00593,35.34783,-429.26032,-22.25597,27.26357,-421.02954
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.54068,109.68219,-453.26678,0.08578,118.66246,-453.07979,-2.03914,134.6143,-450.04015,-2.65923,140.97097,-449.09277,3.31461,131.8493,-450.01477,8.39563,132.84615,-448.67625,22.4095,115.09246,-439.71529,11.32055,119.2994,-420.84065,-6.43944,130.88862,-451.79037,-11.67622,129.99863,-452.41206,-13.4155,119.07274,-474.0799,-18.37194,97.381,-475.42652,7.35185,91.90374,-452.36777,15.26669,53.74141,-449.48271,10.3104,34.98677,-485.58675,9.02575,26.77159,-493.89482,-5.57243,91.68972,-451.79193,-22.2087,68.07344,-425.47007,-19.39849,28.19202,-434.49107,-22.86971,19.66669,-427.18129
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.21886,109.63207,-453.75982,-0.35129,118.60752,-453.81791,-2.32516,134.62099,-451.0093,-2.99531,140.97772,-450.09705,3.02031,131.843,-451.14085,8.22159,132.50085,-450.08444,21.62741,112.22791,-449.00154,17.85142,103.67835,-428.76389,-6.79795,130.8735,-452.51161,-11.96007,129.50337,-452.79041,-17.64091,112.97213,-469.71204,-22.08497,93.55103,-459.71291,7.39873,92.06427,-452.00047,18.18315,56.94058,-438.683,9.20759,42.06939,-475.80563,6.82427,34.30742,-484.30476,-5.52963,91.54316,-452.02183,-20.96649,62.22867,-431.29267,-17.72963,22.92112,-442.43906,-20.14015,13.686,-435.57863
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.23083,109.57691,-454.24827,-0.31025,118.55224,-454.44274,-2.01846,134.53749,-451.31705,-2.69847,140.88648,-450.35939,3.27947,131.67238,-451.49512,8.55916,131.88025,-450.66829,20.84563,111.60372,-456.12594,25.46345,92.23621,-446.10143,-6.55097,130.89725,-452.90184,-11.64537,129.27213,-452.99417,-21.05304,108.11268,-460.45532,-23.404,97.91721,-440.77191,7.3622,92.14798,-451.30733,20.444,64.86227,-426.57498,8.69175,48.61827,-462.32159,6.32056,40.92545,-470.88672,-5.49644,91.47482,-452.57885,-18.55206,58.45512,-436.25146,-10.90567,21.4644,-452.15813,-16.25646,13.84519,-444.98316
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.39237,109.60138,-454.09659,-0.08462,118.58231,-454.14848,-1.5704,134.48606,-450.53199,-2.2029,140.82225,-449.46341,3.67995,131.53523,-450.71889,8.9758,131.39266,-449.98696,20.06174,113.15956,-461.67185,28.67431,93.45134,-467.53063,-6.1378,130.97929,-452.30625,-11.21324,129.29552,-452.22037,-22.94998,108.73007,-446.63411,-20.87805,112.65573,-424.78903,7.19639,92.16913,-450.47786,20.22391,76.42312,-417.16601,8.40718,53.84975,-449.26914,6.21005,44.3031,-455.76511,-5.37564,91.44685,-453.45059,-19.37151,57.66085,-439.66816,-10.5979,24.18379,-461.62524,-15.89883,16.69288,-454.28016
