time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.09295,109.66457,-453.51781,2.20267,118.58761,-453.7054,7.51373,133.96741,-451.84256,9.79968,139.6667,-449.84712,9.94776,129.98611,-455.65482,13.41784,128.99777,-459.60245,14.38689,106.31919,-468.35594,18.7294,84.6177,-471.02117,2.59822,131.73823,-449.16395,-1.63759,131.92886,-445.90448,-16.14595,112.41086,-445.23299,-9.53581,94.36428,-433.93972,5.19221,91.33976,-456.78438,11.74896,52.91941,-453.91761,-7.49274,17.56482,-461.63856,0.90787,9.69134,-459.27176,-3.56669,92.25861,-447.30536,1.80338,58.46748,-428.42002,-16.4471,23.30924,-438.93769,-15.03924,13.09306,-433.29757
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.4904,109.66443,-453.37493,2.67942,118.57841,-453.49496,7.58372,134.08137,-451.53993,9.69645,139.82648,-449.48584,10.18524,130.15894,-455.30227,13.80321,129.30024,-459.1461,16.1917,106.74552,-467.94727,22.34487,85.34121,-468.90095,2.67244,131.73545,-448.95486,-1.70163,131.86386,-445.8802,-16.58917,112.65637,-447.0331,-11.85658,93.61877,-436.44616,5.03395,91.26988,-456.89017,8.82125,52.43202,-454.7432,-10.3553,16.96365,-462.09556,-2.19316,8.86222,-459.66453,-3.51918,92.32853,-447.23938,4.12961,58.65735,-428.93415,-9.41648,21.09357,-438.16823,-6.53355,11.50752,-432.00707
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.8144,109.66024,-453.19031,3.06847,118.56609,-453.20784,7.638,134.14788,-451.07633,9.58421,139.92932,-448.96058,10.34912,130.31349,-454.85201,14.07688,129.62112,-458.62382,17.95723,107.25933,-467.38589,25.80615,86.41046,-466.58933,2.75562,131.67885,-448.55188,-1.71527,131.73497,-445.61752,-16.91489,112.95202,-448.45785,-13.98749,93.052,-438.84897,4.85472,91.24012,-457.02814,6.39927,52.22404,-455.38742,-12.98048,16.82346,-462.53077,-5.1669,8.39439,-460.06861,-3.43024,92.35946,-447.15286,6.26402,58.65525,-429.90811,-1.87685,19.12029,-437.01558,2.39271,10.3963,-430.39542
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,1.96314,109.66043,-453.00993,3.22871,118.5642,-452.91821,7.52915,134.19057,-450.56478,9.32364,139.99513,-448.37934,10.29071,130.46423,-454.41143,14.08499,129.95182,-458.14545,19.51053,107.85733,-466.76389,28.90741,87.79865,-464.26117,2.70343,131.59568,-448.05768,-1.82369,131.5589,-445.21052,-17.26563,113.25651,-449.50756,-15.94997,92.67939,-441.03631,4.65431,91.26301,-457.20109,4.35853,52.20461,-455.90255,-15.59766,17.10108,-462.92365,-8.17841,8.31975,-460.47279,-3.27128,92.33652,-447.03018,8.23498,58.47375,-431.27415,5.71853,17.80291,-435.6734,11.32181,10.10192,-428.78417
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.92764,109.66902,-452.87666,3.14277,118.5783,-452.68854,7.20531,134.22695,-450.07483,8.85876,140.0536,-447.83755,9.97674,130.62814,-454.03416,13.78706,130.30694,-457.77319,20.8682,108.57983,-466.12011,31.5267,89.435,-462.02293,2.46062,131.49766,-447.5558,-2.08851,131.36464,-444.74685,-17.65776,113.47016,-450.15807,-17.73135,92.38011,-442.939,4.42425,91.32297,-457.40023,2.49718,52.30076,-456.45898,-18.51933,17.79847,-463.36558,-11.49614,8.68425,-460.96364,-3.03133,92.27416,-446.86818,9.96038,58.17147,-432.88404,12.12383,17.27743,-434.55727,19.30173,10.77509,-427.89687
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.69282,109.6858,-452.8168,2.78988,118.60859,-452.55692,6.63972,134.25848,-449.64563,8.18784,140.08143,-447.32489,9.38993,130.80439,-453.74613,13.1653,130.69729,-457.53258,21.94158,109.43068,-465.44389,33.61592,91.26694,-459.90276,1.99452,131.3874,-447.09894,-2.53877,131.14809,-444.27149,-18.11431,113.50432,-450.43555,-19.34941,92.05281,-444.50108,4.1649,91.4051,-457.61031,0.7895,52.47252,-457.17044,-21.88167,19.01455,-463.98112,-15.3112,9.55541,-461.63229,-2.70654,92.18736,-446.67478,11.36098,57.96911,-434.0831,16.3207,17.28493,-434.12237,25.02034,11.80431,-428.42652
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.41236,109.69982,-452.7779,2.36597,118.63702,-452.45504,5.94853,134.29228,-449.24662,7.38542,140.11738,-446.86067,8.64773,131.01114,-453.51944,12.33279,131.13448,-457.39336,22.60907,110.36046,-464.79059,35.18333,93.24797,-458.01078,1.45092,131.2479,-446.63708,-3.04298,130.85313,-443.76453,-18.53057,113.24287,-450.23821,-20.6973,91.56426,-445.52078,3.81475,91.48421,-457.84677,-0.49781,52.64198,-457.97033,-25.34724,20.75468,-464.71641,-19.39612,10.87765,-462.43783,-2.27824,92.10434,-446.44916,13.02775,58.19138,-434.49207,18.27126,17.54891,-435.19816,27.9123,12.6413,-430.60151
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.50313,109.69405,-452.83817,2.44104,118.6326,-452.50675,5.69867,134.32717,-449.14753,7.08511,140.09878,-446.60675,8.27635,131.21918,-453.62017,11.79878,131.56296,-457.6297,23.10056,111.14003,-464.48931,36.6455,95.25458,-456.67249,1.43579,131.08987,-446.38089,-2.95771,130.42504,-443.40471,-18.26313,112.60247,-449.7289,-21.27474,90.79782,-446.20779,3.32903,91.45633,-458.06548,-0.7989,52.60565,-459.02342,-28.27303,22.85961,-465.35964,-23.39133,12.37606,-463.2554,-1.81781,92.13383,-446.21365,16.59415,59.6499,-434.67555,19.6015,19.01896,-439.13487,28.2231,12.44817,-434.58995
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.04934,109.70064,-452.97245,1.74338,118.66273,-452.67865,4.58873,134.41929,-449.23616,5.90627,140.18896,-446.65463,6.96759,131.50122,-453.94088,10.20887,132.09442,-458.15328,22.04716,111.8699,-464.68813,36.70451,97.5126,-455.97346,0.66795,130.9576,-446.24438,-3.50824,129.98126,-443.04928,-18.48036,111.78731,-449.10824,-22.30915,89.96381,-446.6616,2.91718,91.47652,-458.2323,0.49485,52.54824,-460.69275,-29.86196,25.55766,-466.1495,-27.22215,14.26641,-464.22527,-1.2795,92.11181,-446.00941,18.96734,60.31007,-435.7114,16.3154,19.79376,-441.29699,23.84777,12.48112,-436.01001
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.10015,109.66589,-453.28925,0.40823,118.65245,-453.1048,3.10077,134.40642,-449.53007,4.37053,140.20192,-446.98269,5.22196,131.64248,-454.44635,8.16492,132.44853,-458.83853,19.66348,112.05372,-465.45034,35.36184,99.39578,-455.95016,-0.52128,130.78792,-446.35301,-4.36881,129.5022,-442.8679,-18.70535,110.57782,-448.18079,-23.34887,88.81807,-446.81636,2.73229,91.46239,-458.287,3.81167,52.60716,-462.34146,-28.71245,28.24672,-467.68498,-29.46942,16.75351,-465.34045,-0.83011,92.13562,-445.86643,19.98975,60.35748,-436.70033,11.68218,20.60956,-442.25825,19.08849,13.07904,-437.10059
