time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,1.57237,109.55489,-2.09548,2.57937,118.48657,-1.78189,4.71188,134.72305,-1.99379,5.19833,141.13719,-2.55189,8.46345,130.85303,0.70014,12.86013,130.02674,3.63076,23.55869,108.18617,2.98965,36.08509,93.46189,14.08921,0.35401,131.84407,-4.99828,-4.54666,132.00762,-7.1335,-15.82433,110.67126,-10.21074,-30.7725,94.8133,-5.5216,3.99192,91.04137,1.73445,-5.90996,53.73353,7.85084,9.73699,16.79513,-0.54744,6.21335,7.89712,6.277,-4.43009,92.45108,-7.98651,-5.26856,54.05632,-0.74263,7.56559,15.18849,-2.83527,-0.83896,7.69763,0.54321
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,1.51287,109.56128,-2.10445,2.50017,118.49538,-1.79751,4.64635,134.72973,-2.03389,5.18672,141.14038,-2.58229,8.38049,130.86283,0.68858,12.7678,130.02606,3.63024,23.23358,108.07338,2.97601,35.56303,93.08967,13.94819,0.30236,131.84743,-5.05525,-4.59255,132.01025,-7.2037,-15.69836,110.54251,-9.97723,-30.64033,95.05691,-4.1596,3.95718,91.06146,1.77563,-5.8598,53.71136,7.76973,9.68454,16.71677,-0.57153,6.14486,7.81956,6.24565,-4.37876,92.42921,-8.02519,-5.23203,54.02833,-0.81557,7.4933,15.12259,-2.86786,-0.91108,7.63163,0.51083
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.43967,109.5694,-2.12581,2.40431,118.50638,-1.83102,4.57652,134.73678,-2.09876,5.17379,141.14291,-2.641,8.28615,130.87209,0.66012,12.66065,130.0269,3.6184,22.92071,107.97699,2.97559,35.05043,92.72274,13.79655,0.24891,131.85236,-5.14153,-4.63768,132.01045,-7.30917,-15.53626,110.40481,-9.82173,-30.42615,95.42724,-2.68911,3.91225,91.08913,1.82886,-5.80298,53.68995,7.68102,9.61947,16.63461,-0.61676,6.06725,7.74171,6.19952,-4.31343,92.39927,-8.07247,-5.22402,53.99038,-0.91272,7.39298,15.04713,-2.92221,-1.01198,7.55627,0.45524
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,1.35553,109.57771,-2.14012,2.29395,118.51785,-1.8568,4.49397,134.74373,-2.16817,5.1552,141.14414,-2.70365,8.17363,130.88398,0.63734,12.53145,130.02415,3.61596,22.62618,107.89804,2.97386,34.62864,92.50369,13.73817,0.18815,131.85428,-5.23698,-4.68862,132.00913,-7.42688,-15.33039,110.24393,-9.64593,-30.14179,95.93543,-1.11359,3.86793,91.11708,1.88061,-5.75336,53.66994,7.57929,9.54197,16.55033,-0.66632,5.98302,7.6576,6.14667,-4.24567,92.36901,-8.12023,-5.19601,53.95043,-1.01786,7.30412,14.96662,-2.97029,-1.10102,7.4757,0.40659
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,1.25027,109.58672,-2.14484,2.15134,118.53101,-1.871,4.36008,134.75458,-2.23605,5.08483,141.14821,-2.77036,8.01668,130.90573,0.61425,12.36178,130.03999,3.60969,22.30198,107.84228,3.03064,34.13858,92.27524,13.73005,0.07669,131.85337,-5.32509,-4.78987,131.99653,-7.53837,-15.1657,110.07765,-9.48774,-29.82082,96.55239,0.47247,3.82646,91.14677,1.93004,-5.65107,53.63927,7.4705,9.48469,16.43861,-0.70398,5.89692,7.55951,6.11168,-4.17487,92.33681,-8.16834,-5.16882,53.91051,-1.11387,7.19786,14.88104,-3.00302,-1.20799,7.39024,0.37239
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.15305,109.5946,-2.15255,2.01415,118.54315,-1.88971,4.20123,134.76839,-2.30705,4.98586,141.15529,-2.8372,7.84132,130.93739,0.58806,12.17321,130.08532,3.60647,21.99019,107.83131,3.08991,33.69397,92.15169,13.77103,-0.05361,131.84743,-5.41685,-4.91177,131.97443,-7.64948,-15.01356,109.9085,-9.3653,-29.38252,97.2792,2.07781,3.78374,91.17485,1.97851,-5.54362,53.60568,7.35343,9.43126,16.32169,-0.7373,5.81343,7.45501,6.07863,-4.10505,92.30653,-8.21467,-5.12687,53.868,-1.23117,7.09998,14.78995,-3.02392,-1.30569,7.2991,0.35178
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,1.0596,109.60137,-2.1557,1.87946,118.55414,-1.90519,4.02878,134.78257,-2.38949,4.86297,141.16289,-2.92327,7.66,130.97516,0.54758,11.97846,130.14381,3.5909,21.73413,107.86104,3.15973,33.3114,92.09396,13.84997,-0.19902,131.8355,-5.51152,-5.05049,131.94355,-7.75965,-14.88234,109.74537,-9.33166,-28.85563,98.17831,3.62446,3.75038,91.19976,2.01729,-5.43777,53.57493,7.24051,9.37682,16.206,-0.75287,5.73165,7.35768,6.07236,-4.04566,92.27973,-8.25257,-5.10311,53.82953,-1.33897,6.99211,14.70619,-3.0339,-1.41401,7.21526,0.34051
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.95127,109.60846,-2.1584,1.72073,118.56604,-1.9202,3.81323,134.79974,-2.47209,4.70057,141.17248,-3.01058,7.44071,131.02036,0.50555,11.74784,130.21537,3.57192,21.48509,107.92201,3.30209,32.94131,92.04125,13.9544,-0.38486,131.82164,-5.60474,-5.22952,131.89844,-7.86879,-14.83212,109.59181,-9.31781,-28.24924,99.14628,5.09685,3.72507,91.22748,2.05101,-5.3547,53.55538,7.12076,9.29117,16.09486,-0.75396,5.61835,7.26036,6.07433,-3.99016,92.25003,-8.28554,-5.09555,53.7914,-1.42658,6.86241,14.62173,-3.02278,-1.54427,7.13078,0.35019
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.8397,109.61498,-2.16126,1.5555,118.57732,-1.93498,3.58128,134.81718,-2.55063,4.51558,141.18306,-3.09097,7.21048,131.06693,0.46153,11.5107,130.29491,3.54603,21.25596,108.00369,3.43652,32.64379,92.08779,14.10971,-0.58891,131.80694,-5.68982,-5.42728,131.85662,-7.96804,-14.80006,109.44692,-9.32876,-27.51493,100.22217,6.48728,3.71052,91.25543,2.0765,-5.29268,53.548,7.01859,9.18988,16.00027,-0.74198,5.50505,7.17275,6.08888,-3.94452,92.22027,-8.31023,-5.0685,53.75414,-1.49648,6.74442,14.53737,-3.01426,-1.66186,7.04645,0.35978
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,0.7224,109.62115,-2.16756,1.38184,118.58811,-1.95339,3.33825,134.83416,-2.62757,4.30221,141.19533,-3.1712,6.9724,131.11229,0.41369,11.26759,130.37622,3.51395,21.05508,108.10328,3.55565,32.40144,92.19433,14.28323,-0.80655,131.79274,-5.77033,-5.64198,131.81489,-8.05521,-14.77718,109.30695,-9.41027,-26.70997,101.48322,7.71599,3.70063,91.28548,2.09938,-5.20834,53.543,6.94369,9.08367,15.90117,-0.71356,5.39336,7.07918,6.12148,-3.90194,92.18849,-8.33135,-5.01622,53.7181,-1.5401,6.61415,14.44374,-2.97606,-1.79275,6.95296,0.39672
0.33333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.59601,109.62692,-2.17636,1.19371,118.59846,-1.97265,3.07248,134.85178,-2.69079,4.06573,141.20761,-3.244,6.71477,131.15726,0.37399,11.00298,130.4507,3.49072,20.88466,108.2204,3.70788,32.21755,92.30124,14.43456,-1.04688,131.78029,-5.83777,-5.87668,131.7747,-8.13461,-14.7928,109.17901,-9.48843,-25.82836,102.81609,8.80476,3.6945,91.31822,2.12061,-5.10366,53.5405,6.89232,8.97221,15.79941,-0.67626,5.27473,6.97892,6.15683,-3.86059,92.15416,-8.35013,-4.98013,53.67245,-1.62418,6.48924,14.34688,-2.94951,-1.91774,6.85597,0.4228
0.36667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.45283,109.63213,-2.18459,0.98283,118.60812,-1.99004,2.78664,134.86812,-2.74824,3.80796,141.21902,-3.3069,6.43655,131.19965,0.33867,10.71873,130.52309,3.47034,20.73064,108.35315,3.83935,32.10355,92.49389,14.61228,-1.30791,131.76819,-5.89969,-6.13331,131.73573,-8.20555,-14.88171,109.07609,-9.58452,-24.90298,104.19622,9.7202,3.6981,91.35452,2.13634,-4.9853,53.54207,6.8427,8.86749,15.69813,-0.6232,5.15804,6.87631,6.20168,-3.82429,92.1164,-8.36356,-4.95914,53.62262,-1.70963,6.3573,14.24826,-2.89356,-2.04978,6.75744,0.47868
