time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.10651,109.63887,-450.65336,1.61175,118.42291,-448.78993,3.75119,133.18511,-442.02855,4.45802,139.16916,-439.70888,8.24929,129.62217,-443.86732,13.5113,128.74588,-444.24871,23.48143,106.79107,-447.48347,23.08747,92.17018,-430.66116,-1.6255,130.8509,-443.42469,-6.9533,130.49462,-443.12453,-19.11994,116.32711,-458.7178,-26.00759,95.13103,-458.27367,7.27582,91.7183,-452.66984,12.21998,54.7397,-441.03065,8.55294,26.17932,-470.19674,10.20086,18.14902,-461.77284,-5.65407,91.88724,-452.21812,-16.21063,59.42411,-433.19081,-9.69693,36.75318,-466.70802,-11.02557,25.09778,-467.44954
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.35823,109.61829,-450.51623,1.87736,118.39799,-448.63621,3.43938,133.29548,-442.01496,3.91065,139.30778,-439.70857,8.07998,129.76123,-443.52574,13.39001,129.17212,-443.28374,24.56884,107.5641,-443.19517,21.00412,96.18006,-424.36404,-1.8177,130.86946,-443.68351,-7.1589,130.64925,-443.84336,-18.73025,118.66262,-461.57244,-26.43304,97.75536,-462.25376,7.22804,91.64305,-452.90564,12.62337,53.44543,-446.64749,9.29887,25.17314,-476.13356,10.83984,16.77789,-468.05217,-5.67644,91.96822,-452.02053,-15.6388,61.08531,-430.24139,-8.98267,32.65424,-459.002,-10.27598,21.2172,-456.61763
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.48872,109.58675,-450.2873,1.95607,118.35491,-448.34102,2.88287,133.35444,-441.83171,3.10089,139.36434,-439.48163,7.6619,129.88621,-443.03204,12.94513,129.6498,-442.23603,25.06768,108.71455,-439.65931,19.00821,99.62997,-420.22561,-2.22835,130.81553,-443.76456,-7.54169,130.70945,-444.36422,-18.17099,120.54521,-463.74466,-26.6239,99.95628,-464.99194,7.20006,91.61427,-453.05204,13.05748,52.98637,-452.09877,10.22272,24.54778,-481.47587,11.51246,15.33082,-474.29619,-5.68482,92.00579,-451.93793,-14.8198,61.88235,-428.77623,-8.54733,27.97302,-450.9261,-9.76563,17.67107,-445.39897
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,1.58775,109.51292,-449.79265,1.97973,118.24348,-447.66878,2.26036,133.30667,-441.24714,2.21214,139.28672,-438.81282,7.16592,129.93311,-442.17621,12.3635,130.03598,-440.92058,25.28333,109.83958,-436.78973,17.34538,102.22284,-417.40185,-2.69208,130.64457,-443.41349,-7.94894,130.62945,-444.39719,-17.36618,121.85635,-465.04286,-26.38386,101.52575,-466.5459,7.17875,91.61272,-453.19808,13.70337,53.19932,-456.22671,11.08154,24.67147,-485.53696,12.13629,14.31318,-480.08197,-5.69111,92.02791,-451.92973,-13.93181,62.00271,-428.30956,-8.19884,23.82918,-442.08338,-9.94354,15.21603,-434.27741
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.50972,109.43228,-449.30547,1.75291,118.11935,-446.98968,1.36395,133.18704,-440.58426,1.04002,139.12454,-438.06823,6.39059,129.94029,-441.29147,11.4872,130.31557,-439.71485,25.08753,110.72464,-434.90783,15.77318,104.08703,-415.77408,-3.41835,130.39782,-442.96258,-8.60277,130.47599,-444.27338,-16.60033,122.48461,-465.81571,-26.07652,102.36185,-467.29471,7.1782,91.69928,-453.38985,14.34916,53.68053,-458.91112,11.83196,25.40124,-488.47036,12.59846,14.05759,-485.48746,-5.66882,91.96382,-451.87372,-12.86845,61.49707,-428.47978,-8.52767,20.99086,-432.97505,-10.71641,14.0879,-423.71643
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.13367,109.42706,-449.21801,1.11626,118.10197,-446.84465,0.04908,133.10158,-440.35706,-0.6023,138.97183,-437.74841,5.19577,130.01991,-440.92581,10.20809,130.62097,-439.16019,24.30324,111.32018,-434.61185,14.19604,105.31985,-415.671,-4.56534,130.18123,-442.90368,-9.68034,130.31408,-444.45984,-16.20877,122.51632,-466.56119,-25.9942,102.5317,-467.89201,7.22464,91.87221,-453.46075,14.83852,54.25264,-460.81796,12.57259,26.78839,-491.15579,12.84859,15.04128,-490.85144,-5.61046,91.79234,-451.82719,-11.89383,60.7692,-428.9052,-9.42607,19.95152,-426.14297,-11.75788,15.04133,-415.72106
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.62429,109.45952,-449.38405,0.30166,118.13424,-447.03197,-1.41116,132.98964,-440.3537,-2.4256,138.72688,-437.57085,3.84569,130.08499,-440.84071,8.80308,130.82586,-438.97592,23.219,111.50144,-435.71571,12.88943,105.66799,-416.84281,-5.86494,129.96139,-443.05556,-10.923,129.97913,-444.79287,-16.21796,121.78684,-467.08065,-26.10413,101.82464,-467.90849,7.30464,92.05049,-453.33016,15.16275,54.79903,-462.1569,13.23877,28.8369,-493.81238,12.88135,17.31905,-496.13075,-5.54852,91.60503,-451.91151,-11.83924,61.32022,-428.02446,-9.67023,20.62057,-423.70742,-12.01378,16.10127,-413.11274
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.17157,109.47606,-449.55066,-0.46126,118.14144,-447.22734,-2.93325,132.82722,-440.41316,-4.28098,138.44034,-437.52081,2.456,130.16941,-440.86103,7.42444,130.97126,-439.05169,22.0671,111.57036,-438.01316,12.26261,104.69214,-419.21216,-7.20966,129.63119,-443.20678,-12.20042,129.26887,-445.0945,-16.63369,120.17741,-467.22111,-26.27221,100.07799,-467.07001,7.37061,92.21042,-453.20371,15.02591,54.99493,-462.35446,13.64554,31.83198,-496.13871,12.97935,21.01331,-500.6858,-5.48833,91.44048,-451.99153,-11.82428,62.67498,-426.30621,-8.01004,21.86849,-426.59733,-11.10702,15.58029,-417.16171
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.17347,109.5408,-449.95684,-0.60446,118.21884,-447.72668,-3.88502,132.64586,-440.70422,-5.49015,138.17852,-437.78832,1.65182,130.33372,-441.25743,6.68862,131.19762,-439.68061,21.29709,111.8299,-441.51495,13.15473,102.17777,-423.14503,-7.99452,129.22106,-443.47717,-12.90552,128.26197,-445.36522,-16.95223,117.71131,-466.91059,-25.99639,97.3769,-465.63553,7.36363,92.19339,-453.2191,14.93474,54.67321,-461.10873,12.86398,35.64254,-497.34889,12.95206,25.39132,-503.09939,-5.48188,91.43947,-451.86295,-12.02019,63.58978,-425.23629,-7.76317,23.70659,-433.66319,-10.9929,16.4622,-424.98845
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.66267,109.59767,-450.27783,-0.06509,118.28368,-448.06178,-4.02815,132.31407,-440.60135,-5.88118,137.76223,-437.67337,1.61965,130.33676,-441.30922,6.75064,131.17023,-440.05207,21.07208,112.18888,-445.19844,16.01256,98.10066,-428.68061,-7.98721,128.73293,-443.39559,-12.743,127.01525,-445.13759,-17.40013,114.09366,-465.21841,-25.44014,93.48419,-462.47638,7.31549,91.95544,-453.06438,15.2096,53.98827,-457.91301,11.78493,39.23566,-495.99759,12.41814,28.92779,-501.611,-5.57006,91.66158,-451.92823,-12.3573,63.30862,-425.90175,-6.79169,25.52081,-440.76472,-10.3851,17.99095,-432.4851
