time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,0.77424,109.56954,-1.50568,1.14409,118.48695,-0.39656,1.60458,134.58872,2.55925,1.90729,141.01871,2.05643,6.44149,131.25616,1.21504,11.73504,131.52324,0.50153,16.59362,115.32869,-16.99165,22.01042,103.39969,1.04367,-3.46922,131.35775,2.20733,-8.66766,131.37547,3.46367,-17.24581,108.7878,0.61619,-7.87413,107.16963,20.77714,6.35311,91.41886,-3.14959,4.96079,54.66605,10.06496,4.09641,29.46555,-22.24588,5.04645,18.11405,-25.14494,-6.56887,92.0695,-3.26682,-2.84556,53.51859,1.95794,-0.66362,16.15091,-14.73633,-1.67127,8.66969,-5.72636
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.08219,109.54244,-1.08349,0.21177,118.44816,0.16492,0.79183,134.57352,2.96711,1.17192,140.99795,2.44617,5.55834,131.23932,1.39481,10.78924,131.70063,0.38139,15.01413,116.96241,-18.50818,24.71544,104.94073,-2.4371,-4.28622,131.3306,2.90919,-9.39957,131.51497,4.46552,-17.939,108.73519,4.23097,-7.50495,111.83991,23.68354,6.45759,91.70668,-3.20795,3.76613,55.62367,11.56041,2.98076,25.93801,-16.68755,4.43913,14.27827,-16.98294,-6.48049,91.78923,-3.32611,-3.22105,52.85049,-2.62986,-1.36999,14.94391,-18.1046,-2.35763,6.49453,-9.99312
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.46091,109.45716,-0.52534,-0.51899,118.33319,0.92375,0.1313,134.47534,3.61148,0.5468,140.8991,3.10956,4.84246,131.14152,1.87969,10.00662,131.7677,0.63814,13.74178,118.17694,-19.19166,26.75599,106.97346,-4.978,-4.93833,131.22228,3.76293,-9.96749,131.50027,5.56093,-18.35564,108.76411,7.70596,-7.25337,115.898,25.67143,6.53052,91.93622,-3.24743,3.13968,56.15752,12.10572,1.87405,21.93341,-10.40898,3.75508,10.59675,-7.93807,-6.40208,91.58346,-3.44217,-3.96585,52.69591,-6.46819,-1.95126,14.28511,-20.62288,-3.0219,4.72021,-13.8753
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.59882,109.38421,-0.12969,-0.70035,118.23356,1.47211,-0.03175,134.37769,4.14349,0.41056,140.80317,3.68883,4.64561,131.05742,2.29776,9.75773,131.8155,0.92169,13.07609,119.14492,-19.58016,28.45753,109.20391,-6.87177,-5.08677,131.10996,4.41794,-10.04467,131.43468,6.39689,-18.05143,108.81134,10.39338,-6.86966,119.08765,26.71137,6.54694,91.98881,-3.22991,3.32451,56.05832,11.80167,1.32214,18.01835,-3.32296,3.10782,7.64595,1.91041,-6.38007,91.5512,-3.56994,-4.41951,52.95878,-9.41073,-2.02339,14.41212,-23.12994,-3.41201,4.10523,-17.6524
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.47705,109.35796,0.02997,-0.53085,118.19528,1.6991,0.13035,134.334,4.40476,0.57634,140.76341,4.01364,4.79185,131.03105,2.48915,9.86722,131.91702,1.05466,12.77672,119.8132,-19.8478,29.50604,110.98831,-8.05092,-4.91206,131.05215,4.73652,-9.80808,131.40087,6.86018,-17.22983,108.79219,11.9258,-6.39259,121.14122,26.99122,6.52838,91.91923,-3.14622,3.9543,55.37783,10.47114,1.34653,14.98806,4.01598,2.59639,6.28742,11.81984,-6.39544,91.62809,-3.69813,-4.49868,53.37472,-11.47093,-1.81366,15.08306,-25.83556,-3.54607,4.29884,-21.49242
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.26992,109.3644,0.02265,-0.24336,118.20208,1.69057,0.4236,134.33739,4.41504,0.85048,140.77112,4.0771,5.07895,131.03816,2.4782,10.13403,132.01832,1.03337,12.66445,120.07651,-20.01113,29.82243,111.84078,-8.40545,-4.61676,131.05383,4.76076,-9.46533,131.38848,6.99277,-16.22369,108.56841,12.03901,-5.76219,121.71166,26.69244,6.49259,91.80119,-2.98986,4.35383,54.42036,8.20977,1.7848,13.59169,10.7042,2.32174,7.17467,20.53767,-6.41738,91.74434,-3.85244,-4.56566,53.70552,-12.62475,-1.67843,16.22553,-28.95625,-3.59222,5.10428,-25.66706
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.25902,109.37558,-0.03401,-0.22811,118.21472,1.62601,0.45161,134.3372,4.42235,0.83484,140.77307,4.07304,5.11469,131.0362,2.50724,10.19957,131.94633,1.12242,12.37899,120.00893,-19.96381,28.92978,111.39483,-7.76611,-4.59803,131.06287,4.71618,-9.44882,131.28326,6.95756,-15.53881,108.05219,10.84665,-5.2899,120.62307,26.13861,6.4824,91.77437,-2.86671,4.34871,54.34225,8.16127,2.09313,13.98922,14.9692,2.3723,9.49781,25.82797,-6.41022,91.76804,-3.95981,-4.83299,53.75479,-12.89505,-1.9126,17.8852,-32.50747,-3.87601,6.50108,-30.33709
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.61762,109.35335,0.02806,-0.72916,118.18124,1.74356,-0.06917,134.27744,4.69194,0.23628,140.70922,4.21434,4.62404,130.98153,2.84279,9.77764,131.62792,1.56817,11.77281,119.42822,-19.38576,26.7287,109.59374,-6.09967,-5.13118,131.01312,4.85572,-10.06367,130.98617,6.92268,-15.55685,107.35142,8.68874,-5.54057,117.76732,25.66207,6.53662,91.94132,-2.95714,3.82831,55.31555,10.40514,1.3746,14.77135,15.87784,1.84459,9.63868,26.44185,-6.36451,91.60729,-3.88667,-5.1302,53.58454,-12.83548,-2.48074,19.71891,-35.76804,-4.51376,8.16057,-35.10839
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.93409,109.3733,-0.16067,-1.18656,118.21294,1.47769,-0.62148,134.31672,4.40426,-0.44506,140.74508,3.82605,4.12039,131.02332,2.67895,9.34955,131.38855,1.61847,11.46753,118.20619,-18.71919,23.74074,106.71292,-4.08401,-5.68151,131.04557,4.45078,-10.70976,130.77336,6.2522,-15.98744,107.0584,4.97073,-6.31643,113.1682,24.10324,6.58487,92.11163,-3.12262,3.56246,56.99577,13.76151,0.53886,16.13642,12.678,0.76815,8.68131,21.76273,-6.32457,91.43141,-3.6686,-5.65532,53.22776,-11.87633,-3.33237,22.1918,-38.54422,-5.33981,10.71636,-40.10882
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.21385,109.45073,-0.75001,-1.58995,118.32785,0.64375,-1.09089,134.4502,3.47864,-1.0043,140.88011,2.89723,3.69001,131.14523,1.88843,8.98309,131.25554,1.13136,11.91835,115.9853,-17.57919,19.86837,103.05053,-1.25729,-6.15141,131.1799,3.42548,-11.2587,130.67586,4.93015,-16.44134,107.35364,0.3356,-7.65217,106.99992,20.81819,6.61923,92.25881,-3.27074,3.70284,57.92307,15.16521,0.11446,17.98894,6.66863,0.33123,10.49808,15.72421,-6.28097,91.26266,-3.35626,-6.43948,52.56348,-8.8044,-4.53029,25.30461,-39.35128,-6.07983,14.5643,-43.86884
