time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.01389,109.71687,-452.4724,1.39196,118.70245,-452.5327,3.10891,134.9885,-452.35286,3.44966,141.43619,-452.33044,7.71113,131.10327,-452.53498,13.00325,130.36488,-452.31071,28.6557,112.70798,-458.23651,14.02348,97.03616,-452.13667,-2.19259,132.14983,-452.73034,-7.29495,133.56916,-453.47461,-21.67503,153.0611,-451.20018,-32.26035,172.42228,-448.03683,7.28982,91.72647,-451.99132,11.20151,52.84263,-452.27072,14.43685,12.46413,-458.50872,15.47445,4.97327,-449.51017,-5.64226,91.85733,-452.38974,-9.3165,52.94962,-452.23537,-10.91289,12.46416,-458.41453,-13.02399,4.97333,-449.60577
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.06475,109.71552,-452.51527,1.48965,118.69879,-452.60106,3.35691,134.96881,-452.47562,3.6977,141.41653,-452.47835,7.92297,131.0407,-452.64763,13.20243,130.22466,-452.39583,28.83094,112.41643,-457.91828,13.9792,96.88922,-451.9814,-1.97079,132.17796,-452.84077,-7.03187,133.73541,-453.59066,-19.61855,154.37232,-450.83589,-26.17648,175.26009,-446.63998,7.2809,91.70718,-451.93859,11.24798,52.82815,-452.06386,14.50365,12.47552,-458.45675,15.54327,4.98465,-449.45843,-5.64751,91.877,-452.43052,-9.29281,52.96684,-452.21705,-10.84279,12.47545,-458.36912,-12.9555,4.98458,-449.56079
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.11385,109.7141,-452.5492,1.58509,118.69484,-452.65534,3.6036,134.94708,-452.57557,3.96491,141.39363,-452.60221,8.13299,130.97618,-452.73389,13.40203,130.10441,-452.45215,29.01059,112.20056,-457.71575,13.95506,96.83871,-451.86255,-1.74966,132.20488,-452.93553,-6.77526,133.87722,-453.67651,-17.77539,155.33142,-450.41919,-19.99506,176.88833,-445.19579,7.27143,91.68891,-451.87829,11.25256,52.81113,-451.91279,14.52905,12.47272,-458.38431,15.5663,4.98184,-449.38573,-5.65173,91.89566,-452.48137,-9.26976,52.98294,-452.27172,-10.82307,12.4728,-458.29821,-12.93436,4.9819,-449.48955
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,1.16036,109.71229,-452.59229,1.66772,118.69074,-452.72374,3.78671,134.93035,-452.69497,4.18409,141.37462,-452.74675,8.29188,130.93095,-452.82458,13.5549,130.03457,-452.50961,29.13149,112.05449,-457.60541,13.91394,96.80994,-451.8656,-1.58226,132.22008,-453.06253,-6.57818,133.97504,-453.81313,-16.16776,155.98988,-449.9039,-14.09268,177.30978,-443.73404,7.2624,91.67197,-451.8273,11.25181,52.79531,-451.67929,14.53605,12.48278,-458.30626,15.56929,4.99191,-449.30721,-5.65566,91.9131,-452.52035,-9.29085,53.00235,-452.25099,-10.82228,12.48281,-458.21967,-12.93678,4.99194,-449.41176
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.18968,109.71033,-452.64625,1.71885,118.68704,-452.80675,3.89623,134.91894,-452.82642,4.31048,141.36168,-452.92,8.38742,130.90296,-452.92468,13.64579,129.99211,-452.57548,29.19042,111.94658,-457.53572,13.88207,96.7594,-451.886,-1.48102,132.22669,-453.20527,-6.45504,134.02996,-453.98623,-14.84778,156.37573,-449.28262,-8.86124,176.7147,-442.39796,7.25546,91.66268,-451.77325,11.21669,52.78359,-451.53355,14.48117,12.48086,-458.22952,15.51646,4.99,-449.23069,-5.65689,91.92294,-452.55936,-9.31646,53.01452,-452.28275,-10.88017,12.48079,-458.14576,-12.99232,4.98998,-449.33723
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.22356,109.70729,-452.7235,1.77012,118.68217,-452.92368,3.97198,134.9106,-453.00019,4.39321,141.35205,-453.13976,8.4576,130.88759,-453.05675,13.71423,129.98172,-452.67033,29.16463,111.82363,-457.51281,13.84634,96.63503,-451.89391,-1.40715,132.22473,-453.39717,-6.36713,134.04717,-454.22171,-13.71681,156.53957,-448.56756,-4.86222,175.65295,-441.27467,7.24732,91.65275,-451.71295,11.18146,52.77311,-451.23481,14.39416,12.50505,-458.16045,15.43127,5.01421,-449.16182,-5.65819,91.93371,-452.59814,-9.39576,53.03395,-452.18268,-10.95123,12.50495,-458.08047,-13.06591,5.01415,-449.27254
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.25879,109.70406,-452.79286,1.82047,118.67707,-453.03093,4.03246,134.90369,-453.17188,4.44421,141.34532,-453.33042,8.51571,130.87777,-453.20207,13.76982,129.96837,-452.7905,29.15577,111.70932,-457.4553,13.79036,96.55165,-451.88172,-1.34749,132.21942,-453.56854,-6.29496,134.0671,-454.41179,-12.8191,156.5779,-447.88529,-2.47187,174.80581,-440.29655,7.23926,91.64221,-451.66279,11.13791,52.76141,-451.01763,14.30595,12.5184,-458.10751,15.34013,5.02755,-449.10855,-5.65994,91.94516,-452.62896,-9.45544,53.05146,-452.17183,-11.05155,12.51827,-458.02979,-13.16265,5.02742,-449.22105
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.27544,109.70152,-452.84821,1.85014,118.67279,-453.11875,4.09951,134.89356,-453.32552,4.4959,141.3355,-453.5085,8.57336,130.85713,-453.34744,13.82633,129.94453,-452.92843,29.16091,111.59235,-457.39263,13.75757,96.48224,-451.79467,-1.28728,132.2203,-453.70327,-6.22089,134.10973,-454.53517,-12.22591,156.58417,-447.41233,-1.89464,174.69973,-439.53817,7.23456,91.63865,-451.62552,11.07602,52.75567,-450.79532,14.16827,12.53511,-458.0443,15.20062,5.04425,-449.04514,-5.65989,91.94943,-452.65082,-9.55036,53.06623,-452.1074,-11.19263,12.53509,-457.96678,-13.30716,5.04416,-449.15893
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.29289,109.69968,-452.88147,1.88478,118.66918,-453.17265,4.19142,134.88124,-453.42672,4.59743,141.322,-453.62906,8.65069,130.82876,-453.45473,13.90499,129.91614,-453.05282,29.13603,111.44064,-457.36002,13.71648,96.37068,-451.69882,-1.20621,132.22641,-453.77886,-6.12856,134.15486,-454.58764,-12.1265,156.56182,-447.24949,-3.01496,175.23317,-439.17041,7.23097,91.63337,-451.60824,10.99861,52.74498,-450.69693,14.02126,12.52445,-457.97535,15.05226,5.03359,-448.97604,-5.66117,91.95522,-452.65883,-9.57572,53.07334,-452.20095,-11.33899,12.52447,-457.90034,-13.45132,5.03359,-449.09191
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,1.29235,109.69938,-452.88892,1.89407,118.66792,-453.18961,4.25555,134.87141,-453.4832,4.68222,141.31035,-453.70043,8.70051,130.80339,-453.52869,13.95434,129.87752,-453.1517,29.06286,111.2971,-457.43904,13.60962,96.2864,-451.71262,-1.1531,132.23481,-453.80159,-6.07649,134.17712,-454.56979,-12.6245,156.49915,-447.44618,-5.65048,176.06077,-439.34574,7.23194,91.63339,-451.61826,10.91989,52.7392,-450.63178,13.85593,12.50961,-457.89561,14.89257,5.01875,-448.89695,-5.66198,91.95528,-452.64672,-9.60121,53.07486,-452.28728,-11.49506,12.51027,-457.83079,-13.61183,5.01957,-449.02328
