time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.27329,109.16831,-448.118,0.94871,117.58622,-444.96833,-1.60003,131.3713,-436.50124,-2.29521,137.15837,-433.72351,3.85044,129.11858,-437.73665,9.16704,129.22982,-437.1679,22.49434,116.30071,-452.88738,28.25622,95.2043,-457.2068,-5.96207,128.18717,-439.17339,-11.04887,126.70448,-439.90045,-18.64408,104.71097,-447.00632,-14.37017,95.62175,-427.1058,7.18922,91.46112,-451.95605,6.5535,53.03361,-444.86697,7.68015,45.23321,-485.08745,7.27472,37.16087,-493.62189,-5.61395,92.27555,-453.63842,-6.07369,55.0925,-441.61578,1.88256,25.42302,-468.74921,-0.1662,17.39352,-460.41294
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.71608,109.19017,-448.17934,0.217,117.64344,-445.14944,-2.06059,131.72911,-437.11062,-2.73604,137.60135,-434.51257,3.34774,129.42116,-438.42661,8.68035,129.72058,-438.15148,22.30504,120.65733,-456.15444,28.81299,100.08392,-461.74879,-6.50449,128.46109,-439.53514,-11.68097,127.17217,-439.91629,-21.15818,104.91775,-442.52758,-14.42668,102.70943,-421.39179,7.23894,91.63173,-451.70449,5.18132,55.19518,-437.7232,6.74625,47.4726,-477.94404,7.84332,38.7653,-485.76343,-5.50839,92.09884,-453.87289,-6.85164,53.49018,-447.96515,1.73347,25.12873,-476.27993,-0.26416,16.66371,-468.37318
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.0693,109.19564,-448.27363,-0.59107,117.68261,-445.37147,-2.36938,132.09312,-437.79581,-2.93433,138.07912,-435.44253,2.9473,129.72232,-439.3517,8.2683,130.25991,-439.35926,21.00387,124.05558,-459.13784,27.75604,103.54481,-464.67243,-6.95442,128.73614,-439.79945,-12.19123,127.65103,-439.77036,-22.86073,105.78743,-439.5703,-14.45802,108.09543,-419.05253,7.3322,91.90743,-451.68557,4.15566,57.39112,-433.63381,6.20801,46.44205,-473.07628,8.20258,36.36979,-478.79773,-5.42142,91.82161,-453.86554,-6.61638,52.80959,-455.85756,1.31901,24.30289,-484.21598,-0.39842,15.00266,-477.23602
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.70571,109.03396,-447.90065,-1.5488,117.48627,-444.9452,-2.7472,132.20862,-437.87184,-3.14209,138.30538,-435.78312,2.45119,129.69813,-439.59887,7.74544,130.42445,-439.81203,18.84701,125.79183,-460.95854,25.83452,105.12951,-465.55837,-7.47258,128.84546,-439.5048,-12.73746,127.9767,-439.1459,-23.86558,106.37441,-437.96227,-14.62553,110.9315,-418.19448,7.433,92.23467,-451.75016,3.39307,58.76845,-431.97586,5.96033,42.20526,-469.37737,7.8308,30.94739,-472.19256,-5.30625,91.53943,-453.90488,-5.60865,53.43602,-462.58664,0.57187,23.61996,-490.02031,-0.64945,12.75472,-485.70538
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,-1.14495,108.81662,-447.36313,-2.05697,117.21087,-444.26606,-2.77848,132.14162,-437.57516,-2.99565,138.32632,-435.73355,2.32223,129.47929,-439.36495,7.59647,130.31151,-439.66808,16.67577,126.16315,-461.85452,23.92552,105.32853,-465.06004,-7.61055,128.83262,-438.99225,-12.87981,128.14246,-438.39143,-24.0058,106.52691,-437.45544,-14.43019,111.80068,-418.0285,7.48536,92.42166,-451.83486,3.03043,59.19929,-431.74108,5.43325,35.92433,-465.39082,6.5434,24.22359,-465.23619,-5.23621,91.41301,-453.96997,-5.50047,54.65266,-467.23424,-0.90218,22.67425,-492.45408,-0.9797,10.92045,-492.52962
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.95512,108.77654,-447.17077,-1.71818,117.17395,-444.04212,-2.05598,132.21924,-437.58139,-2.11117,138.46353,-435.93974,2.96358,129.43939,-439.42123,8.23043,130.29886,-439.77289,15.46068,125.75676,-462.55389,22.83671,104.77222,-464.02314,-6.97025,128.9739,-438.85587,-12.23834,128.41694,-438.12137,-23.08579,106.64098,-437.93119,-13.36525,111.28157,-418.41486,7.48603,92.38981,-452.01798,3.49083,58.7673,-432.50139,4.95102,29.13647,-460.78009,4.85637,17.80145,-457.67014,-5.28978,91.45602,-453.84046,-5.97674,56.27312,-470.84121,-3.25436,23.25928,-494.97578,-1.4513,11.94097,-497.58507
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.59059,108.80241,-447.12988,-1.14454,117.2286,-444.03478,-1.124,132.38517,-437.83045,-1.0388,138.65956,-436.30924,3.81595,129.49347,-439.71286,9.08589,130.27533,-440.18033,14.85349,124.68083,-463.14371,22.20209,103.66007,-462.12342,-6.11188,129.19863,-438.95895,-11.36467,128.718,-438.07595,-21.95746,106.8535,-439.35333,-12.29279,109.68681,-419.46671,7.46736,92.30121,-452.23411,4.33722,57.6825,-434.37131,4.34278,22.63893,-455.62574,3.13468,12.64045,-449.56485,-5.37269,91.53742,-453.63572,-6.40531,57.06342,-472.01536,-3.01262,26.19295,-498.76058,-0.936,15.30831,-502.68178
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.23871,108.87574,-447.25816,-0.59587,117.34051,-444.24034,-0.23492,132.55429,-438.18834,-0.02633,138.84837,-436.76348,4.6246,129.57345,-440.13983,9.90739,130.13856,-440.75207,14.51971,122.90502,-463.5179,21.70492,102.2384,-459.25425,-5.28934,129.42947,-439.18577,-10.51702,128.94596,-438.16592,-20.91138,107.20445,-441.50647,-11.51596,107.0917,-421.29201,7.43783,92.19451,-452.36507,5.19968,56.30327,-437.06338,3.61882,17.48755,-450.12645,1.61869,9.47852,-441.75874,-5.44122,91.62368,-453.46901,-6.84324,56.70114,-470.9557,-2.0589,30.54637,-502.1461,0.27621,20.30467,-507.42042
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.12856,109.04185,-447.71309,-0.02218,117.57132,-444.86483,0.72186,132.76347,-438.79353,1.0746,139.05706,-437.39512,5.49191,129.69737,-440.83172,10.78824,129.94318,-441.53214,14.52639,120.45673,-463.62092,21.1938,100.67914,-455.79095,-4.40556,129.73458,-439.71108,-9.62268,129.20208,-438.662,-19.86112,107.82718,-444.15594,-11.05094,103.79096,-424.08107,7.40398,92.08974,-452.50553,5.73451,55.50061,-438.87537,2.67723,15.28407,-446.16136,0.70988,8.82602,-436.53916,-5.50972,91.68217,-453.20178,-6.49093,55.46607,-467.85667,-0.64481,36.21511,-503.56418,2.0117,27.47354,-510.95956
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.22738,109.1577,-448.10344,0.17356,117.72633,-445.37163,1.25082,132.83261,-439.1382,1.73148,139.0958,-437.64467,5.94497,129.70406,-441.25613,11.24402,129.61677,-441.97346,14.56751,117.36709,-462.72871,20.27045,99.12966,-451.24882,-3.93925,129.9076,-440.04043,-9.17508,129.34664,-439.10559,-19.16389,108.535,-446.78638,-11.49023,99.9251,-427.71033,7.39732,92.09521,-452.65723,6.18345,55.80703,-438.19947,1.41182,15.74814,-445.43271,0.0873,9.08146,-435.84289,-5.53059,91.64441,-452.94131,-6.74508,53.70768,-462.25064,-0.6356,43.42404,-501.45171,3.10423,37.18295,-510.6835
