time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,0.83583,109.63131,-3.4439,1.18625,118.61367,-3.72968,1.35505,134.97862,-4.34284,1.53236,141.41679,-4.79854,6.29548,131.53457,-4.54114,11.5582,131.68241,-3.60096,24.01136,120.16211,13.83699,7.64089,116.7351,28.57398,-3.66334,131.64377,-4.37625,-8.78571,131.94062,-2.86772,-17.73219,116.90587,14.03827,-1.85016,108.56339,27.26986,6.32058,91.40883,-2.38007,4.06454,56.12271,14.26723,7.69139,28.56088,-15.84912,10.67637,17.30231,-17.42961,-6.55349,92.06232,-3.49623,-1.90673,54.26167,5.27033,7.22319,15.36987,-3.88802,4.18421,7.87897,4.64513
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.10207,109.65666,-3.29747,0.20656,118.64745,-3.50194,0.55711,135.01312,-4.01,0.7795,141.45097,-4.45029,5.45461,131.51398,-4.2912,10.73428,131.64082,-3.44798,22.54531,120.1225,14.43242,6.7532,117.18345,29.88838,-4.49954,131.73641,-4.0039,-9.58079,132.11545,-2.37917,-17.81199,117.17667,14.96947,-2.15847,108.97057,28.55395,6.42497,91.70208,-2.33436,3.19257,57.66606,16.59796,7.3808,25.46962,-8.41507,11.05229,14.3573,-7.31963,-6.45341,91.762,-3.58274,-1.77944,53.3787,2.09263,7.01143,14.41836,-7.10604,3.94631,6.92753,1.41781
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.38931,109.65472,-3.0906,-0.44327,118.64777,-3.18735,0.059,135.01289,-3.56989,0.32093,141.44891,-4.01523,4.9214,131.47014,-3.90822,10.20988,131.56831,-3.11803,21.45465,120.13663,15.17822,6.16602,117.7077,31.21796,-5.02829,131.78398,-3.55852,-10.07776,132.22544,-1.8525,-17.5691,117.50184,16.00781,-2.18658,109.37993,29.9478,6.4859,91.89541,-2.3085,2.71136,58.57999,17.77055,6.75554,21.95599,-0.17743,10.38446,11.38946,3.4754,-6.37741,91.56921,-3.66626,-1.36889,52.88565,-1.25163,7.15055,13.78331,-10.09637,3.93314,6.29359,-1.62785
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.53626,109.65061,-2.9609,-0.63052,118.64383,-2.97954,-0.0433,135.00881,-3.22122,0.2405,141.44317,-3.67701,4.79983,131.44379,-3.59975,10.09146,131.50302,-2.82697,20.77062,120.23938,15.90713,5.98767,118.30426,32.47925,-5.1474,131.80651,-3.2279,-10.17388,132.285,-1.46494,-16.95496,117.82123,16.88476,-1.83099,109.8718,31.20198,6.49758,91.95006,-2.26157,2.85677,58.63376,17.84068,5.7467,18.83687,8.47805,8.46144,9.33106,14.83677,-6.34814,91.51571,-3.74933,-0.96021,52.80816,-3.57552,7.40988,13.75523,-12.77405,4.05916,6.05337,-4.55105
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.38646,109.65469,-2.89257,-0.4162,118.64831,-2.86095,0.21439,135.01312,-2.96746,0.51039,141.44542,-3.44398,5.049,131.43856,-3.36445,10.33859,131.47836,-2.5766,20.44947,120.42123,16.59085,6.17062,119.0079,33.65051,-4.89804,131.82445,-3.01158,-9.90367,132.32999,-1.19757,-16.02492,118.07631,17.54431,-1.15963,110.52403,32.33949,6.47048,91.88443,-2.20421,3.50012,57.8328,16.74298,4.15588,16.85526,17.20573,5.79945,9.18279,25.95761,-6.36279,91.5802,-3.82573,-0.60111,52.96171,-5.48391,7.73673,14.16259,-15.72655,4.29255,6.3388,-7.65875
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.03086,109.6593,-2.87803,0.15434,118.65207,-2.83391,0.75563,135.01827,-2.87813,1.04538,141.4498,-3.36874,5.59741,131.4539,-3.27941,10.8865,131.51208,-2.48935,20.37578,120.66408,17.11052,6.684,119.79029,34.68001,-4.35096,131.82061,-2.94373,-9.33952,132.35171,-1.09044,-14.84945,118.27943,17.97542,-0.29173,111.29809,33.34567,6.40986,91.71257,-2.1733,4.2007,56.25785,14.11825,2.40063,16.80645,25.07955,3.32746,11.55196,35.55308,-6.41846,91.75078,-3.86068,-0.63268,53.22229,-6.92889,7.98701,15.10946,-19.29483,4.54785,7.23624,-11.2731
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,0.56398,109.64957,-2.93927,0.86962,118.6381,-2.93015,1.3576,135.00797,-3.00137,1.61783,141.43987,-3.50362,6.2219,131.47651,-3.42079,11.50966,131.60315,-2.62987,20.33641,120.97572,17.39579,7.24613,120.57664,35.43465,-3.72703,131.77505,-3.03759,-8.69363,132.33705,-1.13509,-13.74706,118.48404,18.21568,0.5646,112.11769,34.07623,6.33525,91.49988,-2.19474,4.08719,56.40479,14.85265,1.68583,18.67956,30.69069,2.03078,15.94832,42.11807,-6.49241,91.96618,-3.82218,-1.09308,53.45055,-7.65978,8.19046,16.70594,-23.26274,4.8358,8.7132,-15.32385
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.77764,109.64032,-2.91015,1.13764,118.62681,-2.89041,1.47756,135.00049,-2.94587,1.69624,141.43206,-3.47155,6.36783,131.51348,-3.43022,11.65694,131.63973,-2.6483,19.81167,121.25026,17.78304,7.34475,121.29854,36.26247,-3.57786,131.72197,-2.9234,-8.53046,132.20805,-0.96433,-13.14476,118.68537,18.72681,0.87076,113.00665,35.10448,6.32034,91.41253,-2.36282,3.35471,56.76701,15.47605,0.23538,20.37679,34.07242,1.22113,19.23519,45.72954,-6.53704,92.05611,-3.66222,-1.64794,53.54095,-8.13582,8.06463,18.43912,-26.93292,4.83776,10.05892,-19.34852
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.91026,109.6326,-2.83622,1.30326,118.61766,-2.79878,1.53988,134.99295,-2.89723,1.70801,141.4233,-3.45544,6.44371,131.53525,-3.44989,11.7342,131.70082,-2.68481,19.31571,121.38465,18.00282,7.35383,121.82145,36.80809,-3.49398,131.68313,-2.78825,-8.41528,132.14822,-0.74693,-12.63198,118.80123,19.15213,1.01445,113.68157,36.01852,6.30281,91.35649,-2.41471,2.80623,56.74595,15.39587,-0.86466,20.44004,34.05621,0.45949,19.04044,45.65152,-6.55647,92.1143,-3.63093,-2.28585,53.61804,-8.83994,7.56817,20.37149,-30.68869,4.68235,11.22886,-23.88811
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,0.6133,109.64168,-2.55988,0.9065,118.62981,-2.43866,1.19333,135.00291,-2.67398,1.32922,141.42262,-3.35078,6.07944,131.52498,-3.25578,11.37548,131.68244,-2.52827,18.57748,121.28285,18.25299,7.04553,122.05999,37.31409,-3.84926,131.71038,-2.47887,-8.73951,132.15564,-0.35998,-12.54814,118.79174,19.6099,0.74209,114.01531,36.85711,6.35554,91.46758,-2.51709,2.0061,57.73349,16.72937,-3.93666,20.05535,31.72419,-1.74536,16.65784,42.76134,-6.52645,92.00068,-3.60555,-3.10644,53.5654,-9.79963,6.60061,22.20994,-34.34369,4.23258,12.10086,-28.83347
0.33333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.02388,109.62827,-2.00471,0.11895,118.61662,-1.70848,0.51393,134.98231,-2.18181,0.62699,141.38212,-3.02972,5.37443,131.46359,-2.73199,10.67645,131.52583,-2.03425,17.58116,121.0527,18.81088,6.3621,122.08214,38.04596,-4.54968,131.72691,-1.91969,-9.42336,132.12803,0.24567,-12.87828,118.69779,20.23536,0.05001,114.13243,37.8117,6.45213,91.69935,-2.71506,1.97781,58.64323,17.64681,-4.68192,20.09339,29.86812,-3.26711,13.79608,39.69185,-6.45878,91.77265,-3.56229,-4.28336,53.32315,-10.21346,5.19914,23.99597,-37.2283,3.44693,12.9354,-33.65659
0.36667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.51918,109.60443,-1.78763,-0.6028,118.59115,-1.44251,-0.06323,134.94508,-2.1308,0.04201,141.32129,-3.1418,4.76148,131.37538,-2.66742,10.06403,131.36843,-1.97104,16.69087,120.73503,18.88313,5.77378,121.92349,38.2821,-5.15416,131.73963,-1.79295,-9.99848,132.16142,0.43351,-13.22623,118.52007,20.31794,-0.6353,114.00202,38.14956,6.53285,91.93157,-2.88866,1.73877,59.25033,17.99878,-4.99198,19.51325,25.44623,-3.747,12.05359,34.4444,-6.38817,91.54706,-3.44919,-5.55074,52.98432,-9.73787,3.18979,25.43829,-38.80026,2.55861,13.71638,-38.19854
0.4,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.89328,109.61802,-2.28232,-1.0966,118.60824,-2.13492,-0.4003,134.95361,-2.88326,-0.2873,141.31406,-3.98833,4.37638,131.33228,-3.49792,9.68083,131.35891,-2.81666,15.91007,120.4618,18.02394,5.48172,121.62666,37.69138,-5.51707,131.8024,-2.44163,-10.31479,132.31177,-0.13405,-13.37731,118.5115,19.66668,-1.06366,113.85526,37.65569,6.58347,92.10444,-3.08594,2.30503,59.36449,17.82156,-5.03381,19.07534,19.47331,-3.83083,11.58449,28.45126,-6.33454,91.37042,-3.11405,-6.38217,52.56504,-7.74813,0.927,26.79504,-38.76886,1.38604,15.44825,-41.80254
