time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.51328,109.65142,-2.98628,-0.87342,118.6378,-2.9366,-1.76478,134.98885,-2.68237,-1.67611,141.44376,-2.80654,2.98895,131.82944,-0.75138,7.43762,132.34446,2.172,12.93224,117.22529,20.42305,2.47438,136.78711,18.21306,-5.93638,131.41163,-5.15378,-11.09371,131.84222,-6.50251,-17.83134,113.61194,8.13159,-6.8765,132.859,10.67186,5.57263,91.90936,0.39812,10.15442,56.14329,15.4689,21.22326,16.70625,16.88446,18.86889,7.52942,23.84192,-5.42959,91.55619,-6.40195,-9.21058,52.72051,-4.2047,1.65283,17.00552,-21.12301,-4.49108,7.77753,-17.21659
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.45063,109.65322,-3.06206,-0.80776,118.63976,-3.0205,-1.80668,134.98232,-2.64779,-1.72193,141.43684,-2.79364,2.96129,131.83961,-0.72467,7.40027,132.30478,2.2217,13.639,118.21612,21.04904,2.05157,137.0209,18.04452,-5.94679,131.39655,-5.15941,-11.09953,131.7803,-6.53947,-18.73076,113.8955,8.08221,-6.99662,132.67254,10.65974,5.56117,91.9035,0.41339,9.73849,56.49099,16.40828,21.27728,17.16745,16.97301,18.88389,8.10371,24.06413,-5.43559,91.56155,-6.39609,-9.5786,52.78786,-3.7941,1.85611,17.43638,-21.09508,-4.39729,8.34782,-17.03842
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.39208,109.65428,-3.14095,-0.75189,118.64074,-3.10614,-1.88142,134.97125,-2.6014,-1.83027,141.42587,-2.75785,2.90267,131.85007,-0.68325,7.34486,132.30883,2.25928,14.20603,119.02785,21.45357,1.76702,137.1947,17.96761,-5.98197,131.37426,-5.16141,-11.11464,131.7203,-6.62376,-19.47672,114.22747,8.07223,-7.11266,132.58475,10.72764,5.55399,91.89996,0.42296,9.30955,56.96588,17.53549,21.39187,17.80437,17.09234,18.9072,8.86038,24.3031,-5.44473,91.56479,-6.38368,-9.98231,52.85997,-3.43729,2.0608,17.94782,-21.21109,-4.33071,9.06595,-16.9187
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.40971,109.65369,-3.15608,-0.79913,118.63886,-3.10899,-2.05104,134.95703,-2.50389,-2.01457,141.41208,-2.64608,2.74367,131.85803,-0.57631,7.18421,132.32814,2.36692,14.46799,119.53404,21.7354,1.47398,137.24459,17.93968,-6.10917,131.34739,-5.11323,-11.22542,131.63508,-6.64416,-20.05196,114.58884,8.30287,-7.26685,132.66198,10.91317,5.54701,91.90938,0.43979,9.11674,57.35057,18.3361,21.50857,18.29972,17.20586,18.94601,9.43926,24.49209,-5.43284,91.55553,-6.3963,-10.19644,52.88752,-3.32596,2.22296,18.2339,-21.34506,-4.29507,9.55197,-16.83917
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.52149,109.65048,-3.14553,-0.95765,118.63342,-3.0847,-2.23117,134.94797,-2.42919,-2.18676,141.40311,-2.56508,2.56042,131.84818,-0.49514,6.99963,132.29177,2.45422,14.40127,119.69912,21.90985,1.1638,137.17126,17.85906,-6.27577,131.34234,-5.06494,-11.393,131.59163,-6.59929,-20.15291,114.66329,8.51992,-7.40879,132.78793,10.96849,5.54734,91.9463,0.46063,9.22703,57.48762,18.52696,21.43058,18.37766,17.39218,18.9281,9.45594,24.62433,-5.40201,91.51951,-6.42008,-10.07529,52.82831,-3.50707,2.34761,18.12198,-21.42201,-4.25312,9.56479,-16.7994
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.65732,109.64582,-3.08741,-1.13458,118.62647,-3.00201,-2.35106,134.94504,-2.33838,-2.29522,141.40028,-2.46472,2.43962,131.8292,-0.42801,6.89151,132.26358,2.50354,13.9615,119.34437,21.8682,1.02678,137.02062,17.72586,-6.4203,131.35313,-4.95486,-11.55287,131.62275,-6.43354,-19.66578,114.34294,8.64904,-7.22646,132.68956,11.01028,5.57084,91.98173,0.4429,9.47342,57.28812,18.00581,21.2014,18.01827,17.63608,18.85604,8.93269,24.71528,-5.38767,91.48538,-6.41854,-9.7591,52.74231,-3.73534,2.20147,17.63971,-21.18685,-4.30293,8.94362,-16.68859
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.80255,109.6393,-2.97719,-1.32784,118.61681,-2.85224,-2.50809,134.93878,-2.20711,-2.43062,141.3941,-2.31687,2.29301,131.81729,-0.33247,6.77015,132.28158,2.55574,13.17317,118.62998,21.64804,1.04537,136.87294,17.52171,-6.60637,131.34995,-4.78215,-11.75594,131.65185,-6.19399,-18.97673,113.82585,8.7053,-6.94234,132.44522,11.02979,5.61024,92.01034,0.3946,9.82583,56.82931,16.88266,20.85711,17.36881,17.87405,18.74879,8.07617,24.7563,-5.3866,91.45858,-6.40096,-9.26116,52.64389,-4.00476,1.99127,16.99105,-20.79941,-4.37622,8.05547,-16.58347
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.93199,109.63124,-2.82892,-1.50017,118.60534,-2.65574,-2.65077,134.93131,-2.06009,-2.55865,141.38661,-2.15918,2.16012,131.80919,-0.21176,6.66197,132.32862,2.62823,12.35742,117.89473,21.36603,1.06007,136.71125,17.46428,-6.77444,131.33956,-4.59016,-11.93795,131.67044,-5.94336,-18.28591,113.31033,8.70263,-6.77367,132.25471,11.04562,5.64573,92.0262,0.3443,10.1769,56.2955,15.51393,20.51111,16.71221,17.99804,18.6273,7.25666,24.72168,-5.38602,91.44497,-6.39197,-8.73948,52.55803,-4.41851,1.74422,16.34538,-20.49765,-4.46519,7.19196,-16.51998
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.0162,109.62319,-2.65626,-1.61284,118.5943,-2.4318,-2.75206,134.92386,-1.91856,-2.66181,141.3791,-2.02369,2.06763,131.80934,-0.08039,6.57777,132.40182,2.73203,11.68985,117.27988,21.09161,1.0948,136.574,17.57063,-6.89168,131.32055,-4.40577,-12.06474,131.67821,-5.71498,-17.69759,112.87579,8.65983,-6.62259,132.07355,11.04757,5.66574,92.02084,0.3072,10.4798,55.86271,14.33386,20.32235,16.23758,17.90824,18.53456,6.72802,24.58174,-5.38257,91.45258,-6.40299,-8.37701,52.51714,-4.85401,1.56687,15.92488,-20.40805,-4.52853,6.64757,-16.54266
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.03781,109.61891,-2.54372,-1.64461,118.58857,-2.29038,-2.80063,134.91918,-1.8537,-2.73459,141.37434,-1.97915,2.02511,131.81865,-0.00774,6.53567,132.4536,2.79471,11.27058,116.90336,20.89585,1.23934,136.55334,17.70715,-6.94002,131.29957,-4.31751,-12.11631,131.6542,-5.61473,-17.23934,112.54279,8.54168,-6.56086,131.94841,11.05222,5.66357,92.00443,0.30143,10.65476,55.65545,13.76145,20.34902,16.0268,17.68503,18.51699,6.5701,24.42135,-5.37437,91.47017,-6.42858,-8.31451,52.52418,-5.05043,1.49827,15.86323,-20.52578,-4.55483,6.56129,-16.65311
0.33333,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.042,109.61926,-2.56596,-1.65816,118.58866,-2.32647,-2.85668,134.91694,-1.91783,-2.81372,141.37213,-2.05155,1.97159,131.83142,-0.05344,6.47512,132.46343,2.76096,11.23139,116.82417,20.77962,1.42881,136.63018,17.85615,-6.97987,131.28315,-4.38794,-12.15675,131.59283,-5.69425,-17.02923,112.38466,8.4196,-6.7281,131.98357,11.00425,5.64758,92.00878,0.33122,10.66246,55.71075,13.91933,20.61736,16.10422,17.38709,18.59261,6.80372,24.2838,-5.35721,91.46573,-6.45217,-8.49819,52.53899,-4.97665,1.60748,16.10111,-20.78675,-4.52549,6.9,-16.80055
0.36667,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.02449,109.6238,-2.71364,-1.64427,118.59416,-2.52451,-2.893,134.91777,-2.08158,-2.86903,141.373,-2.21835,1.93552,131.84192,-0.20194,6.4334,132.45484,2.6257,11.46567,116.82337,20.57603,1.63026,136.65829,17.97673,-6.99372,131.27794,-4.58004,-12.16585,131.53388,-5.91648,-17.04353,112.44365,8.35471,-6.9726,132.16012,10.95243,5.63622,92.03303,0.36415,10.63497,55.92558,14.4566,21.07917,16.37661,17.02583,18.74052,7.35352,24.1867,-5.35073,91.44021,-6.44395,-8.77613,52.54294,-4.83079,1.89554,16.50687,-21.18074,-4.42237,7.54055,-16.95549
0.4,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.98931,109.6279,-2.84452,-1.60025,118.5996,-2.69465,-2.86787,134.92004,-2.19226,-2.8632,141.37547,-2.32139,1.96664,131.84331,-0.32951,6.48095,132.42362,2.47875,11.88873,116.78561,20.31381,1.92039,136.60407,18.12831,-6.96734,131.28419,-4.69855,-12.13582,131.50309,-6.05554,-17.04555,112.5862,8.43381,-6.97634,132.30371,11.03035,5.66435,92.05107,0.32678,10.81627,56.16436,14.91903,21.71132,16.68684,16.53973,19.03195,8.09222,24.09731,-5.38867,91.42103,-6.37011,-8.8761,52.52401,-4.88898,2.29489,16.83743,-21.66635,-4.24469,8.19124,-17.12314
0.43333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.9924,109.62781,-2.85582,-1.6005,118.59964,-2.70212,-2.84655,134.92038,-2.15719,-2.83598,141.37579,-2.28692,2.01713,131.83762,-0.38242,6.57245,132.37415,2.36772,12.27381,116.48497,19.88655,2.20829,136.31166,18.30435,-6.99167,131.29083,-4.59663,-12.18091,131.49135,-5.87497,-16.94724,112.58485,8.67568,-6.81147,132.27652,11.20846,5.7596,92.06207,0.16552,11.38405,56.29777,14.88329,22.2972,16.81358,16.18883,19.41328,8.61261,24.10027,-5.48305,91.41005,-6.2057,-8.63382,52.47821,-4.89502,2.85503,17.01915,-21.93806,-3.92279,8.70006,-17.14041
0.46667,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.08842,109.62038,-2.76703,-1.7196,118.58979,-2.5708,-2.89362,134.91437,-1.98274,-2.85696,141.36939,-2.12623,2.02602,131.81705,-0.39772,6.6613,132.33238,2.21967,12.51883,115.94341,19.21884,2.46504,135.82499,18.4708,-7.14165,131.29709,-4.25785,-12.37397,131.52486,-5.34108,-16.71134,112.40464,9.06378,-6.49733,132.07408,11.45088,5.90959,92.09292,-0.10446,12.09129,56.28219,14.27295,22.68174,16.73996,16.28728,19.75074,8.6509,24.29603,-5.60629,91.38127,-5.96046,-8.1574,52.40461,-4.67742,3.24819,16.95922,-21.80457,-3.5851,8.73198,-16.92787
0.5,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.26718,109.60405,-2.6182,-1.94959,118.56798,-2.35472,-3.03399,134.89683,-1.71559,-2.97741,141.35162,-1.86322,1.95303,131.7832,-0.39518,6.69981,132.30322,2.01308,12.69813,115.44036,18.49169,2.70937,135.36869,18.52974,-7.41062,131.29323,-3.75661,-12.69165,131.584,-4.54946,-16.42468,112.27437,9.77178,-5.99509,131.87359,11.77306,6.08228,92.15314,-0.44458,12.70315,56.1773,13.31171,22.92184,16.62244,16.59715,20.04403,8.48739,24.57855,-5.72916,91.3256,-5.66181,-7.63982,52.3067,-4.56231,3.58484,16.74993,-21.57777,-3.26334,8.56275,-16.65473
0.53333,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.41747,109.58666,-2.46397,-2.13658,118.54534,-2.12929,-3.11059,134.8787,-1.43017,-3.03642,141.33253,-1.60824,1.93641,131.7444,-0.42397,6.80833,132.26969,1.71858,13.08081,115.23144,17.91224,3.08224,135.14785,18.44186,-7.62166,131.29316,-3.19106,-12.9377,131.65252,-3.65268,-16.01761,112.33441,10.81176,-5.44757,131.91924,12.0844,6.23196,92.20974,-0.78997,13.25757,56.11345,12.43996,23.23676,16.60592,16.84151,20.40904,8.47436,24.84435,-5.83697,91.27385,-5.3594,-7.27699,52.2293,-4.4743,4.0117,16.64273,-21.38478,-2.87094,8.53451,-16.3798
