time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.12544,108.80612,3.7579,-2.13795,117.6381,2.37657,-2.32874,133.99413,1.5642,-2.65786,140.44187,1.65092,2.6935,130.68217,1.90555,8.01991,130.7855,2.3754,11.09744,106.66685,1.53841,15.57451,86.35963,9.56886,-7.23138,130.52546,1.07532,-12.56287,130.45296,0.66001,-16.62553,106.51425,-0.86588,-23.74763,86.53193,5.982,2.54646,90.61126,3.98143,3.38058,51.55001,3.05646,6.10973,11.91731,-7.02342,4.32931,4.31621,1.7639,-10.34861,91.181,3.08292,-8.04092,52.16827,3.20581,-6.33996,11.73958,-3.30811,-5.54497,4.2464,5.71319
0.03333,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.09797,108.80535,3.71873,-2.15116,117.64003,2.32623,-2.41101,133.99342,1.48053,-2.77129,140.43962,1.55759,2.62545,130.703,1.82086,7.95361,130.80285,2.27115,10.99322,106.68244,1.35059,15.68643,86.49731,9.56336,-7.29998,130.50347,1.00644,-12.63136,130.40699,0.59471,-16.63695,106.46605,-1.04295,-23.82886,86.53197,5.87223,2.54181,90.60119,3.99206,3.33767,51.53921,3.06434,6.07085,11.94691,-7.17201,4.287,4.3469,1.61556,-10.35161,91.19129,3.0832,-8.06561,52.17723,3.19029,-6.38323,11.77036,-3.4623,-5.58884,4.27722,5.55908
0.06667,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.04157,108.80321,3.65749,-2.17224,117.64277,2.24556,-2.51526,133.99168,1.34471,-2.90119,140.43656,1.40611,2.53841,130.72717,1.67928,7.87042,130.78741,2.08926,10.84747,106.6703,0.91326,16.00097,86.83255,9.67801,-7.3886,130.4762,0.8991,-12.7204,130.34657,0.50221,-16.70513,106.41151,-1.26694,-24.02975,86.53601,5.67752,2.53254,90.58012,4.00621,3.3009,51.51534,3.17836,6.10349,12.00197,-7.34028,4.31539,4.40252,1.44691,-10.35806,91.21296,3.08612,-8.05148,52.20021,3.22615,-6.35945,11.82853,-3.6344,-5.56495,4.33541,5.38699
0.1,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-2.95619,108.79911,3.58427,-2.2115,117.64505,2.14143,-2.6647,133.98695,1.16528,-3.07052,140.43078,1.20645,2.41164,130.75654,1.48736,7.74854,130.73811,1.83276,10.64801,106.63912,0.18584,16.66007,87.6076,10.11417,-7.51768,130.43822,0.7632,-12.85056,130.26899,0.39683,-16.86429,106.34866,-1.50132,-24.35326,86.52151,5.40596,2.51865,90.54783,4.02056,3.25183,51.47832,3.4139,6.17263,12.08908,-7.5296,4.37932,4.48865,1.25567,-10.36796,91.24639,3.09217,-7.99936,52.23793,3.3444,-6.30506,11.92034,-3.82666,-5.5089,4.42716,5.19453
0.13333,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-2.85965,108.79344,3.48891,-2.27782,117.64532,2.00804,-2.86293,133.97774,0.94718,-3.27869,140.42103,0.96774,2.24013,130.78788,1.25064,7.58019,130.66125,1.51481,10.44895,106.60908,-0.75332,17.84582,89.19551,11.0352,-7.69132,130.39003,0.59861,-13.02592,130.18145,0.28076,-17.1253,106.28489,-1.73034,-24.78925,86.48575,5.06443,2.50336,90.5118,4.03009,3.19505,51.43824,3.69769,6.24874,12.19905,-7.73752,4.44967,4.59435,1.04288,-10.37958,91.284,3.10922,-7.92312,52.28208,3.49739,-6.24329,12.03121,-4.04238,-5.44355,4.53811,4.97856
0.16667,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-2.78407,108.78756,3.3576,-2.37455,117.64414,1.84747,-3.08526,133.96682,0.71569,-3.49119,140.41077,0.72033,2.04276,130.81521,0.99728,7.38231,130.57105,1.17522,10.35296,106.60019,-1.73231,19.62221,92.06231,12.39732,-7.88995,130.34288,0.41823,-13.22686,130.10619,0.16556,-17.46892,106.24272,-1.94041,-25.31204,86.44805,4.66015,2.49241,90.48511,4.03005,3.16415,51.40998,3.90593,6.33022,12.30621,-7.95468,4.52532,4.69268,0.81688,-10.38969,91.31232,3.14585,-7.83806,52.31744,3.6168,-6.1784,12.13459,-4.28175,-5.37352,4.64146,4.73872
0.2,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-2.75881,108.7832,3.20533,-2.50063,117.645,1.69236,-3.29868,133.96129,0.52714,-3.66568,140.40756,0.52022,1.84642,130.83574,0.78687,7.18318,130.49951,0.87621,10.59301,106.64283,-2.45738,21.92837,96.7259,13.97671,-8.08694,130.31294,0.26526,-13.42645,130.06881,0.08488,-17.86993,106.24934,-2.10229,-25.89878,86.43327,4.20423,2.49069,90.47863,4.017,3.19235,51.40388,3.95801,6.42277,12.38513,-8.16243,4.61075,4.75749,0.59538,-10.39501,91.32002,3.20133,-7.75225,52.331,3.65547,-6.1066,12.20436,-4.52671,-5.29502,4.71126,4.49317
0.23333,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-2.79803,108.78211,3.06922,-2.65169,117.65153,1.58629,-3.47712,133.96747,0.43537,-3.77263,140.41739,0.41328,1.67332,130.84909,0.67468,7.00935,130.49026,0.66776,11.60057,106.81105,-2.50969,24.46917,103.1801,15.32653,-8.26108,130.31247,0.18789,-13.60303,130.08472,0.06877,-18.3131,106.32306,-2.18826,-26.53799,86.45746,3.69561,2.50008,90.49669,3.9894,3.2976,51.42402,3.83706,6.53718,12.42844,-8.35527,4.7153,4.78092,0.38314,-10.39347,91.30227,3.26687,-7.66885,52.31768,3.60211,-6.02252,12.22947,-4.76614,-5.20172,4.73634,4.25289
0.26667,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-2.89794,108.78528,2.9832,-2.81961,117.66511,1.55853,-3.60392,133.98726,0.46857,-3.79957,140.44082,0.41797,1.53867,130.85441,0.68672,6.87795,130.56855,0.5753,13.77602,107.34387,-1.64087,26.8325,110.94476,16.06442,-8.39802,130.34586,0.2169,-13.74215,130.15687,0.13297,-18.79094,106.47119,-2.18938,-27.22436,86.53016,3.11568,2.5192,90.53706,3.94783,3.45129,51.46802,3.67718,6.67849,12.48541,-8.55984,4.84119,4.81335,0.15379,-10.38475,91.26101,3.33241,-7.54737,52.28452,3.67409,-5.92225,12.26101,-5.00235,-5.08963,4.76783,4.01555
0.3,0.0,0.0,0.0,-3.80622,93.0864,3.55978,-3.03784,108.79279,2.9844,-2.99234,117.68535,1.63996,-3.68017,134.01863,0.65679,-3.76357,140.4741,0.56037,1.44381,130.85382,0.84976,6.7862,130.72542,0.63895,17.16502,108.72748,0.13695,28.68514,119.2215,16.07677,-8.49615,130.4076,0.38597,-13.84208,130.27313,0.31215,-19.28233,106.68283,-2.09561,-27.93061,86.65367,2.48159,2.54382,90.5915,3.89609,3.64838,51.5288,3.4293,6.83225,12.53143,-8.772,4.97252,4.83191,-0.0874,-10.37038,91.20448,3.3838,-7.44859,52.23393,3.68937,-5.82721,12.27342,-5.27342,-4.98169,4.78026,3.7433
