time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,-0.00015,0.04083,93.9915,0.06381,-0.6939,109.65712,1.35257,-0.22201,118.44175,3.22198,0.35949,134.25784,7.43256,0.421,140.68936,7.99913,5.2059,130.71545,6.91067,10.39344,129.41506,6.93284,16.35462,106.60526,0.92802,24.09464,90.34523,14.06647,-4.66406,131.38784,5.74927,-9.82397,130.97546,4.40471,-15.675,111.95158,-9.58647,-27.26794,92.98254,-11.22661,6.60031,92.08817,0.16943,3.11901,54.41328,9.958,2.82895,20.33041,-12.80329,2.43855,12.06231,-4.45765,-6.31391,91.52937,-0.40095,-6.40475,56.0974,16.08843,-7.33622,30.74075,-16.09815,-8.22721,19.02936,-15.63667
0.03333,0.0,0.0,8.70322,0.04083,93.9915,8.76717,-0.44568,109.66611,10.06418,0.09533,118.47229,11.80934,0.35504,134.41318,15.55588,0.46732,140.84321,16.13146,5.20152,130.83415,15.65949,10.35344,129.53048,16.2597,17.2716,106.66249,11.66895,23.42441,92.75166,27.96457,-4.48609,131.5129,13.44441,-9.49508,131.13378,11.60897,-13.83832,112.72598,-3.69411,-26.00367,94.46961,-7.64638,6.55905,91.96897,9.05496,3.33864,53.16528,12.40679,3.27629,19.95095,-11.60587,2.85982,10.88354,-4.1378,-6.34182,91.64606,8.11795,-5.79894,57.79831,27.64658,-6.47987,26.94967,0.67064,-7.44475,15.53004,3.28303
0.06667,0.0,0.0,17.4206,0.04083,93.9915,17.48455,-0.18077,109.67146,18.78915,0.46031,118.50837,20.33354,0.47634,134.58615,23.45133,0.62972,141.01666,24.01198,5.27682,131.00584,24.11864,10.35064,129.72654,25.22402,18.20786,106.96979,21.72041,22.87345,95.50803,40.2616,-4.17802,131.61188,21.04361,-9.03812,131.25161,18.84085,-11.99678,113.19997,2.8009,-24.47309,95.6652,-3.01155,6.51318,91.84795,17.90225,3.70883,52.96817,15.10378,3.41383,20.04969,-9.31117,3.11408,9.72625,-3.69866,-6.36977,91.7656,16.70332,-5.09322,58.54167,37.24288,-5.24683,22.61157,17.52468,-6.22941,11.91229,22.2916
0.1,0.0,0.0,26.1499,0.04083,93.9915,26.21385,-0.03134,109.66437,27.61677,0.72671,118.52643,28.9496,0.65665,134.70134,31.51538,0.83765,141.13441,32.03703,5.40152,131.13301,32.5458,10.40066,129.88817,33.98143,18.78831,107.17714,31.58617,22.18364,97.96316,51.59841,-3.88355,131.65902,28.97817,-8.63843,131.30189,26.55618,-10.58875,113.46408,10.12742,-23.10823,96.4755,2.94676,6.48886,91.78042,26.65511,4.1673,53.73257,18.03518,3.287,20.39414,-5.7887,3.1624,9.0417,-2.74399,-6.38709,91.83509,25.38165,-4.57045,58.40882,45.54885,-4.00011,18.97883,34.37952,-4.80597,9.36367,41.0924
0.13333,0.0,0.0,34.889,0.04083,93.9915,34.95295,-0.03058,109.65697,36.43629,0.81611,118.53395,37.60655,0.76284,134.75562,39.85828,0.95284,141.19166,40.33844,5.47325,131.19063,41.04629,10.43121,129.9787,42.64379,18.93543,107.23666,41.10806,21.43886,99.71493,61.94245,-3.74122,131.68135,37.29531,-8.43827,131.31087,34.76491,-9.88469,113.57774,18.17156,-22.24202,96.85671,10.13325,6.4922,91.78127,35.34713,4.64882,55.70834,20.42474,3.26519,21.35109,-1.87926,3.19076,9.62356,-1.08996,-6.39064,91.83631,34.14542,-4.24553,57.92852,53.45845,-2.98373,17.0808,50.34804,-3.29899,8.77087,58.65522
0.16667,0.0,0.0,43.6358,0.04083,93.9915,43.69975,-0.11721,109.65719,45.17397,0.7399,118.54548,46.24679,0.67752,134.78502,48.36558,0.85991,141.22416,48.80547,5.38973,131.23245,49.5833,10.33894,130.05567,51.23335,18.60609,107.20705,50.01857,20.68781,100.30223,71.11134,-3.82454,131.6874,45.82734,-8.50434,131.27153,43.27214,-9.9216,113.44643,26.77509,-21.99676,96.65053,18.46853,6.50984,91.82315,44.03268,4.82192,57.64005,25.16476,3.25447,23.51509,2.51893,3.13822,11.77924,1.87105,-6.38414,91.79436,42.95601,-4.15278,57.29174,61.17474,-2.46797,16.44788,64.13171,-2.17713,9.23536,73.40848
0.2,0.0,0.0,52.3882,0.04083,93.9915,52.45215,-0.1665,109.65962,53.89407,0.62053,118.5608,54.91235,0.4866,134.80076,57.02463,0.64227,141.24307,57.42658,5.23709,131.27809,58.17886,10.20734,130.13704,59.7903,17.96967,107.11846,58.45902,20.02818,99.82714,79.42363,-4.03071,131.67396,54.55005,-8.73092,131.17868,52.04702,-10.64266,113.01601,35.97349,-22.41895,95.84287,28.01655,6.52124,91.84969,52.73057,4.7496,57.90501,33.44451,3.23619,25.82435,7.98191,3.09456,14.18156,6.3729,-6.38181,91.76715,51.77193,-4.16998,57.04632,69.57373,-2.3805,16.44608,74.88608,-1.75731,9.71899,84.50489
0.23333,0.0,0.0,61.1441,0.04083,93.9915,61.20805,-0.0784,109.6685,62.56077,0.58483,118.582,63.55908,0.31728,134.81435,65.71667,0.42302,141.2604,66.07236,5.13555,131.3442,66.7418,10.15364,130.23567,68.22234,17.27962,107.05492,66.28479,19.77243,98.33481,86.64802,-4.22463,131.64129,63.34829,-8.96837,131.03003,60.95544,-11.86495,112.24796,45.76534,-23.42162,94.50799,38.79053,6.51284,91.81955,61.44546,4.66735,56.27564,45.30368,3.46946,28.36929,15.31028,3.34297,16.84107,13.01953,-6.39795,91.79482,60.59369,-4.15078,57.41326,79.03796,-2.51106,16.58893,82.27644,-1.88728,9.80983,91.85863
0.26667,0.0,0.0,69.9015,0.04083,93.9915,69.96545,0.22945,109.68277,71.13191,0.74191,118.59688,72.21041,0.29585,134.80005,74.55014,0.34388,141.24862,74.8709,5.2008,131.39731,75.36949,10.28307,130.30214,76.62379,16.87928,107.09873,73.46586,20.34208,95.99657,92.48339,-4.27592,131.57888,72.30749,-9.07084,130.84468,70.05532,-13.32744,111.23976,56.2922,-24.85138,92.90138,51.0183,6.47209,91.69951,70.18067,4.87078,54.30101,58.95031,4.14748,31.21373,25.09389,4.09114,19.74539,22.51754,-6.44299,91.91088,69.42519,-3.72502,58.36275,89.2864,-2.09687,17.48367,86.82617,-1.85535,10.4007,96.20363
0.3,0.0,0.0,78.6581,0.04083,93.9915,78.72205,0.70918,109.67444,79.82247,1.06747,118.56677,81.12062,0.46533,134.68206,83.97558,0.45339,141.13148,84.28243,5.45891,131.3447,84.46012,10.6156,130.28842,85.40609,16.91562,107.30727,80.50129,21.84704,93.41684,97.22411,-4.15348,131.44811,81.8508,-9.00493,130.62716,79.7551,-14.77899,110.10785,68.02848,-26.43431,91.27964,65.46664,6.40138,91.5076,78.90703,5.19354,52.80333,73.62946,5.19527,33.22413,37.6231,5.27371,21.7265,35.18136,-6.50597,92.10511,78.23043,-2.93794,59.05823,98.78536,-1.0416,19.19354,89.45726,-1.20041,11.86037,98.6422
