time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,0.05601,109.6597,-3.00172,0.15346,118.65163,-3.15311,0.57792,135.00292,-3.97221,0.68488,141.35387,-5.13119,5.30722,131.43631,-5.07746,10.6385,131.38575,-4.65676,7.51217,112.26275,10.05437,-2.71531,100.8896,26.27059,-4.42855,131.79327,-3.00274,-9.1422,131.84229,-0.47655,-4.22471,113.89414,15.19436,3.52745,102.53035,32.73515,6.27107,91.70911,-4.55825,11.60849,53.00113,-5.29034,-1.75354,20.66631,-26.63791,5.47058,13.15919,-21.19558,-6.28668,91.75412,-1.44127,-5.44091,61.47676,23.25488,-4.75296,20.618,20.10979,-5.24486,13.12719,29.15464
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.04594,109.65973,-3.0116,0.13935,118.65161,-3.16807,0.56272,135.00258,-3.99422,0.67012,141.35365,-5.15251,5.29199,131.43576,-5.0989,10.62321,131.38355,-4.67757,7.47622,112.25074,10.01639,-2.76369,100.86368,26.21499,-4.44338,131.79305,-3.02237,-9.15659,131.84129,-0.49535,-4.26388,113.86254,15.14822,3.47206,102.46383,32.67351,6.2717,91.71215,-4.56001,11.57708,53.00003,-5.30676,-1.78569,20.65213,-26.63403,5.44253,13.153,-21.18614,-6.28451,91.75108,-1.43676,-5.44873,61.47168,23.25723,-4.79021,20.61159,20.12313,-5.2821,13.12071,29.16792
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.04821,109.65971,-3.02265,0.14165,118.6515,-3.18438,0.56063,135.00229,-4.01631,0.66765,141.35274,-5.17798,5.29088,131.43635,-5.11968,10.62198,131.38221,-4.69718,7.45797,112.24199,9.98348,-2.78911,100.83565,26.16397,-4.44461,131.79176,-3.04338,-9.15734,131.83329,-0.51533,-4.27932,113.83991,15.11599,3.44701,102.42096,32.63234,6.27041,91.71015,-4.56236,11.55302,52.99527,-5.32718,-1.80615,20.6325,-26.63414,5.42857,13.14059,-21.18496,-6.28385,91.75309,-1.43133,-5.43508,61.46005,23.24549,-4.80344,20.59835,20.12699,-5.29207,13.1075,29.17199
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,0.04968,109.6597,-3.02668,0.14312,118.65145,-3.19026,0.55919,135.00223,-4.02385,0.66517,141.3517,-5.19102,5.29016,131.43704,-5.12654,10.62117,131.38623,-4.70248,7.46473,112.21828,9.9436,-2.79918,100.8071,26.10999,-4.44553,131.7909,-3.05092,-9.15648,131.83412,-0.51959,-4.29332,113.80691,15.07735,3.41882,102.36901,32.58759,6.26909,91.70916,-4.56625,11.53663,52.99248,-5.34385,-1.81976,20.62099,-26.6393,5.41274,13.12909,-21.18715,-6.28294,91.75408,-1.42632,-5.43035,61.44991,23.2367,-4.81358,20.58705,20.13039,-5.30527,13.09623,29.17525
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.05013,109.65967,-3.03909,0.14522,118.65129,-3.20886,0.5694,135.00146,-4.05027,0.67253,141.35019,-5.2217,5.29823,131.43334,-5.15264,10.62931,131.38003,-4.72982,7.44698,112.20794,9.90522,-2.82445,100.77537,26.05173,-4.43669,131.79315,-3.07438,-9.14667,131.8375,-0.54128,-4.28444,113.79283,15.03576,3.41255,102.30796,32.52189,6.26819,91.70774,-4.56785,11.51907,52.98893,-5.35194,-1.83804,20.61428,-26.64214,5.39799,13.12413,-21.19227,-6.28216,91.75551,-1.42126,-5.42945,61.44405,23.2328,-4.82346,20.58083,20.12906,-5.31386,13.08996,29.17394
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.05305,109.65962,-3.05335,0.15102,118.6511,-3.22882,0.58447,135.00095,-4.07169,0.69001,141.3482,-5.25089,5.31015,131.42986,-5.17796,10.64118,131.37087,-4.7553,7.46144,112.17582,9.85018,-2.81764,100.73855,25.98849,-4.42272,131.79577,-3.09121,-9.1312,131.84582,-0.55543,-4.27386,113.79104,15.01142,3.40755,102.25153,32.46841,6.26748,91.70515,-4.56703,11.52019,52.98667,-5.35492,-1.83458,20.60782,-26.64019,5.39444,13.11294,-21.18753,-6.28226,91.75811,-1.4181,-5.44934,61.43544,23.22284,-4.83634,20.57169,20.12739,-5.32615,13.0808,29.17228
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,0.05866,109.65959,-3.05536,0.16003,118.65102,-3.23188,0.60031,135.0006,-4.07639,0.70693,141.34639,-5.26332,5.3245,131.42743,-5.1823,10.65554,131.36577,-4.76007,7.45748,112.15745,9.82394,-2.81646,100.69892,25.95043,-4.40822,131.7976,-3.09559,-9.1142,131.85047,-0.55523,-4.25903,113.77912,14.99305,3.42056,102.19519,32.4214,6.2672,91.70272,-4.5647,11.50663,52.98226,-5.34357,-1.85438,20.61221,-26.63831,5.3791,13.12284,-21.18398,-6.28355,91.76054,-1.41987,-5.46454,61.44514,23.23048,-4.84627,20.58114,20.13946,-5.34143,13.09031,29.18412
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.0638,109.65957,-3.05713,0.16818,118.65093,-3.23517,0.61418,135.00012,-4.08429,0.7252,141.34404,-5.28075,5.3374,131.42502,-5.18811,10.66844,131.36385,-4.76581,7.43409,112.16474,9.82234,-2.82282,100.66058,25.92716,-4.39565,131.7991,-3.10368,-9.1002,131.84768,-0.56059,-4.24896,113.75951,14.96934,3.42375,102.15674,32.38819,6.2673,91.70051,-4.56117,11.48841,52.97719,-5.32075,-1.86063,20.60789,-26.62414,5.36679,13.11425,-21.16765,-6.28508,91.76276,-1.42291,-5.48031,61.43902,23.21764,-4.86242,20.57311,20.15184,-5.35513,13.08228,29.19663
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.06399,109.65954,-3.06395,0.16858,118.65085,-3.24419,0.61504,135.00014,-4.09113,0.72681,141.34274,-5.29454,5.33825,131.42508,-5.19512,10.66896,131.36521,-4.76856,7.43497,112.15174,9.80074,-2.82707,100.63975,25.89671,-4.39493,131.79912,-3.11126,-9.09891,131.8491,-0.56713,-4.26143,113.73304,14.93455,3.40845,102.12561,32.35155,6.26793,91.69977,-4.55755,11.47931,52.97464,-5.29155,-1.88699,20.61745,-26.60251,5.34497,13.12567,-21.14949,-6.28577,91.76352,-1.42463,-5.49327,61.4497,23.22853,-4.87484,20.58311,20.17196,-5.3689,13.09225,29.21665
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,0.06354,109.65955,-3.06086,0.16891,118.65092,-3.23822,0.62036,135.00054,-4.07599,0.73087,141.34188,-5.28616,5.34284,131.42471,-5.18063,10.67344,131.36394,-4.75283,7.42559,112.15225,9.81575,-2.84619,100.62097,25.89168,-4.39082,131.80043,-3.09931,-9.09453,131.85143,-0.55471,-4.25881,113.73107,14.94249,3.40741,102.10219,32.34678,6.26962,91.70027,-4.55149,11.47424,52.97428,-5.28774,-1.90336,20.61699,-26.59145,5.32688,13.12979,-21.12986,-6.28732,91.76301,-1.43155,-5.51679,61.4573,23.23227,-4.89648,20.58889,20.20053,-5.38876,13.09805,29.24534
