time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.04083,93.9915,0.06395,0.97261,109.69456,0.46156,1.40937,118.66084,1.01122,1.88168,134.86926,3.30902,1.75832,141.31925,3.0413,6.76471,131.4055,2.62565,12.01793,130.45981,2.2919,8.55369,109.48308,-9.5342,5.3795,90.26262,-20.36998,-3.19137,131.70488,2.56248,-8.4598,130.96048,2.02203,-9.50615,110.377,-10.90548,-6.41595,90.0921,-19.61667,6.36909,91.42059,-0.00037,3.77673,52.97548,6.52537,0.38766,12.25937,3.28251,-0.97082,4.66952,12.1545,-6.54709,92.18652,0.01748,-8.60896,54.98831,11.82317,-10.81515,17.83174,-5.33275,-13.11467,7.89987,0.51821
0.03333,0.0,0.0,-4.0,0.04083,93.9915,-3.93605,0.88756,109.70186,-3.65344,1.31046,118.67613,-3.24007,1.79696,134.91718,-1.18888,1.71435,141.36646,-1.48749,6.67941,131.42878,-1.73784,11.93298,130.46021,-1.99055,8.61109,109.26466,-13.46202,5.56754,89.84158,-23.96898,-3.2733,131.75638,-1.9688,-8.53316,131.00932,-2.58391,-9.39153,110.18575,-15.1353,-6.17305,89.75215,-23.44316,6.38079,91.45161,-3.81555,3.74312,53.36236,4.52612,0.53681,12.55303,2.49591,-0.98162,4.99386,11.36816,-6.53509,92.15346,-4.13529,-9.11551,54.0259,4.04781,-10.66792,18.92574,-17.05603,-11.90171,8.19797,-12.41317
0.06667,0.0,0.0,-8.0,0.04083,93.9915,-7.93605,0.81937,109.70637,-7.71456,1.25267,118.68476,-7.41818,1.79808,134.94894,-5.57562,1.76029,141.3982,-5.88367,6.66878,131.42892,-6.0165,11.92233,130.44593,-6.20631,8.6601,109.12326,-17.4572,5.67104,89.58526,-27.76483,-3.27838,131.80375,-6.37798,-8.53271,131.06672,-7.04977,-9.31204,110.09449,-19.35641,-6.00997,89.55384,-27.36198,6.38642,91.47786,-7.66087,3.7474,53.84432,2.54131,0.79982,12.96925,1.95596,-0.87637,5.44186,10.82684,-6.52171,92.12595,-8.27294,-9.10676,53.3772,-3.89294,-9.75059,19.98138,-27.64388,-9.30276,8.75162,-24.20068
0.1,0.0,0.0,-12.0,0.04083,93.9915,-11.93605,0.75948,109.70907,-11.70385,1.22362,118.68739,-11.45599,1.86431,134.95666,-9.69066,1.87895,141.4072,-9.97264,6.71442,131.40015,-10.05985,11.96488,130.39276,-10.20103,8.70232,109.11814,-21.54241,5.72119,89.44588,-31.5938,-3.22526,131.84321,-10.53283,-8.47605,131.13661,-11.26247,-9.23721,110.12869,-23.50922,-5.93012,89.53585,-31.37746,6.38927,91.50045,-11.54543,3.82897,54.38608,0.4254,1.20458,13.50885,1.82817,-0.63722,6.03383,10.71049,-6.50788,92.10261,-12.39137,-8.53919,53.08203,-11.61666,-8.1627,20.53062,-36.5178,-5.91573,9.22407,-34.22071
0.13333,0.0,0.0,-16.0,0.04083,93.9915,-15.93605,0.6995,109.71036,-15.62623,1.17756,118.68633,-15.32542,1.89166,134.93765,-13.42786,1.95971,141.39088,-13.62885,6.72518,131.35626,-13.77328,11.97088,130.31955,-13.87311,8.73757,108.99202,-25.12313,5.77497,89.4499,-35.4306,-3.20625,131.86003,-14.34772,-8.4532,131.19039,-15.13738,-9.18542,110.25453,-27.50869,-5.87416,89.68764,-35.44275,6.39149,91.52117,-15.45945,4.0171,54.92381,-1.95656,1.73826,14.21964,2.26019,-0.31695,6.82711,11.16469,-6.49338,92.08154,-16.49898,-7.52241,53.06961,-18.58287,-6.13055,20.27864,-43.13116,-2.91731,9.09802,-41.44818
0.16667,0.0,0.0,-20.0,0.04083,93.9915,-19.93605,0.64015,109.70907,-19.47665,1.08016,118.68011,-19.01409,1.77965,134.88351,-16.73891,1.88868,141.33912,-16.78925,6.61531,131.30793,-17.11333,11.85873,130.25663,-17.17085,8.74568,109.08109,-28.73746,5.89326,89.67852,-39.33554,-3.3091,131.83084,-17.78403,-8.54924,131.17753,-18.63057,-9.16617,110.42083,-31.30631,-5.73301,89.98851,-39.53093,6.39236,91.53828,-19.38796,4.3741,55.30088,-4.89281,2.46637,15.20402,3.37794,0.08938,7.91126,12.28463,-6.47771,92.06478,-20.61216,-6.38709,53.13766,-24.07677,-3.87534,19.42728,-47.25229,-0.97639,8.29469,-44.83874
0.2,0.0,0.0,-24.0,0.04083,93.9915,-23.93605,0.59485,109.70411,-23.28857,0.95128,118.66179,-22.56742,1.53341,134.77647,-19.70488,1.66342,141.22977,-19.53991,6.39296,131.24127,-20.14725,11.63763,130.19466,-20.15661,8.76939,109.32941,-32.33426,6.14129,90.21115,-43.49226,-3.52528,131.73741,-20.92158,-8.75206,131.06393,-21.83245,-9.1577,110.62014,-35.01511,-5.4848,90.43624,-43.73466,6.38934,91.54657,-23.32009,4.98006,55.78472,-7.6218,3.63333,16.79724,4.94664,0.6797,9.65634,13.80368,-6.46206,92.05787,-24.73244,-5.51027,53.07091,-27.2708,-1.88949,18.75683,-49.3895,-0.00135,8.04234,-44.94
0.23333,0.0,0.0,-28.0,0.04083,93.9915,-27.93605,0.58912,109.69783,-27.14685,0.86556,118.62929,-26.12713,1.28729,134.62053,-22.61742,1.42519,141.06323,-22.21501,6.1785,131.13814,-23.12485,11.42246,130.08928,-23.07109,8.85433,109.6967,-36.08755,6.50121,91.01153,-48.01409,-3.73017,131.59887,-24.03204,-8.9346,130.88214,-25.03339,-9.12018,110.85025,-38.83862,-5.24321,90.9601,-48.12636,6.38095,91.53979,-27.26332,5.90744,56.6009,-9.75953,5.48755,18.81338,6.10647,1.51539,12.05618,14.86579,-6.45209,92.0664,-28.8287,-4.87232,53.01955,-28.405,-0.55065,18.58006,-50.2006,0.63115,8.77011,-43.83413
0.26667,0.0,0.0,-32.0,0.04083,93.9915,-31.93605,0.61093,109.69606,-31.12734,0.86097,118.59829,-29.87238,1.16102,134.48032,-25.88652,1.306,140.90905,-25.30369,6.07363,131.03101,-26.41287,11.30913,129.94782,-26.27757,8.93459,109.96932,-39.9561,6.75885,91.66357,-52.48929,-3.81998,131.48474,-27.47481,-8.99717,130.73008,-28.58376,-9.08339,111.00985,-42.83157,-5.1875,91.30922,-52.50722,6.37485,91.52915,-31.24495,6.90116,57.26358,-12.45863,7.49786,20.30131,5.2399,2.69905,13.9635,13.89825,-6.45206,92.07754,-32.8525,-4.38011,53.21825,-29.24759,0.16037,18.37851,-50.35159,1.0915,9.37813,-42.84894
0.3,0.0,0.0,-36.0,0.04083,93.9915,-35.93605,0.58912,109.70052,-35.20233,0.87746,118.5836,-33.82579,1.15602,134.39768,-29.57689,1.32129,140.81511,-28.88516,6.06894,130.94859,-30.10181,11.29041,129.80976,-29.89824,8.91111,110.03069,-43.86277,6.73101,91.90768,-56.65804,-3.8107,131.4375,-31.27262,-8.9701,130.68191,-32.46095,-9.16574,111.09618,-46.89204,-5.41175,91.41695,-56.66683,6.3849,91.54356,-35.28718,7.64896,57.59198,-15.97333,9.04529,20.33932,1.05878,4.55695,14.3232,10.10447,-6.45603,92.06188,-36.78938,-3.97524,53.4639,-31.18811,0.5227,17.48967,-50.30423,1.35867,8.99013,-42.22818
0.33333,0.0,0.0,-40.0,0.04083,93.9915,-39.93605,0.46856,109.71133,-39.37372,0.81764,118.59739,-38.03089,1.18619,134.4294,-33.85624,1.39202,140.84704,-33.17747,6.07983,130.95136,-34.37013,11.29297,129.77957,-34.14163,8.75935,109.96823,-48.03309,6.43783,91.81558,-60.7613,-3.79826,131.48825,-35.53298,-8.96308,130.76171,-36.71588,-9.37159,111.10811,-51.04992,-5.74992,91.31926,-60.65178,6.41421,91.60271,-39.35788,8.1996,57.12017,-21.05216,10.18345,18.96949,-6.20654,7.56285,13.38548,3.79921,-6.45175,91.99972,-40.67091,-3.63596,53.50784,-34.52449,0.76578,16.13681,-50.76746,1.55149,7.93039,-42.38886
0.36667,0.0,0.0,-44.0,0.04083,93.9915,-43.93605,0.27345,109.7212,-43.56901,0.65038,118.62454,-42.35427,1.1491,134.52654,-38.46923,1.4034,140.95132,-37.88034,6.01916,131.0162,-38.98746,11.23715,129.86039,-38.79057,8.52864,109.9289,-52.47562,6.04689,91.66622,-65.01479,-3.87139,131.58014,-40.02486,-9.05888,130.88785,-41.12628,-9.64438,111.06272,-55.21587,-6.0,91.14171,-64.53162,6.45325,91.69164,-43.4339,8.61677,57.00093,-25.56755,11.09618,17.29211,-15.72556,11.08239,11.61736,-5.43184,-6.43641,91.90805,-44.54047,-3.43951,53.31299,-39.17642,0.85475,14.51561,-51.67144,1.63198,6.49261,-43.11627
0.4,0.0,0.0,-48.0,0.04083,93.9915,-47.93605,0.0559,109.72597,-47.73964,0.41018,118.65101,-46.6883,0.98003,134.64084,-43.19309,1.27027,141.07462,-42.73327,5.8401,131.11846,-43.72331,11.07043,130.01025,-43.59096,8.26152,109.94498,-57.05856,5.68776,91.55974,-69.3985,-4.06911,131.659,-44.57923,-9.28095,130.97594,-45.56545,-9.91048,110.92761,-59.33366,-6.1449,90.89559,-68.35859,6.49314,91.78751,-47.52287,8.92226,56.95013,-29.97896,11.72189,16.15603,-27.18492,13.42971,9.70756,-17.5069,-6.41568,91.81084,-48.40396,-3.31497,53.07686,-44.23304,0.76218,13.19927,-52.77455,1.56329,5.30642,-44.10132
0.43333,0.0,0.0,-52.0,0.04083,93.9915,-51.93605,-0.14063,109.72602,-51.87208,0.16321,118.67235,-51.00142,0.71338,134.74563,-47.90903,1.01492,141.18702,-47.58225,5.58139,131.2354,-48.44691,10.82259,130.1734,-48.38303,7.99263,110.08965,-61.81861,5.37442,91.3952,-73.67518,-4.34519,131.7058,-49.12425,-9.57344,130.9978,-49.99983,-10.15307,110.68721,-63.3804,-6.29491,90.53816,-72.10057,6.52777,91.87245,-51.63631,9.11273,56.55959,-35.09388,11.89733,15.96186,-39.97997,14.25868,8.37051,-31.32209,-6.39555,91.72589,-52.2536,-3.23135,52.93202,-48.73853,0.59326,12.45812,-53.93842,1.42141,4.6732,-45.17071
0.46667,0.0,0.0,-56.0,0.04083,93.9915,-55.93605,-0.26812,109.72407,-55.99071,-0.01722,118.68937,-55.32168,0.45328,134.83696,-52.62909,0.73961,141.28405,-52.4236,5.34009,131.35182,-53.15973,10.58801,130.32162,-53.16119,7.73901,109.92765,-66.11688,5.12043,91.04685,-77.67429,-4.59943,131.72999,-53.68896,-9.83429,130.97556,-54.48243,-10.35456,110.3601,-67.39085,-6.47281,90.05489,-75.73001,6.54984,91.92702,-55.75914,9.26561,55.8331,-41.02191,11.61368,16.81255,-53.338,13.89928,7.8503,-46.08419,-6.38209,91.67186,-56.09772,-3.17266,52.92004,-52.18265,0.47792,12.20591,-55.15519,1.32609,4.52226,-46.30048
0.5,0.0,0.0,-60.0,0.04083,93.9915,-59.93605,-0.28708,109.7227,-60.1207,-0.08842,118.70289,-59.66922,0.26287,134.91742,-57.3929,0.50764,141.36872,-57.29253,5.17544,131.46401,-57.89212,10.42776,130.45823,-57.95144,7.57746,109.63128,-70.19867,4.96578,90.54729,-81.41902,-4.77259,131.73912,-58.31437,-10.00578,130.92555,-59.0589,-10.48807,109.97354,-71.41511,-6.6004,89.47822,-79.27251,6.55437,91.93502,-59.86339,9.40007,54.88848,-47.74775,10.90913,18.48882,-66.52513,12.46279,8.25002,-60.96485,-6.38134,91.66425,-59.95724,-3.14134,53.07371,-54.70321,0.37241,12.27333,-56.37229,1.25209,4.68792,-47.43634
0.53333,0.0,0.0,-64.0,0.04083,93.9915,-63.93605,-0.21412,109.72166,-64.2668,-0.0661,118.71109,-64.03147,0.14705,134.98165,-62.17694,0.33231,141.4357,-62.16355,5.08862,131.56206,-62.61941,10.34541,130.58245,-62.71228,7.52625,109.42893,-74.39396,4.94312,90.04645,-85.09734,-4.86405,131.73414,-62.98262,-10.09087,130.85819,-63.7006,-10.53454,109.59254,-75.51036,-6.58601,88.91825,-82.85162,6.54486,91.9039,-63.92455,9.34178,53.90578,-55.22673,9.90365,20.33208,-78.72766,10.02286,9.17537,-75.02939,-6.39216,91.69565,-63.85538,-3.12829,53.42038,-56.66625,0.20792,12.57856,-57.4527,1.14343,5.08552,-48.44478
0.56667,0.0,0.0,-68.0,0.04083,93.9915,-67.93605,-0.12153,109.71967,-68.39481,-0.00923,118.71256,-68.34422,0.08085,135.02163,-66.85363,0.20128,141.47696,-66.91256,5.04808,131.63095,-67.22567,10.31092,130.68458,-67.32029,7.54414,109.28921,-78.5659,5.00903,89.68412,-88.8678,-4.90599,131.71866,-67.58051,-10.12529,130.79284,-68.29064,-10.51586,109.30488,-79.69286,-6.46819,88.50248,-86.6057,6.53219,91.8648,-67.94234,8.79577,53.14493,-63.14854,8.59953,21.64391,-89.36782,7.12716,10.13618,-87.47894,-6.40528,91.73531,-67.80192,-3.12729,53.96676,-58.30858,-0.0262,13.09885,-58.29059,0.98512,5.70377,-49.2102
