time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.50089,109.62398,-2.06445,0.10231,118.25005,0.40824,3.59551,130.03928,11.22617,4.91429,135.01703,15.1213,6.86482,128.89528,6.2955,12.03289,129.32397,4.98809,7.93752,117.27289,-15.74546,19.3689,102.70601,-3.33397,-1.36967,126.6312,11.42232,-5.26698,124.72289,14.54831,-14.95926,104.84092,4.41607,-1.67005,100.02999,21.65448,4.60762,92.15503,-7.72237,11.20127,54.75565,1.50493,-0.94646,15.61211,1.36618,7.41581,8.12128,4.84805,-4.46804,91.31817,1.46167,12.07736,58.18261,13.93637,-9.92037,24.09195,8.12864,-9.71611,13.31033,12.8061
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.4299,109.63213,-2.17229,0.1921,118.26416,0.27485,3.61932,130.01488,11.15559,4.91791,134.98457,15.06776,6.93042,128.87456,6.25203,12.10981,129.28984,4.98574,7.79005,117.86921,-16.05683,19.25926,102.86512,-4.2141,-1.35705,126.62045,11.29722,-5.2881,124.72648,14.38951,-14.6235,104.46546,4.68194,-1.17441,100.65324,22.04569,4.62986,92.10107,-7.67991,10.53225,54.55047,1.40009,-2.4428,15.6732,1.30551,5.92353,8.18234,4.77756,-4.51006,91.36985,1.44926,13.2035,58.8336,13.89741,-5.93406,22.93728,8.89635,-4.24453,12.54874,14.12964
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.32619,109.63836,-2.24646,0.32595,118.27236,0.18579,3.68745,129.99216,11.12026,4.96454,134.96214,15.03914,7.05511,128.83354,6.2597,12.24649,129.20058,5.02807,7.68794,118.47729,-16.3287,19.04741,103.09791,-4.86778,-1.31268,126.63065,11.19371,-5.29173,124.77313,14.24647,-14.28034,104.20732,4.85776,-0.83903,101.4137,22.42016,4.6767,92.04683,-7.6114,9.80499,54.35921,1.37059,-3.88937,15.72945,1.27422,4.47859,8.23859,4.74234,-4.5858,91.42235,1.40141,13.75272,59.13558,13.59146,-1.41939,21.22953,10.02194,1.56643,11.51594,15.92911
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.16859,109.64414,-2.31858,0.5395,118.27624,0.10473,3.85142,129.93911,11.11494,5.10593,134.89909,15.05372,7.27785,128.76051,6.30047,12.48211,129.06747,5.10736,7.44014,119.02364,-16.46996,18.80666,103.49233,-5.22293,-1.1801,126.62395,11.10831,-5.20552,124.83261,14.13975,-14.00786,104.13702,4.86038,-0.63387,102.25101,22.59425,4.71603,91.97689,-7.54181,9.09207,54.15381,1.26711,-5.29365,15.77611,1.18826,3.07802,8.28526,4.64744,-4.66905,91.49069,1.35192,13.62278,59.01314,13.09721,3.52197,19.32335,11.51707,7.89836,10.36754,17.74639
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.00059,109.64825,-2.3971,0.77009,118.27974,0.00924,4.0492,129.90381,11.07018,5.29271,134.84599,15.03475,7.52209,128.70143,6.29505,12.73477,128.95535,5.12649,7.08751,119.30432,-16.48016,18.46491,103.8367,-5.1566,-1.0093,126.6307,11.00085,-5.08355,124.90301,14.00386,-13.84199,104.19159,4.71826,-0.57712,103.0693,22.59827,4.74184,91.90203,-7.48184,8.37381,53.94413,1.08198,-6.69234,15.8284,1.00848,1.68183,8.33753,4.46154,-4.74167,91.5644,1.31383,12.71452,58.40628,12.41132,8.62153,17.62834,12.86986,14.59995,9.61213,19.04744
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.15412,109.64875,-2.43101,0.98057,118.28031,-0.04346,4.24566,129.93546,10.98888,5.47603,134.87306,14.96324,7.74506,128.69327,6.24339,12.96013,128.89393,5.07513,6.79258,119.29062,-16.41018,18.09059,104.17092,-4.54996,-0.82987,126.68934,10.8987,-4.95073,125.02236,13.87228,-13.8237,104.38971,4.5203,-0.67551,103.74669,22.50981,4.76248,91.84381,-7.43303,7.82393,53.77828,0.87209,-8.06524,15.99846,0.71917,0.25276,8.43228,4.14367,-4.80543,91.62248,1.27448,11.35365,57.52396,11.44843,13.54424,16.66186,13.74908,21.03651,9.67723,19.51488
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,0.33397,109.64604,-2.43307,1.22839,118.27697,-0.06785,4.50813,130.01625,10.87054,5.7269,134.95774,14.84364,8.02452,128.70736,6.15563,13.24186,128.86191,4.99048,6.92083,119.07418,-16.36662,17.8516,104.46173,-3.56391,-0.58696,126.80079,10.78429,-4.74398,125.21917,13.75416,-13.98111,104.83305,4.21597,-0.84159,104.26311,22.21428,4.78131,91.78626,-7.38513,7.6682,53.66449,0.72218,-9.32912,16.37208,0.30891,-1.17755,8.59614,3.66307,-4.87437,91.68078,1.22714,10.31562,56.84196,10.32959,17.67614,16.70339,14.14021,26.16167,10.48584,19.38439
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.43994,109.64332,-2.43007,1.38353,118.27675,-0.09326,4.71935,130.11513,10.72067,5.9594,135.07854,14.65971,8.23996,128.72581,6.03199,13.46128,128.84035,4.88013,7.42857,118.65735,-16.37531,17.76187,104.68944,-2.4098,-0.39979,126.9376,10.65521,-4.58524,125.45848,13.63794,-14.39305,105.46002,3.85203,-1.09207,104.71183,21.72478,4.79295,91.75311,-7.35604,7.63704,53.56862,0.46625,-10.68735,16.91581,-0.3025,-2.78088,8.85273,2.9591,-4.91555,91.71469,1.19722,10.11811,56.56539,9.31205,20.25034,17.06092,13.37871,28.97328,11.45285,18.91255
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.50674,109.64082,-2.41664,1.49207,118.27643,-0.10525,4.90703,130.20499,10.58415,6.18043,135.20553,14.46517,8.42624,128.73239,5.91991,13.65994,128.78565,4.82098,8.06064,118.13818,-16.32518,17.97164,105.09635,-1.20571,-0.23985,127.07221,10.54157,-4.44089,125.69964,13.5532,-14.94862,106.20983,3.47203,-1.43823,105.13582,21.17024,4.79034,91.736,-7.35034,7.84099,53.51002,0.18628,-11.99413,17.66565,-1.05948,-4.5121,9.16401,2.08773,-4.93155,91.7325,1.18778,10.95004,56.79228,8.55594,21.80435,17.34842,11.03964,29.62056,11.7873,17.83261
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,0.65636,109.63437,-2.39262,1.7153,118.26418,-0.09216,5.18542,130.24467,10.52114,6.4945,135.28871,14.33339,8.70406,128.71763,5.87401,13.94587,128.71032,4.81311,8.79137,117.48838,-16.14828,18.42542,105.75441,0.17392,0.01891,127.14423,10.49025,-4.196,125.86143,13.52198,-15.43416,106.95418,3.12414,-1.76682,105.50225,20.67426,4.73981,91.69965,-7.3871,8.28428,53.4278,-0.31362,-13.18001,18.55559,-2.05039,-6.32021,9.55588,1.12953,-4.92272,91.77064,1.21784,11.48194,56.99667,8.21727,21.64094,17.30804,9.40503,28.49091,11.0525,16.62373
0.33333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.94398,109.62296,-2.48333,2.10733,118.24889,-0.21903,5.51285,130.25619,10.38489,6.83095,135.33221,14.1513,9.04699,128.73466,5.74772,14.29281,128.69141,4.70773,9.65356,116.7333,-15.96499,18.97603,106.39863,1.44769,0.35708,127.13799,10.34699,-3.86017,125.88879,13.38947,-15.8724,107.64936,2.66916,-2.07176,105.71442,20.0677,4.6552,91.59208,-7.4217,8.54924,53.28401,-0.73884,-14.41422,19.38831,-2.62683,-8.1631,9.88742,0.34303,-4.91825,91.8814,1.27772,11.61264,57.15069,8.19447,20.52052,17.16245,9.37491,27.0474,9.99679,16.02447
