time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,2.2317,109.49088,-2.44576,3.61643,118.37077,-2.10338,6.53982,134.47024,-1.41299,8.68246,140.56056,-1.49243,9.10982,130.40636,2.21861,12.09957,129.44525,6.54754,16.0002,105.64799,9.76566,16.17464,84.15234,15.66668,3.14092,131.82701,-5.62812,-0.70231,132.52462,-9.28127,-9.12217,110.58118,-15.56513,-20.62036,91.51305,-16.61823,2.90889,91.09515,2.49509,-8.17327,55.69254,14.79032,16.71943,25.05851,3.75796,16.0458,13.90137,7.39498,-3.53079,92.41513,-8.64954,-6.56709,54.30846,-0.5257,6.61862,15.5509,1.42167,-2.20766,8.06005,3.4582
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,2.03232,109.52111,-2.53619,3.32204,118.41629,-2.22062,6.1494,134.53173,-1.50317,8.2618,140.63162,-1.63821,8.85345,130.46224,2.02331,12.06488,129.45073,6.17849,17.16026,105.68684,7.27197,18.17679,83.89127,11.83653,2.64763,131.8923,-5.63567,-1.35732,132.63757,-9.10084,-10.62208,110.86784,-14.76993,-22.59332,92.06396,-14.89048,2.88818,91.17092,2.54428,-10.68564,56.50563,14.4355,10.92447,22.70782,6.03824,8.6956,12.17567,10.75729,-3.45452,92.33094,-8.67352,-5.83696,54.08717,-0.9877,7.36127,15.348,1.2229,-1.46522,7.85709,3.25831
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.85459,109.54519,-2.60711,3.04965,118.4543,-2.31258,5.7392,134.59238,-1.57473,7.80197,140.70826,-1.74851,8.56808,130.53057,1.8615,11.98939,129.47018,5.83294,18.2292,105.98034,4.74999,20.0732,84.02838,8.1598,2.16228,131.94119,-5.63469,-1.98203,132.71189,-8.92608,-12.05275,111.14729,-13.97028,-24.47281,92.6599,-13.0377,2.85355,91.23606,2.59395,-12.50356,57.07619,13.75616,4.48518,20.16818,8.37236,0.56291,10.55624,13.88508,-3.37036,92.25909,-8.70344,-5.10178,53.92412,-1.303,8.00738,15.16025,1.00254,-0.8207,7.66935,3.0311
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,1.67753,109.56566,-2.62601,2.78145,118.48657,-2.33297,5.34834,134.64379,-1.57723,7.37758,140.77005,-1.77826,8.28544,130.59106,1.77797,11.89544,129.49207,5.56772,19.20952,106.51151,2.36169,22.05131,84.54126,4.8412,1.70728,131.9802,-5.57154,-2.54601,132.76239,-8.718,-13.4023,111.43543,-13.09944,-26.23202,93.3161,-11.09968,2.82454,91.28088,2.62992,-13.60816,57.33736,12.88349,-2.50728,17.94968,10.60663,-8.08671,9.4248,16.46837,-3.29201,92.20856,-8.73414,-4.41075,53.80672,-1.56608,8.607,15.01585,0.80244,-0.22171,7.52495,2.82825
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,1.48163,109.58386,-2.56522,2.48834,118.51531,-2.24444,4.93131,134.69127,-1.4789,6.9324,140.82585,-1.70652,7.96677,130.65224,1.80451,11.75261,129.53836,5.41404,20.00649,107.19889,0.44388,24.12879,85.34847,2.01905,1.23707,132.01044,-5.41239,-3.10049,132.79327,-8.44145,-14.66617,111.71087,-12.13777,-27.89466,94.05094,-8.96842,2.79579,91.29952,2.65294,-14.01775,57.25105,11.89086,-9.46143,16.52154,12.27863,-16.7205,9.39072,18.16257,-3.20866,92.18485,-8.7741,-3.78096,53.73527,-1.80013,9.22787,14.94114,0.56392,0.40029,7.45021,2.59451
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.29357,109.59842,-2.49545,2.20524,118.53896,-2.14501,4.51687,134.73408,-1.37672,6.48519,140.8794,-1.60044,7.64087,130.71411,1.84648,11.58333,129.63572,5.29555,20.64305,107.92495,-0.90483,26.25894,86.35744,-0.43598,0.78321,132.03023,-5.25687,-3.62852,132.80632,-8.17865,-15.78222,111.95331,-11.23389,-29.34696,94.81941,-6.83634,2.76976,91.31189,2.67146,-13.79676,56.8677,10.82499,-16.01372,16.01514,13.26568,-24.61391,10.20741,18.78571,-3.13023,92.16842,-8.81206,-3.11747,53.6919,-1.96433,9.94986,14.91246,0.3166,1.12284,7.42158,2.34982
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,1.118,109.61058,-2.45528,1.94135,118.5589,-2.08549,4.13415,134.77018,-1.30952,6.0678,140.9268,-1.52453,7.32938,130.76824,1.86593,11.398,129.74888,5.18396,21.25814,108.60331,-1.70977,28.39532,87.49704,-2.41791,0.37438,132.04509,-5.14939,-4.09937,132.81824,-7.97611,-16.7291,112.16515,-10.39168,-30.54505,95.60734,-4.74637,2.74438,91.33146,2.69274,-13.25893,56.3757,9.71566,-21.77267,16.46753,13.5441,-31.20503,11.61612,18.60947,-3.05592,92.14546,-8.84453,-2.57207,53.64806,-2.1326,10.82361,14.97238,0.00049,2.00113,7.48162,2.05374
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.95183,109.61888,-2.3834,1.69246,118.57319,-1.98464,3.77196,134.7996,-1.21332,5.66745,140.96798,-1.43122,7.03042,130.81834,1.92365,11.19765,129.87357,5.1398,21.9424,109.25395,-2.01999,30.47252,88.73067,-3.73675,-0.00766,132.05051,-5.0164,-4.53077,132.83013,-7.7616,-17.55055,112.35666,-9.55545,-31.51469,96.38208,-2.71976,2.72492,91.33654,2.70438,-13.26723,56.20998,8.84512,-25.97713,17.49283,13.23181,-35.95747,13.49242,17.98084,-2.99016,92.13807,-8.87621,-1.89716,53.61403,-2.3926,11.90614,15.0753,-0.38295,3.08718,7.58453,1.68537
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.77024,109.62366,-2.26326,1.4213,118.5832,-1.82742,3.36937,134.82859,-1.11448,5.21024,141.01346,-1.33321,6.6818,130.88361,2.01177,10.91985,130.01705,5.15663,22.63136,109.93266,-2.00844,32.3911,90.02484,-4.31968,-0.41202,132.03723,-4.88489,-4.96314,132.80839,-7.58583,-18.32785,112.5104,-8.71351,-32.3662,97.15269,-0.71498,2.72055,91.32555,2.70147,-14.00635,56.43933,8.22373,-28.79132,18.4379,12.35878,-38.98061,15.26586,17.28627,-2.93519,92.14773,-8.90677,-0.93396,53.6092,-2.7334,13.16967,15.17691,-0.77129,4.36324,7.68601,1.3493
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,0.57968,109.62413,-2.11383,1.13417,118.58769,-1.62981,2.92645,134.85336,-0.97279,4.70688,141.05548,-1.20294,6.28883,130.9503,2.15276,10.57971,130.16725,5.24748,23.23518,110.61272,-1.77675,34.03777,91.26297,-4.18643,-0.84161,132.01392,-4.72057,-5.41095,132.74227,-7.40258,-19.07551,112.61911,-7.88542,-33.11606,97.88366,1.20526,2.73213,91.3048,2.68642,-14.42821,56.50697,7.37321,-30.55881,19.00583,11.01624,-40.55765,16.17611,16.50982,-2.89367,92.16835,-8.93336,0.27266,53.628,-3.28093,14.56307,15.26818,-1.25328,5.76533,7.77731,0.90313
0.33333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.43731,109.61823,-1.94392,0.91408,118.58338,-1.40913,2.54711,134.86878,-0.83047,4.25475,141.09087,-1.07284,5.95446,131.01348,2.30565,10.28489,130.33596,5.37003,23.79317,111.27178,-1.40965,35.45134,92.38263,-3.45968,-1.20065,131.97511,-4.55706,-5.78524,132.65264,-7.22634,-19.65458,112.66433,-7.16249,-33.67746,98.58038,2.93266,2.72086,91.26813,2.6748,-14.69077,56.50001,6.59206,-31.25575,19.1207,9.45425,-40.95075,16.24252,15.4448,-2.84272,92.20666,-8.96909,1.48322,53.71101,-3.8014,16.11878,15.48554,-1.69987,7.36763,7.94742,0.48136
0.36667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.28882,109.61043,-1.78847,0.68419,118.57659,-1.20636,2.15224,134.87995,-0.69525,3.79234,141.11952,-0.95412,5.59867,131.07237,2.45641,9.95542,130.49174,5.50332,24.22903,111.86124,-0.90362,36.56964,93.34188,-2.19129,-1.56629,131.93308,-4.40942,-6.15803,132.55202,-7.08063,-20.13124,112.64313,-6.55066,-34.10799,99.19786,4.43962,2.70157,91.2371,2.66941,-14.79024,56.43394,5.84888,-31.14868,18.9003,7.70099,-40.5815,15.63165,13.90593,-2.78205,92.23986,-9.00702,2.17558,53.78242,-4.1305,17.62096,15.87241,-2.11188,9.03217,8.145,0.05226
0.4,0.0,0.0,0.0,0.0,93.9241,-3.0,0.10601,109.60331,-1.67206,0.41581,118.57016,-1.05018,1.77546,134.88409,-0.57802,3.35794,141.13778,-0.85432,5.23551,131.10762,2.59607,9.60003,130.60427,5.6456,24.55021,112.34311,-0.26225,37.39119,94.12305,-0.49536,-1.91054,131.903,-4.2973,-6.50161,132.47967,-6.97909,-20.50311,112.60541,-6.04799,-34.36905,99.66145,5.661,2.66395,91.22454,2.68123,-14.54344,56.21946,5.10656,-30.20831,18.35472,5.92879,-39.62459,14.65993,11.91592,-2.69349,92.25441,-9.05128,3.08264,53.864,-4.56275,19.33254,16.29248,-2.53193,10.91467,8.36953,-0.40358
0.43333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.11343,109.59708,-1.60104,0.10921,118.56429,-0.94779,1.43715,134.88102,-0.48215,2.98059,141.14458,-0.75573,4.87719,131.11388,2.72462,9.23056,130.65861,5.79755,24.75188,112.6627,0.59021,37.93186,94.70894,1.52086,-2.21281,131.88963,-4.2286,-6.7901,132.45405,-6.93644,-20.7459,112.56704,-5.65657,-34.47921,99.97539,6.58097,2.59932,91.23159,2.71442,-13.91367,55.84856,4.35595,-28.52348,17.55578,4.2171,-38.12186,13.51133,9.66478,-2.56771,92.2491,-9.10426,4.13719,53.96376,-5.02854,21.20082,16.75627,-2.9699,12.98945,8.60624,-0.89288
0.46667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.521,109.59721,-1.6983,-0.46876,118.56855,-1.06628,0.79635,134.88909,-0.56072,2.3519,141.15068,-0.8096,4.2145,131.12895,2.67752,8.53969,130.63116,5.78348,24.54497,112.82686,1.45697,37.93426,95.13502,3.61126,-2.80194,131.89087,-4.35143,-7.34302,132.41209,-7.12801,-21.18775,112.47146,-5.5186,-34.7839,100.07933,7.07072,2.60039,91.33095,2.7597,-13.29292,55.6334,3.40782,-27.03767,17.04029,2.20076,-36.55142,12.41388,7.32408,-2.4552,92.14971,-9.12244,5.20591,53.99155,-5.57328,22.98772,17.12001,-3.54852,15.05665,8.68273,-1.53014
