time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,1.51104,109.56653,-2.19794,2.09704,118.54085,-2.12424,2.10867,134.87125,-3.36273,2.60538,141.05844,-5.1407,7.07531,131.46298,-3.51987,12.40511,131.60926,-3.93693,30.90204,117.39619,-10.84585,12.83294,113.08139,1.47509,-2.87953,131.49631,-3.17769,-8.21312,131.87605,-3.07233,-27.52037,119.01119,-10.39496,-9.39572,112.47473,0.81586,6.22699,91.1161,-2.9819,5.53632,54.93451,11.77438,8.64045,28.29225,-19.21526,11.08004,16.81059,-19.83432,-6.64807,92.3731,-3.24161,-0.66577,54.71369,5.3208,6.14794,15.63917,-5.00192,3.13208,8.14835,3.5395
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,1.29052,109.58667,-2.20587,1.81123,118.56455,-2.08879,1.92331,134.9118,-3.0741,2.44267,141.10935,-4.80901,6.86094,131.47078,-3.37025,12.18066,131.58785,-3.90781,30.36352,117.39995,-11.65171,12.71959,113.07411,1.26705,-3.08599,131.57035,-2.85479,-8.41175,131.99922,-2.62066,-27.94078,119.37485,-9.77174,-9.56403,112.40975,0.74935,6.26632,91.20493,-2.9973,4.56407,56.18173,14.25987,8.82264,27.04553,-14.2489,11.93655,15.74445,-13.38137,-6.62594,92.27866,-3.224,-0.73443,54.41525,4.45626,6.11511,15.53736,-6.56174,3.09004,8.04641,1.97631
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.08731,109.59996,-2.16497,1.54657,118.58023,-1.98862,1.74452,134.93916,-2.73841,2.28465,141.14707,-4.42938,6.65411,131.4729,-3.1737,11.96082,131.57245,-3.83025,29.90317,117.45777,-12.24028,12.59376,113.07201,1.10382,-3.28111,131.62535,-2.4771,-8.59642,132.0967,-2.11967,-28.33215,119.6605,-9.02888,-9.70188,112.36141,0.79697,6.30163,91.28802,-3.035,3.87939,57.30285,16.1085,8.93432,25.17512,-8.83261,12.04189,14.15028,-6.19448,-6.60462,92.19186,-3.19769,-0.70532,54.12707,3.40561,6.1092,15.37171,-8.05681,3.07969,7.88079,0.47969
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,0.90304,109.60538,-2.0543,1.30339,118.58649,-1.79654,1.56101,134.95284,-2.33697,2.12111,141.17188,-3.97988,6.44669,131.47186,-2.90394,11.73886,131.56011,-3.6702,29.50378,117.52973,-12.58293,12.45916,113.05775,1.06983,-3.47395,131.65717,-2.03002,-8.77744,132.15379,-1.55162,-28.67793,119.83867,-8.20022,-9.82406,112.27492,0.97761,6.33271,91.36526,-3.09831,3.49177,58.19518,17.37136,8.61417,22.95562,-2.91996,11.52501,12.48838,1.5664,-6.58436,92.11312,-3.16522,-0.75822,53.84344,2.20336,6.08765,15.17242,-9.52223,3.05815,7.68162,-0.98563
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.78078,109.60101,-1.8878,1.1418,118.58042,-1.53141,1.43655,134.95127,-1.88411,2.00513,141.1789,-3.49115,6.3024,131.4644,-2.57245,11.58043,131.54207,-3.43174,29.22257,117.59898,-12.71755,12.34893,113.06508,1.12584,-3.60193,131.66543,-1.53274,-8.89274,132.17166,-0.93817,-28.92812,119.9345,-7.32026,-9.88471,112.16677,1.27754,6.35267,91.42044,-3.18925,3.49249,58.74633,18.06056,7.77539,20.68206,3.48074,10.6442,11.12061,9.68656,-6.57025,92.05916,-3.12068,-0.83635,53.61716,0.96217,6.06434,15.00803,-10.93396,3.0324,7.51711,-2.39832
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.72515,109.58716,-1.6752,1.06315,118.56222,-1.20493,1.34399,134.93618,-1.37951,1.90932,141.17396,-2.94788,6.20081,131.46056,-2.17947,11.46677,131.53444,-3.1102,29.02841,117.67747,-12.67337,12.27712,113.07391,1.29506,-3.68693,131.64314,-0.98936,-8.96577,132.14291,-0.29183,-29.12479,119.95077,-6.36315,-9.87855,112.07648,1.66734,6.36102,91.45158,-3.29111,3.82901,58.85753,18.12266,6.46878,18.77228,9.9982,9.26974,10.38284,17.74001,-6.56309,92.03187,-3.07806,-0.8789,53.47211,-0.21994,6.01446,14.9266,-12.3248,2.97834,7.43566,-3.79067
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,0.7247,109.56807,-1.46592,1.06295,118.53722,-0.89405,1.3425,134.91204,-0.95008,1.89625,141.15536,-2.5004,6.19148,131.44266,-1.8215,11.44714,131.52253,-2.80826,28.95901,117.76423,-12.60238,12.34002,113.05074,1.48689,-3.6846,131.61596,-0.53689,-8.95329,132.10231,0.2421,-29.19161,119.89547,-5.52841,-9.76644,111.97951,2.01555,6.36018,91.46118,-3.37784,4.39009,58.36623,17.31455,5.06515,17.40054,16.2374,7.39735,10.27099,25.28692,-6.56213,92.02759,-3.04966,-0.87287,53.39603,-1.44686,5.95815,14.92879,-13.83279,2.91241,7.43803,-5.30193
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.79872,109.55823,-1.40367,1.16077,118.52338,-0.78547,1.41598,134.89853,-0.71399,1.95965,141.14724,-2.2461,6.26247,131.44356,-1.65384,11.51017,131.54049,-2.68061,28.97206,117.86679,-12.68026,12.45483,113.05379,1.49476,-3.60263,131.59163,-0.2845,-8.86308,132.0595,0.55888,-29.15074,119.82608,-4.97732,-9.57528,111.91572,2.17381,6.34757,91.43651,-3.42527,4.79568,57.20926,15.37417,3.69547,16.70155,21.51572,5.56676,11.09636,31.67661,-6.57015,92.055,-3.01957,-0.78142,53.40529,-2.86318,5.97447,15.04532,-15.61752,2.91318,7.55455,-7.09224
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.92499,109.5543,-1.4336,1.32681,118.51754,-0.81241,1.53948,134.89271,-0.65527,2.06174,141.15273,-2.14813,6.39006,131.45561,-1.63851,11.63222,131.57985,-2.69039,29.07139,117.99236,-12.84599,12.65226,113.0374,1.39395,-3.46815,131.5703,-0.21739,-8.72085,132.02229,0.68114,-29.02616,119.75217,-4.70719,-9.33078,111.87411,2.14401,6.3267,91.38663,-3.44125,4.61829,56.1342,13.34208,2.58377,17.06499,25.55929,4.0407,13.06804,36.51672,-6.58446,92.10598,-2.99526,-0.74895,53.4892,-4.4184,5.96018,15.32592,-17.77334,2.893,7.83507,-9.25025
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,1.04662,109.55092,-1.47704,1.48555,118.51356,-0.87238,1.64638,134.88922,-0.70647,2.14987,141.15652,-2.17504,6.50545,131.46817,-1.70365,11.74211,131.62469,-2.77837,29.18759,118.12058,-13.03385,12.92389,113.04622,1.34177,-3.34953,131.55061,-0.2581,-8.59828,131.98924,0.66968,-28.89741,119.6715,-4.63257,-9.1473,111.80776,2.07608,6.30738,91.3339,-3.41043,4.29548,56.11798,13.41584,1.89525,17.89944,28.02354,2.75161,15.30152,39.45512,-6.59904,92.15965,-3.01396,-0.68808,53.63597,-5.89848,6.21189,15.84002,-20.16943,2.92734,8.3625,-11.71591
