time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.18724,109.65221,-2.54851,-0.24126,118.64343,-2.34328,-0.15003,135.01951,-2.16556,-0.00484,141.47289,-2.31391,4.81726,131.60921,-2.23218,10.14858,131.47024,-1.83244,16.13593,107.93547,-3.29779,21.09101,87.03028,2.64658,-5.13426,131.66957,-2.65732,-10.47145,131.37635,-2.48158,-16.97047,108.26294,-6.40945,-23.46399,87.29137,-2.54443,6.47422,91.79449,-2.54193,3.74682,53.76601,6.04461,0.54102,13.13228,1.75206,0.32938,5.64141,10.80775,-6.42204,91.67084,-3.58389,-4.95786,52.99086,1.80584,0.84675,13.13233,-5.77096,-4.7909,5.64146,1.31899
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.15466,109.65315,-2.56959,-0.18569,118.64486,-2.38142,-0.03765,135.02099,-2.25373,0.12698,141.47285,-2.4424,4.91736,131.59362,-2.35144,10.25174,131.45319,-1.99548,16.20112,107.88093,-2.90875,20.95421,87.20526,3.93524,-5.0371,131.68657,-2.6939,-10.3724,131.40628,-2.45194,-16.85633,108.27533,-6.3007,-23.08205,87.3101,-1.9867,6.47228,91.78259,-2.57092,3.86417,53.7537,6.05077,0.69635,13.10609,1.86276,0.48528,5.61523,10.91848,-6.42919,91.68247,-3.54902,-4.8458,52.99284,1.73674,1.00038,13.10617,-5.6578,-4.64502,5.61532,1.426
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.08672,109.65096,-2.4799,-0.082,118.64208,-2.26307,0.11749,135.01787,-2.16544,0.30213,141.46774,-2.39839,5.06112,131.57498,-2.29003,10.39753,131.44379,-1.96208,16.29631,107.84552,-2.4168,20.81576,87.42159,5.28728,-4.89506,131.69821,-2.56642,-10.22822,131.43269,-2.26739,-16.72607,108.28627,-5.99789,-22.65766,87.34838,-1.16761,6.46532,91.75332,-2.61527,3.95795,53.76646,6.21898,0.89617,13.09756,2.16075,0.70165,5.60671,11.21684,-6.44115,91.71236,-3.52967,-4.80777,53.01679,1.69711,1.186,13.09671,-5.39266,-4.46117,5.60591,1.68978
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.00406,109.64567,-2.3332,0.04058,118.63523,-2.06308,0.2838,135.01051,-1.9794,0.48606,141.4576,-2.26809,5.21728,131.55453,-2.13939,10.55461,131.42989,-1.82394,16.3901,107.81164,-1.90273,20.62657,87.65458,6.62139,-4.74037,131.70375,-2.33932,-10.07085,131.45176,-1.98578,-16.61145,108.30081,-5.61198,-22.27929,87.43017,-0.20803,6.45596,91.7172,-2.66713,4.10737,53.79843,6.49714,1.06862,13.11542,2.56499,0.89552,5.62456,11.62151,-6.45483,91.74995,-3.51868,-4.8165,53.06379,1.77573,1.36156,13.116,-4.99249,-4.29301,5.62521,2.08406
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.06755,109.64248,-2.2649,0.14582,118.63089,-1.96593,0.42223,135.00556,-1.86649,0.63581,141.44945,-2.21269,5.34765,131.53996,-2.06253,10.68441,131.40536,-1.74173,16.4769,107.77764,-1.49875,20.3622,87.89238,7.7962,-4.61079,131.70918,-2.19691,-9.93749,131.46045,-1.78839,-16.53254,108.31098,-5.32433,-21.96483,87.55149,0.71263,6.44704,91.68725,-2.6953,4.29319,53.84419,6.82291,1.1215,13.16147,2.99404,1.02052,5.67062,12.05166,-6.46586,91.78079,-3.50954,-4.75822,53.12775,2.00047,1.5141,13.16167,-4.57016,-4.14955,5.67086,2.4991
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.1202,109.64324,-2.2883,0.22179,118.63147,-1.99082,0.51511,135.00554,-1.85053,0.72945,141.44687,-2.24114,5.43676,131.53541,-2.06035,10.77154,131.38604,-1.71404,16.50218,107.74751,-1.20372,20.02219,88.12719,8.77466,-4.52163,131.71516,-2.18404,-9.84476,131.46775,-1.73069,-16.51623,108.31991,-5.13132,-21.72203,87.71003,1.58013,6.43787,91.665,-2.667,4.42818,53.89917,7.18366,1.16807,13.22679,3.31947,1.10581,5.72183,12.36576,-6.47137,91.80282,-3.53133,-4.76271,53.17985,2.18535,1.61231,13.21155,-4.27202,-4.07155,5.72067,2.78091
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,0.14485,109.64513,-2.33625,0.25679,118.63375,-2.05478,0.55645,135.0076,-1.90182,0.76946,141.44685,-2.32588,5.47736,131.53555,-2.09688,10.80912,131.37938,-1.7095,16.4524,107.72409,-1.03032,19.59912,88.42673,9.676,-4.48046,131.71957,-2.25529,-9.80243,131.47944,-1.78472,-16.57203,108.32824,-4.96118,-21.51079,87.89911,2.46648,6.4313,91.65416,-2.61743,4.37031,53.91354,7.31887,1.20067,13.23464,3.44807,1.12792,5.74378,12.50595,-6.47167,91.81313,-3.56754,-4.76452,53.20502,2.24908,1.65886,13.23307,-4.13735,-4.03023,5.74228,2.91148
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.12972,109.64279,-2.28017,0.23773,118.6311,-1.98738,0.54573,135.00522,-1.88973,0.7621,141.44146,-2.35572,5.46595,131.52978,-2.03583,10.79436,131.37839,-1.60309,16.37039,107.71271,-0.75207,19.067,88.7416,10.6383,-4.4903,131.71875,-2.26927,-9.8133,131.48788,-1.80574,-16.69318,108.33094,-4.69,-21.32414,88.12926,3.51714,6.43049,91.65725,-2.58663,4.17038,53.90673,7.26846,1.17944,13.20047,3.54595,1.10984,5.70961,12.60386,-6.46663,91.8107,-3.61396,-4.72644,53.204,2.20226,1.66025,13.20299,-4.03732,-4.02565,5.7121,3.01397
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.07346,109.64048,-2.22404,0.15968,118.62886,-1.92604,0.46276,135.00335,-1.91788,0.68264,141.43514,-2.4404,5.38461,131.52862,-2.01875,10.70972,131.3891,-1.5435,16.251,107.72244,-0.51195,18.42468,89.08359,11.52065,-4.57032,131.71333,-2.30562,-9.89395,131.48737,-1.84694,-16.8726,108.33535,-4.52609,-21.13958,88.45237,4.60469,6.43606,91.67734,-2.56439,3.98858,53.87419,7.04104,1.13219,13.13391,3.59519,1.0652,5.64305,12.65312,-6.45653,91.79126,-3.65185,-4.72745,53.16894,2.06315,1.60403,13.13364,-4.01055,-4.08121,5.64288,3.04141
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,0.01491,109.63888,-2.18894,0.07612,118.62729,-1.88599,0.3632,135.00203,-1.92471,0.58633,141.42921,-2.49982,5.28861,131.53185,-2.00691,10.61044,131.4172,-1.4901,16.14725,107.75587,-0.32127,17.68464,89.48742,12.36003,-4.66598,131.70596,-2.31171,-9.98973,131.49283,-1.84822,-17.05392,108.34609,-4.34243,-20.91064,88.83315,5.72145,6.44387,91.70004,-2.56321,3.92079,53.82793,6.74643,1.12512,13.05901,3.60282,1.04451,5.56816,12.66065,-6.44802,91.769,-3.66281,-4.70996,53.12686,1.91379,1.56598,13.05883,-3.99964,-4.11649,5.56794,3.0544
