time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,1.23793,109.23501,0.41404,1.83536,117.57928,3.71607,2.60558,130.17866,14.15056,3.02582,135.47848,17.8145,7.42602,127.46642,11.7598,12.69457,126.64907,12.17974,16.92282,110.81824,-5.80324,8.34344,101.72455,12.65251,-2.52027,127.99482,11.85643,-7.77622,127.31762,12.5768,-16.80701,111.94325,-3.9752,-13.09527,96.48348,11.64945,6.26543,91.21099,-3.20979,1.8704,55.19522,11.31193,7.8077,37.04413,-24.95223,9.8372,26.31791,-29.31033,-6.6104,92.37059,-3.74159,-3.9803,53.59238,0.34092,4.66237,22.03746,-24.345,2.35223,13.66588,-16.42392
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.2416,109.20182,0.76101,0.46518,117.52919,4.15101,1.60616,130.29076,14.35181,1.96314,135.47251,18.18734,6.29026,127.84533,11.45567,11.6086,127.48015,11.02672,16.12804,113.86065,-8.61927,10.6265,102.51271,9.76205,-3.59733,127.76826,12.65852,-8.62952,126.88946,14.24195,-18.54932,109.56908,0.33162,-11.87207,98.36216,18.4073,6.41544,91.57907,-3.05941,0.84383,57.15895,14.59123,5.71329,32.5252,-17.8012,7.98161,21.02257,-18.64254,-6.48277,92.01176,-3.98865,-3.94645,53.02954,-5.12317,3.27859,20.55,-29.05393,1.44467,11.00643,-22.44177
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.9847,108.92648,1.64448,-1.23057,117.12959,5.32357,0.07118,130.12355,15.20681,0.32032,135.17255,19.22362,4.60709,127.90735,11.91705,9.81499,128.04541,10.7084,14.56995,116.47064,-10.15534,12.34179,103.69592,7.97633,-5.10351,127.26541,14.04055,-9.81539,126.23599,16.3516,-20.72059,107.70576,4.96729,-10.80981,100.48071,23.58143,6.5646,92.03652,-2.93927,0.12227,58.33349,15.76727,2.99097,26.32914,-9.67473,5.26428,15.16431,-6.78644,-6.2902,91.63104,-4.35499,-4.09511,53.07828,-10.37167,1.82704,19.13553,-32.56673,0.16802,8.4091,-28.05507
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.72042,108.59145,2.43334,-2.22727,116.66011,6.37377,-0.81564,129.86428,15.95882,-0.61243,134.80188,20.1143,3.56543,127.804,12.37134,8.59181,128.39092,10.64129,13.00071,118.79707,-11.27675,14.16055,105.42021,6.51735,-5.92175,126.75212,15.21811,-10.31397,125.61396,18.04929,-22.1475,106.42913,8.89477,-9.37616,102.38002,26.71073,6.64333,92.33512,-2.9567,0.16192,58.23675,15.00505,0.78361,20.42008,-0.78469,2.41479,10.73673,5.67562,-6.16391,91.4258,-4.55738,-4.17021,53.651,-14.37694,0.66389,18.49081,-34.8756,-0.75956,6.96601,-33.05448
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.47338,108.61837,2.43321,-1.90109,116.69937,6.35772,-0.50792,129.96046,15.86657,-0.34589,134.79718,20.14082,3.76509,128.057,12.06831,8.66335,128.93974,10.11128,12.12378,121.12896,-12.66805,16.31423,107.6741,4.60395,-5.52646,126.66203,15.3756,-9.6916,125.43701,18.49866,-22.08644,105.9524,10.84272,-7.36417,104.4478,27.5131,6.62507,92.26096,-3.05529,1.02999,56.99775,12.83601,-0.02986,16.46276,6.86993,0.40359,8.98905,15.93191,-6.21449,91.49246,-4.45876,-4.25442,54.25871,-16.16945,0.20328,19.7453,-37.82023,-0.98528,8.0523,-37.97688
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.97034,108.8212,1.97465,-1.28116,116.98479,5.73581,-0.17022,130.17093,15.38502,-0.14269,134.84517,19.83923,4.11303,128.43877,11.51695,8.97978,129.42566,9.5313,11.4415,122.59301,-13.68799,17.36395,109.3477,3.23542,-5.09463,126.73115,14.9111,-9.24024,125.41243,18.02195,-21.72598,105.81407,10.81737,-5.94247,106.23548,26.55313,6.57548,92.07794,-3.12411,1.87767,55.97781,11.0901,-0.36698,15.054,11.0109,-0.62527,9.25076,21.22948,-6.30508,91.61895,-4.26215,-4.10749,54.36287,-15.85907,0.12546,22.82331,-41.68816,-0.77445,11.25487,-43.56562
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.57399,109.03154,1.3644,-0.80945,117.29114,4.91556,-0.04669,130.36386,14.75112,-0.17403,134.8852,19.35878,4.35173,128.70523,10.98131,9.29242,129.62202,9.15073,11.11985,122.5365,-14.05136,17.48556,109.59585,2.94666,-4.93437,126.90066,14.10046,-9.259,125.54783,16.94123,-21.26788,106.03016,8.7716,-5.26031,106.74194,24.26877,6.53475,91.94389,-3.19097,2.46962,55.53143,10.40826,-0.50253,14.655,10.1129,-0.97242,9.06598,20.44274,-6.3748,91.69439,-4.02523,-3.75042,54.01615,-14.06499,-0.35684,27.29174,-44.95338,-0.79051,16.05646,-48.38035
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.52289,109.21399,0.68213,-0.75832,117.57982,3.97524,-0.19379,130.65405,13.82216,-0.4137,135.0484,18.54768,4.36083,128.86952,10.30371,9.48012,129.49619,8.88873,11.23046,121.23123,-13.92591,16.92886,108.54398,3.49469,-5.12828,127.31969,12.90601,-9.7467,126.0546,15.28766,-20.70324,106.97512,4.90386,-5.37283,105.86124,21.04848,6.53585,91.95753,-3.2754,2.60083,56.05273,11.64749,-1.86485,15.66197,6.31389,-1.47839,8.1711,15.36382,-6.39014,91.62991,-3.75068,-3.92803,53.13657,-10.03834,-1.5771,32.69735,-45.48569,-1.69599,22.38293,-51.12149
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.55545,109.20328,0.42628,-2.13811,117.59802,3.60056,-1.59951,130.78993,13.29073,-1.81408,135.10798,18.08632,3.11503,128.67381,10.19175,8.39339,128.737,9.33326,11.13435,118.46195,-12.54804,14.54567,106.20443,5.75583,-6.63468,127.74016,12.00521,-11.60411,126.65234,13.65562,-21.20248,108.48805,0.62391,-7.85129,103.41897,17.74002,6.65439,92.41168,-3.30386,2.54881,56.93564,12.56836,-3.04691,18.55564,-0.67801,-2.57081,11.06479,8.36765,-6.22094,91.17875,-3.65092,-5.37274,52.10683,-3.64946,-3.77423,37.7818,-42.01665,-4.37921,28.83157,-49.6121
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,-1.99271,109.23538,0.03417,-2.69934,117.6652,3.08799,-2.20797,130.73761,12.94125,-2.36761,135.11035,17.68919,2.62618,128.33617,10.26307,7.93103,127.78164,9.87183,12.81626,114.10457,-9.64619,12.58106,103.11002,9.74401,-7.28911,128.03053,11.16353,-12.48513,127.16619,12.08912,-20.43151,110.88313,-4.14704,-11.24738,99.09759,12.39575,6.69428,92.61312,-3.35848,2.48675,56.41399,10.75718,-3.26131,20.17001,-7.49485,-2.80215,12.67913,1.55167,-6.13899,90.96836,-3.48703,-5.64078,52.57276,3.78369,-5.0592,40.85702,-35.48724,-6.50881,32.55457,-43.68062
