time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,-2.24575,109.38732,-1.1405,-5.02367,117.36602,1.94343,-13.39379,125.25889,13.59931,-15.97306,127.46991,19.09003,-8.04894,122.61726,14.47278,-4.75588,120.36807,18.03632,1.16357,96.78996,17.0803,-1.20189,74.62976,17.57553,-15.03984,125.04828,7.80684,-19.67183,124.84755,5.14097,-24.62743,102.23329,-2.33787,-29.29442,80.44685,-3.03139,3.25364,91.50446,2.49725,-7.44569,55.07355,11.75173,16.20411,21.60852,12.51438,12.91899,10.61937,15.08543,-2.62783,92.03468,-9.01543,-2.96104,53.89174,-0.51019,5.36983,14.55557,7.43116,-3.4873,6.99058,9.0078
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,-2.25756,109.39545,-1.2243,-5.04512,117.38788,1.81505,-13.4256,125.3318,13.42874,-15.99853,127.57819,18.90806,-8.08907,122.68017,14.32258,-4.8114,120.43401,17.9022,0.65014,96.73942,17.1156,-2.35995,74.65903,17.67329,-15.05783,125.10924,7.63281,-19.68724,124.9183,4.96173,-24.56584,102.31972,-2.61445,-29.20609,80.52601,-3.25724,3.20918,91.52736,2.5333,-8.47108,55.31895,11.46945,13.01743,20.45248,13.01114,8.49339,9.92601,15.63603,-2.58008,92.00951,-9.02813,-2.78421,53.82584,-0.70352,6.14975,14.60313,7.14294,-2.63642,6.96124,8.74553
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-2.2851,109.40297,-1.32817,-5.08099,117.40848,1.66884,-13.44051,125.38904,13.2725,-15.9886,127.65521,18.75529,-8.11477,122.71762,14.1717,-4.84899,120.46378,17.75736,0.1407,96.66022,17.14556,-3.52524,74.68186,17.79983,-15.069,125.17017,7.47538,-19.69713,125.00172,4.80058,-24.35208,102.38228,-2.85369,-28.76428,80.53657,-3.31053,3.18408,91.56439,2.56363,-9.43228,55.58906,11.16222,9.06513,19.09355,13.55534,3.48148,9.13847,16.36296,-2.54731,91.97039,-9.02951,-2.48425,53.75579,-0.84574,6.96078,14.63068,6.8886,-1.77815,6.93647,8.49914
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-2.32212,109.4062,-1.41113,-5.12403,117.42039,1.55692,-13.43678,125.43118,13.17334,-15.94556,127.70138,18.67256,-8.11703,122.74472,14.06315,-4.84932,120.47782,17.6388,-0.32582,96.57724,17.21328,-4.64281,74.72275,18.02573,-15.07763,125.21411,7.37963,-19.70928,125.05835,4.71017,-23.96732,102.39871,-3.05547,-27.96396,80.46895,-3.20835,3.18218,91.60036,2.57984,-10.17105,55.81814,10.86575,4.54715,17.70669,14.13606,-2.04314,8.43534,17.09811,-2.53509,91.93352,-9.0226,-2.04339,53.70336,-0.92649,7.83632,14.65913,6.67235,-0.88255,6.94321,8.28773
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-2.3594,109.40538,-1.45873,-5.16215,117.42362,1.49752,-13.40658,125.4609,13.14431,-15.8586,127.73303,18.66828,-8.09022,122.76102,14.01355,-4.80711,120.48211,17.56741,-0.70544,96.50303,17.3209,-5.62513,74.78447,18.32883,-15.07164,125.24561,7.35745,-19.70968,125.09224,4.69897,-23.37754,102.35382,-3.13727,-26.8149,80.32984,-2.93844,3.19487,91.62663,2.58346,-10.58984,55.94432,10.5889,-0.43145,16.44141,14.60518,-7.98633,7.95518,17.61702,-2.53739,91.90748,-9.01296,-1.55895,53.67057,-0.9933,8.79898,14.71333,6.4128,0.10853,6.96389,8.0208
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,-2.3934,109.40399,-1.49772,-5.19469,117.42185,1.46099,-13.35124,125.44283,13.18064,-15.75076,127.71594,18.72722,-8.03653,122.72734,14.01041,-4.73226,120.44877,17.54481,-0.93379,96.41889,17.41304,-6.42036,74.84811,18.64361,-15.05059,125.24962,7.40298,-19.69618,125.09183,4.75797,-22.61232,102.25568,-3.10981,-25.36241,80.14134,-2.55846,3.20638,91.64903,2.58604,-10.72747,55.95372,10.26881,-5.82439,15.51328,14.7781,-14.10128,7.70892,17.7359,-2.53942,91.88546,-9.00467,-1.15067,53.63664,-1.10321,9.8919,14.82812,6.09144,1.19865,7.07442,7.66344
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,-2.48324,109.39235,-1.52389,-5.30339,117.4002,1.44398,-13.36976,125.39374,13.24453,-15.70046,127.67778,18.81591,-8.05355,122.66793,14.02969,-4.71989,120.4067,17.54758,-1.06623,96.35418,17.45746,-7.06844,74.93637,18.92932,-15.10799,125.22219,7.47776,-19.767,125.05439,4.85708,-21.76233,102.11986,-3.01195,-23.70676,79.92883,-2.18242,3.2307,91.67946,2.58433,-10.55723,55.83414,9.81889,-11.41276,15.12208,14.46633,-20.07896,7.6793,17.23501,-2.53871,91.85828,-8.99567,-0.97619,53.58881,-1.22779,11.08687,15.0257,5.64044,2.37895,7.28129,7.17658
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,-2.62832,109.36863,-1.52671,-5.48634,117.36464,1.43687,-13.47922,125.42228,13.24382,-15.73396,127.72986,18.83672,-8.15904,122.69916,14.01113,-4.80243,120.45159,17.51594,-1.10311,96.40606,17.42478,-7.55656,75.13537,19.10594,-15.25234,125.22093,7.48865,-19.92668,125.04311,4.89607,-20.8691,102.01833,-2.90564,-21.98684,79.78083,-1.83076,3.26958,91.71481,2.5758,-10.28485,55.65561,9.15944,-16.29955,15.37767,13.77612,-25.26471,8.13769,16.09391,-2.53716,91.82954,-8.98635,-0.94207,53.5328,-1.36077,12.44835,15.34224,5.11846,3.70829,7.62446,6.60534
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,-2.80187,109.33474,-1.4921,-5.70487,117.31054,1.4822,-13.63479,125.42928,13.28975,-15.84177,127.76837,18.8886,-8.32059,122.69208,14.04841,-4.95598,120.44281,17.54444,-1.03343,96.43273,17.44163,-7.83203,75.28295,19.28049,-15.42704,125.21567,7.54095,-20.10821,125.01661,4.96228,-19.92478,101.90124,-2.62332,-20.2565,79.64673,-1.38322,3.31807,91.74472,2.5589,-10.24639,55.55401,8.35293,-19.16452,15.77621,12.59511,-28.25617,8.613,14.64304,-2.53728,91.80907,-8.9791,-0.88884,53.48553,-1.50095,14.09353,15.80815,4.47791,5.31385,8.12683,5.9195
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,-3.16144,109.26909,-1.53413,-6.18807,117.20903,1.41273,-14.12342,125.39646,13.1691,-16.31017,127.71998,18.78236,-8.81677,122.65094,13.9502,-5.46675,120.35737,17.43143,-1.23782,96.39933,17.33568,-8.22433,75.31594,19.23172,-15.90478,125.16176,7.41774,-20.57278,124.9246,4.8185,-19.31639,101.70706,-2.34131,-18.9249,79.45701,-1.04007,3.39582,91.8452,2.55042,-12.13898,56.46322,8.39146,-18.55238,16.11392,11.64813,-27.39298,8.62306,13.62151,-2.51484,91.72689,-8.95891,-0.85195,53.36103,-1.70426,15.90399,16.33973,3.63096,7.11198,8.67628,5.09235
