time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,0.9864,109.20328,-456.22079,1.21775,118.01262,-458.0178,2.19991,134.2939,-459.49126,3.17757,140.56159,-460.69519,6.88464,130.72313,-458.22184,11.8156,129.51636,-456.53916,16.19785,105.86919,-452.86653,17.0114,85.13976,-444.70907,-2.77595,131.08907,-460.62105,-8.03667,130.44959,-461.34105,-15.09312,107.17104,-460.88196,-20.98206,87.17971,-452.97133,7.09856,92.21333,-450.11699,6.84715,53.15851,-448.70615,8.42098,14.53395,-462.32485,8.72417,7.04306,-453.27177,-5.44334,91.51359,-453.21952,-15.29642,53.90531,-449.23599,-17.39117,15.01534,-462.00254,-20.31196,7.08029,-453.83753
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.01415,109.20138,-456.22695,1.25999,118.01332,-458.00919,2.26408,134.30158,-459.38771,3.24291,140.58094,-460.52826,6.93971,130.71929,-458.11718,11.85904,129.49536,-456.41298,16.28527,105.87504,-452.62224,17.18617,85.1354,-444.49999,-2.70967,131.10789,-460.55759,-7.96768,130.47004,-461.29854,-14.79604,107.12369,-460.83258,-20.30445,87.20365,-452.48031,7.08718,92.21097,-450.08549,6.87691,53.15941,-448.58075,8.62041,14.53211,-462.171,8.92118,7.04124,-453.11783,-5.4397,91.51648,-453.2493,-15.06457,53.82185,-449.53302,-17.1345,14.85391,-462.06369,-20.09043,7.08213,-453.75553
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.05465,109.1889,-456.27224,1.31927,118.00018,-458.05508,2.34335,134.29482,-459.3403,3.32151,140.58697,-460.40861,7.00949,130.7019,-458.06495,11.91967,129.46048,-456.34707,16.4331,105.86928,-452.47858,17.43139,85.12574,-444.37769,-2.62679,131.11156,-460.5532,-7.88129,130.46834,-461.31411,-14.45521,107.04911,-460.84634,-19.56132,87.17485,-452.13702,7.0711,92.21205,-450.03828,6.94005,53.16148,-448.49941,8.86369,14.54278,-462.08979,9.16319,7.05193,-453.03656,-5.4349,91.51887,-453.2839,-14.72199,53.69846,-450.0127,-16.81693,14.64432,-462.26782,-19.82587,7.09608,-453.77465
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,1.16605,109.16717,-456.34591,1.47279,117.97457,-458.14112,2.49597,134.27607,-459.33694,3.47093,140.57946,-460.33988,7.15779,130.67836,-458.05928,12.057,129.40174,-456.33588,16.71327,105.84296,-452.43926,17.82459,85.10139,-444.34803,-2.46735,131.09724,-460.58875,-7.71712,130.43494,-461.36578,-14.01339,106.93979,-460.88586,-18.72404,87.06669,-451.95387,7.04697,92.18813,-449.98978,7.03211,53.13739,-448.44986,9.20051,14.54428,-462.07605,9.48876,7.05343,-453.02246,-5.44181,91.54885,-453.31187,-14.5089,53.6512,-450.3303,-16.70002,14.54428,-462.3989,-19.57892,7.05334,-453.81046
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.31063,109.14948,-456.397,1.66866,117.95318,-458.20081,2.67265,134.26032,-459.33449,3.64291,140.57352,-460.2786,7.3373,130.66381,-458.06377,12.22726,129.35683,-456.33687,17.03177,105.82104,-452.48147,18.24009,85.07747,-444.4093,-2.28486,131.07986,-460.60502,-7.53094,130.39097,-461.38388,-13.56147,106.82611,-460.90873,-17.85565,86.89232,-451.90236,7.02107,92.14531,-449.95322,7.17,53.09284,-448.46486,9.55379,14.49656,-462.04602,9.84757,7.00571,-452.99261,-5.45621,91.5966,-453.33419,-14.3014,53.64192,-450.41206,-16.36383,14.49628,-462.37735,-19.24223,7.00543,-453.78865
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.40696,109.15828,-456.35294,1.78854,117.96578,-458.13328,2.72217,134.27957,-459.23077,3.67038,140.60292,-460.1282,7.40374,130.69986,-457.97494,12.29456,129.39983,-456.24522,17.16876,105.86576,-452.46756,18.46684,85.08441,-444.50728,-2.2237,131.08115,-460.50162,-7.46884,130.37623,-461.27235,-13.24702,106.74816,-460.80059,-17.17119,86.70344,-451.87192,7.0059,92.1029,-449.94677,7.36657,53.04973,-448.51415,9.91542,14.42035,-461.97064,10.20704,6.9295,-452.91715,-5.46788,91.63656,-453.35292,-14.09194,53.62588,-450.49844,-16.01289,14.42052,-462.2905,-18.89042,6.92965,-453.70155
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.47909,109.16273,-456.3261,1.87424,117.97169,-458.09617,2.72935,134.28981,-459.19326,3.65134,140.62206,-460.05451,7.43082,130.73162,-457.95069,12.33608,129.47603,-456.22906,17.20986,105.92516,-452.5571,18.58088,85.08584,-444.76233,-2.20506,131.06874,-460.45135,-7.45138,130.35602,-461.20676,-13.01826,106.67661,-460.76975,-16.63542,86.49553,-452.02041,7.0026,92.06388,-449.97051,7.59436,53.01468,-448.50668,10.2873,14.36117,-461.86546,10.5796,6.87031,-452.812,-5.48468,91.67434,-453.33665,-13.91064,53.61411,-450.55166,-15.64383,14.36067,-462.21211,-18.52089,6.86984,-453.62296
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.54113,109.15892,-456.33016,1.94492,117.96729,-458.10122,2.71569,134.28989,-459.19419,3.60583,140.6308,-460.02474,7.44066,130.75378,-457.97799,12.36657,129.54363,-456.28301,17.23323,105.97464,-452.71938,18.65135,85.07701,-445.09092,-2.20964,131.0457,-460.42825,-7.45625,130.30908,-461.15829,-12.8329,106.58405,-460.82697,-16.21716,86.26742,-452.30098,7.00453,92.02917,-450.00591,7.89672,52.98198,-448.64459,10.7387,14.30576,-461.90643,11.03116,6.81492,-452.85295,-5.5039,91.71011,-453.30012,-13.70709,53.5965,-450.58085,-15.22529,14.30825,-462.15373,-18.10737,6.81745,-453.56624
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.59972,109.14455,-456.37271,2.01283,117.94949,-458.15863,2.70973,134.27605,-459.24195,3.56408,140.62657,-460.03584,7.45695,130.75824,-458.05983,12.404,129.57585,-456.40732,17.30776,105.994,-452.98241,18.72088,85.06092,-445.45083,-2.21026,131.01281,-460.44671,-7.45647,130.23505,-461.13586,-12.64968,106.4673,-460.99512,-15.87224,86.01309,-452.73974,7.00946,91.9981,-450.04757,8.14745,52.96116,-448.57977,11.1656,14.29036,-461.81847,11.46378,6.79951,-452.76519,-5.52516,91.74518,-453.24661,-13.49568,53.58006,-450.55814,-14.78487,14.29038,-462.15393,-17.66523,6.79947,-453.56596
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,1.65004,109.13027,-456.41521,2.07059,117.93175,-458.21639,2.70296,134.26143,-459.29227,3.52311,140.62003,-460.05703,7.47274,130.75851,-458.15767,12.44448,129.59783,-456.56499,17.40414,106.00685,-453.28655,18.80063,85.05885,-445.79344,-2.21722,130.98278,-460.45368,-7.46386,130.16075,-461.08572,-12.50532,106.35998,-461.13375,-15.64127,85.74185,-453.26168,7.01626,91.96852,-450.09451,8.42484,52.93874,-448.67178,11.63148,14.25675,-461.83325,11.93253,6.76589,-452.78008,-5.54598,91.77874,-453.18783,-13.22953,53.54987,-450.57049,-14.32975,14.25669,-462.17386,-17.20682,6.76577,-453.58479
