time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.08738,109.63966,-453.79175,2.32975,118.54361,-453.53987,8.39329,133.08276,-449.06077,10.8674,138.79146,-447.33484,9.63978,130.36355,-454.29152,12.90575,129.75328,-458.48235,16.59326,106.11615,-462.90601,22.93757,86.17999,-455.21088,4.27442,130.01827,-445.90636,2.00632,128.35922,-441.356,-1.10963,104.57934,-437.269,1.17193,82.67312,-433.83056,4.26943,91.20557,-457.44306,18.27517,54.73872,-456.28516,-10.53388,27.97739,-467.84684,-11.51126,17.4991,-462.61101,-2.64235,92.39975,-446.57034,10.40041,56.82357,-437.00184,3.78499,17.55336,-446.69153,10.09472,10.06245,-440.19252
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.95112,109.63193,-453.88138,2.13067,118.5463,-453.70829,8.18143,133.16979,-449.4943,10.68101,138.90677,-447.90423,9.42964,130.35742,-454.67514,12.66767,129.70511,-458.8813,15.84622,106.05256,-463.60721,22.20622,85.87795,-456.57508,4.06587,130.15914,-446.2842,1.85833,128.59925,-441.66945,-0.58217,104.80367,-437.22987,2.70452,83.10288,-433.33316,4.40931,91.21277,-457.35248,19.74719,55.34199,-455.03538,-7.22565,27.51275,-468.36962,-6.86451,16.38121,-464.61168,-2.74426,92.3947,-446.63595,8.1804,55.93571,-437.76308,1.38851,16.5746,-446.94875,7.70258,9.08377,-440.45386
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.89974,109.62411,-453.95605,2.04159,118.54458,-453.86379,8.02999,133.27424,-449.94053,10.53895,139.045,-448.49389,9.3217,130.34766,-455.04691,12.56803,129.63289,-459.23648,15.1304,105.95956,-464.22528,21.32587,85.43107,-458.13324,3.89788,130.32781,-446.69233,1.69943,128.89792,-442.03135,-0.29138,105.13955,-437.18656,4.44909,83.80102,-432.81551,4.54157,91.20885,-457.25586,20.64394,55.73741,-454.12163,-3.30545,26.04986,-469.11761,-1.29853,14.818,-466.29251,-2.86221,92.4008,-446.71176,5.87258,55.17068,-438.65225,-0.93731,15.66487,-447.17983,5.37583,8.17403,-440.68407
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,0.87956,109.61721,-454.01775,1.99888,118.541,-454.001,7.9325,133.36518,-450.3607,10.42329,139.17839,-449.06003,9.29606,130.31293,-455.374,12.57632,129.50899,-459.52075,14.50272,105.82099,-464.72155,20.28843,84.88526,-459.70796,3.7546,130.49929,-447.09905,1.51285,129.20942,-442.41789,-0.19624,105.53983,-437.0583,6.35346,84.77134,-432.29571,4.68706,91.20511,-457.1436,21.11888,55.9137,-453.70206,1.32266,23.90636,-469.93299,4.98684,13.02361,-467.42242,-3.00207,92.40646,-446.80683,3.59582,54.59395,-439.45727,-3.24635,14.95881,-447.33402,3.05551,7.46797,-440.82729
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.94305,109.61204,-454.06001,2.07943,118.53356,-454.10921,7.99083,133.42969,-450.73632,10.45699,139.28286,-449.5754,9.44328,130.24428,-455.64062,12.77709,129.32539,-459.72025,14.05587,105.63699,-465.11517,19.20217,84.29344,-461.25718,3.73894,130.66182,-447.48566,1.41332,129.50985,-442.80945,-0.1552,105.98554,-436.80596,8.31065,85.97927,-431.80698,4.83372,91.18934,-457.01632,21.30661,55.89314,-453.8296,6.46904,21.47506,-470.41408,11.75489,11.3179,-467.75787,-3.16642,92.42367,-446.92232,1.41788,54.20289,-440.17772,-5.58348,14.46344,-447.35825,0.7138,6.97263,-440.84705
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.06072,109.61183,-454.0519,2.23432,118.5282,-454.14153,8.11533,133.48651,-450.99848,10.53915,139.38364,-449.97956,9.68453,130.16986,-455.77823,13.09735,129.1197,-459.75967,13.741,105.44964,-465.34492,18.00797,83.73078,-462.69927,3.76712,130.8186,-447.79196,1.32201,129.79386,-443.14719,-0.20634,106.46822,-436.40377,10.05881,87.347,-431.31293,4.98872,91.17616,-456.87506,21.32796,55.7688,-454.29041,11.98266,19.17371,-470.2048,18.63562,9.97763,-467.14965,-3.35422,92.43691,-447.06585,-0.46735,54.00725,-440.57266,-7.95312,14.25726,-447.1836,-1.66824,6.76641,-440.66049
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,1.2456,109.60548,-454.07505,2.48011,118.51307,-454.20897,8.30953,133.5268,-451.23879,10.67844,139.46703,-450.34935,10.02588,130.08815,-455.87974,13.55141,128.91107,-459.72515,13.54394,105.27527,-465.48966,16.71857,83.25467,-464.10027,3.84567,130.95217,-448.116,1.25382,130.05736,-443.52426,-0.28241,106.96246,-436.0302,11.49952,88.76018,-430.85584,5.1254,91.13364,-456.72296,21.23158,55.57969,-454.76326,17.39546,17.43113,-469.24684,25.15617,9.34296,-465.70899,-3.54241,92.4812,-447.2115,-2.05378,54.00238,-440.54078,-10.43489,14.37988,-446.83502,-4.15869,6.88903,-440.30356
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,1.43395,109.59186,-454.13879,2.72585,118.49038,-454.32453,8.47036,133.56019,-451.47545,10.78362,139.53807,-450.6989,10.35059,130.01694,-455.97197,14.01567,128.72523,-459.64631,13.3535,105.1259,-465.52119,15.31639,82.92154,-465.35226,3.88907,131.06082,-448.46356,1.1324,130.2896,-443.94598,-0.46703,107.44156,-435.74207,12.42753,90.06765,-430.37658,5.2421,91.07544,-456.57061,20.94823,55.33408,-454.78056,21.73369,16.32745,-467.33718,30.33176,9.21755,-463.63771,-3.7116,92.54319,-447.34609,-3.57501,54.09996,-440.3152,-13.17536,14.71247,-446.33697,-6.90858,7.22165,-439.79643
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,1.56398,109.58971,-454.11183,2.88903,118.48329,-454.30055,8.53825,133.59865,-451.50269,10.81211,139.60273,-450.81722,10.59539,129.96904,-455.85041,14.41731,128.57215,-459.32081,13.13482,104.99828,-465.19523,13.88735,82.74002,-466.15397,3.83266,131.1613,-448.63507,0.90129,130.48972,-444.21256,-0.79227,107.90167,-435.33521,12.77067,91.16719,-429.59809,5.38418,91.05877,-456.41043,21.3043,55.45082,-453.96986,24.48488,16.23745,-465.45891,32.69811,8.85158,-461.43952,-3.88992,92.56047,-447.51377,-5.27801,54.24084,-439.96304,-16.32188,15.17465,-445.5905,-10.07057,7.68372,-439.0353
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,1.55682,109.55556,-454.37791,2.8428,118.45194,-454.67431,8.3111,133.63927,-451.90689,10.46977,139.69163,-451.27581,10.59064,129.92929,-456.07202,14.58612,128.47335,-459.31524,12.77067,104.90664,-465.07673,12.4579,82.69806,-466.97319,3.47399,131.24492,-449.22809,0.34508,130.6936,-444.92594,-1.39836,108.3697,-435.41283,12.34629,91.98539,-429.12395,5.63294,91.01576,-456.0909,21.41795,55.38747,-453.12595,22.50384,16.59894,-466.31967,29.7357,8.95963,-461.07518,-4.13668,92.61299,-447.75916,-7.48455,54.54149,-439.593,-20.38914,16.00942,-444.93667,-14.15435,8.51849,-438.36575
