time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,0.44867,109.71002,-452.60671,-0.8657,118.56563,-451.74774,-6.80131,132.82686,-446.30698,-8.80094,138.50422,-443.97068,-2.52608,129.64737,-443.49241,0.26411,128.35082,-439.11795,2.61148,104.58976,-434.45079,-0.2617,83.06958,-429.39684,-8.26891,130.35084,-451.60056,-11.96538,129.59401,-455.39079,-12.8859,107.15559,-464.74842,-18.69123,86.49272,-458.72719,4.06352,92.00985,-446.53136,-7.17901,56.01114,-436.28291,5.81605,17.49995,-441.5574,-0.92236,9.90208,-435.63881,-2.25845,91.57586,-457.81227,-14.8182,54.56794,-457.84342,15.46055,27.52103,-463.45277,15.72343,17.01879,-458.18044
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.56631,109.71393,-452.5457,-0.72903,118.57519,-451.71666,-6.83338,132.87264,-446.56538,-8.94698,138.5554,-444.34544,-2.52721,129.79741,-443.68294,0.25011,128.65134,-439.25858,2.17201,105.06488,-433.61358,-2.54668,84.05285,-427.85648,-8.2645,130.2768,-451.81134,-11.94271,129.44456,-455.60353,-12.64119,107.10171,-465.20585,-18.49204,86.33352,-459.60579,4.13145,91.96429,-446.58639,-4.88043,55.17862,-436.94621,8.1329,16.59065,-441.57486,1.40404,8.99382,-435.64407,-2.35917,91.62033,-457.77424,-16.99736,55.38441,-457.89886,11.0389,26.18705,-464.32424,10.2655,15.5123,-459.46469
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.67143,109.71533,-452.55151,-0.60356,118.58579,-451.79218,-6.84181,132.9509,-447.00222,-9.05807,138.64408,-444.91294,-2.5093,129.98838,-444.04224,0.25766,129.01692,-439.56986,1.86211,105.6929,-432.83955,-4.6504,85.32381,-426.5465,-8.24598,130.21168,-452.18213,-11.90543,129.29695,-455.97346,-12.46471,106.92038,-465.50614,-18.31421,85.98149,-460.58099,4.19799,91.94438,-446.63289,-2.37647,54.50907,-437.5386,10.51435,15.81533,-441.5913,3.7967,8.21175,-435.65646,-2.455,91.63984,-457.72612,-18.67016,56.08326,-458.08942,6.04745,24.18362,-465.24874,3.64639,13.4626,-461.07044
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,0.70204,109.71398,-452.62382,-0.58081,118.59123,-451.9636,-6.9485,133.02237,-447.55785,-9.26152,138.73246,-445.62548,-2.58419,130.18284,-444.52495,0.18954,129.39384,-440.02096,1.55324,106.42158,-432.12816,-6.57356,86.7826,-425.40646,-8.33355,130.12951,-452.65878,-11.97065,129.09979,-456.44213,-12.43466,106.59722,-465.67872,-18.2189,85.46821,-461.55335,4.28353,91.96303,-446.67822,0.01807,54.0698,-438.12012,12.8435,15.29986,-441.61351,6.1548,7.67935,-435.6677,-2.54907,91.62157,-457.66065,-19.92857,56.62517,-458.39455,0.23001,21.78087,-466.09586,-4.02119,11.34194,-462.76124
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.70203,109.71209,-452.6925,-0.60574,118.59222,-452.12677,-7.12782,133.06295,-448.09234,-9.54503,138.78454,-446.32889,-2.71274,130.36343,-445.00556,0.09273,129.73983,-440.49529,1.28046,107.19957,-431.41748,-8.20765,88.32676,-424.2965,-8.50405,130.01088,-453.10208,-12.11399,128.81397,-456.86215,-12.48005,106.1332,-465.65671,-18.07581,84.81333,-462.33081,4.39943,91.98615,-446.74325,2.29419,53.82616,-438.57526,15.22246,15.04219,-441.48497,8.55537,7.40437,-435.53711,-2.66497,91.59898,-457.57648,-20.57852,56.88044,-458.60681,-6.24086,19.33565,-466.64569,-12.38228,9.62918,-464.14951
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.60896,109.70933,-452.74408,-0.76581,118.58422,-452.26083,-7.47039,133.06254,-448.56721,-10.00163,138.78805,-446.98588,-2.98167,130.51999,-445.45348,-0.11418,130.04727,-440.96392,0.96347,108.01012,-430.7129,-9.59832,89.87426,-423.19926,-8.85115,129.84823,-453.47314,-12.43652,128.44284,-457.18428,-12.64311,105.54171,-465.39348,-17.90806,84.02186,-462.92619,4.5443,92.02427,-446.82591,4.2367,53.78244,-438.77602,17.60656,15.11281,-441.16542,10.97998,7.44572,-435.20995,-2.78391,91.56163,-457.47944,-20.55591,56.77809,-458.74243,-13.23623,17.23792,-466.66711,-21.07808,8.66203,-464.89992
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.43546,109.70388,-452.79782,-1.04012,118.56645,-452.39197,-7.93318,133.02928,-448.99664,-10.57239,138.74854,-447.57752,-3.34754,130.65489,-445.89136,-0.39527,130.3406,-441.44306,0.57871,108.83048,-430.11846,-10.62742,91.29666,-422.1245,-9.34161,129.65113,-453.78317,-12.92224,128.02073,-457.4058,-12.88557,104.88742,-464.93866,-17.59368,83.16647,-463.22252,4.7014,92.08371,-446.91526,5.81592,53.92974,-438.5269,20.12871,15.58124,-440.61023,13.55373,7.88034,-434.6412,-2.89265,91.50371,-457.37512,-19.90644,56.35147,-458.85337,-20.31169,16.02053,-466.13718,-29.59402,8.93561,-464.79334
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.13127,109.6993,-452.58475,-1.48929,118.53503,-452.14806,-8.54781,132.97637,-449.01103,-11.32532,138.65313,-447.68851,-3.84928,130.77131,-445.94997,-0.78562,130.59795,-441.56978,0.07097,109.63375,-429.25518,-11.35148,92.54479,-420.62903,-10.01138,129.43482,-453.66096,-13.61571,127.56954,-457.14406,-13.28777,104.20359,-463.91314,-17.19054,82.28437,-462.80543,4.89131,92.0912,-447.0557,7.32738,54.14497,-438.02901,22.81153,16.23441,-439.7123,16.30142,8.49391,-433.7234,-2.9978,91.49749,-457.29406,-19.86668,56.28315,-458.94496,-25.42753,16.27084,-465.86554,-35.23763,10.13281,-463.80396
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.14706,109.69753,-452.68027,-1.47882,118.53582,-452.32204,-8.60681,132.99165,-449.41747,-11.4239,138.67102,-448.1935,-3.79065,130.93482,-446.43709,-0.59691,130.92213,-442.14734,0.13856,110.44917,-429.02493,-11.07802,93.62559,-419.64032,-10.17108,129.28999,-453.90715,-13.8341,127.21265,-457.20404,-13.17245,103.60512,-463.04714,-16.07411,81.51051,-462.48171,5.11496,92.12336,-447.22666,9.25061,54.53522,-437.35952,26.46731,17.36728,-438.74952,20.11061,9.52269,-432.73135,-3.22585,91.46583,-457.09647,-21.59067,56.9754,-457.78774,-23.9104,16.75491,-465.31991,-32.85684,9.50116,-462.973
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.33877,109.69883,-452.85603,-1.2437,118.54849,-452.5983,-8.52706,132.96511,-449.89099,-11.35217,138.66822,-448.80351,-3.61359,131.05602,-446.97179,-0.30088,131.20744,-442.77595,0.54374,110.97487,-429.29223,-10.11926,94.24686,-419.12416,-10.13487,129.12859,-454.25018,-13.82668,126.81501,-457.35186,-12.97942,103.0018,-462.26192,-14.77918,80.78442,-462.0174,5.28311,92.12688,-447.37393,10.76324,54.99867,-436.47452,29.84974,18.75486,-437.85093,23.96672,10.62803,-431.72653,-3.44743,91.46195,-456.90022,-23.27303,57.79837,-455.87909,-19.92889,17.75629,-463.95692,-28.77204,10.32639,-461.77542
