time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.39315, 109.65421,  -3.14639,  -0.56040, 118.64385,  -3.35946,  -0.66630, 134.99803,  -4.22301,  -0.52220, 141.37575,  -5.21958,   4.34004, 131.65882,  -3.91522,   9.63543, 131.24078,  -3.29380,  16.14384, 108.06257,  -6.79973,  22.77979,  87.14390,  -2.88962,  -5.59251, 131.55561,  -4.65745, -10.89807, 130.89427,  -4.53012, -16.02768, 107.72092,  -9.87596, -21.52660,  86.12131, -10.23663,   6.47619,  91.90005,  -2.21083,   2.96582,  54.00623,   6.68122,   0.07186,  13.33243,   2.54960,  -0.37542,   5.84157,  11.59673,  -6.36663,  91.56472,  -3.74837,  -4.85774,  52.74654,   0.51848,   2.78948,  13.33156,  -7.71450,  -3.37233,   5.84067,  -1.07504
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.38708, 109.65404,  -3.17695,  -0.54719, 118.64416,  -3.37515,  -0.62363, 135.00549,  -4.09417,  -0.49648, 141.38790,  -5.06262,   4.37700, 131.65413,  -3.82840,   9.67528, 131.26633,  -3.21204,  16.01485, 108.08218,  -6.97845,  22.44085,  87.05403,  -3.31260,  -5.55755, 131.57646,  -4.54660, -10.86904, 130.96735,  -4.40699, -15.96486, 107.79244,  -9.77835, -21.32731,  86.16518, -10.42407,   6.47797,  91.89890,  -2.22861,   3.00314,  54.00796,   6.68959,   0.02838,  13.34176,   2.54061,  -0.41195,   5.85090,  11.58807,  -6.37011,  91.56591,  -3.72208,  -4.89824,  52.74801,   0.56022,   2.74279,  13.34093,  -7.71626,  -3.41870,   5.85004,  -1.07653
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.38940, 109.65406,  -3.16980,  -0.55083, 118.64455,  -3.34916,  -0.62767, 135.00954,  -3.97945,  -0.51572, 141.39366,  -4.93845,   4.37294, 131.65708,  -3.72764,   9.66834, 131.24475,  -3.10256,  15.93602, 108.09591,  -7.19259,  22.26669,  86.97477,  -3.91608,  -5.56100, 131.58273,  -4.45465, -10.87239, 130.97252,  -4.31589, -15.95310, 107.82152,  -9.80338, -21.27264,  86.18954, -10.62248,   6.48228,  91.89923,  -2.26477,   3.04223,  54.00880,   6.66910,  -0.04126,  13.34601,   2.56638,  -0.47964,   5.85514,  11.61394,  -6.37377,  91.56558,  -3.68791,  -4.99262,  52.74459,   0.59657,   2.66818,  13.34561,  -7.70018,  -3.49249,   5.85469,  -1.05970
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.37422, 109.65484,  -3.12651,  -0.52966, 118.64602,  -3.27360,  -0.60449, 135.01412,  -3.81743,  -0.50165, 141.40003,  -4.76547,   4.39594, 131.65942,  -3.59327,   9.68945, 131.21341,  -2.97528,  15.88905, 108.09523,  -7.33367,  22.20769,  86.89708,  -4.57164,  -5.53943, 131.59080,  -4.30086, -10.84773, 130.95527,  -4.15742, -15.92170, 107.84894,  -9.83614, -21.23648,  86.22251, -10.81663,   6.48300,  91.89083,  -2.29494,   3.02227,  54.00739,   6.66058,  -0.14169,  13.34511,   2.61446,  -0.57341,   5.85425,  11.66235,  -6.37872,  91.57377,  -3.66981,  -5.01026,  52.75658,   0.65306,   2.56442,  13.34450,  -7.66052,  -3.59447,   5.85360,  -1.01838
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.36323, 109.65515,  -3.12019,  -0.51604, 118.64664,  -3.25019,  -0.59882, 135.01717,  -3.71374,  -0.49741, 141.40515,  -4.64791,   4.40335, 131.66370,  -3.51106,   9.69799, 131.21994,  -2.90112,  15.85046, 108.13406,  -7.49133,  22.19918,  86.87734,  -5.30939,  -5.53270, 131.59400,  -4.20896, -10.84091, 130.95839,  -4.06264, -15.89867, 107.89164,  -9.91408, -21.20015,  86.27362, -11.12522,   6.48144,  91.88602,  -2.29449,   2.94665,  54.01261,   6.67446,  -0.24248,  13.35534,   2.59775,  -0.67088,   5.86447,  11.64578,  -6.38022,  91.57849,  -3.67202,  -5.03966,  52.76572,   0.69903,   2.47424,  13.35494,  -7.67560,  -3.68554,   5.86405,  -1.03426
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.35457, 109.65548,  -3.10046,  -0.50657, 118.64726,  -3.20966,  -0.60214, 135.01962,  -3.60049,  -0.50121, 141.40754,  -4.53511,   4.40268, 131.66916,  -3.41417,   9.69883, 131.24606,  -2.80272,  15.86969, 108.21613,  -7.64249,  22.26336,  86.91933,  -6.06688,  -5.53353, 131.59487,  -4.10945, -10.84307, 130.97117,  -3.96029, -15.90556, 107.94880,  -9.98001, -21.21123,  86.34726, -11.44097,   6.47985,  91.88158,  -2.29271,   2.89458,  54.01179,   6.67148,  -0.33920,  13.36106,   2.56492,  -0.76692,   5.87020,  11.61300,  -6.38105,  91.58283,  -3.67930,  -5.06356,  52.77172,   0.71343,   2.37548,  13.36082,  -7.72722,  -3.78362,   5.87005,  -1.08512
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.35661, 109.65553,  -3.08398,  -0.51112, 118.64749,  -3.17376,  -0.61595, 135.02134,  -3.49277,  -0.51901, 141.41070,  -4.41798,   4.39078, 131.67292,  -3.32168,   9.68690, 131.26049,  -2.70277,  15.95341, 108.30981,  -7.78981,  22.39659,  86.99607,  -6.72909,  -5.54546, 131.59607,  -4.01623, -10.85458, 130.96966,  -3.86360, -15.96574, 108.00082, -10.04454, -21.31780,  86.42710, -11.73008,   6.48003,  91.88169,  -2.29404,   2.85905,  54.00070,   6.60829,  -0.40873,  13.35071,   2.52136,  -0.84015,   5.85986,  11.56926,  -6.38066,  91.58271,  -3.68255,  -5.07141,  52.77101,   0.70744,   2.28247,  13.35084,  -7.76447,  -3.87649,   5.86001,  -1.12231
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.34837, 109.65586,  -3.05046,  -0.50211, 118.64803,  -3.11719,  -0.61903, 135.02281,  -3.37963,  -0.51572, 141.41247,  -4.30202,   4.39011, 131.67756,  -3.21687,   9.68743, 131.27635,  -2.60084,  16.09936, 108.40719,  -7.87053,  22.61625,  87.09691,  -7.30723,  -5.54562, 131.59568,  -3.91813, -10.85487, 130.96934,  -3.76964, -16.04159, 108.04709, -10.05961, -21.44198,  86.50913, -12.02504,   6.47973,  91.87679,  -2.30558,   2.84761,  53.99187,   6.57547,  -0.47804,  13.34846,   2.46984,  -0.91013,   5.85758,  11.51769,  -6.38265,  91.58752,  -3.68036,  -5.10169,  52.76890,   0.65644,   2.23087,  13.34762,  -7.82880,  -3.92888,   5.85678,  -1.18739
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.34376, 109.65595,  -3.05583,  -0.49557, 118.64818,  -3.11737,  -0.61094, 135.02356,  -3.34014,  -0.50692, 141.41428,  -4.25507,   4.39806, 131.67734,  -3.19409,   9.69674, 131.29062,  -2.58055,  16.19950, 108.48823,  -8.02535,  22.81259,  87.20048,  -7.90506,  -5.53888, 131.59832,  -3.87839, -10.84842, 130.97540,  -3.72593, -16.13147, 108.10295, -10.11623, -21.58283,  86.60805, -12.38842,   6.48082,  91.87511,  -2.32088,   2.85317,  53.99128,   6.56666,  -0.52641,  13.36081,   2.37782,  -0.95454,   5.86996,  11.42588,  -6.38503,  91.58918,  -3.66356,  -5.14549,  52.76722,   0.65541,   2.17202,  13.36101,  -7.91238,  -3.98907,   5.87021,  -1.27215
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.34443, 109.65596,  -3.04564,  -0.49548, 118.64829,  -3.09394,  -0.60519, 135.02433,  -3.26568,  -0.49742, 141.41439,  -4.18478,   4.40285, 131.67583,  -3.14026,   9.70208, 131.29307,  -2.52895,  16.27028, 108.54677,  -8.12768,  22.98748,  87.29225,  -8.32712,  -5.53549, 131.60258,  -3.80448, -10.84459, 130.97975,  -3.63702, -16.21582, 108.16125, -10.14558, -21.71986,  86.71303, -12.71278,   6.48275,  91.87493,  -2.34004,   2.84885,  53.98368,   6.51323,  -0.56633,  13.36109,   2.27713,  -0.99833,   5.87023,  11.32500,  -6.38676,  91.58935,  -3.64724,  -5.13195,  52.76080,   0.60759,   2.14614,  13.35965,  -8.01687,  -4.02028,   5.86880,  -1.38167
