time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.84832, 109.70764,-451.60905,   1.03720, 118.64879,-450.65657,   1.99900, 134.52384,-446.74838,   2.11981, 140.88973,-445.67598,   6.77227, 130.90326,-447.39323,  12.05637, 130.23289,-446.91264,  16.58407, 106.69618,-451.08444,   0.38994,  95.14130,-441.02709,  -3.12483, 131.69883,-448.18791,  -8.44633, 131.17664,-448.29518, -15.69194, 109.21218,-455.84232,  -3.41953,  96.83840,-441.94310,   7.31223,  91.78370,-452.08182,   9.13534,  53.81803,-442.99244,  10.29504,  13.36299,-449.46144,  10.95223,   5.87214,-440.42713,  -5.61853,  91.80267,-452.53982, -11.63780,  53.88317,-445.24505, -15.71855,  13.36329,-449.85914, -17.50738,   5.87239,-440.97939
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.86492, 109.70884,-451.64077,   1.06096, 118.65013,-450.69100,   2.02739, 134.51276,-446.73386,   2.16237, 140.87106,-445.61897,   6.80076, 130.89886,-447.41444,  12.08764, 130.23040,-446.96258,  16.64883, 106.70275,-451.14900,   0.40677,  95.20350,-441.10520,  -3.10086, 131.68784,-448.15774,  -8.42165, 131.15366,-448.23735, -15.64510, 109.19357,-455.81835,  -3.30956,  96.80459,-441.98872,   7.31068,  91.77802,-452.10039,   9.19549,  53.84858,-442.87339,  10.36530,  13.40299,-449.39938,  11.02564,   5.91215,-440.36529,  -5.62161,  91.80801,-452.51242, -11.62605,  53.91536,-445.06743, -15.64344,  13.40288,-449.80053, -17.43495,   5.91201,-440.92128
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.86254, 109.70940,-451.65609,   1.05600, 118.65045,-450.70351,   2.01565, 134.50225,-446.70156,   2.16044, 140.85349,-445.54834,   6.79177, 130.89969,-447.42181,  12.08335, 130.24351,-447.00864,  16.70057, 106.73076,-451.21730,   0.51016,  95.22843,-441.09395,  -3.11555, 131.67204,-448.10417,  -8.43539, 131.12456,-448.14991, -15.67257, 109.17824,-455.75764,  -3.23023,  96.78273,-442.02992,   7.31160,  91.77983,-452.11780,   9.26953,  53.87979,-442.78581,  10.49084,  13.44034,-449.34040,  11.15069,   5.94949,-440.30628,  -5.62187,  91.80605,-452.49073, -11.59433,  53.94476,-444.86272, -15.52133,  13.44002,-449.73586, -17.31966,   5.94913,-440.85801
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.85785, 109.71075,-451.69447,   1.04461, 118.65235,-450.74578,   1.97940, 134.49150,-446.68827,   2.12165, 140.83701,-445.50357,   6.76214, 130.90609,-447.44907,  12.05845, 130.26385,-447.07664,  16.75834, 106.77791,-451.34303,   0.63527,  95.27472,-441.11373,  -3.15111, 131.65130,-448.07305,  -8.46929, 131.08632,-448.08868, -15.72210, 109.14823,-455.70527,  -3.10800,  96.78119,-442.10924,   7.31279,  91.78268,-452.13174,   9.35382,  53.90297,-442.73522,  10.68694,  13.47003,-449.30815,  11.34286,   5.97917,-440.27376,  -5.62175,  91.80283,-452.46610, -11.52093,  53.96602,-444.66163, -15.32798,  13.47008,-449.70027, -17.12769,   5.97924,-440.82266
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.84728, 109.71182,-451.72696,   1.02373, 118.65377,-450.77958,   1.92501, 134.47994,-446.66424,   2.05408, 140.81994,-445.44893,   6.71594, 130.91305,-447.45977,  12.01551, 130.28066,-447.11813,  16.82707, 106.84187,-451.51735,   0.75574,  95.36461,-441.17809,  -3.20227, 131.62852,-448.03788,  -8.51858, 131.04603,-448.02825, -15.77569, 109.11607,-455.66413,  -2.97121,  96.79825,-442.20205,   7.31475,  91.78784,-452.14685,   9.45242,  53.91483,-442.74483,  10.93945,  13.47992,-449.27245,  11.59525,   5.98907,-440.23804,  -5.62076,  91.79736,-452.44194, -11.39660,  53.97238,-444.48929, -15.06680,  13.48020,-449.65802, -16.86911,   5.98933,-440.78097
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.83106, 109.71253,-451.75041,   0.99561, 118.65421,-450.79836,   1.86539, 134.46334,-446.61137,   1.97556, 140.79816,-445.36751,   6.66387, 130.91460,-447.44184,  11.96620, 130.29416,-447.12190,  16.90418, 106.91268,-451.68296,   0.87169,  95.42815,-441.29162,  -3.25855, 131.60315,-447.97923,  -8.57282, 131.00303,-447.94937, -15.83488, 109.08211,-455.60645,  -2.85755,  96.81188,-442.26698,   7.31746,  91.79527,-452.16475,   9.58552,  53.93017,-442.76145,  11.25137,  13.49316,-449.23262,  11.90607,   6.00229,-440.19813,  -5.61895,  91.78973,-452.41750, -11.24740,  53.97980,-444.28958, -14.75734,  13.49325,-449.61148, -16.55770,   6.00240,-440.73401
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.82104, 109.71256,-451.75169,   0.97475, 118.65300,-450.78623,   1.80598, 134.44464,-446.52607,   1.89428, 140.77226,-445.24440,   6.61342, 130.91599,-447.38963,  11.91814, 130.30432,-447.09329,  17.02195, 106.98625,-451.79428,   0.99960,  95.49869,-441.39064,  -3.31298, 131.57394,-447.89059,  -8.62514, 130.95621,-447.84816, -15.87514, 109.04766,-455.55194,  -2.76995,  96.81030,-442.30761,   7.31922,  91.80002,-452.18533,   9.74806,  53.94062,-442.79924,  11.59422,  13.49808,-449.18638,  12.26434,   6.00778,-440.15256,  -5.61793,  91.78498,-452.39656, -11.05844,  53.98046,-444.11689, -14.38296,  13.49447,-449.56077, -16.18489,   6.00360,-440.68363
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.82032, 109.71203,-451.73462,   0.96731, 118.65014,-450.74682,   1.76290, 134.42080,-446.40292,   1.82423, 140.74379,-445.09709,   6.57848, 130.91088,-447.29696,  11.88545, 130.31059,-447.01816,  17.12417, 107.05146,-451.86063,   1.10707,  95.54096,-441.47427,  -3.35094, 131.54266,-447.77093,  -8.66087, 130.90675,-447.71848, -15.89034, 109.01478,-455.48838,  -2.67505,  96.78728,-442.34473,   7.31957,  91.80078,-452.20394,   9.93253,  53.95128,-442.82740,  11.97903,  13.50246,-449.11295,  12.66152,   6.01286,-440.07948,  -5.61807,  91.78436,-452.38271, -10.85784,  53.98391,-443.95628, -13.98440,  13.49395,-449.48717, -15.78014,   6.00313,-440.60874
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.81091, 109.71116,-451.70795,   0.94633, 118.64656,-450.69429,   1.69882, 134.39626,-446.26748,   1.73316, 140.71474,-444.93901,   6.52411, 130.90758,-447.19172,  11.83317, 130.32163,-446.92228,  17.17283, 107.12046,-451.92973,   1.17699,  95.55465,-441.57209,  -3.40848, 131.50815,-447.63892,  -8.71579, 130.85163,-447.57620, -15.91584, 108.98125,-455.43375,  -2.60181,  96.75503,-442.38894,   7.32105,  91.80508,-452.22153,  10.09817,  53.95945,-442.87660,  12.35847,  13.50318,-449.03977,  13.06091,   6.01453,-440.00704,  -5.61693,  91.78031,-452.37255, -10.65646,  53.98396,-443.80674, -13.57655,  13.48874,-449.41154, -15.36874,   5.99780,-440.53250
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.79825, 109.70900,-451.64674,   0.92146, 118.63978,-450.59172,   1.63369, 134.36412,-446.06913,   1.64257, 140.67538,-444.70635,   6.46798, 130.89628,-447.02428,  11.77929, 130.32588,-446.76610,  17.19900, 107.18148,-451.94725,   1.25147,  95.51767,-441.62508,  -3.46729, 131.46862,-447.44847,  -8.77195, 130.79162,-447.37932, -15.94401, 108.94854,-455.33775,  -2.53746,  96.70804,-442.40155,   7.32294,  91.81081,-452.24380,  10.22669,  53.96510,-442.93772,  12.67690,  13.49612,-448.94279,  13.43292,   6.00757,-439.91430,  -5.61530,  91.77519,-452.36734, -10.47334,  53.97491,-443.71446, -13.17853,  13.46454,-449.31763, -14.97119,   5.97374,-440.43857
