time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.91951, 109.55966,-453.07119,   4.13484, 118.36028,-451.67153,   6.02875, 131.95943,-442.74448,   5.93530, 136.46369,-438.11931,  10.02086, 127.44967,-442.92795,  14.83355, 125.69871,-441.38709,  20.53878, 102.18643,-438.83689,  19.73654,  81.93484,-429.55547,   1.49920, 131.05662,-446.61418,  -2.94042, 132.83635,-449.00685, -24.55207, 132.17178,-460.15988, -23.37178, 148.04683,-444.55537,   6.44473,  91.17215,-449.50107,   4.49087,  53.25448,-440.24014,   4.06227,  13.13765,-448.62225,   4.60154,   5.64682,-439.58013,  -5.32821,  92.45546,-454.71313, -20.26361,  56.96053,-448.05144, -24.33356,  16.27807,-450.91075, -28.57831,   6.69459,-445.59072
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.98995, 109.55294,-453.01759,   4.23961, 118.34800,-451.61318,   6.16879, 131.98928,-442.75825,   6.06973, 136.55789,-438.19676,  10.14051, 127.46016,-442.90339,  14.93098, 125.68375,-441.32294,  20.26458, 102.04517,-439.16625,  19.49113,  81.41570,-430.75541,   1.64715, 131.08520,-446.63690,  -2.78098, 132.84747,-449.06353, -24.21754, 132.69962,-460.56777, -23.13940, 148.70574,-445.09027,   6.42686,  91.13880,-449.49902,   4.42076,  53.21377,-440.27946,   3.97229,  13.11422,-448.74277,   4.51370,   5.62335,-439.70079,  -5.32996,  92.49068,-454.73011, -20.44905,  57.05895,-448.14684, -24.60284,  16.38069,-450.94470, -28.72622,   6.70883,-445.68957
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.08273, 109.54268,-452.96070,   4.38190, 118.32953,-451.54982,   6.37784, 132.00641,-442.76487,   6.28675, 136.62523,-438.25406,  10.32389, 127.45408,-442.88102,  15.09404, 125.65089,-441.26974,  19.99740, 101.88285,-439.56147,  19.24936,  80.89096,-432.09847,   1.85588, 131.10748,-446.64435,  -2.56751, 132.86495,-449.08308, -23.84314, 133.14566,-460.87988, -24.28510, 149.50337,-445.74248,   6.41132,  91.09525,-449.51310,   4.38520,  53.16578,-440.31623,   3.92186,  13.08465,-448.86557,   4.45966,   5.59376,-439.82339,  -5.34028,  92.53709,-454.73188, -20.59972,  57.15773,-448.19093, -24.82166,  16.48374,-450.94855, -28.84081,   6.72639,-445.77127
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.18875, 109.52857,-452.92860,   4.54332, 118.30699,-451.51738,   6.61192, 132.00846,-442.78774,   6.51505, 136.66904,-438.32021,  10.53464, 127.43561,-442.88692,  15.28772, 125.60630,-441.25477,  19.79493, 101.72523,-440.13204,  19.00758,  80.43073,-433.58682,   2.08416, 131.11715,-446.66221,  -2.32826, 132.89367,-449.10700, -23.53112, 133.59212,-461.01692, -26.64726, 150.53621,-446.87130,   6.39496,  91.05090,-449.52723,   4.34304,  53.12334,-440.32821,   3.86147,  13.07092,-449.01011,   4.40168,   5.58005,-439.96807,  -5.35346,  92.58538,-454.72670, -20.72660,  57.25331,-448.19632, -25.03393,  16.59017,-450.98188, -28.94623,   6.75265,-445.87497
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.27467, 109.51817,-452.86407,   4.67500, 118.28845,-451.44691,   6.81886, 132.03296,-442.80351,   6.72509, 136.75551,-438.40147,  10.71877, 127.44016,-442.87769,  15.45297, 125.58063,-441.22493,  19.62731, 101.61711,-440.77202,  18.74803,  80.07097,-435.12347,   2.28349, 131.14030,-446.66875,  -2.12245, 132.93136,-449.11461, -23.37634, 134.32970,-460.87099, -29.70241, 151.49813,-448.13769,   6.37616,  91.00971,-449.53373,   4.30263,  53.07963,-440.34994,   3.80178,  13.05027,-449.13643,   4.34113,   5.55943,-440.09430,  -5.35861,  92.62946,-454.73818, -20.83084,  57.34576,-448.18038, -25.26325,  16.69848,-451.00080, -29.06570,   6.78364,-445.96086
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.35158, 109.50750,-452.82533,   4.79523, 118.27143,-451.41230,   7.02726, 132.05692,-442.85694,   6.94851, 136.83071,-438.51022,  10.90294, 127.44337,-442.91032,  15.62308, 125.56295,-441.24109,  19.50996, 101.54839,-441.51330,  18.50769,  79.80351,-436.71009,   2.48000, 131.16452,-446.70825,  -1.92414, 132.97608,-449.14224, -23.30307, 135.37372,-460.50393, -32.89695, 152.24175,-449.53405,   6.35422,  90.97745,-449.52460,   4.23114,  53.05031,-440.33999,   3.73044,  13.05558,-449.28280,   4.27240,   5.56472,-440.24085,  -5.35810,  92.66469,-454.75811, -20.94173,  57.43078,-448.19642, -25.45921,  16.79584,-451.05958, -29.18138,   6.81898,-446.08251
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.41646, 109.49671,-452.82999,   4.89798, 118.25732,-451.43573,   7.21120, 132.07892,-442.96056,   7.15910, 136.90075,-438.66679,  11.06488, 127.44680,-442.99564,  15.77689, 125.54855,-441.32362,  19.41989, 101.51318,-442.27753,  18.28734,  79.61750,-438.25110,   2.65260, 131.18694,-446.79854,  -1.75458, 133.01789,-449.21243, -23.27938, 136.62821,-459.96156, -35.68050, 152.78453,-450.90085,   6.33491,  90.95698,-449.50821,   4.16688,  53.01942,-440.37728,   3.66343,  13.05881,-449.47119,   4.20338,   5.56796,-440.42911,  -5.35686,  92.68817,-454.77320, -21.03330,  57.49026,-448.23941, -25.59023,  16.86422,-451.16552, -29.26281,   6.84021,-446.24667
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.44629, 109.49146,-452.83717,   4.95246, 118.25139,-451.46525,   7.35285, 132.11448,-443.08260,   7.32736, 136.98954,-438.84911,  11.18526, 127.46466,-443.09982,  15.89000, 125.54489,-441.43190,  19.33125, 101.51092,-442.98336,  18.13083,  79.49813,-439.68009,   2.77929, 131.21962,-446.90206,  -1.63144, 133.07664,-449.28941, -23.27938, 137.72890,-459.37001, -37.50278, 153.17235,-451.87963,   6.32129,  90.94970,-449.48893,   4.09552,  52.99784,-440.43164,   3.60600,  13.06908,-449.66514,   4.14183,   5.57821,-440.62283,  -5.35156,  92.69691,-454.79048, -21.11669,  57.53121,-448.29681, -25.67179,  16.90995,-451.29133, -29.33301,   6.85923,-446.41875
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.44702, 109.49015,-452.86659,   4.96661, 118.25250,-451.52526,   7.45791, 132.15500,-443.23491,   7.46466, 137.09984,-439.08307,  11.27314, 127.49104,-443.24339,  15.98004, 125.55970,-441.59503,  19.23490, 101.53464,-443.61570,  18.01361,  79.43631,-440.95345,   2.86285, 131.25489,-447.02724,  -1.55194, 133.13323,-449.39029, -23.29650, 138.37416,-458.96118, -38.15364, 153.58945,-452.27751,   6.31443,  90.95639,-449.46789,   4.03099,  52.98116,-440.52363,   3.55675,  13.07435,-449.85236,   4.09487,   5.58346,-440.81021,  -5.34491,  92.69058,-454.80333, -21.16573,  57.53859,-448.37116, -25.70067,  16.92048,-451.43822, -29.36532,   6.85972,-446.58900
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.44314, 109.48935,-452.90065,   4.97000, 118.25543,-451.59234,   7.52979, 132.20241,-443.39812,   7.56887, 137.21805,-439.33227,  11.33686, 127.53178,-443.39936,  16.05015, 125.59653,-441.77399,  19.11956, 101.58203,-444.17459,  17.95142,  79.42142,-442.06308,   2.91289, 131.28793,-447.16036,  -1.51177, 133.15763,-449.51177, -23.35043, 138.62438,-458.73580, -37.84267, 154.25511,-452.21149,   6.31073,  90.96501,-449.45114,   4.01164,  52.96657,-440.61005,   3.53869,  13.08194,-450.03319,   4.07728,   5.59106,-440.99105,  -5.34012,  92.68219,-454.81058, -21.19605,  57.53621,-448.43218, -25.68151,  16.91880,-451.58012, -29.36897,   6.85665,-446.75111
