time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.61583, 109.50620,-454.69130,   2.58165, 118.36933,-455.87419,   6.23517, 134.28003,-457.18464,   6.95289, 140.68367,-457.59400,  10.32735, 129.85708,-457.19634,  15.53766, 128.67158,-456.97403,  17.07933, 105.27233,-463.45316,  -3.62273,  97.00802,-463.24970,   0.62108, 132.09287,-457.11541,  -4.39667, 133.88721,-457.56827, -11.06591, 156.47722,-451.47663,  -1.09883, 176.06351,-447.74226,   7.19877,  91.47907,-452.02172,  19.36476,  56.35069,-439.96691,  20.99969,  18.47077,-455.53101,  23.91339,  10.81198,-447.10386,  -5.71895,  92.16344,-451.74101, -15.80036,  56.30583,-439.91177, -16.36525,  18.32243,-455.29831, -19.99656,  10.72688,-447.09559
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.58873, 109.50793,-454.68868,   2.53910, 118.37291,-455.87026,   6.16446, 134.29026,-457.17814,   6.87226, 140.69519,-457.58451,  10.26296, 129.87327,-457.21044,  15.47623, 128.69648,-457.01277,  17.01481, 105.30973,-463.53760,  -3.67365,  97.01399,-463.24888,   0.55385, 132.09489,-457.08936,  -4.46755, 133.88516,-457.51713, -11.45615, 156.39675,-451.49358,  -2.20691, 176.31017,-447.64413,   7.20210,  91.48512,-452.05396,  19.47385,  56.40513,-439.96550,  21.06469,  18.50371,-455.48178,  23.97997,  10.84261,-447.05729,  -5.71474,  92.15690,-451.70950, -15.74692,  56.30791,-439.81246, -16.30799,  18.34768,-455.25620, -19.92896,  10.75204,-447.04898
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.57295, 109.50598,-454.70564,   2.51118, 118.37142,-455.89341,   6.10280, 134.29667,-457.19822,   6.80553, 140.70260,-457.59760,  10.20999, 129.88784,-457.23984,  15.42638, 128.72304,-457.05397,  16.98400, 105.34962,-463.62192,  -3.68160,  96.99806,-463.30648,   0.49670, 132.09012,-457.10139,  -4.52889, 133.87405,-457.50574, -12.01054, 156.26204,-451.61522,  -3.68386, 176.55346,-447.63579,   7.20383,  91.48824,-452.07355,  19.53294,  56.43952,-439.95281,  21.09268,  18.52661,-455.44415,  24.00911,  10.86960,-447.01633,  -5.71206,  92.15432,-451.68518, -15.69060,  56.30841,-439.73389, -16.26972,  18.36482,-455.21780, -19.89532,  10.77801,-447.00446
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.55316, 109.50804,-454.69843,   2.47831, 118.37533,-455.88262,   6.03939, 134.30795,-457.18130,   6.73520, 140.71508,-457.57332,  10.15505, 129.90703,-457.22427,  15.37367, 128.75172,-457.04170,  16.97108, 105.38720,-463.63173,  -3.68174,  97.00416,-463.31396,   0.43754, 132.09059,-457.08566,  -4.59366, 133.86266,-457.47199, -12.69180, 156.08413,-451.76918,  -5.48742, 176.76864,-447.62684,   7.20657,  91.49454,-452.08571,  19.55831,  56.46186,-439.94165,  21.09803,  18.53353,-455.39718,  24.01305,  10.87493,-446.97032,  -5.70930,  92.14745,-451.67503, -15.65814,  56.30890,-439.67698, -16.26699,  18.37089,-455.17342, -19.88866,  10.78636,-446.95625
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.53349, 109.50855,-454.70078,   2.44756, 118.37691,-455.88561,   5.98876, 134.31416,-457.18169,   6.68372, 140.72184,-457.56630,  10.11052, 129.91889,-457.21755,  15.33045, 128.76953,-457.03496,  16.99022, 105.40672,-463.61562,  -3.64830,  96.98712,-463.33770,   0.38982, 132.08913,-457.09426,  -4.64755, 133.84530,-457.47284, -13.47131, 155.84415,-451.98764,  -7.55773, 176.89876,-447.66974,   7.20978,  91.50285,-452.08395,  19.56887,  56.47300,-439.93920,  21.08007,  18.52951,-455.36031,  23.99638,  10.87166,-446.93321,  -5.70702,  92.13900,-451.67613, -15.66108,  56.30315,-439.67437, -16.28040,  18.35845,-455.15400, -19.89866,  10.78520,-446.92492
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.51854, 109.50869,-454.70395,   2.42345, 118.37782,-455.89006,   5.94499, 134.31958,-457.18426,   6.64520, 140.72645,-457.57288,  10.07318, 129.93027,-457.20724,  15.29401, 128.78704,-457.01228,  17.00105, 105.42749,-463.59242,  -3.62948,  96.98670,-463.37030,   0.34906, 132.08649,-457.11049,  -4.69565, 133.82356,-457.47914, -14.32209, 155.54963,-452.26327,  -9.80226, 176.90981,-447.76609,   7.21226,  91.50938,-452.08104,  19.57606,  56.48274,-439.93185,  21.05186,  18.52899,-455.33114,  23.96962,  10.87149,-446.90422,  -5.70533,  92.13243,-451.67816, -15.68776,  56.30509,-439.67453, -16.30470,  18.35005,-455.12889, -19.92127,  10.78039,-446.89577
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.50854, 109.50936,-454.70244,   2.40690, 118.37950,-455.88598,   5.91255, 134.32584,-457.16685,   6.62397, 140.73181,-457.54989,  10.04648, 129.94188,-457.17461,  15.26852, 128.80669,-456.96553,  17.02023, 105.44979,-463.54333,  -3.59575,  96.97180,-463.40009,   0.31929, 132.08550,-457.11387,  -4.73239, 133.80369,-457.47561, -15.23218, 155.19657,-452.57719, -12.15511, 176.78104,-447.93466,   7.21411,  91.51454,-452.07448,  19.58436,  56.49434,-439.91328,  21.03297,  18.54058,-455.31511,  23.94688,  10.88265,-446.88725,  -5.70440,  92.12708,-451.68515, -15.73139,  56.31376,-439.67684, -16.33661,  18.35439,-455.12104, -19.94758,  10.79173,-446.87904
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.49994, 109.50872,-454.70875,   2.39345, 118.37886,-455.89595,   5.88965, 134.32689,-457.18159,   6.61065, 140.73163,-457.56710,  10.02749, 129.94663,-457.16898,  15.25007, 128.81750,-456.94147,  17.02649, 105.46066,-463.51283,  -3.57829,  96.95460,-463.43719,   0.29822, 132.08160,-457.14701,  -4.76015, 133.78101,-457.50398, -16.17995, 154.77063,-452.93024, -14.59789, 176.49337,-448.18360,   7.21586,  91.51978,-452.06307,  19.57929,  56.50410,-439.88193,  21.00860,  18.56040,-455.31033,  23.92132,  10.90446,-446.88024,  -5.70375,  92.12202,-451.69480, -15.77469,  56.32676,-439.66943, -16.36145,  18.37037,-455.12165, -19.97371,  10.81535,-446.87320
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.49546, 109.50734,-454.71851,   2.38679, 118.37707,-455.91038,   5.87943, 134.32564,-457.19899,   6.61210, 140.72854,-457.59318,  10.01966, 129.94776,-457.16374,  15.24250, 128.82283,-456.92180,  17.05646, 105.45787,-463.45395,  -3.54422,  96.94155,-463.44691,   0.28918, 132.07721,-457.18580,  -4.77761, 133.75368,-457.53160, -17.09741, 154.30423,-453.31348, -17.07703, 176.07290,-448.51395,   7.21704,  91.52386,-452.04811,  19.57038,  56.51399,-439.84007,  20.99284,  18.59259,-455.32385,  23.90425,  10.93772,-446.89235,  -5.70368,  92.11833,-451.70704, -15.81274,  56.34044,-439.66197, -16.37757,  18.39559,-455.14331, -19.99034,  10.84476,-446.89125
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.50055, 109.50499,-454.73180,   2.39451, 118.37336,-455.93181,   5.89033, 134.31998,-457.23580,   6.64340, 140.72006,-457.63724,  10.03077, 129.94254,-457.17840,  15.25287, 128.81657,-456.92554,  17.08042, 105.43468,-463.39301,  -3.52802,  96.93727,-463.43626,   0.30026, 132.07107,-457.23837,  -4.77376, 133.72757,-457.57427, -18.01696, 153.76778,-453.71384, -19.56210, 175.48493,-448.92959,   7.21670,  91.52424,-452.03154,  19.55367,  56.51051,-439.81800,  20.97472,  18.61834,-455.37329,  23.88277,  10.96508,-446.93917,  -5.70476,  92.11861,-451.71991, -15.86269,  56.35554,-439.67194, -16.40141,  18.42342,-455.18541, -20.01540,  10.87345,-446.93310
